marchandises,marchandises_normalisees_orthogr,source_bdc,nbr_bdc_marchandises,nbr_bdc_marchandises_normalisees
///Industrie générale///Cauris,cauri,1,2,153
///Industrie générale///Chandelle,chandelle,1,1,130
///Industrie générale///Cordages,cordage,1,2,315
///Industrie générale///Dorures fines,dorure ; fine,1,17,510
///Industrie générale///Esprit de vin,esprit ; de vin,1,11,113
///Industrie générale///Faience et poterie,faïence et poterie,1,14,26
///Industrie générale///Gants de peau,gant ; de peau,1,21,289
///Industrie générale///Habillemens et lingerie,habillement et lingerie,1,22,588
///Industrie générale///Horlogerie,horlogerie,1,15,718
///Industrie générale///Jeux de voiles,jeu ; de voile,1,2,38
///Industrie générale///Librairie,librairie,1,31,1462
///Industrie générale///Merceries,mercerie,1,37,1899
///Industrie générale///Meubles et glaces,meuble et miroir,1,28,60
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,ouvrage ; de cuir ; en cordonnerie et sellerie,1,9,200
///Industrie générale///Ouvrages de cuivre doré et argenté,ouvrage ; de cuivre ; doré et argenté,1,13,626
///Industrie générale///Ouvrages de modes et fleurs artificielles,ouvrage ; de mode ; en fleur artificielle,1,24,411
///Industrie générale///Ouvrages de terre cuite,ouvrage ; de terre cuite,1,1,33
///Industrie générale///Ouvrages divers,ouvrage ; divers,1,22,433
///Industrie générale///Papier pour tenture,papier ; à tenture,1,6,29
///Industrie générale///Papiers pour tenture,papier ; à tenture,1,14,29
///Industrie générale///Papiers à écrire,papier ; à écrire,1,36,411
///Industrie générale///Parfumerie,parfumerie,1,21,678
///Industrie générale///Passementerie,passementerie,1,6,187
///Industrie générale///Peaux et pelleteries,peau et pelleterie,1,28,42
///Industrie générale///Porcelaine,porcelaine,1,13,849
///Industrie générale///Poudre à tirer,poudre ; à tirer,1,1,191
///Industrie générale///Quincaillerie,quincaillerie,1,26,356
///Industrie générale///Savons,savon,1,30,928
///Industrie générale///Tableaux et estampes,tableau et estampe,1,12,333
///Industrie générale///Verrerie,verrerie,1,19,31
///Industrie étrangère///Articles réunis,industrie étrangère ; article ; réuni,1,36,2891
///Industrie étrangère///Bouchons de liége,bouchon ; de liège,1,2,541
///Industrie étrangère///Cauris,cauri,1,1,153
///Industrie étrangère///Colle de toute sorte,colle ; de toute sorte,1,3,66
///Industrie étrangère///Colles de toute sorte,colle ; de toute sorte,1,9,66
///Industrie étrangère///Faience et poterie,faïence et poterie,1,4,26
///Industrie étrangère///Habillement et lingerie,habillement et lingerie,1,12,588
///Industrie étrangère///Horlogerie,horlogerie,1,5,718
///Industrie étrangère///Librairie,librairie,1,16,1462
///Industrie étrangère///Marbres,marbre,1,10,126
///Industrie étrangère///Merceries,mercerie,1,18,1899
///Industrie étrangère///Meubles et miroirs,meuble et miroir,1,9,60
///Industrie étrangère///Ouvrages de jonc,ouvrage ; de jonc,1,14,103
///Industrie étrangère///Ouvrages divers,ouvrage ; divers,1,26,433
///Industrie étrangère///Peaux et pelleteries,peau et pelleterie,1,35,113
///Industrie étrangère///Plumes d'Autruche,plume ; d'autruche,1,5,8
///Industrie étrangère///Plumes de toute sorte,plume ; de toute sorte,1,20,23
///Industrie étrangère///Plumes à écrire,plume ; à écrire,1,6,176
"///Industrie étrangère///Porcelaine, faience et poterie","porcelaine, faïence et poterie",1,12,12
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...",quincaillerie ; divers,1,8,356
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..",quincaillerie ; divers,1,12,356
///Industrie étrangère///Savons,savon,1,6,928
///Industrie étrangère///Voitures,voiture,1,2,123
///Matieres d'Or et d'argent///Monnaies au type étranger,monnaie ; étrangère,1,1,2
///Matieres d'Or et d'argent///Orfévrerie,orfèvrerie,1,7,227
///Matière d'Or et d'argent///Monnaies au type étranger,monnaie ; étrangère,1,6,102
///Matière d'Or et d'argent///Orfévrerie,orfèvrerie,1,16,227
///Matières d'Or et d'argent///Argenterie et orfévrerie,argenterie et orfèvrerie,1,4,121
///Matières d'Or et d'argent///Argenteries et orfévrerie,argenterie et orfèvrerie,1,5,121
"///Matières d'Or et d'argent///Monnaies étrangères , ou lingots",monnaie ; étrangère ou lingot,1,10,17
///Matières d'Or et d'argent///Monnaies étrangères ou lingots,monnaie ; étrangère ou lingot,1,4,17
///Matières d'or et d'argent///Monnaies étrangères et lingots,monnaie ; étrangère ou lingot,1,3,17
///Matières d'or et d'argent///Orfévrerie,orfèvrerie,1,1,227
///Métaux///Argent vif,argent ; vif,1,7,331
///Métaux///Articles réunis,métal ; article ; réuni,1,5,178
///Métaux///Autres métaux,métal ; autre,1,29,178
///Métaux///Cuivre,cuivre,1,28,589
"///Métaux///Cuivre, bronze et Laiton","cuivre, bronze et laiton",1,10,195
"///Métaux///Cuivre, bronze et laiton","cuivre, bronze et laiton",1,15,195
"///Métaux///Cuivre,bronze et laiton","cuivre, bronze et laiton",1,9,195
///Métaux///Etain,étain,1,12,50
///Métaux///Fer blanc,fer ; blanc,1,6,801
///Métaux///Fer-blanc,fer ; blanc,1,9,801
///Métaux///Fers,fer,1,37,555
///Métaux///Fers blanc,fer ; blanc,1,3,801
///Métaux///Fers et aciers,fer et acier,1,42,370
///Métaux///Plomb,plomb,1,18,293
///Métaux///plomb,plomb,1,8,293
///Objets manufacturés///Armes,arme,1,1,156
///Objets manufacturés///Articles réunis,arme ; réunie,1,21,156
"///Objets manufacturés///Bonneterie en fil , coton et laine","bonneterie ; de fil, coton et laine",1,11,24
"///Objets manufacturés///Bonneterie en fil, coton et laine","bonneterie ; de fil, coton et laine",1,4,24
///Objets manufacturés///Bonneterie ordinaire en coton et laine,"bonneterie ; de fil, coton et laine",1,5,24
///Objets manufacturés///Bonneteries de soie,bonneterie ; de soie,1,48,330
///Objets manufacturés///Bonneteries diverses,bonneterie ; diverse,1,36,302
///Objets manufacturés///Chapellerie,chapellerie,1,44,245
///Objets manufacturés///Dentelles,dentelle,1,40,262
///Objets manufacturés///Dentelles de fil,dentelle ; de fil et soie,1,8,13
///Objets manufacturés///Draperies,draperie,1,69,313
///Objets manufacturés///Etoffe mélangées de ces matieres,étoffe ; mélangée de ces matières,1,13,33
///Objets manufacturés///Etoffe riches,étoffe ; riche,1,15,68
///Objets manufacturés///Etoffes de coton,étoffe ; de coton,1,26,223
///Objets manufacturés///Etoffes de laine,étoffe ; de laine,1,32,314
///Objets manufacturés///Etoffes de laine et de poil,étoffe ; de poil et laine,1,17,36
///Objets manufacturés///Etoffes de soie,étoffe ; de soie,1,57,748
///Objets manufacturés///Etoffes diverses,étoffe ; diverse,1,34,50
///Objets manufacturés///Etoffes en coton et en laine,étoffe ; de coton et laine,1,16,25
///Objets manufacturés///Etoffes mélangées de ces matières,étoffe ; mélangée de ces matières,1,20,33
///Objets manufacturés///Etoffes riches,étoffe ; riche,1,16,68
"///Objets manufacturés///Gazes, crepes et mouchoirs de soie","gaze, crêpe et mouchoir de soie",1,39,59
"///Objets manufacturés///Gazes, crêpes et mouchoirs de soie","gaze, crêpe et mouchoir de soie",1,19,59
///Objets manufacturés///Mouchoirs divers en fil et coton,mouchoir ; divers,1,28,107
///Objets manufacturés///Mouchoirs divers et des Indes,mouchoir ; divers,1,17,107
///Objets manufacturés///Mousselines,mousseline,1,24,367
///Objets manufacturés///Objets manufacturés réunis,objet ; manufacturé ; réuni,1,27,27
///Objets manufacturés///Rubannerie de soie,rubanerie ; de soie,1,39,39
///Objets manufacturés///Rubannerie ordinaire,rubanerie ; ordinaire,1,17,17
///Objets manufacturés///Rubanneries diverses,rubanerie ; diverse,1,3,3
"///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans","soierie en étoffe, mouchoir, gaze et ruban",1,12,40
"///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans","soierie en étoffe, mouchoir, gaze et ruban",1,15,40
"///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans","soierie en étoffe, mouchoir, gaze et ruban",1,13,40
///Objets manufacturés///Toile de coton,toile ; de coton,1,12,519
///Objets manufacturés///Toile de fil et coton,toile ; de fil et coton,1,11,158
///Objets manufacturés///Toiles de coton,toile ; de coton,1,29,519
"///Objets manufacturés///Toiles de coton, mousseline et nankin","toile ; de coton, mousseline et nankin",1,11,23
"///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes","toile ; de coton, mousseline, nankin et des indes",1,10,10
///Objets manufacturés///Toiles de fil et coton,toile ; de fil et coton,1,27,158
///Objets manufacturés///Toiles de lin et chanvre,toile ; de lin et chanvre,1,21,544
///Objets manufacturés///Toiles de lin et de chanvre,toile ; de lin et chanvre,1,41,544
///Objets manufacturés///Toiles diverses de lin et de chanvre,toile ; de lin et chanvre ; diverse,1,15,544
///Objets manufacturés///Toiles diverses en lin et chanvre,toile ; de lin et chanvre ; diverse,1,29,544
"///Objets manufacturés///Toiles en coton, mousseline et nankin","toile ; de coton, mousseline et nankin",1,11,23
///Objets manufacturés///chapellerie,chapellerie,1,1,245
0,,0,0,0
1///Matières première///Articles réunis,arme ; réunie,1,9,156
1///Matières première///Coton,coton,1,16,559
1///Matières première///Fil,fil,1,11,328
1///Matières première///Laine,laine,1,15,681
1///Matières première///Soie,soie,1,12,409
1///Matières premières///Chanvre,chanvre,1,49,432
1///Matières premières///Chanvre et lin,chanvre et lin,1,6,9
1///Matières premières///Coton,coton,1,62,559
1///Matières premières///Fil,fil,1,40,328
1///Matières premières///Laine,laine,1,71,681
1///Matières premières///Lin,lin,1,22,327
"1///Matières premières///Poil de chevre, lièvre et lapin","poil ; de chèvre, lièvre et lapin",1,1,194
"1///Matières premières///Poil de chèvre, lièvre et lapin","poil ; de chèvre, lièvre et lapin",1,8,194
1///Matières premières///Soie,soie,1,18,409
1///Matières premières///Soie et filoselle,soie ; filoselle,1,35,171
"1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons","bestiau ; en bœuf, vache, porc et mouton",1,6,23
"1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons","bestiau ; en bœuf, vache, porc et mouton",1,5,23
"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons","bestiau ; en bœuf, vache, veau, porc et mouton",1,6,12
"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons","bestiau ; en bœuf, vache, veau, porc et mouton",1,6,12
"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons","bestiau ; en bœuf, vache, porc et mouton",1,6,23
"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons","bestiau ; en bœuf, vache, porc et mouton",1,6,23
1///Subsistances///Beurre,beurre,1,8,1170
1///Subsistances///Biscuit de mer,biscuit ; de mer,1,1,65
1///Subsistances///Biscuits de mer et pâtes d'Italie,biscuit ; de mer et pâte d'Italie,1,1,1
1///Subsistances///Bière,bière,1,3,652
"1///Subsistances///Bière, cidre et vinaigre","bière, cidre et vinaigre",1,1,10
1///Subsistances///Blé,blé,1,15,17
1///Subsistances///Blé et autres grains,blé et autre grain,1,17,219
1///Subsistances///Blé et autres grains comestibles,blé et autre grain ; comestible,1,22,219
"1///Subsistances///Blé et autres grains, comestibles",blé et autre grain ; comestible,1,34,219
1///Subsistances///Chairs salées,chair ; salée,1,44,609
1///Subsistances///Eaux de vie,eau ; de vie,1,23,1795
1///Subsistances///Eaux-de-vie,eau ; de vie,1,45,1795
1///Subsistances///Farine,farine,1,16,545
1///Subsistances///Farine et biscuit de mer,farine et biscuit de mer,1,13,186
1///Subsistances///Farine et biscuits de mer et pâtes d'Italie,"farine, biscuit de mer et pâte d'Italie",1,9,9
1///Subsistances///Farine et pâtes d'Italie,farine et pâte d'Italie,1,1,1
1///Subsistances///Fromage,fromage,1,25,1111
1///Subsistances///Fromages,fromage,1,28,1111
1///Subsistances///Fruits divers,fruit ; divers,1,60,216
"1///Subsistances///Fruits secs en amandes, figues et ...","fruit ; sec ; amande, figue et raisin",1,9,34
"1///Subsistances///Fruits secs, en amandes ,figues et raisins","fruit ; sec ; amande, figue et raisin",1,10,34
"1///Subsistances///Fruits secs, en amandes, figues et raisins","fruit ; sec ; amande, figue et raisin",1,14,34
1///Subsistances///Fruits verts en Oranges et citrons,fruit ; vert ; orange et citron,1,7,20
"1///Subsistances///Fruits verts, en oranges et citrons",fruit ; vert ; orange et citron,1,6,20
"1///Subsistances///Fruits verts, en oranges et citrons.",fruit ; vert ; orange et citron,1,7,20
1///Subsistances///Huile d'Olive,huile ; d'olive,1,24,1823
1///Subsistances///Huile d'olive,huile ; d'olive,1,47,1823
1///Subsistances///Légumes,légume,1,62,1077
1///Subsistances///Miel,miel,1,22,674
1///Subsistances///Poissons de toute sorte,poisson ; de toute sorte,1,59,572
1///Subsistances///Poissons de toutes sortes,poisson ; de toute sorte,1,10,572
1///Subsistances///Provisions de bouche réunies,provision ; de bouche ; réunie,1,41,591
1///Subsistances///Provisions diverses,provision ; diverse,1,25,448
"1///Subsistances///Provisions diverses,principalement en beurre",provision ; diverse,1,12,448
1///Subsistances///Riz,riz,1,33,1027
1///Subsistances///Sel,sel,1,40,968
1///Subsistances///Vin de liqueurs,vin ; de liqueur,1,14,547
1///Subsistances///Vins,vin,1,21,388
1///Subsistances///Vins de Bordeaux,vin ; de Bordeaux,1,25,654
1///Subsistances///Vins de bordeaux,vin ; de Bordeaux,1,20,654
1///Subsistances///Vins de liqueur,vin ; de liqueur,1,6,547
1///Subsistances///Vins de liqueurs,vin ; de liqueur,1,3,547
1///Subsistances///Vins divers,vin ; divers,1,58,557
2///Matières première///Articles réunis,article ; réuni,1,19,95
2///Matières première///Bois divers,bois ; divers,1,17,593
"2///Matières première///Brai, goudron et résine","brai, goudron et résine",1,16,46
2///Matières première///Charbons,charbon,1,5,222
2///Matières première///Cires jaune et blanche,cire ; blanche et jaune,1,13,43
2///Matières première///Cuirs appretés,cuir ; apprêté,1,16,42
2///Matières première///Graines de jardin,graine ; de jardin,1,7,709
2///Matières première///Graines de trèfle,graine ; de trèfle,1,8,280
2///Matières première///Graines diverses,graine ; diverse,1,11,410
2///Matières première///Huile de graine,huile ; de graine,1,8,383
2///Matières première///Pain de navette,pain ; de navette,1,1,157
2///Matières première///Suif,suif,1,1,1000
2///Matières première///Tabacs,tabac,1,19,823
2///Matières premières///Articles réunis,article ; réuni,1,75,95
2///Matières premières///Bois de Iles,bois ; des Iles,1,8,26
2///Matières premières///Bois des iles,bois ; des Iles,1,17,26
2///Matières premières///Bois divers,bois ; divers,1,77,82
"2///Matières premières///Brai, Goudron, Résine","brai, goudron et résine",1,8,46
"2///Matières premières///Brai, goudron et résine","brai, goudron et résine",1,9,46
"2///Matières premières///Brai,goudron et résine","brai, goudron et résine",1,12,46
"2///Matières premières///Bray, goudron, poix et résine","brai, goudron, poix et résine",1,11,11
2///Matières premières///Cendres diverses,cendre ; diverse,1,20,40
2///Matières premières///Charbon,charbon,1,2,222
2///Matières premières///Charbons,charbon,1,20,222
2///Matières premières///Circes blanche et jaune,cire ; blanche et jaune,1,6,43
2///Matières premières///Cires blanche et jaune,cire ; blanche et jaune,1,9,43
2///Matières premières///Cires blanches et jaunes,cire ; blanche et jaune,1,5,43
2///Matières premières///Cires jaune et blanche,cire ; blanche et jaune,1,9,43
2///Matières premières///Cires jaune et blanche fondue et en bougies,cire ; blanche et jaune ; fondue et en bougie,1,7,8
2///Matières premières///Cuirs appretés,cuir ; apprêté,1,11,42
2///Matières premières///Cuirs apprétés,cuir ; apprêté,1,14,42
2///Matières premières///Cuirs en poil,cuir ; en poil,1,44,229
2///Matières premières///Dents d'éléphant,dent ; d'éléphant,1,1,246
"2///Matières premières///Goudron ,poix et résine","goudron, poix et résine",1,6,7
2///Matières premières///Graine de Lin,graine ; de lin,1,5,432
2///Matières premières///Graine de lin,graine ; de lin,1,7,432
2///Matières premières///Graines de diverses,graine ; diverse,1,4,6
2///Matières premières///Graines de jardin,graine ; de jardin,1,8,709
2///Matières premières///Graines de trèfle,graine ; de trèfle,1,3,280
2///Matières premières///Graines diverses,graine ; diverse,1,7,410
2///Matières premières///Graines diverses et de lin,graine ; diverse,1,10,410
2///Matières premières///Houblon,houblon,1,2,254
2///Matières premières///Huile d'olive pour fabriques,huile ; d'olive ; pour fabrique,1,16,20
2///Matières premières///Huile de graine,huile ; de graine,1,6,383
2///Matières premières///Huile de grains,huile ; de graine,1,4,383
2///Matières premières///Huile de poisson,huile ; de poisson,1,22,962
2///Matières premières///Huile de poissons,huile ; de poisson,1,6,962
2///Matières premières///Huiles d'Olive pour fabriques,huile ; d'olive ; pour fabrique,1,4,20
2///Matières premières///Pain de navette,pain ; de navette,1,1,157
"2///Matières premières///Petasse, vedasses et gravelées","potasse, vedasse et gravelée",1,12,33
"2///Matières premières///Potasse, vedasse et gravelées","potasse, vedasse et gravelée",1,8,33
"2///Matières premières///Potasses, vedasses et gravelées","potasse, vedasse et gravelée",1,12,33
2///Matières premières///Soie de porc et sanglier,soie ; de porc et sanglier,1,5,5
2///Matières premières///Soude,soude,1,20,434
2///Matières premières///Souffre et salpetre,souffre et salpêtre,1,5,116
2///Matières premières///Soufre et Salpetre,souffre et salpêtre,1,2,116
2///Matières premières///Soufre et salpetre,souffre et salpêtre,1,6,116
2///Matières premières///Suif,suif,1,44,1000
2///Matières premières///Suif fondu et en chandelles,suif ; fondu et en chandelle,1,1,2
2///Matières premières///Tabacs,tabac,1,47,823
2///Matières premières///cendres Diverses,cendre ; diverse,1,7,40
2///Subsistances///Articles réunis,subsistance ; article ; réuni,1,7,8
2///Subsistances///Cacao,cacao,1,56,1064
2///Subsistances///Café,café,1,71,834
2///Subsistances///Chocolat,chocolat,1,8,461
2///Subsistances///Liqueurs,liqueur,1,36,1152
2///Subsistances///Liqueurs et Sirops,liqueur ; sirop,1,3,158
2///Subsistances///Liqueurs et sirops,liqueur ; sirop,1,12,158
"2///Subsistances///Provisions diverses,principalement en beurre",subsistance ; provision ; diverse,1,1,8
2///Subsistances///Sirops,sirop,1,45,188
2///Subsistances///Sucre,sucre,1,72,537
2///Subsistances///Thé,thé,1,47,917
2///Suite des matières premières///Articles réunis,article ; réuni,1,1,95
3///Matières première///Alun,alun,1,11,1144
3///Matières première///Cochenille,cochenille,1,12,816
3///Matières première///Drogues réunies,drogue ; réunie,1,20,55
3///Matières première///Garance,garance,1,6,775
3///Matières première///Indigo,indigo,1,18,1740
3///Matières première///Rocou,rocou,1,15,951
3///Matières première///Verdet,verdet,1,18,767
3///Matières premières///Alquifoux ou mine de plomb,alquifoux ou mine de plomb,1,4,19
3///Matières premières///Alun,alun,1,23,1144
3///Matières premières///Azur,azur,1,10,439
3///Matières premières///Cochenille,cochenille,1,19,816
3///Matières premières///Céruse,céruse,1,6,481
3///Matières premières///Drogues diverses réunies,drogue ; réunie ; diverse,1,31,109
3///Matières premières///Drogues réunies,drogue ; réunie,1,35,55
3///Matières premières///Garance,garance,1,20,775
3///Matières premières///Indigo,indigo,1,52,1740
3///Matières premières///Noix de Galle,noix ; de galle,1,6,213
3///Matières premières///Noix de galle,noix ; de galle,1,7,213
3///Matières premières///Rocou,rocou,1,24,951
3///Matières premières///Saffranum,safran,1,1,1100
3///Matières premières///Verdet,verdet,1,22,767
3///Subsistances///Articles réunis,article ; réuni,1,1,1
3///Subsistances///Canelle,cannelle,1,45,753
3///Subsistances///Eiceries diverses,épicerie ; diverse,1,7,391
3///Subsistances///Epiceries,épicerie,1,29,391
3///Subsistances///Epiceries Diverses,épicerie ; diverse,1,5,391
