marchandises	marchandises_norm_ortho		source_bdc	nbr_bdc_marchandises	nbr_bdc_marchandises_norm_ortho
///Drogues médicinales///Quinquina	drogues médicinales quinquina		1	10	39
///Drogues Médicinales///Safran	drogues médicinales safran		1	5	40
///Drogues médicinales///Safran	drogues médicinales safran		1	16	40
///Drogues Médicinales///Salsepareille	drogues médicinales salsepareille		1	2	15
///Drogues médicinales///Salsepareille	drogues médicinales salsepareille		1	2	15
///Drogues Médicinales///Séné	drogues médicinales séné		1	4	30
///Drogues médicinales///Séné	drogues médicinales séné		1	3	30
///Drogues midicinales///Drogues réunies	drogues médicinales drogues réunies		1	11	259
///Drogues midicinales///Ipécacuanha	drogues médicinales ipécacuanha		1	1	13
///Drogues midicinales///Jus de réglisse	drogues médicinales jus de réglisse		1	3	42
///Drogues midicinales///Manne	drogues médicinales manne		1	3	36
///Drogues midicinales///Quinquina	drogues médicinales quinquina		1	2	39
///Drogues midicinales///Safran	drogues médicinales safran		1	2	40
///Drogues midicinales///Salsepareille	drogues médicinales salsepareille		1	2	15
///Drogues midicinales///Sené	drogues médicinales sené		1	4	30
///Industrie Etrangère///Articles réunis	industrie étrangère articles réunis		1	18	54
///Industrie étrangère///Articles réunis	industrie étrangère articles réunis		1	36	54
///Industrie étrangère///Bouchons de liége	industrie étrangère bouchons de liège		1	2	543
///Industrie Etrangère///Bouchons de liège	industrie étrangère bouchons de liège		1	1	543
///Industrie étrangère///Cauris	industrie étrangère cauris		1	1	153
///Industrie étrangère///Colle de toute sorte	industrie étrangère colle de toute sorte		1	3	16
///Industrie Etrangère///Colles de toute sorte	industrie étrangère colle de toute sorte		1	4	16
///Industrie étrangère///Colles de toute sorte	industrie étrangère colle de toute sorte		1	9	16
///Industrie Etrangère///Faience et poterie	industrie étrangère faïence et poterie		1	2	282
///Industrie étrangère///Faience et poterie	industrie étrangère faïence et poterie		1	4	282
///Industrie Etrangère///Habillement et lingerie	industrie étrangère habillement et lingerie		1	5	588
///Industrie étrangère///Habillement et lingerie	industrie étrangère habillement et lingerie		1	12	588
///Industrie étrangère///Horlogerie	industrie étrangère horlogerie		1	5	698
///Industrie Etrangère///Horlogerie	industrie étrangère horlogerie		1	3	698
///Industrie Etrangère///Librairie	industrie étrangère librairie		1	6	1460
///Industrie étrangère///Librairie	industrie étrangère librairie		1	16	1460
///Industrie Etrangère///Marbres	industrie étrangère marbre		1	3	127
///Industrie étrangère///Marbres	industrie étrangère marbre		1	10	127
///Industrie Etrangère///Mercerie	industrie étrangère mercerie		1	8	1749
///Industrie étrangère///Mercerie	industrie étrangère mercerie		1	18	1749
///Industrie Etrangère///Meubles et miroirs	industrie étrangère meubles et miroirs		1	4	411
///Industrie étrangère///Meubles et miroirs	industrie étrangère meubles et miroirs		1	9	411
///Industrie Etrangère///Ouvrages de jonc	industrie étrangère ouvrages de jonc		1	3	103
///Industrie étrangère///Ouvrages de jonc	industrie étrangère ouvrages de jonc		1	14	103
///Industrie Etrangère///Ouvrages divers	industrie étrangère ouvrages divers		1	11	287
///Industrie étrangère///Ouvrages divers	industrie étrangère ouvrages divers		1	26	287
///Industrie Etrangère///Peaux et pelleterie	industrie étrangère peaux et pelleterie		1	17	116
///Industrie étrangère///Peaux et pelleterie	industrie étrangère peaux et pelleterie		1	35	116
///Industrie Etrangère///Plumes à écrire	industrie étrangère plumes à écrire		1	4	333
///Industrie étrangère///Plumes à écrire	industrie étrangère plumes à écrire		1	6	333
///Industrie Etrangère///Plumes d'autruche	industrie étrangère plumes d'autruche		1	2	158
///Industrie étrangère///Plumes d'Autruche	industrie étrangère plumes d'autruche		1	5	158
///Industrie Etrangère///Plumes de toute sorte	industrie étrangère plumes de toute sorte		1	3	23
///Industrie étrangère///Plumes de toute sorte	industrie étrangère plumes de toute sorte		1	20	23
///Industrie étrangère///Porcelaine, faience et poterie	industrie étrangère porcelaine faïence et poterie		1	12	12
///Industrie Etrangère///Quincaillerie diverses	industrie étrangère quincaillerie diverse		1	9	196
///Industrie étrangère///Quincaillerie diverses ; Faulx, faucilles, fil de laiton et limes...	industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes		1	8	20
///Industrie étrangère///Quincaillerie diverses ; Faulx, faucilles,fil de laiton et limes ..	industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes		1	12	20
///Industrie Etrangère///Savons	industrie étrangère savon		1	3	932
///Industrie étrangère///Savons	industrie étrangère savon		1	6	932
///Industrie Etrangère///Voitures	industrie étrangère voiture		1	1	120
///Industrie étrangère///Voitures	industrie étrangère voiture		1	2	120
///Industrie générale///Armes	industrie générale armes		1	2	126
///Industrie Générale///Articles d'industrie réunis	industrie générale articles d'industrie réunis		1	21	56
///Industrie générale///Articles d'industrie réunis	industrie générale articles d'industrie réunis		1	35	56
///Industrie Générale///Bijouterie	industrie générale bijouterie		1	6	665
///Industrie générale///Bijouterie	industrie générale bijouterie		1	24	665
///Industrie Générale///Bougie	industrie générale bougie		1	1	469
///Industrie générale///Bougie	industrie générale bougie		1	1	469
///Industrie Générale///Cauris	industrie générale cauris		1	1	153
///Industrie générale///Cauris	industrie générale cauris		1	2	153
///Industrie générale///Chandelle	industrie générale chandelle		1	1	787
///Industrie Générale///Chandelles	industrie générale chandelle		1	1	787
///Industrie Générale///Cordages	industrie générale cordage		1	1	310
///Industrie générale///Cordages	industrie générale cordage		1	2	310
///Industrie Générale///Dorures fines	industrie générale dorure fine		1	6	510
///Industrie générale///Dorures fines	industrie générale dorure fine		1	17	510
///Industrie Générale///Esprit de vin	industrie générale esprit-de-vin		1	3	113
///Industrie générale///Esprit de vin	industrie générale esprit-de-vin		1	11	113
///Industrie Générale///Faience et poterie	industrie générale faïence et poterie		1	5	282
///Industrie générale///Faience et poterie	industrie générale faïence et poterie		1	14	282
///Industrie Générale///Gants de peau	industrie générale gants de peau		1	8	285
///Industrie générale///Gants de peau	industrie générale gants de peau		1	21	285
///Industrie générale///Habillemens et lingerie	industrie générale habillement et lingerie		1	22	588
///Industrie Générale///Habillements et lingerie	industrie générale habillement et lingerie		1	7	588
///Industrie Générale///Horlogerie	industrie générale horlogerie		1	6	698
///Industrie générale///Horlogerie	industrie générale horlogerie		1	15	698
///Industrie Générale///Jeux de voiles	industrie générale jeux de voile		1	1	38
///Industrie générale///Jeux de voiles	industrie générale jeux de voile		1	2	38
///Industrie Générale///Librairie	industrie générale librairie		1	14	1460
///Industrie générale///Librairie	industrie générale librairie		1	31	1460
///Industrie Générale///Marchandises des indes	industrie générale marchandises des Indes		1	1	5
///Industrie Générale///Mercerie	industrie générale mercerie		1	17	1749
///Industrie générale///Mercerie	industrie générale mercerie		1	37	1749
///Industrie Générale///Meubles et glaces	industrie générale meubles et glaces		1	10	411
///Industrie générale///Meubles et glaces	industrie générale meubles et glaces		1	28	411
///Industrie Générale///Ouvrages de cruivre doré et argenté	industrie générale ouvrages de cuivre doré et argenté		1	4	207
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie	industrie générale ouvrages de cuir en cordonnerie et sellerie		1	2	200
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie	industrie générale ouvrages de cuir en cordonnerie et sellerie		1	9	200
///Industrie générale///Ouvrages de cuivre doré et argenté	industrie générale ouvrages de cuivre doré et argenté		1	13	207
///Industrie Générale///Ouvrages de modes et fleurs artificielles	industrie générale ouvrages de modes et fleurs artificielles		1	8	391
///Industrie générale///Ouvrages de modes et fleurs artificielles	industrie générale ouvrages de modes et fleurs artificielles		1	24	391
///Industrie générale///Ouvrages de terre cuite	industrie générale ouvrages de terre cuite		1	1	11
///Industrie générale///Ouvrages divers	industrie générale ouvrages divers		1	22	287
///Industrie Générale///Ouvrages divers en bois et futailles vuides	industrie générale ouvrages divers en bois et futailles vides		1	5	5
///Industrie Générale///Ouvrages en terre cuite	industrie générale ouvrages en terre cuite		1	1	11
///Industrie générale///Papier pour tenture	industrie générale papier pour tenture		1	6	29
///Industrie Générale///Papiers à écrire	industrie générale papier à écrire		1	15	414
///Industrie générale///Papiers à écrire	industrie générale papier à écrire		1	36	414
///Industrie Générale///Papiers pour tenture	industrie générale papier pour tenture		1	8	29
///Industrie générale///Papiers pour tenture	industrie générale papier pour tenture		1	14	29
///Industrie Générale///Parasols	industrie générale parasols		1	1	129
///Industrie Générale///Parfumerie	industrie générale parfumerie		1	15	479
///Industrie générale///Parfumerie	industrie générale parfumerie		1	21	479
///Industrie Générale///Passementerie	industrie générale passementerie		1	2	9
///Industrie générale///Passementerie	industrie générale passementerie		1	6	9
///Industrie Générale///Peaux et pelleterie	industrie générale peaux et pelleterie		1	12	116
///Industrie générale///Peaux et pelleterie	industrie générale peaux et pelleterie		1	28	116
///Industrie Générale///Porcelaine	industrie générale porcelaine		1	7	849
///Industrie générale///Porcelaine	industrie générale porcelaine		1	13	849
///Industrie Générale///Poudre à tirer	industrie générale poudre à tirer		1	2	116
///Industrie générale///Poudre à tirer	industrie générale poudre à tirer		1	1	116
///Industrie Générale///Quincaillerie	industrie générale quincaillerie		1	14	292
///Industrie générale///Quincaillerie	industrie générale quincaillerie		1	26	292
///Industrie Générale///Savons	industrie générale savon		1	14	932
///Industrie générale///Savons	industrie générale savon		1	30	932
///Industrie Générale///Tableaux et Estampes	industrie générale tableaux et estampes		1	5	333
///Industrie générale///Tableaux et estampes	industrie générale tableaux et estampes		1	12	333
///Industrie Générale///Verrerie	industrie générale verrerie		1	12	31
///Industrie générale///Verrerie	industrie générale verrerie		1	19	31
///Matière d'Or et d'argent///Monnaies au type étranger	matières d'or et d'argent monnaies au type étranger		1	6	103
///Matière d'Or et d'argent///Orfévrerie	matières d'or et d'argent orfévrerie		1	16	227
///Matières d'Or et d'argent///Argenterie et orfévrerie	matières d'or et d'argent argenterie et orfévrerie		1	4	121
///Matières d'Or et d'argent///Argenterie et orfévrerie	matières d'or et d'argent argenterie et orfévrerie		1	5	121
///Matieres d'Or et d'argent///Monnaies au type étranger	matières d'or et d'argent monnaies au type étranger		1	1	103
///Matières d'Or et d'argent///Monnaies étrangères , ou lingots	matières d'or et d'argent monnaies étrangères ou lingots		1	10	17
///Matières d'or et d'argent///Monnaies étrangères et lingots	matières d'or et d'argent monnaies étrangères et lingots		1	3	17
///Matières d'Or et d'argent///Monnaies étrangères ou lingots	matières d'or et d'argent monnaies étrangères ou lingots		1	4	17
///Matieres d'Or et d'argent///Orfévrerie	matières d'or et d'argent orfévrerie		1	7	227
///Matières d'or et d'argent///Orfévrerie	matières d'or et d'argent orfévrerie		1	1	227
///Métaux///Argent vif	métal argent vif		1	7	331
///Métaux///Articles réunis	métal articles réunis		1	5	5
///Métaux///Autres métaux	métal autre métal 		1	29	29
///Métaux///Cuivre	métal cuivre		1	28	583
///Métaux///Cuivre, bronze et Laiton	métal cuivre bronze et laiton		1	10	195
///Métaux///Cuivre, bronze et laiton	métal cuivre bronze et laiton		1	15	195
///Métaux///Cuivre,bronze et laiton	métal cuivre bronze et laiton		1	9	195
///Métaux///Etain	métal étain		1	12	324
///Métaux///Fer blanc	métal fer-blanc		1	6	802
///Métaux///Fer-blanc	métal fer-blanc		1	9	802
///Métaux///Fers	métal fer		1	37	210
///Métaux///Fers blanc	métal fer-blanc		1	3	802
///Métaux///Fers et aciers	métal fer et acier		1	42	370
///Métaux///Plomb	métal plomb		1	18	294
///Métaux///plomb	métal plomb		1	8	294
///Objets manufacturés///Armes	objets manufacturés armes		1	1	126
///Objets manufacturés///Articles réunis	objets manufacturés articles réunis		1	21	30
///Objets manufacturés///Bonneterie en fil , coton et laine	objets manufacturés bonneterie en fil coton et laine		1	11	24
///Objets manufacturés///Bonneterie en fil, coton et laine	objets manufacturés bonneterie en fil coton et laine		1	4	24
///Objets manufacturés///Bonneterie ordinaire en coton et laine	objets manufacturés bonneterie ordinaire en coton et laine		1	5	24
///Objets manufacturés///Bonneterie de soie	objets manufacturés bonneterie de soie		1	48	327
///Objets manufacturés///Bonneterie diverses	objets manufacturés bonneterie diverse		1	36	283
///Objets manufacturés///Chapellerie	objets manufacturés chapellerie		1	44	245
///Objets manufacturés///chapellerie	objets manufacturés chapellerie		1	1	245
///Objets manufacturés///Dentelles	objets manufacturés dentelle		1	40	262
///Objets manufacturés///Dentelles de fil	objets manufacturés dentelle de fil		1	8	14
///Objets manufacturés///Draperie	objets manufacturés draperie		1	69	315
///Objets manufacturés///Etoffe mélangées de ces matieres	objets manufacturés étoffe mélangée de ces matières		1	13	33
///Objets manufacturés///Etoffe riches	objets manufacturés étoffe riche		1	15	68
///Objets manufacturés///Etoffes de coton	objets manufacturés étoffe de coton		1	26	221
///Objets manufacturés///Etoffes de laine	objets manufacturés étoffe de laine		1	32	308
///Objets manufacturés///Etoffes de laine et de poil	objets manufacturés étoffe de laine et de poil		1	17	34
///Objets manufacturés///Etoffes de soie	objets manufacturés étoffe de soie		1	57	726
///Objets manufacturés///Etoffes diverses	objets manufacturés étoffe diverse		1	34	318
///Objets manufacturés///Etoffes en coton et en laine	objets manufacturés étoffe en coton et en laine		1	16	24
///Objets manufacturés///Etoffes mélangées de ces matières	objets manufacturés étoffe mélangée de ces matières		1	20	33
///Objets manufacturés///Etoffes riches	objets manufacturés étoffe riche		1	16	68
///Objets manufacturés///Gazes, crepes et mouchoirs de soie	objets manufacturés gaze crêpe et mouchoirs de soie		1	39	59
///Objets manufacturés///Gazes, crêpes et mouchoirs de soie	objets manufacturés gaze crêpe et mouchoirs de soie		1	19	59
///Objets manufacturés///Mouchoirs divers en fil et coton	objets manufacturés mouchoirs divers en fil et coton		1	28	174
///Objets manufacturés///Mouchoirs divers et des Indes	objets manufacturés mouchoirs divers et des Indes		1	17	174
///Objets manufacturés///Mousselines	objets manufacturés mousselines		1	24	366
///Objets manufacturés///Objets manufacturés réunis	objets manufacturés objets manufacturés réunis		1	27	165
///Objets manufacturés///Rubannerie de soie	objets manufacturés rubannerie de soie		1	39	249
///Objets manufacturés///Rubannerie ordinaire	objets manufacturés rubannerie ordinaire		1	17	113
///Objets manufacturés///Rubannerie diverses	objets manufacturés rubannerie diverse		1	3	178
///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans	objets manufacturés soierie en étoffe mouchoirs gaze et ruban		1	12	41
///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans	objets manufacturés soierie en étoffe mouchoirs gaze et ruban		1	15	41
///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans	objets manufacturés soierie en étoffe mouchoirs gaze et ruban		1	13	41
///Objets manufacturés///Toile de coton	objets manufacturés toile de coton		1	12	448
///Objets manufacturés///Toile de fil et coton	objets manufacturés toile de fil et coton		1	11	108
///Objets manufacturés///Toiles de coton	objets manufacturés toile de coton		1	29	448
///Objets manufacturés///Toiles de coton, mousseline et nankin	objets manufacturés toile de coton mousseline et nankin		1	11	23
///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes	objets manufacturés toile de coton mousseline nankin et des Indes		1	10	10
///Objets manufacturés///Toiles de fil et coton	objets manufacturés toile de fil et coton		1	27	108
///Objets manufacturés///Toiles de lin et chanvre	objets manufacturés toile de lin et chanvre		1	21	263
///Objets manufacturés///Toiles de lin et de chanvre	objets manufacturés toile de lin et de chanvre		1	41	263
///Objets manufacturés///Toiles diverses de lin et de chanvre	objets manufacturés toile diverse de lin et de chanvre		1	15	45
///Objets manufacturés///Toiles diverses en lin et chanvre	objets manufacturés toile diverse en lin et chanvre		1	29	45
///Objets manufacturés///Toiles en coton, mousseline et nankin	objets manufacturés toile en coton mousseline et nankin		1	11	23
1///Matières première///Articles réunis	matières premières articles réunis		1	9	30
1///Matières première///Coton	matières premières coton		1	16	559
1///Matières première///Fil	matières premières fil		1	11	327
1///Matières première///Laine	matières premières laine		1	15	484
1///Matières première///Soie	matières premières soie		1	12	385
1///Matières premières///Chanvre	matières premières chanvre		1	49	432
1///Matières premières///Chanvre et lin	matières premières chanvre et lin		1	6	9
1///Matières premières///Coton	matières premières coton		1	62	559
1///Matières premières///Fil	matières premières fil		1	40	327
1///Matières premières///Laine	matières premières laine		1	71	484
1///Matières premières///Lin	matières premières lin		1	22	266
1///Matières premières///Poil de chevre, lièvre et lapin	matières premières poil de chèvre lièvre et lapin		1	1	194
1///Matières premières///Poil de chèvre, lièvre et lapin	matières premières poil de chèvre lièvre et lapin		1	8	194
1///Matières premières///Soie	matières premières soie		1	18	385
1///Matières premières///Soie et filoselle	matières premières soie et filoselle		1	35	171
1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons	subsistances bestiaux en bœuf vaches porcs moutons		1	6	23
1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons	subsistances bestiaux en bœuf vaches porcs moutons		1	5	23
1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons	subsistances bestiaux en bœuf vaches veaux porcs et moutons		1	6	12
1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons	subsistances bestiaux en bœuf vaches veaux porcs et moutons		1	6	12
1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons	subsistances bestiaux en bœuf vaches porcs moutons		1	6	23
1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons	subsistances bestiaux en bœuf vaches veaux et moutons		1	6	23
1///Subsistances///Beurre	subsistances beurre		1	8	1170
1///Subsistances///Bière	subsistances bière		1	3	651
1///Subsistances///Bière, cidre et vinaigre	subsistances bière cidre et vinaigre		1	1	10
1///Subsistances///Biscuit de mer	subsistances biscuit de mer		1	1	65
1///Subsistances///Biscuits de mer et pâtes d'Italie	subsistances biscuit de mer et pâte d'Italie		1	1	1
1///Subsistances///Blé	subsistances blé		1	15	15
1///Subsistances///Blé et autres grains	subsistances blé et autres grains		1	17	17
1///Subsistances///Blé et autres grains comestibles	subsistances blé et autres grains comestibles		1	22	56
1///Subsistances///Blé et autres grains, comestibles	subsistances blé et autres grains comestibles		1	34	56
1///Subsistances///Chairs salées	subsistances chair salée		1	44	609
1///Subsistances///Eaux de vie	subsistances eau-de-vie		1	23	1792
1///Subsistances///Eaux-de-vie	subsistances eau-de-vie		1	45	1792
1///Subsistances///Farine	subsistances farine		1	16	545
1///Subsistances///Farine et biscuit de mer	subsistances farine et biscuit de mer		1	13	186
1///Subsistances///Farine et biscuits de mer et pâtes d'Italie	subsistances farine et biscuit de mer et pâte d'Italie		1	9	16
1///Subsistances///Farine et pâtes d'Italie	subsistances farine et pâte d'Italie		1	1	1
1///Subsistances///Fromage	subsistances fromage		1	25	1111
1///Subsistances///Fromages	subsistances fromage		1	28	1111
1///Subsistances///Fruits divers	subsistances fruits divers		1	60	353
1///Subsistances///Fruits secs en amandes, figues et ...	subsistances fruits secs en amandes figue et ???		1	9	169
1///Subsistances///Fruits secs, en amandes ,figues et raisins	subsistances fruits secs en amandes figue et raisin		1	10	169
1///Subsistances///Fruits secs, en amandes, figues et raisins	subsistances fruits secs en amandes figue et raisin		1	14	169
1///Subsistances///Fruits verts en Oranges et citrons	subsistances fruits verts en orange et citrons		1	7	21
1///Subsistances///Fruits verts, en oranges et citrons	subsistances fruits verts en orange et citrons		1	6	21
1///Subsistances///Fruits verts, en oranges et citrons.	subsistances fruits verts en orange et citrons		1	7	21
1///Subsistances///Huile d'Olive	subsistances huile d'olive		1	24	1580
1///Subsistances///Huile d'olive	subsistances huile d'olive		1	47	1580
1///Subsistances///Légumes	subsistances légumes		1	62	1022
1///Subsistances///Miel	subsistances miel		1	22	660
1///Subsistances///Poissons de toute sorte	subsistances poisson de toute sorte		1	59	69
1///Subsistances///Poissons de toutes sortes	subsistances poisson de toute sorte		1	10	69
1///Subsistances///Provisions de bouche réunies	subsistances provisions de bouche réunies		1	41	318
1///Subsistances///Provisions diverses	subsistances provisions diverses		1	25	447
1///Subsistances///Provisions diverses,principalement en beurre	subsistances provisions diverses principalement en beurre		1	12	447
1///Subsistances///Riz	subsistances riz		1	33	1015
1///Subsistances///Sel	subsistances sel		1	40	967
1///Subsistances///Vin de liqueurs	subsistances vin de liqueurs		1	14	369
1///Subsistances///Vins	subsistances vin		1	21	332
1///Subsistances///Vins de Bordeaux	subsistances vin de Bordeaux		1	25	614
1///Subsistances///Vins de bordeaux	subsistances vin de Bordeaux		1	20	614
1///Subsistances///Vins de liqueur	subsistances vin de liqueurs		1	6	369
1///Subsistances///Vins de liqueurs	subsistances vin de liqueurs		1	3	369
1///Subsistances///Vins divers	subsistances vin divers		1	58	588
2///Matières première///Articles réunis	matières premières articles réunis		1	19	2747
2///Matières première///Bois divers	matières premières bois divers		1	17	659
2///Matières première///Brai, goudron et résine	matières premières brai goudron et résine		1	16	45
2///Matières première///Charbons	matières premières charbon		1	5	222
2///Matières première///Cires jaune et blanche	matières premières cire jaune et blanche		1	13	43
2///Matières première///Cuirs appretés	matières premières cuirs apprêtés		1	16	42
2///Matières première///Graines de jardin	matières premières graine de jardin		1	7	391
2///Matières première///Graines de trèfle	matières premières graine de trèfle		1	8	280
2///Matières première///Graines diverses	matières premières graine diverse		1	11	400
2///Matières première///Huile de graine	matières premières huile de graine		1	8	375
2///Matières première///Pain de navette	matières premières pain de navettes		1	1	156
2///Matières première///Suif	matières premières suif		1	1	1000
2///Matières première///Tabacs	matières premières tabac		1	19	677
2///Matières premières///Articles réunis	matières premières articles réunis		1	75	2747
2///Matières premières///Bois de Iles	matières premières bois des Îles		1	8	26
2///Matières premières///Bois des iles	matières premières bois des Îles		1	17	26
2///Matières premières///Bois divers	matières premières bois divers		1	77	659
2///Matières premières///Brai, goudron et résine	matières premières brai goudron et résine		1	9	45
2///Matières premières///Brai, Goudron, Résine	matières premières brai goudron résine		1	8	45
2///Matières premières///Brai,goudron et résine	matières premières brai goudron résine		1	12	45
2///Matières premières///Bray, goudron, poix et résine	matières premières brai goudron poix et résine		1	11	11
2///Matières premières///Cendres diverses	matières premières cendre diverse		1	20	127
2///Matières premières///cendres Diverses	matières premières cendre diverse		1	7	127
2///Matières premières///Charbon	matières premières charbon		1	2	222
2///Matières premières///Charbons	matières premières charbon		1	20	222
2///Matières premières///Circes blanche et jaune	matières premières cire blanche et jaune		1	6	43
2///Matières premières///Cires blanche et jaune	matières premières cire blanche et jaune		1	9	43
2///Matières premières///Cires blanches et jaunes	matières premières cire blanche et jaune		1	5	43
2///Matières premières///Cires jaune et blanche	matières premières cire jaune et blanche		1	9	43
2///Matières premières///Cires jaune et blanche fondue et en bougies	matières premières cire jaune et blanche fondue et en bougie		1	7	8
2///Matières premières///Cuirs appretés	matières premières cuirs appretés		1	11	42
2///Matières premières///Cuirs apprétés	matières premières cuirs apprétés		1	14	42
2///Matières premières///Cuirs en poil	matières premières cuirs en poil		1	44	271
2///Matières premières///Dents d'éléphant	matières premières dents d'éléphant		1	1	246
2///Matières premières///Goudron ,poix et résine	matières premières goudron poix et résine		1	6	7
2///Matières premières///Graine de Lin	matières premières graine de lin		1	5	431
2///Matières premières///Graine de lin	matières premières graine de lin		1	7	431
2///Matières premières///Graines de diverses	matières premières graine de diverses		1	4	400
2///Matières premières///Graines de jardin	matières premières graine de jardin		1	8	391
2///Matières premières///Graines de trèfle	matières premières graine de trèfle		1	3	280
2///Matières premières///Graines diverses	matières premières graine diverse		1	7	400
2///Matières premières///Graines diverses et de lin	matières premières graine diverse et de lin		1	10	400
2///Matières premières///Houblon	matières premières houblon		1	2	254
2///Matières premières///Huile d'olive pour fabriques	matières premières huile d'olive pour fabrique		1	16	190
2///Matières premières///Huile de graine	matières premières huile de graine		1	6	375
2///Matières premières///Huile de grains	matières premières huile de grain		1	4	375
2///Matières premières///Huile de poisson	matières premières huile de poisson		1	22	981
2///Matières premières///Huile de poissons	matières premières huile de poisson		1	6	981
2///Matières premières///Huiles d'Olive pour fabriques	matières premières huile d'olive pour fabrique		1	4	190
