item,group,status,beforeItems,afterItems,obsolete,imprimatur
eau de mélisse,[0],ambiguous,[Eau ; de melice] [Eau ; de Melice] [Eau ; de mélice] [Eau ; de melisse] [Eau ; de mélisse] [Eau ; de milice] [Eau ; de Milice] [Eau de melice] [Eau de Mélice] [Eau de melisse] [Eau de Milice] [Eau de milisse] [Eau ; de metier],[Eau ; de melice] [Eau ; de Melice] [Eau ; de mélice] [Eau ; de melisse] [Eau ; de mélisse] [Eau ; de milice] [Eau ; de Milice] [Eau de melice] [Eau de Mélice] [Eau de melisse] [Eau de Milice] [Eau de milisse] [Eau ; de metier],no,
eau de limon,[0],ambiguous,[eau de limon],[eau de limon],no,
eau de lavande,[0],ambiguous,[Eau ; de larmes] [Eau ; de lavande] [Eau ; de Lavande] [Eau de lavande] [Eau de Lavande],[Eau ; de larmes] [Eau ; de lavande] [Eau ; de Lavande] [Eau de lavande] [Eau de Lavande],no,
eau de la Côte,[0],ambiguous,[Eau de la côte],[Eau de la côte],no,
eau de genièvre,[0],ambiguous,[Eau ; de genievre] [Eau ; de genièvre] [Eau ; genievre],[Eau ; de genievre] [Eau ; de genièvre] [Eau ; genievre],no,
eau de fleurs d'orange,[0],ambiguous,"[Eau , de fleur d'orange] [Eau ; de fl d'orange] [Eau ; de fl. D'orange] [Eau ; de fl.d'orange] [Eau ; de fleur ; d'orange] [Eau ; de fleur d'orange] [Eau ; de fleur d'oranges] [Eau ; de fleurs ; d'orange] [Eau ; de fleurs d'orange] [Eau de Fleur d'horange] [eau de fleur d'orange] [Eau de fleur d'orange] [Eau de Fleur d'Orange] [Eau de fleur d'oranger] [eau de fleurs d'orange] [Eau; de fleur d'orange] [Eau; De fleur d'orange] [Eaux de fleur d'orange] [Eau ; de fleur d'oranger] [Eau ; de Fleurs ; d'oranger]","[Eau , de fleur d'orange] [Eau ; de fl d'orange] [Eau ; de fl. D'orange] [Eau ; de fl.d'orange] [Eau ; de fleur ; d'orange] [Eau ; de fleur d'orange] [Eau ; de fleur d'oranges] [Eau ; de fleurs ; d'orange] [Eau ; de fleurs d'orange] [Eau de Fleur d'horange] [eau de fleur d'orange] [Eau de fleur d'orange] [Eau de Fleur d'Orange] [Eau de fleur d'oranger] [eau de fleurs d'orange] [Eau; de fleur d'orange] [Eau; De fleur d'orange] [Eaux de fleur d'orange] [Eau ; de fleur d'oranger] [Eau ; de Fleurs ; d'oranger]",no,
eau de feuilles d'orange,[0],ambiguous,[Eau; De feuilles d'orange] [Eau; de feuille d'oranger],[Eau; De feuilles d'orange] [Eau; de feuille d'oranger],no,
eau de Cordoue,[0],ambiguous,[Eau ; de cordoue] [Eau ; de Cordoue],[Eau ; de cordoue] [Eau ; de Cordoue],no,
eau de composition,[0],ambiguous,[Eau ; de composition],[Eau ; de composition],no,
eau de Cologne,[0],ambiguous,[Eau ; de cologne] [Eau ; de Cologne] [eau de Cologne] [Eau de Cologne],[Eau ; de cologne] [Eau ; de Cologne] [eau de Cologne] [Eau de Cologne],no,
eau de coclearia,[0],ambiguous,[Eau ; de coclearia] [Eau de Coclaria] [Eau de coclearia],[Eau ; de coclearia] [Eau de Coclaria] [Eau de coclearia],no,
eau de citronnelle,[0],ambiguous,[Eau ; de citronelle] [Eau de citronelle] [Eau de citronnelle] [Eau de Citronnelle],[Eau ; de citronelle] [Eau de citronelle] [Eau de citronnelle] [Eau de Citronnelle],no,
eau de citron,[0],ambiguous,[Eau ; de citron] [Eau ; de Citrons] [eau de citron],[Eau ; de citron] [Eau ; de Citrons] [eau de citron],no,
eau de Charente,[0],ambiguous,[Eau de charante],[Eau de charante],no,
eau de cerise,[0],ambiguous,[Eau ; de cerise] [Eau ; de cerises] [Eau ; de cerize] [Eau ; de cerizes] [Eau de cerise] [Eau de cerises],[Eau ; de cerise] [Eau ; de cerises] [Eau ; de cerize] [Eau ; de cerizes] [Eau de cerise] [Eau de cerises],no,
eau de cèdre,[0],ambiguous,[eau de cedre],[eau de cedre],no,
eau de cédrat,[0],ambiguous,[Eau ; de cedra],[Eau ; de cedra],no,
eau de Carmes,[0],ambiguous,[Eau ; de Carme] [Eau ; de Carmes],[Eau ; de Carme] [Eau ; de Carmes],no,
eau de cannelle,[0],ambiguous,[Eau ; de canelle] [Eau de canelle],[Eau ; de canelle] [Eau de canelle],no,
eau de Bussingue,[0],ambiguous,[Eau ; de Bussing] [Eau ; de Bussingne] [Eau ; de Bussingue],[Eau ; de Bussing] [Eau ; de Bussingne] [Eau ; de Bussingue],no,
eau de bronze,[0],ambiguous,[Eau de bronze],[Eau de bronze],no,
eau de Bristol,[0],ambiguous,[Eau ; de Brissol] [Eau ; de Bristol],[Eau ; de Brissol] [Eau ; de Bristol],no,
eau de bergamote,[0],ambiguous,[Eau ; de Bergamotte] [Eau ; de bergamottes],[Eau ; de Bergamotte] [Eau ; de bergamottes],no,
eau de Barbade,[0],ambiguous,[Eau ; de Barbades] [Eau ; des barbades] [Eau ; des Barbades] [Eau de Barbade],[Eau ; de Barbades] [Eau ; des barbades] [Eau ; des Barbades] [Eau de Barbade],no,
eau d'odeur,[0],ambiguous,[Parfumerie ; eaux d'odeur],[Parfumerie ; eaux d'odeur],no,
