item,group,,,afterItems,obsolete,imprimatur
agaric et amadouvier,2,,,[Terre du Faubourg Saint Antoine],no,
agaric gros,2,,,[terre dite souda],no,
agate,6k,,,[Terre ; de verrerie] [Terres de verrerie],no,
agate fine,6k,,,[Terre ; de veronne] [Terre de veronne] [Terre de Verrone] [Terre; de Veronne],no,
agate montée,8,,,[terre de Rouen],no,
agneaux,0a,,,[terre de Rome],no,
agneaux et cabris,0a,,,[Terre ; de rocou],no,
agnelines et crottelins,2,,,[Terre ; de Pozolane],no,
agoutals,6b,,,[Terre ; de porcelaine] [terre de porcelaine] [Terre de porcelaine] [Terre; de porcelaine] [Terse ; de porcelaine],no,
agoutals de bois,6b,,,[Terre ; de plomb] [Terre de plomb],no,
agrément,6i,,,[Terre de pipe] [Terre de pipes],no,
agrément au quart,6i,,,[terre de mirthe],no,
agrément d'argent,6i,,,[terre de mulardeau],no,
agrément d'or,6i,,,[Terre ; de monnoye],no,
agrément d'or et d'argent,6i,,,[Terre ; de mine] [Terre ; de Mine],no,
agrément de fil,6i,,,[Terres de marne et autres engrais] [Terre de marne et autres pour engrais],no,
agrément de fil et de soie,6f,,,[Terre de marne],no,
agrément de fleur,9c,,,[Terre ; d'hongrie],no,
agrément de soie,6f,,,[Terre ; de grez] [Terre de gray] [Terre de Gray] [Terre de Grez] [Terre en grais],no,
agrément de soie et d'argent,6f,,,[Terre de graide],no,
agrément de soie et fil,6f,,,[Terre de foulon],no,
agrément de soie or et argent faux,6f,,,[Terre ; de creuset],no,
agrès,7,,,[Terre ; de cologne] [Terre ; de Cologne] [terre de cologne],no,
agrès de navire,7,,,[Terre ; de ciment],no,
agrès de navire en voile,7,,,[Terre ; de Boulogne],no,
agrès de navire et jeux de voile,7,,,[Terre ; de Bologne],no,
agrès et apparaux,7,,,[Terre ; d'orfebre],no,
agrès et voiles de navire,7,,,[terre d'ombre de Cologne et de Roucou],no,
aigles,0a,,,[Drogues ; pour la peinture et la teinture ; terre ; d'ombre] [Terre ; d'ombre] [Terre ; dombre] [terre d'ombre] [Terre d'ombre] [Terre d'Ombre] [Terre D'ombre] [terre d'orcre] [Terre dOmbre] [Terre; d'ombre] [Terre; D'ombre] [Terse ; d'ombre],no,
aigre de cidre,,,,[Terre ; d'emery],no,
aigre de vitriol,5,,,[terre commune],no,
aigrettes,8,,,[Terre ; blanche] [Terre; Blanche],no,
aigrettes de fil d'or et d'argent,8,,,[Terre a teindre],no,
aigrettes de soie,8,,,[Terre à raffiner le sucre],no,
aigrettes de soie et argent,8,,,[Terre ; à potier] [Terre ; a pottier] [Terre ; à pottier] [Terre ; à pottiers] [Terre ; à potties] [terre a pottier] [Terre a pottier] [terre à pottier] [Terre; à pottier] [Terre; à pouier] [Terres ; à pottier],no,
aigrettes et bavolets,8,,,[Terre ; à poterie],no,
aiguières d'étain,6j,,,[terre à faire pippes] [Terre ; à pipe] [Terre ; a pipes] [Terre ; à pipes] [Terre ; à piques] [Terre a pipes] [terre à pipes] [Terre; à pipes] [Terres a pipes] [Terse ; à pipes],no,
aiguilles,6j,,,[Terre ; à foulon] [Terre ; à Toulon] [Terre; à fouton],no,
aiguilles à boîtes,6j,,,[terre à pottier et à fouler],no,
aiguilles à coudre,6j,,,[terre à fouler],no,
aiguilles à ralingue,7,,,[Terre ; à fayance] [Terre a fayance] [Terre a fayence] [Terre a faire fayence] [Terre ; de fayance] [Terre de fayance] [Terre de fayence],no,
aiguilles à tabac,6j,,,[Terre ; a ciment] [Terre ; à ciment] [Terse ; à ciment],no,
aiguilles à toile,6j,,,[Terre ; à bâtir] [Terre; à batir],no,
aiguilles à voile,7,,,[Terre a barils],no,
aiguilles d'emballage,6j,,,[Terre ; ?],no,
aiguilles epars de sapin,9b,,,[Terre] [Terres] [Terres de toutes sortes] [Terre ; diverse] [Terres ; diverses] [Terres diverses],no,
aiguilles et épingles,6j,,,[Térébantine ; de venise] [Terebantine de Venise] [Terebentine ; de venise] [Therebantine de Venise] [Thérébentine ; de Venise],no,
aiguilles grosses,6j,,,[Teribantine d'...tain],no,
ailes,9c,,,[Terebentine ; commune] [Thérébentine ; commune],no,
ailes de fléaux,6j,,,[Drogueries ; pour peinture et teinture ; thérébenthine] [Drogue ; pour la peinture et la teinture ; térébenthine] [Drogue ; pour la peinture et la teinture ; Thérébentine] [Drogues ; pour la peinture et la teinture ; térébenthine] [Drogues ; Pour la peinture ; Térébanthine] [Drogues ; Pour la peinture ; Terebenthine] [Drogues ; thérébenthine] [Drogues ; therebentine] [Drogues terebentine] [Terbenthine] [Terebanthine] [terebantine] [Terebantine] [Térébantine] [terebenthine] [Terebenthine] [Térebenthine] [Térébenthine] [Terebentine] [Térébentine] [Terre Bentine] [therebantine] [Therebantine] [Therebanttine] [Therebenthine] [Thérébenthine] [therebentine] [Therebentine] [ThéreBentine] [Thérébentine] [Therebentines] [therebentinne] [Théreses de taffetas],no,
ailes de moulins,7,,,[Tarte glan],no,
ails,0a,,,[Drogueries ; pour peinture et teinture ; tartre] [Drogues ; Pour la teinture ; Tartre] [Drogue ; pour la peinture et la teinture ; tartre] [Drogues ; pour la peinture et la teinture ; tartre] [Drogues ; pour la peinture et teinture ; tartre] [Drogues ; pour peinture et teinture ; tarta] [Drogues ; pour peinture et teinture ; tartre] [Drogues; Pour peinture et teinture; Tartre] [Drogues; Pour peintures et teintures; Tartre] [Tarta] [tartre] [Tartre],no,
ails à fauches,9c,,,[Talque],no,
ails blancs à casser,0a,,,[Laine ; en surge],no,
aimant,9c,,,[Suye ; de cheminée] [suye de cheminées],no,
ains à pêcher,8,,,[Drogueries ; médécinales ; storax] [Drogueries médicinales storax] [Drogues ; Composées pour ma médecine ; Storax] [Drogues ; composées Pour medecine ; Storax] [Drogues ; médécinales ; storax] [Drogues ; Médécinales ; Storax] [Drogues ; medicinales ; storax] [Drogues ; médicinales ; storax] [Drogues; Médicinales; Storax] [Estorax] [Storaix] [storax] [Storax] [Stovax],no,
ains et lignes à pêcher,8,,,[Stafis ; aigre] [Stafisagre] [Stafisaigne] [Stafisaigre] [Stafisnagre],no,
airain,6j,,,[Drogueries médicinales squine] [Drogues ; médécinales ; squine] [squine] [Squine],no,
airain non ouvré,6j,,,[Spinenardi],no,
ajustements,8,,,[Spicanard] [Spicanardi] [spicanardy] [Spicanardy],no,
ajustements de femme,8,,,[Spicajudica],no,
ajustements de soie,8,,,[Spicacellica] [Spicaceltica] [Spicaceltina] [Spicacettica],no,
alambics,7,,,[Sperme ; de baleine] [sperme de Baleine] [Sperme de baleine] [Sperme de Baleine],no,
alambics d'étain,7,,,[Drogues; Sperme],no,
alambics de cuivre,7,,,[Sperma caeti] [Sperma certi] [Spermaceti] [Spermacety] [Spermaetty],no,
alambics de terre,7,,,[Souffre ; en fleur] [Souffre en fleur] [Souffre en fleurs] [Souffre; En fleur] [Soufre ; en fleur],no,
albâtre,2,,,[Souffre ; en fanon] [Souffre en canons] [Souffre en fanon] [Souffre en Fanon] [Souffre; En fanon] [Souffres ; en fanon],no,
albâtre et marbre brut et poli,9b,,,[Souffre ; en canon] [Souffre ; en canons] [souffre en canon] [Souffre en canon] [Souffre en Canon] [Souffre; En canon] [Soufre ; en canon],no,
alènes,6j,,,[Souffre ; ?],no,
alibanies,6g,,,[souffre] [Souffre] [Souffré] [soufre] [Soufre] [Soufres] [Soulphre] [Souffre ; divers],no,
alizari,5,,,[Soucis] [Soucy],no,
alizari et garance,5,,,[Soie diverse ; par Marseille] [Soies diverses par Marseille] [Soie par Marseille],no,
alkermés,2,,,[Soie greze ; par Marseille],no,
allaya,6i,,,[Soye greze de Provence],no,
alleaux,???,,,[Soye ; graise] [Soye ; graize] [Soye ; greze] [Soye greze],no,
allemande de poil,6e,,,[Soye ; exporté de Marseille],no,
allumettes,8,,,[Soye ; en masse],no,
allumettes à vin,8,,,[Soie diverse ; en strasse] [Soies en strasse] [Soye ; en strasse] [soye estrasse] [soye etrasse],no,
allumettes de coton,8,,,[Soye ; en strase et cocons],no,
allumettes de mêche soufrée,8,,,[Soie ; en cocon] [Soye ; en cocou],no,
allumettes droguées,8,,,[Soye; En bourre],no,
allumettes épicée,8,,,[Soie ; écrue] [Soye ; écru] [Soye ; ecrue] [Soye ; ecruë] [Soye ecrue],no,
allumettes opérées et soufrées,8,,,[Soye ; des Pais Etrangers],no,
allumettes soufrées,8,,,[Marchandises provenant du commerce français dans l'Inde ; soye] [Soie ; des indes] [Soye ; des Indes],no,
almagro ou crayon rouge,8,,,[Soye ; de sanglier],no,
almanachs,8,,,[2///Matières premières///Soie de porc et sanglier] [Soies de porc et de sanglier],no,
almanachs brochés,8,,,[Soye ; de porc ?],no,
almanachs en blancs,6c,,,[Soie ; de porc] [Soye ; de poc] [Soye ; de porc] [soye de porc] [Soye de porc] [soye de porcs] [Soye de pos],no,
almanachs enjolivés,8,,,"[Soye ; de Nankin] [Soie ; Nankin] [Soye ; mankin] [Soye ; nankin] [Soye ; Nankin] [Soye ; NanKin] [Soye nankin] [Soye Nankin] [Soye, Ilankin]",no,
almanachs reliés,8,,,[Soye ; crue] [Soye ; cruë] [Soye ; crüe] [soye crue] [Soye crue] [soye crûe] [soye crüe] [soye crues] [soye crües] [Soye; crüe] [soyes crüe] [soyes crues] [soyes crües] [Soyes crües] [Soÿes crües] [soyes crus],no,
aloès,2,,,[Soie ; ordinaire],no,
aloès cabalin,2,,,[soye cocons perus],no,
aloès commun,2,,,[Soyes ; Cocons],no,
aloès moyen,2,,,[Soye ; Canton],no,
aloiset,???,,,[1///Matières première///Soie] [1///Matières premières///Soie] [Soie] [Soies] [Soya] [Soye] [Soye;] [Soie ; diverse] [Soie diverse] [Soies diverses] [Soye ; diverse] [Soye ; Diverses] [Soyes ; diverses] [Soyes ; Diverses],no,
alose,0a,,,[sivadille] [Sivadille],no,
alose fumée,0a,,,[Drogues ; Médecinales en plantes ; Simarouba],no,
alose salée,0a,,,[Semacouba] [Simacouba] [simanombra] [simanombre] [Simaroba] [Simaroubas] [Sinacoubas] [Siramonbas],no,
alouettes,0a,,,[Serpentine],no,
alpargate,8,,,[Drogues ; médecinales ; sené ; en grabau] [sené en grabeau] [Sené en grabeau],no,
alphabets,8,,,[Séné en folicules],no,
alpiste,2,,,[Sene] [sené] [Sené] [Séné] [Senné] [Drogueries ; médécinales ; séné] [Drogueries médicinales séné] [Drogueries ; séné] [Drogues ; Medecinales en plantes ; Sené] [Drogues ; Médecinales en plantes ; Séné] [///Drogues midicinales///Sené] [///Drogues médicinales///Séné] [///Drogues Médicinales///Séné] [Drogues ; médecinales ; sené] [Drogues ; Médécinales ; Sené] [Drogues ; médécinales ; séné] [Drogues ; Médécinales ; Senée] [Drogues ; medicinales ; séné] [Drogues ; médicinales ; sené] [Drogues ; médicinales ; séné] [Drogues; Médicinales; Sené] [Drogues ; séné],no,
alquifoux,2,,,[semencine] [Semencine] [Semenime],no,
alquifoux et mine de plomb,2,,,[Semence ; froide] [Semence ; froides] [semence froide] [Semences ; froides] [Semences froides],no,
alquifoux mine de plomb ou graphite,2,,,[Drogueries médicinales semencontra] [Drogues ; Médécinales ; Semen contra] [Drogues ; médécinales ; semens contra] [Semen ; cantra] [Semen ; contra] [semen contra] [Semen contra] [Semen coutra] [Semen-contra] [Semen-coutra] [semencontra] [Semencontra] [Semenecontra] [Sernen contra],no,
alquifoux ou mine de plomb,2,,,[Sel ; vieux],no,
alquitra,2,,,[Sel ; ordinaire] [Sel ordinaire],no,
aluchiabanis,???,,,[Sel ; gris] [sel gris] [Sel gris],no,
alun,5,,,[Drogues ; Chimiques ; Sel gem],no,
alun commun,5,,,[Sels ; en grabeau],no,
alun de roche,5,,,[Sel ; geme] [Sel ; géme] [Sel ; gemme] [sel geme] [Sel geme] [sel gemme] [Sel gemme] [Sel; gemme] [Sels gemme],no,
alun de Rome,5,,,[boue de sel],no,
alun de Rouen,5,,,[Sel ; du Croisic] [Sel du Croisic] [Sels du croisic] [Sels du Croisic],no,
alun de Surde,5,,,[sel de st Huber ou de Portugal],no,
alun du Levant,5,,,[Sel de Saint Gilles],no,
alun en dracy,5,,,[sel de Rocq],no,
alun gâté,5,,,[Sel ; de roche],no,
amadou,2,,,[Sel ; de Rez] [Sel de Ré] [Sel de rez] [Sel de Rez] [Sel de Réz],no,
amadou et agaric amadouvier,2,,,[Sel de mer et de salins],no,
amandes,0a,,,[Sel ; de mer] [Sel de mer],no,
amandes à la praline,0a,,,[Sel de marenne] [Sel de Marenne] [Sel de marennes] [Sel de Marennes] [Sel de marrennes],no,
amandes amères,0a,,,[Sel ; de lorraine],no,
amandes cassée,0a,,,[Sel de lait] [Sels de lait],no,
amandes cassées,0a,,,[Sel ; de gomme] [Sel ; de jeme] [sel de gemme],no,
amandes courtes,0a,,,[Sel ; de Franche Comté],no,
amandes douces,0a,,,[Sel de Bretagne],no,
amandes en coque,0a,,,[Sel ; de Bourgneuf] [Sel de Bourgneuf] [Sels de Bourgneuf],no,
amandes et figue et raisin,0a,,,[sel de boue],no,
amandes et pelures et prunes et raisin,0a,,,[Sel d'ollonne] [Sel d'olonne],no,
amandes et pruneaux,0a,,,[Sel dolleron de Ré],no,
amandes et raisin sec,0a,,,[Sel ; d'Oleron] [Sel d'oleron] [Sel d'olleron] [Sel dolleron],no,
amandes et raisin sec et savon,0a,,,[sel d'Espagne],no,
amandes et savon,0a,,,[Sel ; d'Angleterre] [sel d'Angleterre] [Sel d'Angleterre] [Sel; d'angleterre] [Sels ; d'angleterre],no,
amandes et sucre,0a,,,[Sel ; blanc] [sel blanc] [Sel blanc],no,
amandes et vert-de-gris,9b,,,[Drogues ; chimiques et métalliques ; sels ; divers] [Drogues; Chimiques; Sel] [Drogues ; Chimiques ; Sels divers] [sel] [Sel] [Sels divers composés] [1///Subsistances///Sel] [Subsistances ; sel],no,
amandes longues,0a,,,[Saumare] [saumure] [Saumure] [saumures] [Saumurre],no,
amandes sèches,0a,,,[Sauge],no,
amandes sèches et figue sèche et ???,0a,,,[Salsafra] [salsaphra] [Sassafras] [saxafra] [Saxafra] [saxafrac] [Saxafrais] [Saxafras] [Saxafrax] [saxsafra],no,
amandes sèches et figue sèche et raisin sec,0a,,,[Sapins ; petits],no,
amaril,???,,,[Sapin] [Sapins],no,
ambrain à grande barrique,???,,,[Drogues ; médicinales ; sapan],no,
ambre,2,,,[sandal moulu] [Sandal moulu],no,
ambre brut,2,,,[Santal ; citrin] [Santal citrin] [sandal sitrin],no,
ambre carabé,2,,,[Santal Blanc],no,
ambre et corail,2,,,[Sandal ; blanc] [Santal ; blanc],no,
ambre gris,2,,,[sandal] [Sandal] [Santal],no,
ambre jaune,2,,,[Sang dragon ; fin] [Sang dragon fin],no,
ambre moulu,2,,,[Drogues ; Composées pour ma médecine ; Sang dragon] [Drogues ; composées Pour medecine ; Sang dragon] [Sang-dragon],no,
amer,0a,,,[sang de dragon commun],no,
amer de laine,6e,,,[Sang ; de dragon] [sang de dragon] [Sang de dragon] [Sang de Dragon],no,
amertis,6g,,,[Sang ; bouquetin] [Sang ; de bouquetin],no,
ami de toilé,???,,,[Sang],no,
amidon,5,,,[2///Matières premières///Souffre et salpetre] [2///Matières premières///Soufre et salpetre] [2///Matières premières///Soufre et Salpetre] [Soufre et salpètre] [Soufre et salpêtre],no,
amidon en grains,2,,,[Marchandises provenant du commerce français dans l'Inde ; salpetre] [Marchandises provenantes du commerce français dans l'Inde : Salpêtre],no,
amidon et poudre à poudrer,5,,,[Salpestre] [salpetre] [Salpetre] [salpétre] [Salpétre] [Salpètre] [salpêtre] [Salpêtre] [selpetre] [Selpetre] [selpêtre] [Selpêtre],no,
ammoniac,2,,,[Marchandises provenant du commerce français dans l'Inde ; Sagou],no,
ammoniac et sel,2,,,[sago] [Sagou] [Sagoul] [Sagous] [Sagout],no,
ammonium,2,,,[Etoffes sagne] [sagne] [Sagne],no,
anabasse,???,,,[Sablerie],no,
anacardes,2,,,[sable de verre],no,
anacoste,6e,,,[Sable ; de mer],no,
ananas,0b,,,[Sable blanc],no,
ananas confit,0b,,,[Sable ; à mouler],no,
ananas et pommes de grenade,,,,[Sable a fondeur],no,
ananas planté,2,,,[sable] [Sable],no,
anatomie,8,,,[Marchandises provenant du commerce français dans l'Inde ; Rotins],no,
anches de tonneaux,6b,,,[Rotin] [Rotins] [Rottin] [Rottins],no,
anchois,0a,,,[Poissons ; rogues] [Rogues de poisson] [Rogues de poissons] [Rogues de poissons de toutes sortes],no,
anchois et boutargue,0a,,,[Rognes ; de morue] [Rognes de morue] [Rognes de Morue;] [rogue de Morue] [Rogue de morue] [Rogue de Morue] [Rogue de Morue;] [Rogues ; de morue] [Rogues ; de morüe] [Rogues de morue] [Rogues de Moruë] [Rogues de Morue;] [Roques ; de morue] [Roques ; de morüe] [Roue de morue] [Rogues morue],no,
anchois et sardes,0a,,,[Poissons de mer en rogue de maquereaux],no,
anchois et sardines,0a,,,[Rognes] [rogue] [Rogue] [rogues] [Rogues],no,
anchois mariné,0a,,,[Rognures ; de peau] [Rognûres ; de peau] [Rognures ; de peaux] [rognures de peaux] [Rognures; de peaux],no,
anchois mariné et salé,0a,,,[rognures de parchemins en valeur],no,
anchois salé et mariné,0a,,,[Rognures ; de gans],no,
anchois salés,0a,,,[rognures de fer blanc],no,
anchois salés et marinés,0a,,,[rognures de cuirs et de peaux],no,
ancres,7,,,[rognures de cornes et de parchemins],no,
ancres de chaudon,???,,,[rognures de cartes et de papier],no,
ancres de fer,7,,,[Rognures ; de carterie],no,
ancres de fer à chaudrons,???,,,[Rognures ; de c..],no,
ancres et grappins de fer,7,,,[Rognures] [Rognure diverses] [Rognures ; diverses] [Rognures diverses],no,
ancres gravelées,???,,,[Rognons ; de peaux],no,
ancres vides,9c,,,[Rodon],no,
ancres vieilles vides,9c,,,[Rocou des Isles],no,
andolium,0a,,,[Denrées Coloniales ; Roscou] [Denrées des Isles Françaises de l'Amérique : Rocou] [Denrées des îles rocou] [Drogues ; Pour la teinture ; Nocou] [Drogue ; pour la peinture et la teinture ; rocou] [Drogues ; pour la peinture et la teinture ; rocou] [Drogues ; pour peinture et teinture ; rocou] [Drogues; Pour peintures et teintures; Rocou] [Marchandises de Colonies françaises de l'Amérique ; Rocou] [3///Matières première///Rocou] [3///Matières premières///Rocou] [Roco] [rocou] [Rocou] [Roucou] [3///Suite des matières premières///Rocou],no,
andouilles,0a,,,[roche de diable],no,
andouillette,0a,,,[Roche de corne],no,
ânes,0a,,,[Verres en rocaille] [Rocaille ; de verre] [Rocaille de verre] [Rocaille ; de verrre] [Rocailles ; de verre] [Rocailles de verre],no,
ânes et ânesses,0a,,,[rocaille de corail],no,
ânes et mulets,0a,,,[Rocaille] [Rocailles],no,
angélique,2,,,[Chanvre; Rite de chanvre],no,
angélique du Rozème,2,,,[Raisine scamoneé] [Résines ; Scammonée] [Résines ; Scamonée] [Résineux ; Scammonée],no,
anguilles,0a,,,[Résineux exotiques ; Scammonée],no,
anguilles et truites,0a,,,[Térébenthine et résine],no,
anguilles fraîches,0a,,,[Raisine ; de scamonée],no,
anguilles salées,0a,,,[Drogues ; composées Pour medecine ; Résine de Jalap] [Raisin de jalap] [Raisine ; de jalap] [Raisine ; de Jalap] [Raisine de jalap] [Raisine de jalop] [Raisine;de Jalap] [Raisne de Jalap] [Résine ; de jalap] [Resine de jalop] [Resme de jalap] [Résineux ; Jalap],no,
anille,6j,,,"[Bray, goudron, etc. ; résine] [Rasine] [Rezine] [Raisine] [Resine] [Résine]",no,
animaux,0a,,,[Drogues ; médicinale ; remèdes ; sercé ; en feuilles],no,
anis,0a,,,[Drogues ; médecinales ; réglisse ; sur bâne],no,
anis et rac et rhum etc.,1,,,[Reguelisse ; par balles de 150 livres],no,
anis et sucre,0a,,,[Réglisse ; moulu],no,
anis étoilé,0a,,,[Reglisse ; en poudre],no,
anis vert,0a,,,[Drogueries ; médécinales ; réglisse ; en bois] [Drogues ; médécinales ; réglisse ; en bois] [Drogues ; médicinales ; reglisse ; en boits],no,
anisette,1,,,[Drogueries ; médécinales ; réglisse] [Drogues ; Medecinales en plantes ; Reglisse] [Drogues ; Médecinales en plantes ; Réglisse] [Drogues ; Médécinales ; Reglisse] [Drogues ; médécinales ; réglisse] [Drogues ; Médécinales ; Réglisse] [Drogues ; médicinales ; réglisse] [Drogues ; medicinales ; reglisses] [Racines ; Réglisse] [reglise] [Reglise] [Réglise] [reglisse] [Reglisse] [Réglisse] [Reglissse] [Reguelisse],no,
anisette au fiasque,1,,,[Redon],no,
anisette de Bordeaux,1,,,[Ramure ; de sapin] [Ramures ; de sapin] [Ramures de sapin],no,
anneau de fer,6j,,,[Ramures],no,
anneaux de cuivre,6j,,,[Lin ; en rame] [Lin ; en rames] [lin en rame] [Lin en rame] [lin en rames] [Lin en rames],no,
ânon,0a,,,[Radis dictame],no,
anspects,7,,,[Raclure ; de corne] [Raclure de corne] [Raclures ; de cornes] [Raclures de cornes],no,
anspects de bois,7,,,[Racture de carnet],no,
anspects de sapin,7,,,[Racines ; Rhubarbe],no,
antchibanis,???,,,[Racines ; Jalap],no,
antennes et mâts de bateaux,7,,,[Racines ; du pais],no,
antimoine,2,,,[racine de zedoar],no,
antimoine cru,2,,,[Racines ; de violettes],no,
antofle,0b,,,[Racines ; de turbit],no,
antofle de girofle,0b,,,[Racines ; de salsepareille],no,
apier,6b,,,[Racine ; de rutum],no,
apios,2,,,[Racine ; de ris] [Racines ; de ris] [Racines ; de rix] [Racines ; de riz] [Racines; de ris],no,
apprêtée à toiler les livres,6h,,,[Racine ; de rhubea],no,
apprêtée pour parchemins,6c,,,[Racines ; de pierrestre] [Racines ; de pirrestre],no,
arak,1,,,[Racine de persil],no,
arbalètes,8,,,[racine de la chine],no,
arbalètrrie et cartes marines,8,,,[Racine ; de jalap] [Racine ; de Jalap] [Racine de jalap] [Racine de Jalop] [Racine de Jalops] [Racines ; de jalap] [Racines ; de Jalap],no,
arbres,2,,,[Racines ; de guimauve],no,
arbres à fruits,2,,,[Racines ; de galanga],no,
arbres à planter,2,,,[Racine de dictanne] [Racines ; de dictam],no,
arbres d' ???,2,,,[racines de calamus],no,
arbres d'auban,2,,,[Racines ; de brionc],no,
arbres de sapin,2,,,[Drogue ; pour la peinture et la teinture ; racine de ...],no,
arbres et arbrisseaux,2,,,[Racines ; d'orties],no,
arbres et arbrisseaux à fruits,2,,,[Racine ; d'Espagne],no,
arbres et arbrisseaux sauvages,2,,,[Racine ; d'arcanettes] [Racines ; d'arcanette] [Racines d'arcanetes] [Racines d'arcanette] [Racines; d'arcanettes],no,
arbres et arbustes,2,,,[Racine ; d'angleterre],no,
arbres et plants,2,,,[Racine ; d'angelique] [Racine ; d'angélique] [Racine d'angelique] [Racine d'angeliquz] [Racines ; d'angelique] [Racines ; d'angélique] [Racines d'angelique] [Racines; d'angelique] [Racinne ; d'angelique],no,
arbres fruitiers,2,,,[Drogue ; pour la peinture et la teinture ; racine d'.....],no,
arbres marronniers à planter,2,,,[Drogues ; Medecinales en plantes ; Racines diverses] [Drogues ; Médécinales ; Racines diverses] [Drogues ; pour peinture et teinture ; racine] [Racines ; autres] [Racines non dénommées],no,
arbres tilleul,2,,,[quinquina en grabeau],no,
arbrisseaux,2,,,[Marchandises provenantes du commerce français dans l'Inde : Quinquina],no,
arbustes,2,,,[Drogueries ; médécinales ; quinquina] [Drogueries médicinales quinquina] [Drogueries ; quinquina] [Drogues ; Medecinales en plantes ; Quinquina] [Drogues ; Médecinales en plantes ; Qumquina] [///Drogues médicinales///Quinquina] [///Drogues Médicinales///Quinquina] [///Drogues midicinales///Quinquina] [Drogues ; médecinales ; quinquina] [Drogues ; médécinales ; quinquina] [Drogues ; Médécinales ; Quinquina] [Drogues ; medicinales ; quinquina] [Drogues ; médicinales ; quinquina] [Drogues ; quinquina] [Quincuina] [quinquina] [Quinquina] [Quiquina] [Qunquina],no,
arcanette,0a,,,"[gueues, pennes et noppes]",no,
arcanson,5,,,[queue de renard et écureuil] [queues de renard et ecureuil],no,
arcanum duplicatum,???,,,[Peaux ; queue de rat musquet],no,
archets de violons,8,,,[Preillons ; à faire colle],no,
archiabanis,???,,,[Poussière ; de vitriol],no,
arçons de bas de bois,7,,,[Poussière ; de terre],no,
