product,orthographic_normalization,note
Quarts de Nonante,quart ; de nonante,
Potterie de Grès ; barbançons,poterie ; de grès ; barbançon,"cnrtl.fr : GRES : Roche sédimentaire d'origine détritique, formée de grains agglomérés par un ciment naturel siliceux, calcaire ou ferrugineux, donnant un ensemble à la dureté et à la cohésion variable, mais généralement assez dur et compact, u"
Potterie de Grès,poterie ; de grès,"cnrtl.fr : GRES : Roche sédimentaire d'origine détritique, formée de grains agglomérés par un ciment naturel siliceux, calcaire ou ferrugineux, donnant un ensemble à la dureté et à la cohésion variable, mais généralement assez dur et compact, u"
Pompal,pompal,
Pomelles a voiliers,pomelle ; à voiliers,
Plies seches,plie ; sèche,
Planches de sapin ; de 7 a 10 pieds,planche ; de sapin ; de 7 à 10 pieds,
Pirestre,pyrethre,"Encyclopédie, Diderot & d'Alembert : PYRETHRE, s. f. (Botan. exot.) On trouve trois racines sous le nom de pyrethre chez les droguistes; l'une est de la longueur & de la grosseur du doigt, en dehors d'un noir roussâtre, blanche en dedans, d'un"
Pignons d'Inde,pignon ; d'Inde,
Pelles ferrées,pelle ; ferrée,
Peaux de loup ; cervier,peau ; de loup ; cervier,
Peaux de loup ; de bois,peau ; de loup ; de bois,
Naukinel,naukinel,
Moulins a sucre,moulin ; à sucre,
Moulin a mahus,moulin ; à mahus,
Mouchoirs bleus,mouchoir ; bleu,
Manchettes d'acier,manchette ; d'acier,
Masses,masse,
Marbres a joüer,marbre ; à jouer,
Indes flottante,inde ; flottante,
Huile de sein,huile ; de sein,
Huile de scorpion,huile ; de scorpion,
Huile de girofle,huile ; de girofle,
Gaines de couteaux,gaine ; de couteau,
Graine de foin,graine ; de foin,
Gomme keraque,gomme ; keraque,
Gomme de Cèdre,gomme ; de cèdre,
Gomme ammoniac,gomme ; ammoniac,
Gomme adragant,gomme ; adragante,
Galanga,galanga,
Fromages de hollande,fromage ; de Hollande,
Filasse aprêtée,filasse ; apprêtée,
Fil a gargousses,fil ; à gargousse,
Etain en blues,étain ; en blues,
Esprit de Coclearia,esprit ; de coclearia,
Eau de Cologne,eau ; de Cologne,
Dez de leton,dé ; de laiton,
Crickes,crick,
Crussets,crusset,
Crapaudines de fonte,crapaudine ; de fonte,
Cousus,cousus,
Chevrons de 12 pieds,chevron ; de 12 pieds,
Caves garnies ; de 12 flacons,cave ; garnie ; de 12 flacons,
Canettes de grès,canette ; de grès,
Brosserie a goudronner,brosserie ; à goudronner,
Bouteilles de verre ; a virole,bouteille ; de verre ; à virole,
Bois de Sapan moulu a teindre,bois ; de sapin ; moulu ; à teindre,
Bois d'Inde ; rapé,bois ; d'Inde ; râpé,
Bois d'Inde ; en buches,bois ; d'Inde ; en bûche,
Bithume de Judée,bitume ; de Judée,
Bernes ou tapsel,berne ; ou tapsel,
Baye de laurier,baie ; de laurier,
Baume de Capahu,baume ; de copahu,
Baume rouge,baume ; rouge,
Barreaux de sapin de 10 pieds,barreau ; de sapin ; de 10 pieds,
Assa foetida,assa fétide,
Argenterie vieille,argenterie ; vieille,
Anis étoilé,anis ; étoilé,
Ains a pecher,ain ; à pêcher,
Aimant,aimant,
Aiguilles a ralingues,aiguille ; à ralingue,
Planches de sapin ; de 9 a 12 pieds,planche ; de sapin ; de 9 à 12 pieds,
Planches de sapin ; de 10 a 14 pieds,planche ; de sapin ; de 10 à 14 pieds,
Planches de sapin ; de 12 a 20 pieds,planche ; de sapin ; de 12 à 20 pieds,
Planches de sapin ; de 18 a 22 pieds,planche ; de sapin ; de 18 à 22 pieds,
Planches de sapin ; de 21 a 24 pieds,planche ; de sapin ; de 21 à 24 pieds,
Matreaux de 45 a 50 pieds,mâtereau ; de 45 à 50 pieds,
Mats de 60 a 65 pieds,mât ; de 60 à 65 pieds,
Mats de Beaupré de 42 a 45 pieds,mât ; de Beaupré ; de 42 à 45 pieds,
Laine brut,laine ; brute,
Chair fumée,chair ; fumée,
Canons de 4 livres de balle,canon ; de 4 livres de balle,
Balais de joncs,balai ; de jonc,
Roüets petits,rouet ; petit,
Raves a seches,rave ; à sèche,
Mats ; de différentes longueurs,mât ; de différentes longueurs,
Mats ; de 16 a 18 pieds,mât ; de 16 à 18 pieds,
Mats ; de 30 pieds,mât ; de 30 pieds,
Mats ; de 33 a 43 pieds,mât ; de 33 à 43 pieds,
Mats ; de 40 a 45 pieds,mât ; de 40 à 45 pieds,
Esparts ; de différentes longueurs,espar ; de différentes longueurs,
Esparts ; de 8 a 9 pieds,espar ; de 8 à 9 pieds,
Esparts ; de 14 pieds,espar ; de 14 pieds,
Esparts ; de 18 a 20 pieds,espar ; de 18 à 20 pieds,
Chevrons ; de 10 pieds,chevron ; de 10 pieds,
Chevrons ; de 25 pieds,chevron ; de 25 pieds,
Poil de bœuf,poil ; de bœuf,
Moële de bœuf,moelle ; de bœuf,
Ustensiles d'imprimerie,,
Vin de Domme,,
Vin de Bordeaux de ville,vin ; de Bordeaux ; de ville,
Vin d'anjou,,
Vestes de Soye,,
Tuffeaux ; simples,,
Tuffeaux ; doubles,,
Tours a guillocher,,
Tombraux,,
Toile Guingansd,,
Théreses de taffetas,,
tapisserie peinte,,
Taboures d'enfants,,
Talons de bois et formes,,
Tabatières,tabatière,
Peignes de corne,,
Peaux de mouton en mégie,,
Peaux de mouton blanchies,,
Pains a cacheter,pain ; à cacheter,
"Moulins , a sucre",,
Mortiers,,
Miroirs de 2 pieds,,
Livres de compte ou blancs,,
Instruments de musique violons,,
Huile; de lin,,
Huile ; de chanvre,huile ; de chanvre,
Horlogerie ; pendulles,horlogerie ; pendule,
Herminettes,,
"Haches, houës et serpes",,
Habits a negres,,
habits de drap,,
Grapins,,
Gluë,,
Gilets de laine,,
Gaje a peu de soye,,
Garnitures de pierres fines,,
Galons de soye,,
Galons d'or et d'argent,galon ; or et argent,
Galoches,galoche,
Fruits crus,,
Fromage ; de hollande,,
Fromage ; de Brie,fromage ; de Brie,
Frange de soye,frange ; de soie,
Formes a sucre,,
Fer ; en tambours,,
Fer ; en pois,,
Fer ; en poeles a frire,fer ; en poêle à frire,
Fer ; blanc ouvré ; a rasoirs,,
Fer ; blanc ouvré,,
Fer ; en batterie,fer ; en batterie,
Fer ; en ancres,fer ; en ancre,
Etoffe de fil,,
Essieux a cabrouëts,,
Epées,,
Encre d'imprimerie,,
Encre a ecrire,,
Eau vulneraire,eau ; vulnéraire,
Ducdalles,,
Dame jeannes non clissées,,
Culottes de toile,,
Cuirs de vache corroyé,,
Craye blanche,craie ; blanche,
Crapaudines de cuivre,,
Corbeilles garnies,,
Cloches,cloche,
Chaudiere a sucre,,
Charuë,,
Chariots,chariot,
Chapeaux ; 1/2castor,,
Cercles de bois ; a quarts,,
Cercles de bois ; a bobillons,,
Cercles de bois ; a bariques,,
Casques a negres,,
Canulles,,
Canons de 2 livres de balle,,
Canevas de fil,,
Calmisolles de laine,,
Cabrouëts,,
Bureaux de bois d'acajou,,
Brouettes,brouette,
Brins a tours,,
Bois a tanin,,
Boëtes de plomb,,
Bidets,,
Bassins de marbre,,
Balances,balance,
Baguettes de fusils,baguette ; de fusil,
Armoires de bois d'acajou,,
Ajustement,ajustement,
Affuts de canon,affût de canon,
Anatomie,,
Alambics,alambic,
Arçons démontés,,
Vin de Quercy,vin ; de Quercy,
Vin de Dome,,
Vertes,,
Tapsels,tapsel,"savary, volume 3, dictionnaire universel de commerce : TAPSEL : Grosse toile de coton rayée, ordinairement de couleur bleue, qui vient des Indes Orientales, particulièrement de Bengale."
Taffetas noir,,
Tabatieres de fer blanc,,
Sennes a pêcher,,
Rocailles de verre,,
Potterie de terre Barbançons,,
Pierriers,pierrier,"cnrtl.fr : PIERRIER : Amoncellement de cailloux, de pierres; champ de pierres."
Pierres d'agathe,pierre ; d'Agathe,
Photes,photes,
Perpetuannes,,
Percalles,,
Patenas,patenas,
Pagnes,,
Nicanées petits,,
Neptunes de cuivre,neptune de cuivre,
Nelis,nelis,
Néganepeaux,neganepeau,
Mouchoirs de Cholette,,
Mortier et pilon,,
Méches a canon,,
Manilles,,
Hamacs,,
Goblets de verre,,
Sotas,,
Filieres de corail,,
Flacons de verre ; sans virolles,,
Flacons de verre ; a virolles,,
Etoffes de Rouen,,
Esprit de coclearia,,
Epingolus,,
Epées d'acier,,
Drap ecarlate,,
Culottes de cotonade,,
Cuirs verds,,
Couplets de cuivre,,
Cotonade a peu de soye,,
Coquenard de cuivre,,
Chemises de toile bleue,,
Chaussettes de fils,,
Chaudieres a negres,,
Chaudieres de fonte,,
Chapeaux bordés d'or faux,,
Caves ; de 12 flacons,,
Canons de fer de 3 a 4 livre de balle,,
Canettes ; de terre,cannette ; de terre,
Canettes ; de grès,canette ; de grès,
Canettes ; d'etain,,
Calottes hollandoises,,
Brai-sec,,
Bouteilles de verre clissées,,
Bled noir,,
Blanchette,,
Bayette bleu,,
Bayettes,bayette,
Armes a feu ; pistolets,,
Armes a feu ; fusils,,
Armes a feu ; diverses,,
Alegeas,,
Stockfiche,,
Souflets,,
Peaux de dain,,
Peaux de chevres ; maroquinées,,
Peaux de chevres ; en baudriers,,
Mouchoirs de Chollet,mouchoir ; de Cholet,
Bazannes tannée,,
Raisins frais,,
Carosse,carrosse,
Peaux de veau en mégie,,
Bois d'accajou,,
Ambre,ambre,
Graine fermentale,,
Degras d'huile,,
Café des Isles,,
Toile gingard,,
Peaux de veau bronzées,,
Cuivre ouvré réchaux,,
Cuirs de vache ; tannés,,
Cuirs de vache ; corroyés,,
Cuirs de bœuf,,
Planches de sapin petites,,
Planches de sapin grandes,,
Eaux de la reine d'hongrie,,
Blonde de soye,blonde ; de soie,
couteaux,couteau,
Verres ; de christal,verre ; de cristal,
Terre murita,terra-mérita,
Sucre ; en,sucre ; en,
Soye ; de sanglier,soie ; de sanglier,
Sernen contra,semen-contra,cnrtl.fr : SEMEN-CONTRA : Préparation officinale obtenue à partir de capitules floraux non épanouis de diverses espèces d'armoises.
Santal,santal,"Encyclopédie, Diderot & d'Alembert : SANTAL, s. m. (Botan. exot.) bois des Indes orientales, dont nous connoissons trois especes: le jaune ou le citrin, le blanc, & le rouge."
Rubans ; de fils en laine,ruban ; de fil ; et laine,
Rubans ; de fils,ruban ; de fil,
Rouets ; a filer,rouet ; à filer,
Racine ; d'angélique,racine ; d'angélique,"Encyclopédie, Diderot & d'Alembert : ANGELIQUE, (Medecine.) des quatre especes d'angélique énoncées par Dale, celle de Boheme est la meilleure. C'est l'angelica officin. angelica sativa, C. B. imperatoria sativa, Tourn. Inst. 317. La racine de"
Quincaille; de cuivre,quincaille ; de cuivre,
Poil ; de vache,poil ; de vache,
Plumes ; a lit,plume ; à lit,
Planches ; de Sapin de 10 pieds,planche ; de sapin ; de 10 pieds,
Planches ; de Sapin ; fendues,planche ; de sapin ; fendue,
Planches ; de Sapin ; de rebus,planche ; de sapin ; de rebut,
Planches ; de Chesne,planche ; de chêne,
Outils ; de charpentiers,outil ; de charpentier,
Noir ; d'yvoire,noir ; d'ivoire,
Merrcerie,mercerie,
Mazarnes,mazarnes,
Lancques ; plates,laque ; plate,
Laine ; en rames,laine ; en rame,
Lacques ; rondes,laque ; ronde,
Hulille ; de lin,huile ; de lin,
Huille petrolle,huile ; pétrole,
Huille ; copahu,huile ; de copahu,
Graine ; truffle,graine ; truffe,
Graine ; de houx,graine ; de houx,
Fromage ; dhollande,fromage ; de Hollande,
Fil ; de fer ; passeperles,fil ; de fer ; passe perle,
Ecaille ; de Caret,écaille ; de caret,
Cuivre ; jeaune,cuivre ; jaune,
Cuivre ; en rosette,cuivre ; en rosette,
Cuirs ; de bœuf ; tannés,cuir ; de bœuf ; tanné,
Commode ; de sapin,commode ; de sapin,
Cadamomum,cardamome,
Borax ; brut,borax ; brut,
Bois ; de Caliatour,bois ; de caliatour,
Bois ; de Brésil,bois ; de Brésil,
Bleu de prusse,bleu ; de Prusse,
Armes ; blanches ; sabres,arme ; blanche ; sabre,
Armes ; blanches ; lames ; d'épées,arme ; blanche ; lame ; d'épée,
Apiers,apiers,
Anis etoile,anis ; étoilé,
Toile linge de table ; a serviettes,,
Toile linge de table ; a napes,,
Toile de toutes especes,,
Souliers ; ordinaires,souliers ; ordinaires,
Huile d'olive ; fine,,
Huile d'olive ; commune,,
Fer en chaudiere,,
Dez a jouer,,
Cochons salés,cochon ; salé,
Salempouris blanc,,
Canettes degrez,,
Armes blanches Lames de sabres,,
Armes a feu Fusils de traite,,
Toile de lin de Saint Quantin,,
Peaux d'aigneau,peau ; d'agneau,
Tartre blanc,,
Toile à servietes,,
Toile de Braban,,
Vin rancio,,
Peaux de chevreuil en croute,,
Masne,,
Lin crue,,
Indigo guatimale,,
Huitres,huître,
Craie,craie,
Cotonades,cotonnade,
Chevaux poulins,,
Bois merein à barriques douves,,
Basane,,
Tabac en feuille des prises,,
Toile de guingas,,
Toile ; siamoise,toile ; siamoise,
Toile ; peinte,toile ; peinte,
Toile ; linge de table,toile ; linge de table,
Toile ; grossiere,,
Toile ; de coutil,toile ; de coutil,"cnrtl.fr : Coutil : Toile de chanvre, de lin ou de coton, d'un tissage croisé, fortement serré, propre à faire des tentes, des enveloppes de matelas, d'oreillers, etc., ou à confectionner certains vêtements."
Toile ; de Cambray,toile ; de Cambrai,
Sapin planches,,
Plumes d'autruche appretées,,
Peaux de veau appretées,,
Peaux de mouton appretées,,
Laine du pays,,
Chevran de sapin,,
Chemise,chemise,
Carreaux des prises,,
Bois de chene planches,,
Basin de soye,,
Armes à feu ; pistolets,,
Armes à feu ; fusils,,
Toilette,toilette,
Toile linge de table,toile ; linge de table,
Toile de Morlais,,
Tabac du Bresil,,
Sucre terré des prises,,
Sucre cassonnade des isles,,
Soye ecrue,,
Sergette des prises,,
Serge des prises,,
Sailphre,,
Rediné,,
Rats de canon,,
Peluches de laine,,
Peignes de bui,,
Peaux de muton apretées,,
Peaux de bleraux,,
Mules et mulets,mule et mulet,
Habillement de soye,,
Habilement brodé d'or,,
Graines de millet,graine ; de millet,
Graines de caron ou meteil,,
Gans liserez de soye,,
Frises des prises,,
Flanelle des prises,,
Fer en palque,,
Fer en feuille,,
Fer de mulets,,
Fer blanc en batterie,,
Fe en ferrure,,
Eventails d'yvoire,,
Espagnolette des prises,,
Eatain ouvré,,
Droguet de laine des prises,,
Draps de Carcassonne,drap ; de Carcassonne,
Culottes de laine,,
Cuirs de vache appretés,,
Chateigne,,
Chandelle de raisine,,
Cerise,,
Callemande des prises,,
Burats,,
Bufle,,
Bledinde,,
Bas de leine,,
Bas de filonsé,,
Anascoles,,
Chateignes,,
Peaux d'agneau tournées,,
Bois merrein douelles,,
Bois ; rouge,bois ; rouge,
Planches ; de sapin ; bouts,planche ; de sapin ; bout,
Planches ; de sapin ; de 7 pieds,planche ; de sapin ; de 7 pieds,
Espars ; de différentes longueurs,espar ; de différente longueur,
Espars ; de 20 a 30 pieds,espar ; de 20 a 30 pieds,
Verres ; communs,verre ; communs,
Table ; vernie,table ; vernie,
Fer ; en pentures,fer ; en pelle,
Cuivre ; jaune ; en planche,cuivre ; jaune ; en planche,
Couteaux ; flamans,couteau ; flamand,
Boutons ; d'os,bouton ; d'or,
Bleu,bleu,
Aiguilles ; a voile,aiguille ; à voile,
Rogues ; de stocfiche,rogue ; de stockfish,"Encyclopédie, Diderot & d'Alembert : Rogue, Rave ou Resure, terme de péche, est une sorte d'appât dont les pêcheurs se servent pour attirer le poisson, & le prendre ensuite lorsqu'il a mordu l'appât;"
Planches ; de sapin ; de diférentes longueurs,planche ; de sapin ; de différente longueur,
Planches ; de sapin ; de 12 a 18 pieds,planche ; de sapin ; de 12 a 18 pieds,
Planches ; de sapin ; de 20 a 24 pieds,planche ; de sapin ; de 20 a 24 pieds,
Planches ; de sapin ; de 30 a 36 pieds,planche ; de sapin ; de 30 a 36 pieds,
Vin ; de Portugal,vin ; de Portugal,
Vin ; de port en port,vin ; de port en port,
Verre ; a vitres,verre ; à vitres,
Toile ; rousse,toile ; rousse,
Toile ; ouvré,toile ; ouvrée,
Taffetas ; de florence,taffetas ; de Florence,"cnrtl.fr : TAFFETAS : Étoffe de soie serrée, sans envers, d'aspect sec et craquant quand on la froisse, utilisée dans l'ameublement et dans la confection des vêtements."
Tabatieres ; de Fer ; blanc,tabatière ; de fer-blanc,
Tabac ; a fumer,tabac ; à fumer,
Poil ; de beuf,poil ; de bœuf,
Plomb ; laminé,plomb ; laminé,
Marly broché,marly ; broché,
Ferre ; en barre,fer ; en barre,
Etame ; des prises,étamine ; des prise,
Eau de vie ; des prises,eau ; de vie ; des prise,
Drap ; des prises,drap ; des prise,
Cuivre ; rouge en planche,cuivre ; rouge ; en planche,
Bois ; merrain ; a tonneaux,merrain ; à tonneau,
Planches de sapin ; de 6 a 7 piés,planche ; de sapin ; de 6 à 7 piés,
Planches de sapin ; de 12 a 13 piés,planche ; de sapin ; de 12 à 13 pieds,
Bois merrain a pipes douelles,bois ; merrain ; à pipe ; douelle,
Bois merrain a bariques douelles,bois ; merrain ; à barrique ; douelle,
Planches de sapin ; de 10 a 11 piés,planche ; de sapin ; de 10 à 11 pieds,
Planches de sapin ; de 27 a 28 piés,planche ; de sapin ; de 27 à 28 piés,
Planches de sapin ; de 32 a 33 piés,planche ; de sapin ; de 32 à 33 piés,
Planches de sapin ; de 35 piés,planche ; de sapin ; de 35 piés,
Mats ; de 50 a 55 piés,mât ; de 50 à 55 pieds,
Mats ; de 52 a 55 pieds,mât ; de 52 à 55 pieds,
Mats ; de 59 a 60 piés,mât ; de 59 à 60 pieds,
Mats ; de 66 a 70 piés,mât ; de 66 à 70 pieds,
Epars de 26 piés,épart ; de 26 pieds,
Billots de chesne a faire merrain,billot ; de chêne ; à faire merrain,
Fer noir simple,fer ; noir ; simple,
Fer blanc double,fer ; blanc double,
Cuivre en fonds,cuivre ; en fond,
Vins rouges,vin ; rouge,
Vin d'Espagne de malaga,vin ; d'Espagne ; de Malaga,
Toile cirée peinte,toile ; cirée ; peinte,
Saumons fumés,saumon ; fumé,
Reagale,reagal,
Raves,rave,
Quarts de nonantes,quart ; de nonante,
Potterie de Gres,poterie ; de grès,"cnrtl.fr : GRES : Roche sédimentaire d'origine détritique, formée de grains agglomérés par un ciment naturel siliceux, calcaire ou ferrugineux, donnant un ensemble à la dureté et à la cohésion variable, mais généralement assez dur et compact, u"
Planches de sapin ; de différentes longueurs,planche ; de sapin ; de différente longueur,
Planches de sapin ; de 10 piés,planche ; de sapin ; de 10 pieds,
Planches de sapin ; de 13 a 14 piés,planche ; de sapin ; de 13 à 14 pieds,
Planches de sapin ; de 27 a 30 piés,planche ; de sapin ; de 27 à 30 piés,
Planches de sapin ; de 27 piés,planche ; de sapin ; de 27 piés,
Planches de sapin ; de 28 a 30 piés,planche ; de sapin ; de 28 à 30 piés,
Mastures,mature,
Mats ; de beaupré de 35 piés,mât ; de Beaupré ; de 35 pieds,
mats ; de 40 a 45 piés,mât ; de 40 à 50 pieds,
Mats ; de 42 a 48 piés,mât ; de 42 à 48 pieds,
Mats ; de 45 a 50 piés,mât ; de 45 à 50 pieds,
Mats ; de 48 a 50 piés,mât ; de 48 à 50 pieds,
Mats ; de 55 a 60 piés,mât ; de 55 à 60 pieds,
Liens de fil,lien ; de fil,
Hipochetia,hipochetia,
Gomme de cedre,gomme ; de cèdre,
Gomme commune,gomme ; commune,
Gentienne,gentiane,
Fer en poëles a frire,fer ; en poêle à frire,
Fer noir et simple,fer ; noir ; simple,
Fer en fleaux,fer ; en fléau,
Esprot,esprot,
Epars ; de différentes longueurs,épart ; de différentes longueurs,
Epars ; de 28 a 30 piés,épart,
Eau de spa,eau ; de spa,
Des de leton,dé ; de laiton,
Cottons en laine,coton ; en laine,
Chausse piés,chausse pied,
Cendres potasses,cendre ; potasse,
Caves garnies ; de 6 flacons,cave ; garnie ; de 6 flacons,
Caves garnies ; de 9 flacons,cave ; garnie ; de 9 flacons,
Cartamy,cartamy,
Calames,calame,
Bois a teindre ; moulu,bois ; à teindre ; moulu,
Bois a teindre ; en buches,bois ; à teindre ; en bûche,
Bois de sapan,bois ; de sapin,
Bois de sandal ; moulu,bois ; de santal ; moulu,
Bois de sandal ; en buches,bois ; de santal ; en bûches,
Bois de campesche ; moulu,bois ; de campêche ; moulu,
Bois de campesche ; en buches,bois ; de campêche ; en bûche,
Bois de caliatour ; moulu,bois ; de caliatour ; moulu,
Bois de caliatour ; en buches,bois ; de caliatour ; en bûche,
Benblanc,benblanc,
Baume de copahu,baume ; de copahu,
Aigre de vitriol,aigre ; de vitriol,
Agacia,acacia,
Soliveaux de 20 a 22,soliveaux ; de 20 à 22,cnrtl.fr : SOLIVEAU : Petite solive.
Planches de sapin ; de 3 a 4,planche ; de sapin ; de 3 à 4,
Planches de sapin ; de 5 a 6,planche ; de sapin ; de 5 à 6,
Planches de sapin ; de 6 a 7,planche ; de sapin ; de 6 à 7,
Planches de sapin ; de 8 a 9,planche ; de sapin ; de 8 à 9,
Planches de sapin ; de 9 a 10,planche ; de sapin ; de 9 à 10,
Planches de sapin ; de 11 a 12,planche ; de sapin ; de 11 à 12 pieds,
Mats de 40 a 45 piés,mât ; de 40 à 45 pieds,
Espars de 40 a 45 piés,espar ; de 40 à 45 pieds,
Vin Hors,,
Tabatieres d'argent,,
Peaux de chevreaux aprestées,,
Cuirs tannées de bœuf,,
Seringues d'etain,,
Prohibé,prohibé,
Gands communs,,
Bois d'Inde moulu,,
Peaux de chevres; en poil,,
Peaux de chevre corroyées,,
Fruit cuits,,
Peaux de veau aprestées,,
Mouchoirs de Colet,,
Chemises non garnies,,
Equeurs,equeurs,
Cire,cire,
Verd de vessie,verd ; de vessie,"Encyclopédie, Diderot & d'Alembert : Verd de vessie, (Arts.) pâte dure qu'on prépare avec le fruit de nerprun ; les Teinturiers & les Peintres s'en servent."
Rogue de Morue,rogue ; de morue,"Encyclopédie, Diderot & d'Alembert : Rogue, Rave ou Resure, terme de péche, est une sorte d'appât dont les pêcheurs se servent pour attirer le poisson, & le prendre ensuite lorsqu'il a mordu l'appât;"
Peaux de chien,peau ; de chien,
orge moudée,orge ; mondée,
Nattes;de jon,natte ; de jonc,
marchandises mesleés,marchandise ; mêlée,
manche a ballais,manche ; de balai,
lin en rame,lin ; en rame,
Juillienne,julienne,
huille de vitriol,huile ; de vitriol,
huille de navette,huile ; de navette,
herbes d'orseille,herbe ; d'orseille,
Gome Elemi,gomme ; élemi,
fer en poesle à frire,fer ; en poêle à frire,
fer en enclumes,fer ; en enclume,
Cuirs ;de vache ;en poil,cuir ; de vache ; en poil,
Cornes a lanterne,corne ; à lanterne,
colle commun,colle ; commune,
chanvre en rame,chanvre ; en rame,
Bois ; de néphrétique,bois ; de néphrétique,
Bois ; de Fermanbourg,bois ; de Fernambourg,
meules a éguiser,meule ; à aiguiser,
verres a vitre,verre ; à vitres,
Peaux ;de veaux ;corroyées,peau ; de veau ; corroyée,
Peaux ;de mouton; en laine,peau ; de mouton ; en laine,
Maqueraux,maquereau,
Cuirs ;de beufs ;tannés,cuir ; de bœuf ; tanné,
Cuirs ;de beufs ;en poil,cuir ; de bœuf ; en poil,
Vin d'orange,vin ; d'orange,
Toille Ginga,toile ; gingas,"cnrtl.fr : Gingas : Toile, généralement à carreaux bleus et blancs, servant à la confection des matelas."
Indiènes,indienne,
Peaux d'origneaux aprêtées,peau ; d'orignal ; apprêtée,
Cuir de cheval tanné,cuir ; de bœuf ; tanné,
Fer Dhipsium,fer ; Dhipsium,
Toille ; peinte,toile ; peinte,
Toille ; linge ; de table,toile ; linge de table,
Toille ; de cotton,toile ; de coton,
Souffre ; en fanon,soufre ; en fanon,
Sel ; d'Hypsum,sel ; d'hypsum,
Rouets ; a filler,rouet ; à filer,
Racine ; d'angelique,racine ; d'angélique,"Encyclopédie, Diderot & d'Alembert : ANGELIQUE, (Medecine.) des quatre especes d'angélique énoncées par Dale, celle de Boheme est la meilleure. C'est l'angelica officin. angelica sativa, C. B. imperatoria sativa, Tourn. Inst. 317. La racine de"
Planches ; refendues,planche ; refendue,
Planches ; en sapin,planche ; en sapin,
Planches ; de sapin ; de 28 a 30 pieds,planche ; de sapin ; de 28 a 30 pieds,
Planches ; de sapin ; de 10 a 12 pieds,planche ; de sapin ; de 10 a 12 pieds,
Planches ; de rebut,planche ; de rebut,
Marcacitte,marcassite,
Marbre ; batard,marbre ; bâtard,
Langues ; de Bœuf ; sallé,langue ; de bœuf ; salée,
Jambons ; de mayance,jambon ; de Mayence,
Herbes ; capilaires,herbe ; capillaire,
Harmodattes,hermodatte,
Graines ; de verre,graine ; de verre,
Garance ; grapes,garance ; grappe,
"Fil , de tissreand",fil ; de tisserand,
Fer ; quarré,fer ; quarré,
Fer ; en tacelle,fer ; en tacelle,
Fer ; en poeles ; a frire,fer ; en poêle à frire,
Fer ; blanc ; en feuilles,fer ; blanc ; en feuille,
Essence ; de geroffle,essence ; de girofle,
Cuivre ; en plaques,cuivre ; en plaque,
Cuivre ; en chaudière,cuivre ; en chaudière,
Cuirs ; de russie,cuir ; de Russie,
Cuirs ; de bœuf tanés,cuir ; de bœuf ; tanné,
Cuir ; de russie,cuir ; de Russie,
Cuir ; de bœuf ; tané,cuir ; de bœuf ; tanné,
Carabé ; jaune,carabe ; jaune,
Cabochon,cabochon,
Caboches ; de fer,caboche ; de fer,
Bureau ; de Bois ; de sapin,bureau ; de bois ; de sapin,
Borax brut,borax ; brut,
Bois ; à tierçons,bois ; à tierçon,
Bois ; merrain ; à fond,bois ; merrain ; à fond,
Bois ; a banquiere,bois ; à banquiere,
Bleu ; calaminé,bleu ; calaminé,
Blanc ; de cerruze,blanc ; de céruse,
Balais ; fins,balai ; fin,
Assaffetida,assa fétide,
Velours de cotton,,
Toille ; a voille,,
Toille ; linge de table ; serviettes,,
Toille ; linge de table ; napes,,
Toille ; de toutes especes,,
Toille ; de Bretagne,,
Poudre ; blanche,,
Lard en planches,,
Huille ; d'olive fine,,
Huille ; d' olive commune,,
Fer ; en chaudiere,,
Cuivre ; en platine,cuivre ; en platine,
Chemises ; communes,chemise ; commune,
Braye,,
Artichaux confis,,
Armes a feu Fusils,,
Bled,bled,
Cuirs de bœuf aprêtez,,
Marchandises mêlée,,
Huile de muscade,,
Toile à serpilière,,
Toile ecrue,,
Chemises d'homme,,
Peaux d'agneaux apretées,,
Finetes,,
Chapeaux castor brodez en or,,
marchandise melée,,
Cuirs de bœuf apretez,,
Bois de saxafras,,
Bayetes des pirses,,
Volailles ; dindons,,
Volailles ; chapons,,
Toile etrangere,,
Toile de Xaintonge,,
Toile de Ménage,,
Toile de cotray,,
tables de bois de sapin,,
Sergettes des prises,,
Redingotes,,
Rateaux de fer,,
Pluches de soye,,
Peaux de basane apretées,,
Peaux d'origneaux en laine,,
Papiers communs,,
Panne de prise,,
Or filé,,
Or batu,,
Mignonete des prises,,
Meches souffrées,mèche ; soufrée,
marchandises de Montauban,,
Marchandise mêlée,,
Habillemens de soye,,
Habillemens brodez d'or,,
Graine de millet,,
Graine d'oignon,,
Gaze à peu de soye,,
Fromage de Brie,,
Finetes des prises,,
Fer en serrures,,
Fayence du faubourg Saint Antoine,,
Eventails communs,éventail ; commun,
Etoffe demi soye,,
Draperie du Languedoc,,
Drap de laine des prises,,
Dentelle or et argent,dentelle ; d'or et d'argent,
Courroyes,,
Cordeillats de laine,,
Cole de poisson,,
Cochons,cochon,
Chevaux ; juments,,
Chemises toile gingas,,
Chapeaux laine des prises,,
Callemandes,,
Boyaux salez,,
Boutons fil soye et or,,
Boucles de fer,boucle ; de fer,
Beld froment,,
Bazanne,,
Peaux de castor secs,peau ; de castor ; sec,
Mitraille,mitraille,
Carres,carret,
Bois ; merrain a barique,merrain ; à barrique,
Verres Communs,verre ; commun,
Nates;de paille,natte ; de paille,
harang Salés,hareng ; salé,
