dutchtranslation,unit,tax_office,quantity,exportimport,product_prix,product,product_Original,sitc1digit,sitc18thc,alternativenames
aardewerk,gulden,antwerpen,33,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,nieuwpoort,257,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,gent,1085,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,herve,27,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,tienen,74,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,sintniklaas,959,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,charleroi,6170,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,gent,17,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,gent,223.5,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,namen,28,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,turnhout,4450,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,marche,100,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,namen,19095,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,ieper,10922,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,stvith,300,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,nieuwpoort,90.25,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,namen,50,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,turnhout,300,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,marche,1,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
afbraakmateriaal,gulden,ieper,315,transit,,crons et débris de maisons,demolition material,2,2,debris de maison
afbraakmateriaal,gulden,namen,190,transit,,crons et débris de maisons,demolition material,2,2,debris de maison
afbraakmateriaal,gulden,namen,10,export,,crons et débris de maisons,demolition material,2,2,debris de maison
afbraakmateriaal,gulden,ieper,34321,import,,crons et débris de maisons,demolition material,2,2,debris de maison
afbraakmateriaal,gulden,gent,211,export,,crons et débris de maisons,demolition material,2,2,debris de maison
afval van blik,gulden,gent,48,import,,rognures de fer blanc,tin waste,2,2,
afval van hoorn en perkament,pond,brugge,744,import,,rognures de cornes et de parchemins,horn and parchment waste,2,2,
afval van hoorn en perkament,pond,namen,160,export,,rognures de cornes et de parchemins,horn and parchment waste,2,2,
afval van leder en huiden,pond,bergen,48.5,export,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,pond,namen,565,export,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,gulden,doornik,26,export,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,pond,tienen,7,import,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,pond,brussel,1150,export,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,pond,chimay,70,transit,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,pond,namen,1135,transit,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,gulden,ieper,2,import,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,gulden,bergen,42,import,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,pond,tienen,2225,export,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,pond,herve,900,transit,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,gulden,chimay,7,transit,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,pond,stvith,3100,import,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,gulden,tienen,136,export,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,gulden,namen,23,transit,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,pond,ieper,60,transit,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,gulden,namen,250,import,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van leder en huiden,gulden,tienen,21,import,,rognures de cuirs et de peaux,leather and hide waste,2,2,
afval van walvissen,pond,gent,210,import,,rognures de baleines,baleen waste,2,2,
agnelins et crottelins,pond,marche,100,import,,agnelines et crottelins,agnelins et crottelins,2,2,laine d'agnelin et escrottin
agnelins et crottelins,pond,chimay,180,import,,agnelines et crottelins,agnelins et crottelins,2,2,laine d'agnelin et escrottin
agnelins et crottelins,pond,bergen,30,import,,agnelines et crottelins,agnelins et crottelins,2,2,laine d'agnelin et escrottin
agnelins et crottelins,pond,ieper,4000,import,,agnelines et crottelins,agnelins et crottelins,2,2,laine d'agnelin et escrottin
allerlei versieringen,gulden,luxemburg,5,import,,milleret et agréments,all kinds of decorations,8,8,
allerlei versieringen,gulden,herve,8,import,,milleret et agréments,all kinds of decorations,8,8,
allerlei versieringen,gulden,bergen,126,import,,milleret et agréments,all kinds of decorations,8,8,
allerlei versieringen,gulden,stvith,6,import,,milleret et agréments,all kinds of decorations,8,8,
allerlei versieringen,gulden,brussel,366,transit,,milleret et agréments,all kinds of decorations,8,8,
allerlei versieringen,gulden,namen,398,export,,milleret et agréments,all kinds of decorations,8,8,
allerlei versieringen,gulden,herve,6,transit,,milleret et agréments,all kinds of decorations,8,8,
aloë,pond,doornik,17.5,import,,aloès,aloe,5,5,
aluin,pond,antwerpen,112,export,,alun,alum,5,5,
aluin,pond,chimay,38,export,,alun,alum,5,5,
aluin,pond,stphillipe,4574,import,,alun,alum,5,5,
aluin,pond,luxemburg,3508,transit,,alun,alum,5,5,
aluin,pond,charleroi,241,export,,alun,alum,5,5,
aluin,pond,namen,18,export,,alun,alum,5,5,
aluin,pond,marche,97100,export,,alun,alum,5,5,
aluin,pond,stvith,105604.5,import,,alun,alum,5,5,
aluin,pond,doornik,350,import,,alun,alum,5,5,
aluin,pond,stvith,105533,transit,,alun,alum,5,5,
aluin,pond,brugge,14,export,,alun,alum,5,5,
aluin,pond,tienen,50,export,,alun,alum,5,5,
aluin,pond,herve,400,export,,alun,alum,5,5,
aluin,pond,herve,773,import,,alun,alum,5,5,
aluin,pond,herve,42395,transit,,alun,alum,5,5,
aluin,pond,kortrijk,43850,export,,alun,alum,5,5,
aluin,pond,charleroi,2500,transit,,alun,alum,5,5,
aluin,pond,chimay,70,transit,,alun,alum,5,5,
aluin,pond,bergen,2131,export,,alun,alum,5,5,
aluin,pond,marche,130251,import,,alun,alum,5,5,
aluin,pond,namen,5542,import,,alun,alum,5,5,
aluin,pond,namen,17235,transit,,alun,alum,5,5,
aluin,pond,brugge,5135,import,,alun,alum,5,5,
aluin,pond,doornik,55650,export,,alun,alum,5,5,
aluin,pond,charleroi,134,import,,alun,alum,5,5,
aluin,pond,turnhout,190,import,,alun,alum,5,5,
aluin,pond,bergen,12,import,,alun,alum,5,5,
aluin,pond,gent,3787,import,,alun,alum,5,5,
aluin,pond,ieper,100,import,,alun,alum,5,5,
aluin,pond,tienen,242360,import,,alun,alum,5,5,
aluin,pond,oostende,56,import,,alun,alum,5,5,
aluin,pond,nieuwpoort,1515,import,,alun,alum,5,5,
aluin,pond,chimay,450,import,,alun,alum,5,5,
aluin,pond,tienen,1750,transit,,alun,alum,5,5,
aluin,pond,luxemburg,5335,export,,alun,alum,5,5,
aluin,pond,brussel,1010,export,,alun,alum,5,5,
aluin,pond,marche,140459,transit,,alun,alum,5,5,
aluin,pond,stvith,125850,export,,alun,alum,5,5,
aluin,pond,sintniklaas,45,export,,alun,alum,5,5,
amandelen (in de schelp),pond,brussel,478,export,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,stphillipe,1632,transit,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,doornik,313,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,nieuwpoort,1469,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,herve,526,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,namen,15,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,charleroi,73,export,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,luxemburg,1,export,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,chimay,326,transit,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,brussel,743,transit,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,herve,35,export,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,brussel,370,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,luxemburg,3349.5,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,chimay,10,export,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,bergen,7,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,gent,194,transit,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,stphillipe,19198,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,gent,3744,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,luxemburg,1975,transit,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,stvith,151,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,herve,8,transit,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,oostende,480,transit,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,oostende,300,export,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,namen,233,export,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,stvith,18,transit,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,oostende,9604,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,gent,592,export,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,bergen,80,export,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,brugge,7155,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (in de schelp),pond,marche,489.5,import,almonds,amandes en coques,almonds (in shells),0,0a,amandes en cocque
amandelen (korte),pond,ieper,10,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,doornik,124,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,stphillipe,5205,transit,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,kortrijk,33,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,chimay,171,transit,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,nieuwpoort,654,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,sintniklaas,5,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,stphillipe,63846,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,bergen,1227,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,brugge,2100,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,oostende,9982,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,herve,69,import,almonds,amandes courtes,short almonds,0,0a,
amandelen (korte),pond,bergen,29,export,almonds,amandes courtes,short almonds,0,0a,
amandelen (lange),pond,brugge,80,import,almonds,amandes longues,long almonds,0,0a,
amandelen (lange),pond,ieper,33,import,almonds,amandes longues,long almonds,0,0a,
amandelen (lange),pond,stphillipe,1150,import,almonds,amandes longues,long almonds,0,0a,
amandelen (lange),pond,nieuwpoort,50,import,almonds,amandes longues,long almonds,0,0a,
amandelen (lange),pond,gent,7851,import,almonds,amandes longues,long almonds,0,0a,
amandelen (lange),pond,antwerpen,6,export,almonds,amandes longues,long almonds,0,0a,
amandelen (lange),pond,antwerpen,5,import,almonds,amandes longues,long almonds,0,0a,
amaril,pond,brussel,24,export,,emeril,emery,5,5,
amaril,pond,brussel,6,import,,emeril,emery,5,5,
amaril,pond,brugge,25,import,,emeril,emery,5,5,
amaril,pond,oostende,3,import,,emeril,emery,5,5,
amber,pond,oostende,236,import,,ambre brut,amber,2,2,ambre jaune en masse
ammoniakzout,pond,stphillipe,304,import,,sel armoniac,ammonia salt,5,5,
