numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
11,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Coques de mouche à miel,Espagne,7632,Livres,"0,1",763,"-0,2",,
12,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Couvertures de laine,Espagne,274,Nombre,"8,5",2329,0,,
13,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Cuirs de bœuf tannés,Espagne,4931,Nombre,15,73965,0,,
14,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Cuivre ouvré,Espagne,110,Livres,"1,7",165,-22,,Erreur de calcul
15,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Drap,Espagne,101,Aunes,10,1010,0,180,
16,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Elbeuf,Drap,Espagne,410,Aunes,16,6560,0,460,
17,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Draperie petite,Espagne,335,Aunes,4,1340,0,358,
18,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Etoffes de laine ,Espagne,1709,Aunes,"1,5",2563,"-0,5",1646,
19,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Etoffes de laine ,Espagne,2009,Livres,3,6027,0,,
20,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Etoffes burat,Espagne,1855,Aunes,"1,4",2595,-2,1201,Erreur de calcul
21,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Etoffes cadis,Espagne,1488,Aunes,"1,4",2083,"-0,2",1000,
22,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Etoffes cordeillot,Espagne,1050,Aunes,3,3150,0,1035,
23,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Champagne,Etoffes d'etamine,Espagne,2867,Aunes,"3,25",9320,"2,25",845,Erreur de calcul
24,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Etoffes de flanelle,Espagne,1710,Aunes,2,3420,0,1585,
25,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Champagne,Etoffes de maroc,Espagne,657,Aunes,"3,5",2400,"100,5",,Erreur de calcul
26,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Amiens,Etoffes de panne,Espagne,835,Aunes,"3,5",2922,"-0,5",,
27,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Etoffes de refoulé,Espagne,3629,Aunes,1,3629,0,,
28,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Etoffes de serge,Espagne,25535,Aunes,2,51070,0,7057,
29,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Etoffes de sergette,Espagne,4257,Aunes,1,4257,0,1139,
30,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Amiens,Etoffes de poil,Espagne,925,Aunes,"3,5",3237,"-0,5",,
31,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Fourage foin,Espagne,6400,Livres,"0,02",128,0,,
32,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Fruits secs noix,Espagne,86,Charges,10,853,-7,,Erreur de calcul
33,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Fruits secs pommes,Espagne,"69,5",Charges,8,552,-4,,Erreur de calcul
34,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Habillements,Espagne,,,,917,0,,
35,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Legumes feves,Espagne,,,,216,0,,
36,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Marchandises à la valeur,Espagne,,,,132,0,,
37,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lyon,Mercerie commune,Espagne,847,Livres,2,1694,0,,
38,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Mercerie commune,Espagne,1174,Livres,2,2348,0,,
39,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Mercerie commune,Espagne,432,Livres,2,864,0,,
40,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Œufs,Espagne,207175,Livres,"0,2",41435,0,,
41,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Ouvrage de tourneur,Espagne,,,,300,0,,
42,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Papier commun,Espagne,2811,Rames,"4,75",13352,"-0,25",,
43,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Guyenne,Papier peint,Espagne,450,Livres,1,450,0,,
44,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,,Peaux diverses appretées,Espagne,,,,838,0,,
45,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Peaux de moutons appretées,Espagne,786,Nombre,15,11790,0,398,
46,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Peaux de veau preparées,Espagne,130,Nombre,8,1040,0,655,
47,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Isles de France,Quincaillerie fine,Espagne,800,Livres,8,6400,0,,
48,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Quincaillerie de fer,Espagne,3485,Livres,"0,5",1742,"-0,5",,
49,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lyon,Ruban de soye,Espagne,18,Livres,50,900,0,,
50,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lyon,Soyerie,Espagne,230,Livres,55,12650,0,,
51,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Touraine,Soyerie,Espagne,88,Livres,50,4400,0,,
52,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Suif,Espagne,450,Livres,"0,5",225,0,,
53,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Toile d'étoupe,Espagne,170,Aunes,"1,5",255,0,120,
54,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Toile de lin,Espagne,566,,,1187,,475,566 aunes 475 livres
55,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Vin ordinaire,Espagne,"6,75",Muids,,288,,,Pas de prix uniaitaire
56,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Bestiaux et bêtes de somme juments,Pays de labour,11,Nombre,300,3300,0,,
57,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Bestiaux et bêtes de somme mulets,Pays de labour,25,Nombre,150,3750,0,,
58,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre ,Bestiaux et bêtes de somme bœufs,Pays de labour,1841,Nombre,140,257740,0,,
59,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre ,Bestiaux et bêtes de somme brebis,Pays de labour,109,Nombre,12,1308,0,,
60,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre ,Bestiaux et bêtes de somme chèvres,Pays de labour,35,Nombre,15,525,0,,
61,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre ,Bestiaux et bêtes de somme genisses,Pays de labour,39,Nombre,40,1560,0,,
62,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Bestiaux et bêtes de somme moutons,Pays de labour,416,Nombre,12,4992,0,,
63,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Bestiaux et bêtes de somme porcs,Pays de labour,1900,Nombre,25,47500,0,,
64,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Bestiaux et bêtes de somme taureaux,Pays de labour,19,Nombre,60,1140,0,,
65,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Bestiaux et bêtes de somme vaches,Bayonne,183,Nombre,50,9150,0,,
66,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Bestiaux et bêtes de somme veaux,Bayonne,256,Nombre,50,12850,50,,Erreur de calcul
67,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Bestiaux et bêtes de somme veaux,Pays de labour,377,Nombre,18,6786,0,,
68,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Bonnetterie de laine bas,Bayonne,423,Douzaines,,7614,,1500,Pas de prix uniaitaire
69,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Bonnetterie de laine bas,Espagne,502,Douzaines,,13032,,2288,Pas de prix uniaitaire
70,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Bonnetterie bonets,Bayonne,77,Douzaines,,924,,120,Pas de prix uniaitaire
71,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Bonnetterie bonets,Espagne,239,Douzaines,,3882,,666,Pas de prix uniaitaire
72,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Bois à bruler,Bayonne,,,,7656,0,,
73,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Bois de construction,Bayonne,800,Pieds,1,800,0,,
74,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Bois de pin en planches,Bayonne,3245,Nombre,"0,35",1135,"-0,75",,
75,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Bray résine,Bayonne,5940,Livres,"0,05",297,0,,
76,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Chapeaux de laine,Bayonne,19,Douzaines,60,1140,0,,
77,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Chair de porc jambon,Bayonne,6457,Livres,"0,6",3874,"-0,2",,
78,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Cordage,Bayonne,2746,Livres,"0,4",1098,"-0,4",,
79,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Cuir de bœuf tanné,Bayonne,7130,Livres,1,7130,0,,
80,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Cuir de bœuf tanné,Espagne,25466,Livres,1,25466,0,,
81,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Cuir de vache tanné,Bayonne,5908,Livres,"0,9",5317,"-0,2",,
82,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Cuir de vache tanné,Espagne,2232,Livres,"0,9",2009,"0,2",,
83,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Cuivre ouvré,Bayonne,209,Livres,"2,5",522,"-0,5",,
84,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Drogue pour peinture et teinture térébentine,Allemagne et la Pologne,2500,Livres,"0,05",125,0,,
85,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Drogue pour peinture et teinture térébentine,La Hollande,43000,Livres,"0,05",2150,0,,
86,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Guyenne,Eau de vie simple,Bayonne,"165,25",Muids,126,19182,"-1639,5",,Erreur de calcul
87,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Guyenne,Eau de vie simple,Espagne,"2882,0277777778",Muids,126,363136,"0,5",,
88,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Guyenne,Eau de vie simple,Allemagne et la Pologne,"578,5",Muids,126,72902,11,,
89,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Guyenne,Eau de vie simple,Dannemarck et Norvège,39,Muids,126,4925,11,,
90,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Guyenne,Eau de vie simple,Etats unis de l'Amérique,115,Muids,126,14056,-434,,
91,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Etoffe de laine,Pays de labour,152,Muids,"1,5",228,0,116,
92,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Gascogne,Fayence,Bayonne,,,,139,0,,
93,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Fil de lin,Bayonne,22,Livres,,110,,,Pas de prix unitaire
94,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Fourage foin,Bayonne,47200,Livres,"0,02",944,0,,
95,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Fourage foin,Pays de labour,12400,Livres,"0,02",248,0,,
96,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,,Grains divers,Bayonne,,,,290,0,,
97,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Grains avoine,Bayonne,112700,Livres,"0,045",4508,"-563,5",,Erreur de calcul
98,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Bearn,Grains bled d'inde,Bayonne,1088350,Livres,"0,06",65301,0,,
99,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Navarre,Grains froment,Bayonne,1168100,Livres,"0,14",163534,0,,
100,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,5,1789,Bayonne,Saint Esprit,Chalons,Grains froment,Pays de labour,1099726,Livres,"0,14",153968,"6,36",,
