new sourcepath,nb line bdd_centrale,old source.s,source type.s,nb old sourcepath.s,old sourcepath.s,columns removed
AD17_41_ETP_270_9400_La_Rochelle_Imports_1733,317,AD17 41 ETP 270/9400,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9401_La_Rochelle_Imports_1734,333,AD17 41 ETP 270/9401,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9402_La_Rochelle_Imports_1735,300,AD17 41 ETP 270/9402,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9403_La_Rochelle_Imports_1736,327,AD17 41 ETP 270/9403,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9404_La_Rochelle_Imports_1737,322,AD17 41 ETP 270/9404,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9406_La_Rochelle_Imports_1738,337,AD17 41 ETP 270/9406,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9407_La_Rochelle_Imports_1739,337,AD17 41 ETP 270/9407,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9408_La_Rochelle_Imports_1740,335,AD17 41 ETP 270/9408,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9409_La_Rochelle_Imports_1741,300,AD17 41 ETP 270/9409,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9410_La_Rochelle_Imports_1744,272,AD17 41 ETP 270/9410,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9411_La_Rochelle_Imports_1746,264,AD17 41 ETP 270/9411,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9412_La_Rochelle_Imports_1747,279,AD17 41 ETP 270/9412,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9413_La_Rochelle_Imports_1748,236,AD17 41 ETP 270/9413,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9414_La_Rochelle_Imports_1749,419,AD17 41 ETP 270/9414,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9415_La_Rochelle_Imports_1750,403,AD17 41 ETP 270/9415,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9416_La_Rochelle_Imports_1751,442,AD17 41 ETP 270/9416,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9417_La_Rochelle_Imports_1752,399,AD17 41 ETP 270/9417,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9418_La_Rochelle_Imports_1753,347,AD17 41 ETP 270/9418,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9419_La_Rochelle_Imports_1754,346,AD17 41 ETP 270/9419,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9420_La_Rochelle_Imports_1756,314,AD17 41 ETP 270/9420,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9421_La_Rochelle_Imports_1757,409,AD17 41 ETP 270/9421,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9422_La_Rochelle_Imports_1758,262,AD17 41 ETP 270/9422,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9423_La_Rochelle_Imports_1759,302,AD17 41 ETP 270/9423,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9424_La_Rochelle_Imports_1760,211,AD17 41 ETP 270/9424,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9425_La_Rochelle_Imports_1761,232,AD17 41 ETP 270/9425,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9426_La_Rochelle_Imports_1762,174,AD17 41 ETP 270/9426,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9427_La_Rochelle_Imports_1764,191,AD17 41 ETP 270/9427,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9428_La_Rochelle_Imports_1765,215,AD17 41 ETP 270/9428,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9429_La_Rochelle_Imports_1766,189,AD17 41 ETP 270/9429,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9430_La_Rochelle_Imports_1767,202,AD17 41 ETP 270/9430,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9431_La_Rochelle_Imports_1768,162,AD17 41 ETP 270/9431,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9432_La_Rochelle_Imports_1769,163,AD17 41 ETP 270/9432,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9433_La_Rochelle_Imports_1770,164,AD17 41 ETP 270/9433,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9434_La_Rochelle_Imports_1771,144,AD17 41 ETP 270/9434,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9435_La_Rochelle_Imports_1772,147,AD17 41 ETP 270/9435,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9436_La_Rochelle_Imports_1773,144,AD17 41 ETP 270/9436,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9437_La_Rochelle_Imports_1774,175,AD17 41 ETP 270/9437,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9438_La_Rochelle_Imports_1775,152,AD17 41 ETP 270/9438,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9439_La_Rochelle_Imports_1776,150,AD17 41 ETP 270/9439,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9440_La_Rochelle_Imports_1778,107,AD17 41 ETP 270/9440,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9441_La_Rochelle_Imports_1779,122,AD17 41 ETP 270/9441,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9442_La_Rochelle_Imports_1780,113,AD17 41 ETP 270/9442,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_271_9443_La_Rochelle_Exports_1718,278,AD17 41 ETP 271/9443,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9445_La_Rochelle_Exports_1719,253,AD17 41 ETP 271/9445,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9446_La_Rochelle_Exports_1720,268,AD17 41 ETP 271/9446,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9448_La_Rochelle_Exports_1721,187,AD17 41 ETP 271/9448,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9449_La_Rochelle_Exports_1722,224,AD17 41 ETP 271/9449,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9450_La_Rochelle_Exports_1723,249,AD17 41 ETP 271/9450,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9451_La_Rochelle_Exports_1724,195,AD17 41 ETP 271/9451,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9452_La_Rochelle_Exports_1725,191,AD17 41 ETP 271/9452,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9453_La_Rochelle_Exports_1726,277,AD17 41 ETP 271/9453,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9454_La_Rochelle_Exports_1727,223,AD17 41 ETP 271/9454,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9455_La_Rochelle_Exports_1728,250,AD17 41 ETP 271/9455,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9456_La_Rochelle_Exports_1729,278,AD17 41 ETP 271/9456,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9457_La_Rochelle_Exports_1730,244,AD17 41 ETP 271/9457,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9458_La_Rochelle_Exports_1731,227,AD17 41 ETP 271/9458,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9459_La_Rochelle_Exports_1732,219,AD17 41 ETP 271/9459,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9460_La_Rochelle_Exports_1733,239,AD17 41 ETP 271/9460,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9461_La_Rochelle_Exports_1734,322,AD17 41 ETP 271/9461,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9462_La_Rochelle_Exports_1735,333,AD17 41 ETP 271/9462,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9463_La_Rochelle_Exports_1736,309,AD17 41 ETP 271/9463,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9464_La_Rochelle_Exports_1737,389,AD17 41 ETP 271/9464,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9465_La_Rochelle_Exports_1738,424,AD17 41 ETP 271/9465,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9466_La_Rochelle_Exports_1739,361,AD17 41 ETP 271/9466,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9467_La_Rochelle_Exports_1740,322,AD17 41 ETP 271/9467,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9468_La_Rochelle_Exports_1741,322,AD17 41 ETP 271/9468,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9469_La_Rochelle_Exports_1744,325,AD17 41 ETP 271/9469,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9470_La_Rochelle_Exports_1746,395,AD17 41 ETP 271/9470,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9471_La_Rochelle_Exports_1747,312,AD17 41 ETP 271/9471,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9472_La_Rochelle_Exports_1748,272,AD17 41 ETP 271/9472,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9473_La_Rochelle_Exports_1749,386,AD17 41 ETP 271/9473,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9474_La_Rochelle_Exports_1750,512,AD17 41 ETP 271/9474,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9475_La_Rochelle_Exports_1751,395,AD17 41 ETP 271/9475,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9476_La_Rochelle_Exports_1752,407,AD17 41 ETP 271/9476,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9477_La_Rochelle_Exports_1753,379,AD17 41 ETP 271/9477,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9478_La_Rochelle_Exports_1754,397,AD17 41 ETP 271/9478,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9479_La_Rochelle_Exports_1756,287,AD17 41 ETP 271/9479,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9480_La_Rochelle_Exports_1757,378,AD17 41 ETP 271/9480,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9481_La_Rochelle_Exports_1758,309,AD17 41 ETP 271/9481,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9482_La_Rochelle_Exports_1759,116,AD17 41 ETP 271/9482,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9483_La_Rochelle_Exports_1760,127,AD17 41 ETP 271/9483,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9484_La_Rochelle_Exports_1761,141,AD17 41 ETP 271/9484,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9485_La_Rochelle_Exports_1762,110,AD17 41 ETP 271/9485,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9487_La_Rochelle_Exports_1765,233,AD17 41 ETP 271/9487,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9488_La_Rochelle_Exports_1766,184,AD17 41 ETP 271/9488,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9489_La_Rochelle_Exports_1767,211,AD17 41 ETP 271/9489,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9490_La_Rochelle_Exports_1768,175,AD17 41 ETP 271/9490,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9491_La_Rochelle_Exports_1769,161,AD17 41 ETP 271/9491,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9492_La_Rochelle_Exports_1770,223,AD17 41 ETP 271/9492,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9493_La_Rochelle_Exports_1771,218,AD17 41 ETP 271/9493,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9494_La_Rochelle_Exports_1772,238,AD17 41 ETP 271/9494,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9495_La_Rochelle_Exports_1773,231,AD17 41 ETP 271/9495,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9496_La_Rochelle_Exports_1774,231,AD17 41 ETP 271/9496,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9497_La_Rochelle_Exports_1775,203,AD17 41 ETP 271/9497,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9498_La_Rochelle_Exports_1776,202,AD17 41 ETP 271/9498,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9499_La_Rochelle_Exports_1778,189,AD17 41 ETP 271/9499,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9500_La_Rochelle_Exports_1779,101,AD17 41 ETP 271/9500,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD17_41_ETP_271_9501_La_Rochelle_Exports_1780,100,AD17 41 ETP 271/9501,Local,1,Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,
AD33_C4268_Bordeaux_Imports_1719,337,AD33 C4268,Local,1,Local/Bordeaux/Bordeaux - Entrées - 1719.csv,
AD33_C4268_Bordeaux_Imports_1720,308,AD33 C4268,Local,1,Local/Bordeaux/Bordeaux - Entrées - 1720.csv,
AD33_C4268_Bordeaux_Imports_1737,194,AD33 C4268,Local,1,Local/Bordeaux/Bordeaux - Entrées - 1737.csv,
AD33_C4268_Bordeaux_Imports_1739,188,AD33 C4268,Local,1,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,
AD33_C4269_Bordeaux_Imports_1721,389,AD33 C4269,Local,1,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,
AD33_C4386_Bordeaux_Exports_1718,316,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1720,309,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1721,245,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1723,303,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1724,243,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1725,191,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1726,218,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1728,282,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1729,206,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1730,208,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,
AD33_C4386_Bordeaux_Exports_1731,127,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1732,176,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,
AD33_C4386_Bordeaux_Exports_1733,187,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1734,199,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1735,199,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,
AD33_C4386_Bordeaux_Exports_1736,206,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1737,250,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1738,318,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,
AD33_C4386_Bordeaux_Exports_1739,504,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4386_Bordeaux_Exports_1740,313,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,
AD33_C4386_Bordeaux_Exports_1752,334,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1752.csv,
AD33_C4386_Bordeaux_Exports_1753,268,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1753.csv,
AD33_C4386_Bordeaux_Exports_1754,267,AD33 C4386,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1754.csv,
AD33_C4387_Bordeaux_Exports_1742,553,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4387_Bordeaux_Exports_1743,565,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4387_Bordeaux_Exports_1744,354,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4387_Bordeaux_Exports_1745,246,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,
AD33_C4387_Bordeaux_Exports_1746,347,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,
AD33_C4387_Bordeaux_Exports_1747,267,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4387_Bordeaux_Exports_1748,292,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4387_Bordeaux_Exports_1749,374,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4387_Bordeaux_Exports_1750,392,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,
AD33_C4387_Bordeaux_Exports_1751,344,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4387_Bordeaux_Exports_1752,334,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
AD33_C4387_Bordeaux_Exports_1753,268,AD33 C4387,Local,1,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,
