grain_type,simplification
,baume laque
,baume noir
,bavoir
,bavolet et aigrette
,mat beaupré
,bécasse
,bécassine
,bêche
,bêche en fer
,benne
,benne vide
,berceau d'enfant
,berceau d'osier
,béret
,bergamote
,étoffe de laine bergopsum
,berline et harnois
,berline garnie de velours
,"berline garnie de velours, crespine d'or et harnois riche"
,berline vieille
,bestiau
,bétail agneau
,bestiau âne
,bétail chèvre et bouc
,bétail brebis
,bétail divers
,"bétail bœuf, vache, mouton, porc"
,"bétail bœuf, vache, mouton, veau"
,bétail génisse
,bétail vache
,bête de somme jument
,bétail taureau
,bestiau poulain
,bête de somme cheval arabe
,bête de somme chèvre
,bête de somme poulain
,"bête de somme mule, mulet et cheval"
,bête de somme mulet
,bétille
,betterave
,beurre commun
,beurre d'Angleterre
,beurre d'Irlande non comestible
,bourre de bœuf
,cacao beurre de
,beurre de dixmude
,beurre ordinaire
,beurre salé
,beurreterie en bar de fil blanc
,bézoard
,bidet de faïence
,bidet de faïence avec leurs ??? de bois
,bidet de faïence et leurs pièce
,bière
,bière aigre
,bière d'Angleterre
,bière blanche
,"bière, cidre et vinaigre"
,bière commune du pays
,bière d'Hougarde
,bière de Dantzig
,bière de Hollande
,beurre de Hollande et d'Angleterre
,bière de Lubek
,bière de Lubek pour médecine
,bière dite juypenbier
,bière dite lumay
,bière en fût
,bière et cidre
,bière forte
,bière nautique
,bière porter
,"bijouterie diamant, perle et pierre fine"
,bijouterie en épingle
,bijouterie pour montre d'argent
,bilardeaux
,billard vieux
,bille de bois
,bille de bois pour meuble
,bille de bois de gaïac
,bille de bois marbré
,billet de parchemin
,belle de bois
,billon
,billot de sapin
,billot
,billot pour merrain
,binage à pousser
,birampot bleu
,biscuit amer
,biscuit au poivre
,biscuit de grain froment
,biscuit de mer
,biscuit de munition
,bitume de Judée
,blague
,blanc d'écaille
,blanc d'Espagne
,blanc de baleine
,blanc de céruse
,blanc de plomb
,blanc de Troyes
,blanc en chevron
,blanc simple
,grain de prune
3,grain blé et autre grain
,drogue pour la peinture et la teinture bleu
,bleu calaminé
,drogue pour la peinture et la teinture bleu commun
,drogue pour la peinture et la teinture bleu de Prusse
,drogue pour la peinture et la teinture bleu de paille
,drogue pour la peinture et la teinture bleu de smalt
,drogue pour la peinture et la teinture bleu fin
,bleu foncé
,bloc
,bois chêne en bloc
,pierre en bloc
,blonde d'argent
,blonde d'or
,blonde de fil
,blonde de soie
,blonde or et argent
,bocal
,boclans
,bœuf à l'écarlate
,bœuf à la daube
,bœuf à la mode
,bœuf d'Irlande
,bœuf et langue salée
,bétail bœuf et taureau
,bœuf froment
,bœuf fumé
,bœuf illinois
,bœuf salé
,bœuf taureau
,bois
,bois de chêne
,bois à banquiere
,bois à baril
,bois à baril non scié
,bois à barrique
,bois à bâtir
,bois à bat
,bois à chocolat
,bois à crible
,bois à faire comble
,bois à faire corbin
,bois à faire fourreau d'épée
,bois à faire sommier
,bois à faire violon
,bois à fourreau d'épée
,bois à fusil
,bois à lit
,bois à meuble
,bois a parquet
,bois à pipe
,bois à quart
,bois à tamis
,bois à tapis
,bois à teindre de Fernambourg
,bois à teindre de toute sorte
,bois à teindre en bûche
,bois à teindre moulu
,bois à teindre râpé
,bois à tierçon
,bois à tonneau
,bois à tourner
,bois amer
,bois au daume
,bois bordage
,bois billot
,bois blanc
,bois à faire sabot
,bois de bordage de sapin
,bois bourdillon
,bois boway de chêne
,bois boway de sapin
,bois bray
,bois brandille
,bois brun
,bois de caliatour
,bois campêche
,bois cercle
,bois cordayer
,bois coudé
,bois courbé
,bois d'acajou
,bois d'amarante
,poix
,bois d'arc
,bois d'arc et d'arbalète
,bois d'arc et de fusil
,bois d'arc et de selle
,bois d'aspatton
,bois d'aulne
,bois d'ébène
,bois d'écarage
,bois d'érable
,bois d'éventail
,bois d'éventail de nacre de perle
,bois d'olivier
,bois d'olivier pelé
,bois d'originelle
,bois d'orme
,planche d'orme
,bois d'osier
,bois autre
,bois de bateau
,bois de bordage
,bois de bouleau
,bois de Brésil en bûche
,bois de brochialle
,bois de caliatour en bûche
,bois de camphre
,bois de cannelle
,bois de cèdre
,bois de cerisier
,bois de chaise
,bois de charbonnage
,bois de charpente
,bois de charonage
,bois de chataignier
,bois de chêne 30 pieds
,bois de chêne de construction
,bois de chêne à poutre
,bois de chêne à sommier
,bois pour navire
,planche de chêne
,bois de chêne pour construction
,bois de chêne scié
,bois de chevron
,bois de la chine
,bois de sipre
,bois de cleippe
,bois de coco
,bois de Constentines
,bois de construction en chêne et sapin
,bois de corne
,bois et panier de coudre
,bois de couleur
,bois de coutelier
,bois de crabe
,bois de faïence
,bois de fauteuil
,bois de fauteuil et canapé
,bois de hêtre
,bois de fer
,bois de ferol
,bois de flèche
,bois de flèche et arc
,bois de frêne
,bois de fustel haché
,bois de fustel moulu
,bois de gaïac en bûche
,bois de genièvre
,bois de girofle
,bois de gitte
,bois de grenadier
,bois de lettre
,bois de lin
,bois de lit
,bois de marqueterie marbre
,bois de marbre
,bois de marqueterie
,bois de menuiserie
,bois de merrain
,bois de merrain a fond
,bois de Nantes
,bois de noyer
,bois de passementerie en mat
,bois de passementerie en planche de sapin
,bois de passementerie en planche et poutrelle
,bois de fernambourg en bûche
,bois de fernambourg moulu
,bois de pernambouc rapé
,bois de pin
,bois pour plafond
,bois de Provence
,"bois de Provence, sernambue et campeche"
,bois de raquette
,bois de réglisse
,bois de Rhodes
,bois de romarin
,bois de rose
,bois de rouage
,bois de rouage et ouvrage de charronerie
,bois de St. Martin
,bois de Sainte Lucie
,bois de santal
,bois de santal moulu
,bois de sapin
,bois de sapin en planche
,bois de sapin en soliveau
,bois de sapin mat et vergue
,bois de sapin peint
,bois de saxafras moulu
,bois de saune
,bois de selle
,bois de senteur
,bois de serrure
,bois de Siramonbas
,bois de sommier
,bois de table doré
,bois de teck
,bois de teinture
,bois de teinture de campêche
,bois de teinture de fustick
,bois de teinture divers
,bois de teinture d'Honduras
,bois de teinture en buche
,bois de teinture et marqueterie
,bois de teinture nicaragua
,bois de terre
,bois de tilleul
,bois de violette
,bois d'Inde et des îles pour l'ébénisterie
,bois d'Inde et des îles pour la teinture
,bois d'Inde
,bois d'Inde pour teinture et marqueterie divers
,bois dit a fond
,bois dit 'ricter'
,bois divers en planche
,bois doré
,bois de Brésil menu
,bois de Brésil moulu
,bois de Honduras
,bois du Japon
,bois du Japon jaune
,bois de Surinam
,bois durci
,bois écarié
,bois à houblon
,barreau bois
,barreau et planche bois
,bois en bûche
,cercle de bois
,bois en eprier
,cercle et feuillard en bois
,latte de bois
,madrier de bois
,perche de bois
,mât petit
,bois en planche
,bois en rame
,bois en taille à couvrir
,bois en tranche
,bois espar de 40 à 50 pieds
,bois espar de 56 à 61 pieds
,réglisse bois et jus
,bois et merrain
,bois et ouvrage de charronerie
,bois et papier d'éventail
,bois flotté en étançon rond
,bois fonçaille
,bois de fond à castor
,bois de fusil
,bois gros
,bois pour crible
,bois jaune moulu
,bois jaune râpé
,bois lourd
,bois marbré
,bois matraux
,bois mat
,bois mêlée
,bois de merrain à barrique
,merrain a busse
,bois merrain à cardine
,merrain à tonneau
,bois merrain bourdille
,bois merrain bourdillon
,bois merrain de 4 pieds
,bois merrain douelle
,bois merrain ordinaire
,bois merrain pour ferraille
,bois moulu
,bois ouvré à bâtir
,bois palissandre
,perche à houblon
,bois petit de rouage
,bois planche
,bois planche de sapin
,bois portatif dit Neyster
,bois pour arbalète
,bois pour bordage
,bois pour chaise
,bois pour fond de tonneau
,bois pour fût
,bois pour Latte
,bois pour palissade
,bois pour pipe
,bois pour pompe
,bois pour quille
,bois pour teinture
,bois pour fusil
,bois préparé
,bois pour palissade et terrasse
,bois rouge
,bois royal
,bois Sainte Lucie
,bois scié
,bois scié en barreau
,bois soutreaux
,bois Sustek
,bois peint
,bois tord
,bois travaillé
,bois tropique
,bois violet
,boisson
,boisson bière et cidre
,boisson gazeuse à la salsepareille
,boisson liqueur
,boisson vin de Bordeaux
,boisson vin de liqueur
,boisson vin divers ordinaire
,boisson vinaigre
,boîte
,boîte à cadrille
,boîte à sucre
,boîte assortie
,boîte blanche
,boîte de bergamote
,boîte de bois
,boîte de bois violet
,boîte de carton
,boîte de fer blanc
,boîte de Nuremberg
,boîte de cadrille
,boîte de sapin
,boîte de sapin blanc
,boîte peinte
,boîte sapin
,boîte sapin teinte
,boîte vernie
,bol blanche
,bol commun
,bol d'Arménie
,bol en bois
,bol et planche
,bol fin
,bombarde
,bombarde de cuivre
,bombarde de fer
,bombe et grenade
,bombe et boulet
,bonneterie bas de bourre de soie
,bonneterie bas de coton
,bonneterie bas de laine
,bonneterie bas de soie
,bonneterie d'estam
,bonneterie de bourre de fil
,bonneterie de bourre de soie
,bonneterie de coton tricot
,bonneterie de coton et laine
,bonneterie de coton fil et laine
,bonneterie de filain d'or
,bonneterie de filoselle
,bonneterie de laine et coton
,bourse de soie
,bonneterie de soie et dorure
,ruban de soie
,bonneterie de soie tricot
,bonneterie écarlate
,bonneterie en poil de lapin
,bonneterie bonnet
,bonnet à dentelle
,bonnet à la turc de fer blanc
,bonnet brodé d'or
,bonnet d'enfant
,bonnet de blonde
,bonneterie bonnet de castor
,bonnet de castor brodé
,bonneterie bonnet de femme
,bonneterie bonnet de filosel
,bonnet de gaze
,bonneterie bonnet de grenadine
,"bonneterie bonnet de laine, fil et coton"
,bonneterie bonnet de laine fin
,bonneterie bonnet de peau
,bonneterie bonnet de postillon
,bonneterie bonnet de prêtre
,bonneterie bonnet de soie
,bonnet de taffetas
,bonnet de toile
,bonneterie bonnet de toile cirée
,bonneterie bonnet de velours
,bonnet de velours brodé
,bonnet fil et coton
,drogue médicinale borax
,borax brut
,borax gras
,bordage
,bordage de cipres
,bordage de sapin
,bordage de sapin de 20 pieds
,bordage pour navire
,bordure de bois doré
,bordure dorée
,botte
,botte et bottine
,botte de cuir
,botte de cuir à matelot
,botte de cuir forte
,botte forte
,botte molle
,botte neuve
,botte pantalon
,bottine
,bouchon
,bouchon de liège
,boucle
,cuir boucle et barrette
,boucle d'argent
,boucle d'oreille
,boucle de cuivre
,boucle de fer
,boucle de sapin
,boucle de soulier à pierre fausse
,boudin de poisson
,sel de boue
,bouette de sapin
,bouguette
,bougie de cire blanche
,bougie blanche
,bougie de blanc de baleine
,bougie de cire verte
,bougie de suif
,bougie de table
,bougie de table et cierge
,bougie jaune
,bougie verte
,boulange
,boulan
,boule
,boulle d'acier
,boule de bois
,boule de buis
,boule de mail
,boule de sapin
,boule de terre
,boule de verre
,boule vulneraire
,boulet de canon de 4 livre
,boulette de marbre
,bourre-lanisse
,bourse de coton et fil
,bourse de Damas
,bourre de fil
,bourre de laine
,bourre de soie
,cendre bourde
,bourdille à barrique
,bourdillon à barrique
,bourdillon à quart
,bourdillon à tierçon
,bourrelet de velours
,bourre à bourrer
,bourre chiquette
,bourre de bœuf et vache
,bourre de chèvre
,bourre de drap
,bourre de vache
,bourse
,bourse à perruque
,bourse à ressort
,bourse de cuir à ressort
,bourse de fil
,bourse de filoselle
,bourse de perruque
,bourse de taffetas
,bourse or et argent
,boussole
,boutarge
,bouteille
,bouteille de bois
,bouteille de composition
,bouteille cristal
,bouteille de cristal et carafe
,bouteille de grès
,bouteille de marbre
,bouteille de terre
,bouteille de verre garnie de jonc
,bouteille de verre vide
,bouteille vide
,boutonnière d'or
,bouton
,bouton à pierre fausse
,bouton à pierre fausse par douzaine
,bouton blanc étamé
,bouton brodé de nacre de perle et d'acier
,bouton brodé or et argent
,bouton d'acier
,bouton d'argent
,bouton d'argent sur bois
,bouton d'argent trait
,bouton d'étain
,bouton d'or traité
,bouton d'os et de corne
,bouton d'uniforme
,bouton de bois de coco
,bouton de coco
,bouton de corne
,bouton de coton
,bouton de crin et poil
,"bouton de crin, poil de soie"
,bouton de cristal
,bouton de cuivre
,bouton de cuivre argenté et dorée
,bouton de cuivre et d'étain
,bouton de cuivre et d'étain argenté
,bouton de cuivre sur bois
,"bouton de cuivre sur bois, d'os de cocq et de corne"
,bouton de fil
,bouton de fil blanc
,bouton de fil de poil de chevre
,bouton de laiton
,bouton de livrée
,bouton de manche
,bouton de métal
,bouton de métal doré
,bouton de nacre
,bouton de nacre de perle
,bouton de nacre de perle et jayet
,bouton de poil
,bouton de poil de chèvre
,bouton de soie
,bouton de soie à poil
,bouton de tombacq doré
,bouton de trait d'or et d'argent fin
,bouton de verre
,bouton de verre émaillé
,bouton divers
,bouton dorure d'argent
,bouton fil d'or
,bouton masquiné
,bouton or et argent faux
,bout de corne
,boyau salé
,brasselet
,brasselet de crin
,brai à brasser
,brai et goudron
,brai en poix résine
,bray et eau de rose
,brai résine
,bray goudron et eau de rose
,bray goudron et poix
,bray goudron et résine
,"brai goudron, galipot et résine"
,"brai goudron, poix et résine"
,brai gros
,brai poix
,brai poix blanche et noire
,brai raze
,brai térébenthine
,brancard de chaise
,brancard de fer
,brandan
,brandebourg d'or
,brandebourg de fil
,bras de chandelle
,bras de cheminée
,bras de soie
,bride argentée
,brignole
,brique
,brique de terre
,brique hollandaise en terre cuite
,briquet
,brancard de soie
,brocatelle de Venise
,broche
,brochet
,broderie commune
,brosse à cirer
,brosse a peindre
,brosse et pinceau
,brosse et vergette
,brouette
,broule
,brousse fraiche
,broute de chaderdoral
,bruste à tisserand
,buffet
,buffle
,étoffe de soie et laine burat
,bure étoffe
,bureau de noyer
,bureau de sapin
,bureau garni de cuivre doré
,bureau verni
,buste de marbre
,cabaret
,cabaret de bois verni
,cabaret verni
,cabaret peint
,cabas d'auf
,cabas de jonc
,cabas de laine
,cabas de palme
,cabillaud
,cabinet de sapin
,cabinet de noyer
,cabinet peint
,câble assorti
,câble de navire
,câble pour navire moyen
,caboche
,caboche de fer
,cabriolet
,cabrion
,cabrouet
,cacao
,cacao broyé
,cacao des îles
,cacao en graine
,cachet d'argent
,cachet doré
,cachou brut
,horlogerie cadran de montre
,cadre de bois
,cadre doré
,café
,café de Martinique
,café de moka
,café des Indes
,café du Levant
,café et provision
,cafetière
,cafetière de cuivre
,cafetière de fer blanc
,cafetière de métal
,cafetière de Levant
,caffar blanc
,caffard carpette et ligature
,caffar de laine
,cage
,cage d'oiseau
,caille
,caillou
,caisse à carafon
,caisse de berline et train
,caisse de carosse
,caisse de liège
,caisse et tête de carton
,caisse vide
,calamine grillée
,calamus aromatisé
,calèche
,cale en bois
,calice d'argent
,calotte et sac de papier
,calotte de peau divine
,calotte de prêtre
,cambray
,camelot au quart
,camelot au sixième de soie
,camelot burail
,camelot d'Amiens
,camelot d'Angleterre et Hollande
,camelot de burail
,camelot de laine
,camelot de laine et soie
,camelot de Lille et autre
,camelot de terrine
,camelot mêlé de soie
,camelot poil et laine
,camelot rayé
,camisolle
,camphre
,camphre raffiné
,canard
,canapé de cuir de Russie
,canapé de maroquin et table à joué
,carnadière
,canard en vie
,canari ou serin
,candeta
,canne
,canne garnie
,canevette
,canetille d'or faux
,canevas de fil
,canevas tracé
,canevette à flacon
,canif
,canique
,"canelle, giroffle, poivre, etc."
,canne à main
,canne à pomme d'or
,canne à pomme d'or ayant servi
,canne de bois montée et non montée
,canne dit genette
,canne diverse
,canne et bâton verni
,cannette
,cannette de ?
,cannette de bois de sapin
,cannette de terre et de grès
,canonnière de cantil
,canon de 18 de balle
,canon de fusil
,canon de fer de 18 a 24 livre
,canon de fer de 18 et 30 livre de balle
,canon de fer de 3 livre
,canon de fer de 4 livre
,canon de fer petit
,canon de fer de 4 livre de balle
,canon de fonte
,canon de fonte petit
,canon de métal
,canon de cuivre
,canon en fer de 2 livre
,canon et balle de fer
,canon et boulet
,cantine
,caparaçon
,cape cabas
,cape de Bearn
,cape de camelot
,cape de drap
,capilaire vert
,capiton de soie
,câpre
,câpre et olive
,capsliatte
,carabine à air comprimé
,carcasse à peu de soie
,carde
,carde à carder
,carde à drapier
,carde carder
,carde de bois et fil de fer
,carde en fer
,carde et cardon champêtre
,carde neuve
,carde vieille
,cardine
,cardine de sapin
,cardon
,cargaison
,caril
,carizé
,carisaye blanche
,carizé étoffe
,carisaye mellée
,carisaye teinte
,carizé vieille
,carol
,carrosse
,carotte d'enfant
,carpeaux alvin
,carpe
,carreau
,carreau ?
,carreau à paver
,carreau bleu
,carreau d'ardoise
,carreau de bidache
,carreau de dentelle
,carreau de marbre
,carreau de marbre à paver
,carreau de marbre pour le roi
,carreau de pierre
,carreau de pierre de terre
,carreau de pierre noire
,carreau de sera
,carreau de verre
,carreau de verre à vitre
,carreau Île de France
,carreau moulage
,carreau pour le sol
,carreau rouge
,carelet
,carrelet séché
,carrosse et harnois
,carrosse grand monté sur leur train et harnois riche
,carrosse neuf
,carrosse vieux
,carrouge
,carte à jouer
,carte de géographie sur toile
,carte de la côte d'Angleterre
,estampe et carte géographique
,carte marine
,carton à drapier
,carton en feuille
,carton moulé
,ouvrage de carton
,carton ouvré et en feuille
,cartouche
,casaque
,casaque à nègre
,casaque de froc
,casaque de peau
,cascarille
,casse
,casque de charge
,casque et cuirasse
,casse de fer
,casse de laiton
,casse remède
,casse en bâton
,casse garnie
,casse au canéfice
,casserole
,casserole de fer
,cassole
,cassonnade
,castor blanc
,castor gras
,castor sec
,catadarit
,catéchisme
,catequin
,causel de bar
,cave
,cave à tabac
,cave file
,cave garnie
,caviar
,cuvier de terre
,cédrat zeste confit
,ceinture
,ceinture brodée de soie
,ceinture d'argent fin
,ceinture de prêtre
,ceinture de soie
,ceinture marine
,ceinturon
,ceinturon et bandouilliere
,ceinturon brodé
,ceinturon brodé d'argent
,ceinturon brodé d'or
,ceinturon de buffle
,ceinturon de peau
,ceinturon de soie
,ceinturons piqué
,ceinturon uni
,céleri
,cendre ??
,cendre à fumer
,cendre à fumer terre
,cendre à savon
,cendre barille
,cendre barille et fonde
,cendre blan
,cendre bleue et verte
,cendre broyée à l'huile
,cendre caleinée
,cendre cassant
,cendre casseaux
,cendre commune
,cendre d'Angleterre
,cendre d'os
,cendre de bois
,cendre de chaux
,cendre de courbe
,cendre fonde
,cendre de grignon
,cendre de lessive
,cendre de malte
,cendre de mer
,cendre de matron
,cendre de Sicile
,cendre de tourbe et de paille
,cendre diverse
,cendre de toute espece à engraisser
,cendre de varech
,cendre de varet
,cendre de verre
,cendre de vitarch
,cendre des rois
,cendre soude et potasse
,"cendre potasse, vedasse et gravelée"
,cendre flore
,cendre de frêne
,cendre menuisée
,cendre poreuse
,cendre potasse et vedasse
,cendre pour manufacture
,cendre soude d'Egypte ou Natrum
,"cendre soude, natron et salin"
,cendre tourbe
,cendre verte
,centaurée et bleuet
,cerceau
,cerceau de fût
,cercle
,cercle à barrique
,cercle à pipe
,cercle à quart
,cercle et feuillard
,cercle de bois de barrique
,cercle de feuillard
,cercle ocloir
,cerise
,cerneau
,céruse et blanc-de-plomb
,chade
,chaîne de fer
,chaîne de laiton
,chair ?
,chair cuite
,chair de bœuf
,chair de boucherie
,chair de porc en jambon
,chair diverse
,chair fraîche de viande
,chair fraîche
,chair salée et fraîche
,chair fumée
,chair salée
,chair salée bœuf
,chair salée boyau
,chair salée chair de bœuf bœuf salé
,chair salée chair de bœuf boyau salé
,chair salée chair de bœuf diverse
