item,group,status,beforeItems,afterItems,obsolete,imprimatur
drogue térébenthine essence et huile,[drogues],ambiguous,,[Essence et huile de térébenthine],no,
drogue térébenthine essence,[drogues],ambiguous,,[Essence ; de terebenthine] [Essence ; de térébenthine] [Essence de terebantine] [Essence de térébenthine] [Essence de therebentine],no,
essence de térébenthine,[drogues],ambiguous,,[Drogues ; melées ; Essence de Thérebentine] [Drogues ; pour la peinture et la teinture ; essence ; de térébenthine] [Résines ; Thérébenthine ; essence] [Résines ; Térébenthine ; essence],no,
tripoli,[drogues],ambiguous,[Tripoli] [Tripoly] [tripoli],[Tripoli] [Tripoly] [tripoli] [Drogues ; tripoli],no,
tournesol en pain,[drogues],ambiguous,,[Drogues ; pour la peinture et la teinture ; tournesol ; en pain] [Drogues ; Pour la teinture ; Tournesol en pain] [Tournesol ; en pain],no,
tournesol,[drogues] [drogue ; pour la peinture et la teinture],ambiguous,[Tourneso] [Tournesol] [Tournesols] [tournesol],[Tourneso] [Tournesol] [Tournesols] [tournesol] [Drogue ; pour la peinture et la teinture ; tournesol] [Drogueries ; pour peinture et teinture ; tournesol] [Drogues ; pour la peinture et la teinture ; tournesol] [Drogues ; pour peinture et teinture ; tournesol] [Drogues ; Medecinales en plantes ; Tournesol] [Drogues ; Médecinales en plantes ; Tournesol],no,
séné,[drogues] [drogue ; médicinale],ambiguous,,[Drogueries ; séné] [Drogues ; séné] [///Drogues Médicinales///Séné] [///Drogues midicinales///Sené] [///Drogues médicinales///Séné] [Drogueries ; médécinales ; séné] [Drogues ; Médécinales ; Sené] [Drogues ; Médécinales ; Senée] [Drogues ; médecinales ; sené] [Drogues ; médicinales ; séné] [Drogues ; médécinales ; séné] [Drogues ; Medecinales en plantes ; Sené] [Drogues ; Médecinales en plantes ; Séné] [Drogueries médicinales séné] [Drogues; Médicinales; Sené] [Drogues ; médicinales ; sené] [Drogues ; medicinales ; séné],no,
soux en feuilles,[drogues],ambiguous,,[Drogues ; soux ; en feuilles],no,
soux de grabanite,[drogues],ambiguous,,[Drogues ; soux ; de grabanite],no,
soie et laine,[drogues],ambiguous,,[Drogues soye et laine],no,
sel de Saturne,[drogues] [sel] [drogues ; chimiques],ambiguous,,[Sel ; de Satturne] [Sel ; de Saturne] [Sel ; de saturne] [Sel de Saturne] [Sel de saturne] [Sel; de saturne] [Sels ; de Saturne] [Sels ; de saturne] [Sels de Saturne] [Sels de saturne] [sel de Salurne] [sel de saturne] [Drogueries ; sel ; de saturne] [Drogues ; chimiques ; sel ; de saturne] [Drogues; Sel; De saturne] [Drogyes ; chimiques ; sel ; de saturne] [Drogues ; chimiques et métalliques ; sel ; de saturne] [Drogues ; chimique ; sel ; de saturne],no,
sandarac,[drogues],ambiguous,,[Sandarac] [Sandarak] [Sang d'arac] [Sang d'avac] [sandarac] [sandaraque],no,
drogue salsepareille,[drogues],ambiguous,,[Drogues ; de toutes espèces ; Salsepareille],no,
safranum,[drogues],ambiguous,,[Drogueries ; pour la peinture et la teinture ; safranum] [Drogueries ; pour peinture et teinture ; safranum] [Saffranum] [Safranon] [Safranum] [Drogues ; médicinale ; remèdes ; saffranon] [Saffranon] [Saframan] [saffranon] [safranon] [saffranum] [Saffranons],no,
safran,[drogues],ambiguous,,[Drogues ; Medecinales en plantes ; Saffran] [Drogues ; Médecinales en plantes ; Saffran] [Drogue ; pour la peinture et la teinture ; saffranum] [Drogues ; pour la peinture et la teinture ; saffranum] [Drogues ; Pour la teinture ; Saffranum] [Drogueries ; safran] [Drogues ; safran] [Saffran] [Safran] [saffran] [safran] [///Drogues Médicinales///Safran] [///Drogues midicinales///Safran] [///Drogues médicinales///Safran] [Drogueries ; médécinales ; safran] [Drogues ; Médécinales ; Saffran] [Drogues ; médicinales ; saffran] [Drogues ; médécinales ; Safran] [Drogues ; médécinales ; saffran] [Drogues ; médécinales ; safran] [Drogueries médicinales safran] [Drogueries ; safranum] [Drogues ; pour la peinture et la teinture ; saffranon] [Sasfran] [Drogues; Médicinales; Saffran] [Safffran] [3///Matières premières///Saffranum] [Drogues ; medicinales ; saffran] [Drogues ; pour peinture et teinture ; saffranon],no,
drogues réunies,[drogues],ambiguous,,[///Drogues Diverses///Drogues réunies] [///Drogues diverses///Drogues réunies],no,
réunies,[drogues],ambiguous,,[///Drogues diverses///Drogues diverses réunies] [Drogues réunies] [Drogues diverses réunies],no,
drogue rhubarbe,[drogues],ambiguous,,[Drogues ; de toutes espèces ; rhubarbe],no,
rhubarbe,[drogues] [drogue ; médicinale],ambiguous,[Rhubarbe] [Rhubarbes] [Rhubarde] [Rubarbe] [Rubarbes] [rhubarbe] [rubanbe] [rubarbe] [rubarbe de moscovie],[Rhubarbe] [Rhubarbes] [Rhubarde] [Rubarbe] [Rubarbes] [rhubarbe] [rubanbe] [rubarbe] [Drogues ; rhubarbe] [Drogues ; Medecinales en plantes ; Rhubarbe] [Drogues ; Médecinales en plantes ; Rhubarbe] [Drogueries ; médécinales ; rhubarbe] [Drogues ; Médécinales ; Rhubarbe] [Drogues ; médecinales ; rhubarbe] [Drogues ; médicinales ; rhubarbe] [Drogues ; médécinales ; rhubarbe] [Drogueries médicinales rhubarbe] [Drogues médicinales rhubarbe] [Drogues; Médicinales; Rubarbe] [Drogues ; medicinales ; rhubarbe],no,
drogue quinquina,[drogues],ambiguous,,[Drogueries ; quinquina],no,
quinquina,[drogues] [drogue ; médicinale],ambiguous,,[Drogues ; quinquina] [///Drogues Médicinales///Quinquina] [///Drogues midicinales///Quinquina] [///Drogues médicinales///Quinquina] [Drogueries ; médécinales ; quinquina] [Drogues ; Médécinales ; Quinquina] [Drogues ; médecinales ; quinquina] [Drogues ; médicinales ; quinquina] [Drogues ; médécinales ; quinquina] [Quincuina] [Quinquina] [Quiquina] [quinquina] [Drogues ; medicinales ; quinquina] [Qunquina] [Drogueries médicinales quinquina] [Drogues ; Medecinales en plantes ; Quinquina] [Drogues ; Médecinales en plantes ; Qumquina],no,
musc,[drogues] [drogues ; chimiques],ambiguous,[Musc] [musc],[Musc] [musc] [Drogues ; Odorantes ; Musc] [Drogues ; Odorantes ; Muse] [Drogues ; odorantes ; musc] [Drogues ; muse],no,
encens,[drogues],ambiguous,[Encens] [Encense] [Encent] [Ences] [encens] [Encens ; commun] [Encens commun],[Encens] [Encense] [Encent] [Ences] [encens] [Drogueries ; odorantes ; en encens] [Drogueries ; odorantes ; encens] [Drogues ; Odorantes ; Ecens] [Drogues ; Odorantes ; Encens] [Drogues ; odorantes ; encens] [Drogues; Odorantes; Encens] [Droges; Odorantes; Encens],no,
ambre jaune,[drogues] [ambre],ambiguous,,[Drogues ; Odorantes ; Ambre jaune] [Ambre ; jaune] [Ambre jaune] [Ambre; jaune] [Ambres Jaune] [ambre jaune] [ambre;Jaune] [Ambre jeaune],no,
ambre gris,[drogues] [ambre],ambiguous,,[Drogues ; Odorantes ; Ambre gris] [Ambre ; gris] [Ambre gris] [Ambre; grin] [ambre gris],no,
diverses,[drogues] [drogue ; pour la peinture et la teinture],ambiguous,,[Drogueries ; pour peinture et teinture ; diverses] [Drogues ; peinture et teinture ; diverses] [Drogues ; Odorantes ; Diverses] [Drogues ; Odorantes Diverses] [Drogues ; odorantes ; diverses] [Drogues; Métalliques et chimiques; Diverses],no,
droguerie odorante,[drogues],ambiguous,,[Drogueries ; odorantes],no,
sel d'étain,[drogues],ambiguous,,[Drogues ; métallique et chimique ; sel ; d'étain],no,
drogue métallique vitriol de Chypre,[drogues],ambiguous,,[Vitriel de Chipre] [Vitriol ; de Chipre] [Vitriol ; de Chypre] [Vitriol ; de chipre] [Vitriol de chipre] [Vitrol de chipre] [vitriol de Chipre] [vitriol de Chipres] [vitriol de chipres] [vitriol de chypres],no,
drogue métallique vitriol,[drogues],ambiguous,,[Vitriol] [vitriol],no,
vitriol,[drogues],ambiguous,,[Drogues ; Metalliques ; Vitriol] [Drogues ; Métalliques ; Viriol] [Drogues ; Métalliques ; Vitriol] [Drogues ; metalliques et chimiques ; vitriol] [Drogues; Chimique; Vitriol] [Drogues ; chimiques et métalliques ; vitriol] [Drogues; Métalliques; Vitriol],no,
toutenague,[drogues],ambiguous,[Toutellagne] [Toutenage] [Toutenagne] [Toutenagre] [Toutenague] [Toutenagues] [toute vague],[Toutellagne] [Toutenage] [Toutenagne] [Toutenagre] [Toutenague] [Toutenagues] [toute vague] [Drogues ; Métalliques ; Toutenague],no,
salamouris,[drogues],ambiguous,,[Drogues ; metallique ; salamouris],no,
piharge,[drogues],ambiguous,,[Drogues ; Metalliques ; Piharge],no,
mercure,[drogues] [mercure],ambiguous,[Mercure] [mercure],[Vif ; argent] [Mercure] [mercure] [Drogues ; Metalliques ; Mercure] [Drogues ; Métalliques ; Mercure] [Drogues ; Metalliques ; Argent vif] [Drogues ; Métalliques ; Argent vif] [Drogueries ; chimique et métallique ; argent ; vif] [Drogues ; chimique et métallique ; argent ; vif] [Drogues ; chimiques et métalliques ; argent ; vif] [Argent ; vif] [Argent Vif] [Argent vif] [Argent; vif] [Argents vif] [argen vif] [argennt vif] [argent vif] [argrent vif] [Argent vif ou mercure] [Argent (vif) ou mercure] [argent vif ou mercure] [Drogues ; chimiques et métalliques ; marcure] [///Métaux///Argent vif] [Drogueries métalliques et chimiques argent vif] [Drogues; Métalliques; Argent vif] [Argent vif et mercure] [Vif argent ou mercure],no,
mercerie,[drogues] [mercerie],ambiguous,[Mercerie] [Merceries] [Merciers] [Merrcerie] [mercerie] [Mercerie ; commune] [Mercerie commune] [mercerie commnue] [mercerie commune] [Mercerie ; de Nuremberg] [merceries de Nuremberg] [Mercerie ; diverse] [Merceries ; diverses] [Mercerie ; diverses ; à la valeur] [Mercerie ; Melée] [Mercerie ; melée] [Mercerie ; méleé] [Mercerie ; mêlée] [Merceries ; Merceries meslées] [Merceries mêlées] [merceries mellées] [Mercerie ; ?],"[Mercerie meslées] [Merceries ; Fines ; Aiguilles a voile] [Mercerie] [Merceries] [Merrcerie] [mercerie] [Mercerie ; diverse] [Merceries ; diverses] [Mercerie ; diverses ; à la valeur] [Mercerie ; Melée] [Mercerie ; melée] [Mercerie ; méleé] [Mercerie ; mêlée] [Merceries ; Merceries meslées] [Merceries mêlées] [Marcerie] [Drogues ; metallique ; mercerie] [Mercerie diverse] [Merceries diverses] [Mercerie;] [///Industrie générale///Merceries] [Mercerie ; melés] [Mercerie diverse;] [Merceries ; mêlées] [///Industrie étrangère///Merceries] [///Industrie Générale///Merceries] [///Industrie Etrangère///Merceries] [Mercerie mêlée] [Mercerie fine, aiguilles, épingles, &c] [Mercerie diverse; Mêlée] [Mercerie mêlées]",no,
drogues métalliques,[drogues],ambiguous,,[Drogues ; Métalliques ; Diverses] [Drogues ; metalliques],no,
droguerie métallique,[drogues],ambiguous,,[Drogueries ; métalliques ; diverses],no,
auchinoise,[drogues],ambiguous,,[Drogues ; Metalliques ; Auchinoise],no,
arsenic,[drogues],ambiguous,[Arcenic] [Arsenic] [arcenic] [arsenic],[Drogues ; Métalliques ; Arsenic] [Drogues ; Métalliques ; Arsenif] [Drogues ; Pour la teinture ; Arsenie] [Drogues ; chimiques et métalliques ; arsenic] [Arcenic] [Arsenic] [arcenic] [arsenic] [Drogueries ; médecinales ; arsenic] [Drogues; Pour peintures et teintures; Arsenic] [Drogues ; metalliques et chimiques ; arsenic] [Drogues ; pour la peinture et la teinture ; arsenic],no,
agaric gros,[drogues],ambiguous,,[Drogues ; médecinales ; agaric ; gros],no,
agaric,[drogues],ambiguous,,[Agaric] [Agaric brut et préparé] [Agarie] [agaric] [agarics],no,
mastic,[drogues],ambiguous,[Mastic] [Mastie] [mastic],[Mastic] [Mastie] [mastic] [Drogues ; melées ; Mastic] [Drogues ; mêlées ; mastic] [Drogues ; mastic],no,
litharge,[drogues],ambiguous,[Letarge] [Liatarge] [Lilarge] [Litarge] [Litarges] [Litargess] [Litharge] [Litrage] [Littarge] [Liturge] [Lâtharge] [letarge] [litarge],[Letarge] [Liatarge] [Lilarge] [Litarge] [Litarges] [Litargess] [Litharge] [Littarge] [Liturge] [Lâtharge] [letarge] [litarge] [Drogues ; litarge] [Drogue ; métalliques ; litharge] [Drogues ; Métalliques ; Litharge] [Drogues ; pour la peinture et la teinture ; litarge] [Drogues ; pour la peinture et la teinture ; litharge] [Drogues ; pour peinture et teinture ; littarge] [Drogues pour la peinture et teinture; Litharge] [Drogues; Métalliques; Litarge] [licarge] [Drogueries pour teinture et peinture lytharge] [Drogues ; pour la peinture et la teinture ; littarge],no,
huile de vitriol,[drogues],ambiguous,,[Huile de Nitriol] [huile de Nitriol] [huille de nitriol] [Drogueries ; huile ; de vitriol] [Drogues ; Huile de vitol] [Drogues ; Huile de vitriol] [Drogues ; huile ; de vitriol] [huile de Vitriol] [Huiles; De vitriol] [Drogueries ; médecinales ; huile ; de vitriol] [huille de vitriol] [Drogues; Chimiques huile de vitriol] [Huille ; de vitriol] [Huile ; de Vitriol] [Huile de Vitriol] [Huile de vitriol] [huille de Vitriol] [Huille de Vitriol] [huile de vitriol] [Huile ; de vitriol],no,
huile d'amande,[drogues] [huile],ambiguous,,[Huile ; d'amande] [Huile ; d'amandes] [huile d'amande] [huille d'amande] [Drogues ; melées ; Huile d'ammande] [Huiles; D'amande],no,
graine,[drogues] [graine],ambiguous,[Grain] [Graines],[Graines de lin et autres] [Drogues ; melées ; Graines diverses] [2///Matières première///Graines diverses] [2///Matières premières///Graines diverses] [Graines meslées] [Grains en graines],no,
gousses lagne,[drogues],ambiguous,,[Drogues ; melées ; Gousses lagne],no,
gousses gatte,[drogues],ambiguous,,[Drogues ; melées ; Gousses gatte],no,
goussses,[drogues],ambiguous,,[Drogues ; Mêlées ; Gousses diverses],no,
gousses arabiques,[drogues],ambiguous,,[Drogues ; Mêlées ; Gousses arabiques] [Drogues ; melées ; Gousses arabiques],no,
gomme tacamaca,[drogues] [gomme],ambiguous,,[Gome ; tamaqua] [Gomme ; tacamaca] [Gomme ; tacumaca] [Gomme ; tatamaque] [Gommes ; tacamaque] [Gomme ; lamaqua],no,
gomme laque,[drogues] [gomme],ambiguous,,[Gome ; lacque] [Gomme ; lacque] [Gomme ; laque] [Gomme ; laïque] [Gomme Lacque] [Gomme lacque] [Gomme laque] [Gommes ; lacque] [Gommes laque] [gomme laque] [Drogues ; mêlées ; gomme ; laque] [Drogues mélées ; Gommes ; Lacque] [Drogues ; Gommes ; Lacque] [Drogueries ; gomme ; laque] [Drogues ; gommes ; lacque] [Drogueries gomme lacque] [Drogues ; gomme ; laque],no,
gomme galle,[drogues],ambiguous,,[Drogueries ; gomme ; gulle] [Drogues ; gomme ; galle],no,
drogue essence de vitriol,[drogues],ambiguous,,[Essence ; de vitriol],no,
essence de vitriol,[drogues],ambiguous,,[Drogues ; Mêlées ; Essence de vitriol] [Drogues ; melées ; Essence de vitriol],no,
doraze,[drogues],ambiguous,,[Drogues ; melées ; Doraze],no,
sel d'opium,[drogues],ambiguous,,[Drogues ; chimiques ; sel ; d'opium] [Sels d'opium],no,
blanc de baleine,[drogues] [blanc],ambiguous,,[Drogues ; melées ; Blanc de baleine] [Drogues melées ; Diverses ; Blanc de Baleine] [Blan de baleine] [Blan;de baleine] [Blanc ; de balaine] [Blanc ; de baleine] [Blanc de Baleine] [Blanc de baleine] [Blanc; de baleine] [blanc de Baleine] [blanc de balaine] [sperma ceti ou blanc de baleines] [Drogueries ; médecinales ; blanc ; de baleine],no,
asa fœtida,[drogues] [drogue ; médicinale],ambiguous,,[Drogues ; Mêlées ; Asfafélida] [Drogues ; médecinales ; assa factida] [Drogues ; médécinales ; assafétida],no,
aigre de vitriol,[drogues],ambiguous,,[Aigre ; de vitriol] [Aigre de vitriol],no,
drogues,[drogues] [drogue ; médicinale],ambiguous,,[Drogues melées] [drogues mellées] [Drogues ; mêlées ; diverses] [Drogues] [Drogues ; diverses] [Drogues diverses] [Drogues ; Mêlées ; Diverses] [Drogues ; melées ; Diverses] [Drogues melées diverses] [Drogues mêlées diverses] [Drogues ; communes] [drogues commune] [Drogues mêlées] [Drogues commune] [Droguer] [3///Suite des matières premières///Drogues diverses réunies] [Drogues ; comunes] [3///Matières premières///Drogues réunies] [Drogues; Mêlées] [Drogues communes] [Drogues; Diverses] [3///Matières premières///Drogues diverses réunies] [Drogues; mêlées] [3///Matières première///Drogues réunies] [drogues communes],no,
vin,[vin],ambiguous,[Sorte de vin] [Vin] [Vins] [vin] [Vin ; de Port en port] [Vin ; de port en port] [Vin ; en bouteilles],[Sorte de vin] [Vin] [Vins] [vin] [Vin ; de Port en port] [Vin ; de port en port] [Vins ; à la valeur] [1///Subsistances///Vins],no,
vin rouge commun,[vin],ambiguous,,[Vin ; rouge ; commun],no,
vin rouge,[vin],ambiguous,,"[Vin , rouge] [Vin ; rouge] [Vin Rouge] [Vin rouge] [Vin; rouge] [Vins rouges] [vin rouge] [Vins rouge] [Vin; Rouge]",no,
vin ordinaire en miel,[vin],ambiguous,,[Vins ; ordinaire ; en miel],no,
vin ordinaire,[vin],ambiguous,,[Vin ; ordinaire] [Vin ordinaire] [Vin ordinaires] [Vin; ordinaire] [vin ; ordinaire] [Vin ; petit] [Vin; Ordinaire] [Vin petit] [Vins divers ordinaires] [Vins ordinaires],no,
vin noir,[vin],ambiguous,,[Vin ; noir],no,
vin muscat,[vin],ambiguous,,[Vin ; Muscat] [Vin ; muscat] [Vin muscat] [Vin; muscat] [vin ; muscat] [vin muscat] [Vin Muscat] [Vin muscas] [Vins muscat],no,
vin de muscat,[vin],ambiguous,,[Vin de Muscat] [Vin de muscat] [Vin ; de muscat] [Vin ; de Muscat],no,
vin de liqueurs en cercles,[vin],ambiguous,,[Vin ; de liqueur ; en cercles],no,
vin jauge gros bard,[vin],ambiguous,,[Vin; jauge ch.; Grosbard] [Vin ; jaugegros bard] [Vin ; jauge ; grosbard] [Vin ; jauge ; Gros bard] [Vin ; jauge ; gros bard] [Vin; jauge; Grosbard] [Vin ; gauge grorban] [Vin ; jauge Grobard] [Vin ; jauge ; Grosbard] [Vin ; Jauge gros bard] [Vin ; jauge gros bard],no,
vin jauge ??? Paris,[vin],ambiguous,,[Vin ; jauge ch. ; Paris] [Vin; jauge ch.; Paris],no,
vin de jauge gros bard,[vin],ambiguous,,[Vin ; de jauge gros bard],no,
vin doux,[vin],ambiguous,,[Vin doux],no,
vin divers,[vin],ambiguous,,[Vin ; divers] [Vin divers] [Vins ; divers] [Vins divers] [Vins; Divers] [1///Subsistances///Vins divers],no,
vin de palme,[vin],ambiguous,,[Vin ; de Palme] [Vin ; de palme],no,
vin de Domé,[vin],ambiguous,,[Vin ; de Domé] [Vin ; de dome] [Vin ; de Dome] [Vin ; de Domme],no,
vin de Cioutan,[vin],ambiguous,,[Vin ; de Cioutan],no,
vin cuit,[vin],ambiguous,,[Vin ; cuit] [Vins cuit] [Vin cuit],no,
vin en bouteilles,[vin],ambiguous,,[Vin ; en bouteilles] [Vin ; de Champagne ; en bouteilles] [Vin en bouteille] [Vins ; de Champagne ; en bouteilles],no,
vin de Reims,[vin ; de france],ambiguous,,[Vin ; Idem ; de Reims] [Vin ; de Champagne ; De Reims] [Vin ; de Champagne ; de Reims] [Vin ; de champagne ; de Reims] [Vin; de Champagne; de Reims] [Vin ; de champagne ; de Reisses],no,
vin de Roussillon,[vin ; de france],ambiguous,,[Vin ; du Roussillon] [Vin ; de roussillon] [Vins du Roussillon] [Vin ; de Roussillon] [Vin ; de Rouevillon],no,
vin de Rhin en cercles,[vin ; de france],ambiguous,,[Vin ; du Rhin ; en cercles],no,
vin de Rhin en bouteilles,[vin ; de france],ambiguous,,[Vin ; du Rhin ; en bouteilles],no,
vin de Rhin,[vin ; de france],ambiguous,,"[Vin ; de Rhin] [Vin ; de rhin] [vin de Rhin] [Vin ; du Rhin] [Vin ; du rhin] [Vin de Rhin] [Vin du Rhin] [Vin du rhin] [Vin; du Rhin] [Vn ; du Rhin] [vin du Rhin] [Vins ; Etrangers, Du Rhin] [Vins ; étrangers ; du Rhin] [Vins ; Etrangers ; Du Rhin] [Vins du Rhin] [Vin du Rhum]",no,
vin de Hainaut,[vin ; de france],ambiguous,,[Vins ; de Hainaut],no,
vin de Croisic,[vin ; de france],ambiguous,,[Vin ; du Croisic] [Vin; du Croisic] [Vin du Croisic],no,
vin de ville,[vin ; de france],ambiguous,,[Vin ; Idem ; de Ville] [Vin ; de ville] [Vin de ville] [Vin ; Idem ; de ville] [vin de ville],no,
vin de hors,[vin ; de france],ambiguous,,[Vin ; de hors] [Vin ; de hora],no,
vin de haut,[vin ; de france],ambiguous,,[Vin ; de haut] [Vin ; Idem ; de haut] [vin de haut] [Vin de haut],no,
vin de Vienne,[vin ; de france],ambiguous,,[Vin ; de Vienne],no,
vin de Touraine,[vin ; de france],ambiguous,,[Vin ; de Tourrain] [Vins ; De France ; De Touraine],no,
vin de Ste. Foy,[vin ; de france],ambiguous,,[Vin ; de Ste foi] [Vin ; de Ste. Foy] [Vin de sainte Foi] [Vin de Sainte Foy] [Vin ; de Sainte Foy],no,
vin de St. Seau,[vin ; de france],ambiguous,,[Vin ; de S .Seau],no,
vin de St. Laurent,[vin ; de france],ambiguous,,[Vin ; de St Laurent] [vin de St. Laurent],no,
vin de Saint-Jean,[vin ; de france],ambiguous,,[Vin ; de S Jean] [Vin ; de Saint Jean] [Vin ; de St Jean] [Vin ; de St. Jean] [Vin de Saint Jean] [Vin de Saint-Jean],no,
vin de Savoie,[vin ; de france],ambiguous,,[Vin ; de Savoye] [Vin ; de savoye],no,
vin de Ré,[vin ; de france],ambiguous,,[Vin ; de Ré] [Vin ; de ré] [Vin de Rhé] [Vin de Ré] [Vin de ré] [Vin ; de rez] [Vin; de Rez] [Vin ; de Rez] [Vin de Réz] [Vin de Rez] [Vin de rez],no,
vin de Rouys,[vin ; de france],ambiguous,,[Vin ; de Rouys],no,
vin de Rochefort,[vin ; de france],ambiguous,,[Vin ; de Rochefort] [Vin de Rochefort],no,
vin de Rivesac,[vin ; de france],ambiguous,,[Vin ; de Rivesac],no,
vin de Quercy,[vin ; de france],ambiguous,,[Vin ; de Querey] [Vin de Querey] [Vin ; de Querci] [Vin ; de Quercy] [Vin de Quercy] [Vin ; de Quecrey] [Vin ; du Quercy] [Vin ; de quercy],no,
vin de Provence,[vin ; de france],ambiguous,,[Vins ; De France ; De Provence] [Vins ; De France ; De provence] [Vins ; de France ; de Provence] [Vin ; de Provence] [Vin ; de provence] [Vin; de Provence] [Vins de Provence] [Vin de Provence],no,
vin de Picardan,[vin ; de france],ambiguous,,[Vin ; de Picardan] [Vin de Picardon],no,
vin de N. Jean,[vin ; de france],ambiguous,,[Vin ; de N. Jean.] [Vin; de N. Jean.],no,
vin de Médoc,[vin ; de france],ambiguous,,[Vin ; de Bordeaux ; de Medoc] [Vin ; de Bordeaux ; de Médoc] [Vin; de Bordeaux; de Medoc] [Vin ; de medoc] [Vin ; de Medoc],no,
vin de Mâcon,[vin ; de france],ambiguous,,[Vin ; de Macon] [Vin ; de Bourgogne ; de macon] [Vin ; de Bourgogne ; de Mâcon] [Vin ; de Bourgogne ; de Maçon] [Vin ; Idem ; de Macon] [Vin ; de Bourgogne ; de Macon] [Vin ; de Bourgogne ; De Macon] [Vin ; de Bourgogne ; de Maron],no,
vin de Mursante,[vin ; de france],ambiguous,,[Vin ; de Mursante],no,
vin de Mezac,[vin ; de france],ambiguous,,[Vin ; de Mezac],no,
vin de Marennes,[vin ; de france],ambiguous,,[Vin ; de Marennes] [Vin de Marenne] [Vin de Marennes],no,
vin de Lyon,[vin ; de france],ambiguous,,[Vin ; de Lyon] [Vin; de Lyon],no,
vin de Lorraine,[vin ; de france],ambiguous,,[Vin ; de Lorraine] [Vin ; de lorraine],no,
