marchandises_norm_ortho,classification_hambourg_large
ardoise dite grande voisine,
ardoise dite moyenne voisine,
ardoise dite petite voisine,
"ardoise dite voisine, grande, moyenne et petite",
ardoise en livret,
ardoise encadrée,
ardoise encadrée et en livret,
ardoise non travaillée,
ardoise ordinaire,
ardoise verte,
argent battu,
argent brûlé,
argent brut,
argent carragoux,
argent divers,
argent en baril,
argent en barre,
argent en couvert,
argent en feuille,
argent en lame,
argent en lingot,
argent en matière,
argent et or billon,
argent faux,
argent fin,
argent or quadruple,
argent or sequin,
argent or sequin vénitien,
argent ouvré,
argent paillette,
argent sequin,
argent talari,
argent vif,
argenterie,
argenterie bague,
argenterie boucle,
argenterie croix,
argenterie diverse,
argenterie en vaisselle,
argenterie épée,
argenterie et bijouterie,
argenterie et orfèvrerie,
argenterie et orfèvrerie vermeil,
argenterie tabatière,
argenterie vieille,
argile,
aristoloche,
armagnac,
arme,
arme à feu,
arme à feu diverse,
arme à feu fusil,
arme à feu fusil démonté,
arme à feu fusil et carabine,
arme à feu fusil neuf,
arme à feu fusil vieux,
arme à feu pistolet,
arme artillerie,
"arme artillerie en canon, pierrier, espingole et mortier",
arme blanche,
arme blanche bayonnette,
arme blanche épée,
arme blanche et à feu,
arme blanche lame,
arme blanche lame d'épée,
arme blanche lance d'épée,
arme blanche sabre,
arme canon et balle de fer,
arme de main,
arme diverse,
arme et munition diverse,
arme pique,
armes à feu fusils,
armoire,
armoire ayant servi,
armoire de chêne,
armoire de chêne ornée,
armoire de noyer,
armoire de sapin,
armoires,
armoisin,
armoisin/taffetas,
armure,
armure de fer,
armure vieille,
arpois,
arquebuse,
arquifou,
arquifou et mine de plomb,
arrosoir,
arrosoir de bois,
arrosoir de fer blanc,
arsenic,
arson de bois,
art de peau,
artichaut,
artichaut confit,
artichaut mariné,
artichaut sec,
artichauts,
article divers,
article réuni,
articles réunis d'une valeur moindre de 2000 francs chacun,
artifice,
artillerie,
artillerie de cuivre,
artillerie en boulet,
"artillerie en canon, boulet",
artoloche,
asa foetida,
asperge et scorsionnaire,
asphalte,
aspolatum,
assa fétide,
assiette,
assiette de bois,
assiette de faïence,
assiette de porcelaine,
assiette de terre,
assiette et plat,
attache de cuivre,
attelle de collier,
auge,
auge de carreau,
aurcsats,
aux à fauxhes,
avelanèdes,
avelines,
avellanède,
aviron,
aviron brut,
aviron de 12 pieds,
aviron de 18 pieds,
aviron de 30 pieds,
aviron de 5 pieds,
aviron poli,
avirons,
avoine,
avoine en gerbe,
avoine et haricot,
avoine moulée,
"avoine, orge etc.",
azur,
azur commun,
azur et cobalt,
azur fin,
azur gros,
babouche,
babouche de maroquin,
babus,
bac contenant 1 aime,
bac de pierre,
bâche,
badiane,
baffetas,
baffetas blanc,
baffetas bleu,
bagage,
bague,
bague à pierre fausse,
bague d'or,
bague de cuivre,
bague de laiton,
bague de verre,
baguette à chandelle,
baguette de bois,
baguette de fusil,
baguette étoffe,
bahut,
baie de buis,
baie de foye,
baie de genièvre,
baigne,
baignoire,
baigot,
baille,
bailliarge,
bajanne tannée,
bajutapau,
bajutapeau,
balai,
balai coupée,
balai de bois,
balai de bruyère,
balai de chanvre,
balai de crin,
balai de foyer,
balai de jonc,
balai de jong,
balai de laine à laver les plancher,
balai de paille de riz,
balai de palme,
balai de riz,
balai de soie,
balai de soie de porc,
balai de toile,
balai divers,
balai du roi,
balai fin,
"balai, petit",
balance,
balance à la romaine,
balance de bois,
balance de cuivre,
balance en fer,
balance et ses poids,
balance petit,
baldaquin,
baleine,
baleine coupée,
baleine coupée et en fanon,
baleine de sarde,
baleine en fanon,
baleine en fanon,
baleine nageoire,
balle,
balle à jouer,
balle d'osier,
balle en fer,
balle vide,
balustre,
balzanne tannée,
bambou,
bambous,
banc a couper la paille,
banc de sapin,
bande de chapeau,
bandeau,
banderole,
bandoulière,
bannette d'osier,
bannette de cuir,
bannette de cuir,
bannière de Damas,
banquette,
baque de verre,
baquet,
baquet de sapin,
bar,
baracan de laine,
barbaçon de grès,
barbe de baleine,
barbotine,
barbue,
barbue couverte d'étamine,
barbue de grès,
barbue de terre,
barbue et grès,
baressus,
baril,
baril de chêne,
baril de sapin,
baril neuf,
baril vide,
bariteau,
bariteaux,
baromètre,
baromètre et lunette,
barque démontée,
barquette,
barquette et nacelle,
barquette vieille,
barre,
barre d'anspect,
barre d'aspect,
barre de barrique,
barre de bois,
barre de cabestan,
barre de cabestan et d'anspect,
barre de futel,
barre de guindeau,
barre de sapin,
barre en bois pour navire,
barre maître-fond,
barre petite,
barre pour construction,
barreau bois,
barreau de sapin,
barreau et planche bois,
barreau neuf,
barrette,
barrique,
barrique en botte,
barrique neuve,
barrique vide,
barrique vieille,
barrique vieille vide,
barrois,
bas,
bas assorti,
bas coton,
bas coton et fil,
bas d'enfant,
bas d'estame,
bas de bourre de soie,
bas de castor,
bas de chamois,
bas de coton,
bas de coton fil et soie,
bas de fil,
bas de fil de coton,
bas de fil de coton par paire,
bas de fil en paire,
bas de fil et coton,
bas de fil et laine,
bas de fil par paire,
bas de filoselle,
bas de fleuret,
bas de laine,
bas de laine fin,
bas de laine fine,
bas de Leyden,
bas de peau,
bas de poil,
bas de Saint Mexant,
bas de segovie,
bas de soie,
bas de soie à coin d'argent,
bas de soie à coin d'or,
bas de soie à coin d'or et d'argent,
bas de soie brodé d'or,
bas de soie brodé or et argent,
bas de soie brodée,
bas de soie et coton,
bas de soie pour femme,
bas de soie pour homme,
bas de toile,
bas drapé,
bas écrier,
bas en laine de Jersey,
bas et bonnet en coton,
bas et bonneterie bonnet de coton,
bas et gant de soie,
bas long,
bas poil et soie,
bas relief de marbre,
bas soie et laine,
bas soie et poil,
bas tricoté,
basane,
basane tannée,
basanne,
basanne tannée,
basin,
basin blanc,
basin blanc de 10 aunes,
basin blanc de 11 aunes,
basin commun,
basin d'étain,
basin d'étain,
"basin de Bruges écru en pièce de 11,5 aunes",
basin de cuivre,
basin de cuivre jaune,
basin des Indes,
basin en aunes,
basin fil et coton,
basin peint,
basin pièce de 11 aunes,
basin pièce de 15 aunes,
basin rayé,
basin tout coton,
basse,
basse de viole,
basse et basson,
bassin à barbe,
bassin de barbe,
bassin de cuivre,
bassin de cuivre jaune,
bassin de tirin,
bassin en argent,
bassin en laiton,
bassine de cuivre,
basson,
bast,
bat d'âne,
bat de cheval,
batanonis,
bataris de soie de porc,
batavia,
bate de fer,
bateau,
bateau à pêcher,
bateau de pêcheur,
bateau neuf,
bateleux,
bâtiment de mer,
bâtiment de mer et agrès,
bâtiment de mer et apparau,
batiste,
batiste blanche,
batiste et linon,
batiste grise,
bâton,
bâton à chandelle,
bâton à étendre le linge,
bâton à faire cercle,
baton à lave-place,
bâton à lave-place,
bâton d’éventail d'ivoire,
bâton de bois,
bâton de brosse à goudronner,
bâton de collier,
bâton de Gabares,
bâton de gaffe,
bâton de Gaffes,
bâton de sapin,
bâton peint,
bâton verni,
batterie d'airain,
batterie de cuivre,
batterie de fer,
battoir,
battoir à lessive,
baudrier,
baudriers,
baume,
baume de l'Amérique,
baume de la Mecque,
baume de vie,
baume du canada,
baume laque,
baume noir,
bavoir,
bavolet et aigrette,
baye bleu et rouge,
baye de laurier,
baye de laurier,
bayette,
bayonnette,
bayoulen,
bazzitte,
bdellium,
beau vert broyé,
beaudeaux,
beaume de copahu,
beaume de sucrier,
beaume du Pérou,
beaume et elixir,
beaume et élixir,
beauverd broyé,
bécasse,
bécassine,
bêche,
bêche en fer,
bedelin,
bédélium,
belle de bois,
benjoin,
benne,
benne vide,
benne vuide,
berce d'osier,
berce et lit d'enfant,
berceau d'enfant,
berceau d'osier,
béret,
bergamote,
berline,
berline et harnois,
berline et leurs harnois,
berline garnie de velours,
"berline garnie de velours, crespine d'or et harnois riche",
berline vieille,
berne,
bestiau,
bestiau âne,
bestiau bœuf,
bestiau chèvre,
bestiau chèvre et bouc,
bestiau génisse,
bestiau mule et mulet,
bestiau porc,
bestiau poulain,
bestiaux génisses,
bétail agneau,
bétail bœuf,
bétail bœuf et génisse,
bétail bœuf et taureau,
"bétail bœuf, vache, mouton, porc",
"bétail bœuf, vache, mouton, veau",
"bétail bœuf, vache, porc et mouton",
"bétail bœuf, vache, veau, porc et mouton",
bétail brebis,
bétail chèvre,
bétail chèvre et bouc,
bétail divers,
bétail génisse,
bétail mouton,
bétail mouton et brebis,
bétail porc,
bétail porc et porcelet,
bétail taureau,
bétail vache,
bétail vache tuée,
"bétail vache, taureau et génisse",
bétail veau,
bête de somme,
bête de somme : agneau et cabri,
bête de somme âne,
bête de somme cheval,
bête de somme cheval anglais,
bête de somme cheval arabe,
bête de somme cheval et âne,
bête de somme cheval pour enfant,
bête de somme chèvre,
bête de somme chevreau,
bête de somme diverse,
bête de somme jument,
bête de somme mule et mulet,
"bête de somme mule, mulet et cheval",
bête de somme mulet,
bête de somme poulain,
betille,
bétille,
betterave,
beuf en vie,
beurre,Beurre
beurre commun,
beurre d'Angleterre,
beurre d'Irlande non comestible,
beurre de dixmude,
beurre de Hollande et d'Angleterre,
beurre ordinaire,Beurre
beurre salé,Beurre
beurreterie en bar de fil blanc,
bézoard,
bézoard ???,
bibliothèque,
bidet de faïence,
bidet de faïence avec leurs ??? de bois,
bidet de faïence et leurs pièce,
bière,
bière aigre,
bière blanche,
bière commune du pays,
bière d'Angleterre,
bière d'Hougarde,
bière de Dantzig,
bière de Hollande,
bière de Liège,
"bière de Liège, d'Angleterre, etc",
bière de Lubec,
bière de Lubek,
bière de Lubek pour médecine,
bière dite juypenbier,
bière dite lumay,
bière en fût,
bière et cidre,
bière forte,
bière médicinale de Lubek,
bière nautique,
bière porter,
"bière, cidre et vinaigre",
bierze,
bigarade,
bigarade zeste,
bigaradier feuille,
bijouterie,
"bijouterie diamant, perle et pierre fine",
"bijouterie diamant, perle et pierre fine non monté",
bijouterie en épingle,
bijouterie pour montre d'argent,
bilardeaux,
billard,
billard d'ivoire,
billard vieux,
bille d'ivoire,
bille d'ivoire,
bille de bois,
bille de bois de gaïac,
bille de bois marbré,
bille de bois pour meuble,
billes d'ivoire,
billet de parchemin,
billon,
billot,
billot de sapin,
billot pour merrain,
bimbeloterie,
binage à pousser,
birampot bleu,
biscuit,
biscuit amer,
biscuit au poivre,
biscuit de grain froment,
biscuit de mer,
biscuit de mer et pâte d'Italie,
biscuit de munition,
bitume,
bitume de Judée,
blague,
blallst,
blanc,
blanc d'écaille,
blanc d'Espagne,
blanc de baleine,Blanc ; de baleine
blanc de céruse,
blanc de plomb,
blanc de Troyes,
blanc en chevron,
blanc simple,
blanchissoire,
blanquette,
blé froment,
blé seigle,
bled,
bled  froment,
bled baillarge,
bled d'Espagne,
bled de seigle,
bled de Turquie,
bled et riz,
bled froment,
bled maïs,
bled méteil,
bled sarrasin,
bled seigle,
bleu calaminé,
bleu de Prusse,
bleu foncé,
bleu ou tournesol,
bloc,
blonde,
blonde d'argent,
blonde d'or,
blonde de fil,
blonde de soie,
blonde or et argent,
bluteau,
bobine de cuir,
bocal,
boclans,
bœuf,
bœuf à l'écarlate,
bœuf à la daube,
bœuf à la mode,
bœuf d'Irlande,
bœuf en vie,
bœuf en vie,
bœuf et langue salée,
bœuf froment,
bœuf fumé,
bœuf illinois,
bœuf salé,
bœuf taureau,
bois,Bois ; de Pernambouc
"bois , scié",
bois à banquiere,
bois à baril,Bois ; de Pernambouc
bois à baril à fond,
bois à baril long,
bois à baril non scié,
bois à baril ordinaire,
bois à barrique,
bois à bat,
bois à bâtir,Bois ; de Pernambouc
bois à bruler,
bois à brûler,Bois ; de Pernambouc
bois à chocolat,
bois à crible,
bois à faire comble,
bois à faire corbin,
bois à faire des boîte,
bois à faire des étui,
bois à faire des foureau,
bois à faire fourreau,
bois à faire fourreau d'épée,
bois à faire fourreau d'épée,
bois à faire sabot,
bois à faire sommier,
bois à faire violon,
bois a fond,
bois à foureau d'épée,
bois à fourreau d'épée,
bois à fourreau épée,
bois à fusil,
bois à gaisne,
bois à houblon,
bois à lit,
bois à meuble,
bois a parquet,
bois à pipe,
bois à quart,
bois à tamis,
bois à tapis,
bois à teindre,
bois à teindre de Fernambourg,
bois à teindre de toute sorte,
bois à teindre en bûche,
bois à teindre moulu,
bois à teindre râpé,
bois a teinture,
bois à tierçon,
bois à tonneau,
bois à tourner,
bois amer,
bois anspects,
bois au daume,
bois autre,Bois ; de Pernambouc
bois barre de guindeau,
bois billot,
bois blanc,
bois bordage,
bois bordage,
bois bordage de chêne,
bois bordage de sapin,
bois bourdillon,
bois boway de chêne,
bois boway de sapin,
bois brandille,
bois bray,
bois brun,
bois campêche,
bois cercle,
bois chêne,
bois chêne en bloc,
bois cordayer,
bois coudé,
bois courbé,
bois d'acajou,Bois ; de Pernambouc
bois d'aloès,
bois d'amarante,
bois d'arc,
bois d'arc et d'arbalète,
bois d'arc et de fusil,
bois d'arc et de selle,
bois d'aspatton,
bois d'aulne,
bois d'ébène,Bois ; de Pernambouc
bois d'écarage,
bois d'érable,
bois d'espar,
bois d'esquine,
bois d'esquisse,
bois d'éventail,
bois d'éventail de nacre de perle,
bois d'Inde,Bois ; de teinture
bois d'Inde et des îles,
bois d'Inde et des îles pour l'ébénisterie,
bois d'Inde et des îles pour la teinture,
bois d'Inde pour teinture et marqueterie divers,Bois ; de teinture
bois d'Inde rapé,
bois d'olivier,
bois d'olivier pelé,
bois d'originelle,
bois d'orme,
bois d'osier,
bois de bateau,
bois de bordage,
bois de bordage de chêne,
bois de bordage de sapin,
bois de bouleau,
bois de Brésil,
bois de Brésil en bûche,
bois de Brésil menu,
bois de Brésil moulu,
bois de brésil rapé,
bois de brésillet,Bois ; de Pernambouc
bois de brochialle,
bois de buis,
bois de caliatour,
bois de caliatour en bûche,
bois de caliatour moulu,
bois de caliatour rapé,
bois de Camanbourg,
bois de campêche,Bois ; de teinture
bois de campêche,
bois de Campêche,Bois ; de teinture
bois de campêche en bûche,
bois de campêche moulu,
bois de campêche rapé,
bois de campêche râpé,
bois de camphre,
bois de canet,Bois ; de Pernambouc
bois de cannelle,Bois ; de Pernambouc
bois de Cayenne,Bois ; de Pernambouc
bois de cèdre,
bois de cerisier,
bois de chaise,
bois de chaises,Bois ; de Pernambouc
bois de charbonnage,
bois de charonage,
bois de charpente,
bois de chataignier,
bois de chêne,
bois de chêne 30 pieds,
bois de chêne à poutre,
bois de chêne à sommier,
bois de chêne bordage,
bois de chêne de construction,
bois de chêne des carisage,
bois de chêne pour construction,
bois de chêne scié,
"bois de chêne, carré",
"bois de chêne, ronde",
bois de chevron,
bois de cleippe,
bois de coco,
bois de Constentines,
bois de construction,
bois de construction divers,
bois de construction en chêne et sapin,
bois de corne,
bois de couleur,
bois de coutelier,
bois de crabe,
bois de faïence,
bois de fauteuil,
bois de fauteuil et canapé,
bois de fer,
bois de fernambourg,Bois ; de Pernambouc
bois de fernambourg en bûche,
bois de fernambourg moulu,
bois de ferol,
bois de flèche,
bois de flèche et arc,
bois de fond à castor,
bois de frêne,
bois de fusil,
bois de fustel,
bois de fustel haché,
bois de fustel moulu,
bois de gabarie,
bois de gaiac,Bois ; de Pernambouc
bois de gaïac,
bois de gaïac en bûche,
bois de gayac,Bois ; de Pernambouc
bois de genièvre,
bois de girofle,
bois de gitte,
bois de goyae,
bois de grenadier,
bois de hêtre,
bois de Honduras,Bois ; de teinture
bois de jacaranda,
bois de jaraconda,Bois ; de Pernambouc
bois de jayat,
bois de la chine,
bois de lettre,
bois de lin,
bois de lit,
bois de machemillier,
bois de machenette,
bois de marbre,
bois de marqueterie,
bois de marqueterie marbre,
bois de menuiserie,
bois de merrain,
bois de merrain à barrique,
bois de merrain a fond,
bois de Nantes,
bois de néphrétique,
bois de Nicorago,
bois de noyer,
bois de palisante,
bois de palissandre,
bois de passementerie en mat,
bois de passementerie en planche de sapin,
bois de passementerie en planche et poutrelle,
bois de Pernambouc,
bois de pernambouc,Bois ; de Pernambouc
bois de pernambouc en bûche,
bois de pernambouc moulu,
bois de pernambouc rapé,
bois de pin,
bois de Provence,
"bois de Provence, sernambue et campeche",
bois de raquette,
bois de réglisse,
bois de Rhode,
bois de Rhodes,Bois ; de Pernambouc
bois de romarin,
bois de rose,
bois de rouage,
bois de rouage et ouvrage de charronerie,
bois de Sainte Lucie,
bois de Sainte Marthe,Bois ; de teinture
bois de sainte Marthe,
bois de santal,Bois ; de Pernambouc
bois de santal en bûche,
bois de santal moulu,
bois de sapin,
bois de sapin en planche,
bois de sapin en soliveau,
bois de sapin mat et vergue,
bois de sapin peint,
bois de sappan,Bois ; de Pernambouc
bois de saune,
bois de saxafras,
bois de saxafras moulu,
bois de selle,
bois de senteur,
bois de serrure,
bois de sipre,
bois de Siramonbas,
bois de sommier,
bois de St. Martin,
bois de Ste Marthe,Bois ; de Pernambouc
bois de Surinam,
bois de table doré,
bois de teck,
bois de teinture,Bois ; de teinture
bois de teinture,
bois de teinture d'Honduras,Bois ; de teinture
bois de teinture de campêche,Bois ; de teinture
bois de teinture de fustick,Bois ; de teinture
bois de teinture divers,Bois ; de teinture
bois de teinture en buche,Bois ; de teinture
bois de teinture et marqueterie,
bois de teinture nicaragua,Bois ; de teinture
bois de terre,
bois de tilleul,
bois de violette,
bois des Iles,Bois ; de teinture
bois des Indes de Campêche,Bois ; de teinture
bois des Indes de Pernambouc,Bois ; de Pernambouc
bois des Indes de santal,Bois ; de Pernambouc
bois des Indes pour peintures et marqueterie de gaiac,Bois ; de Pernambouc
bois des Indes pour peintures et marqueterie de Pernambouc,Bois ; de Pernambouc
bois des Indes pour peintures et marqueterie de Sainte-Marthe,Bois ; de Pernambouc
bois des Indes pour teinture et marqueterie d'acajou,Bois ; de Pernambouc
bois des Isles,Bois ; de teinture
bois des Isles et des Indes,
bois dit 'ricter',
bois dit a fond,
bois dit schaelen ou rebus de bois ,
bois divers,Bois ; de Pernambouc
bois divers en planche,
bois doré,Bois ; de Pernambouc
bois du Brésil,
bois du brésil,
bois du Japon,
bois du Japon jaune,
bois durci,Bois ; de Pernambouc
bois écarié,
bois en bûche,
bois en copeau,
bois en eprier,Bois ; de Pernambouc
bois en madrier d'acajou,
bois en planche,
bois en planches,Bois ; de Pernambouc
bois en rame,
bois en taille à couvrir,Bois ; de Pernambouc
bois en tranche,Bois ; de Pernambouc
bois épar,Bois ; de Pernambouc
bois épar de 4 à 5 pieds,
bois espar de 40 à 50 pieds,
bois espar de 56 à 61 pieds,
bois et merrain,
bois et ouvrage de charronerie,
bois et panier de coudre,
bois et papier d'éventail,
bois fagot,
bois feuillard,
bois flotté en étançon rond,Bois ; de Pernambouc
bois fonçaille,
bois fustel,
bois gros,Bois ; de Pernambouc
bois jaune,Bois ; de teinture
bois jaune moulu,
bois jaune rapé,
bois jaune râpé,
bois lourd,
bois marbré,
bois mat,
bois matraux,
bois mêlée,
bois merrain,
bois merrain a barrique,
bois merrain à barrique,
bois merrain à barrique,
bois merrain à cardine,
bois merrain à fond,
bois merrain à pipe,
bois merrain à quart,
bois merrain à tierçon,
bois merrain bourdille,
bois merrain bourdillon,
bois merrain de 4 pieds,
bois merrain de sapin,
bois merrain douelle,
bois merrain merrain,
bois merrain ordinaire,
bois merrain pour ferraille,
bois morceau,
bois moulu,
bois néphrétique,
bois osier,
bois ouvré,
bois ouvré à bâtir,
bois palissandre,
bois peint,
"bois perche, échala, éclisse",
bois petit de rouage,
bois pile de,Bois ; de Pernambouc
bois planche,
bois planche de sapin,
bois portatif dit Neyster,
bois pour arbalète,
bois pour bordage,
bois pour chaise,
bois pour construction,
bois pour crible,
bois pour fond de tonneau,
bois pour fusil,
bois pour fût,
bois pour instrument de musique,
bois pour Latte,
bois pour meuble,
bois pour navire,
bois pour palissade,
bois pour palissade et terrasse,
bois pour pipe,
bois pour plafond,
bois pour pompe,
bois pour quille,
bois pour teinture,
bois préparé,
bois rouge,Bois ; de teinture
bois royal,
bois Sainte Lucie,
bois scié,Bois ; de Pernambouc
bois scié en barreau,
bois scié en planche,
bois soutreaux,
bois Sustek,
bois sustek,
bois tord,
bois travaillé,
bois tropique,
bois verni,Bois ; de teinture
bois violet,Bois ; de teinture
boisson,
boisson bière et cidre,
boisson eaux-de-vie,
boisson gazeuse à la salsepareille,
boisson liqueur,
boisson vin de Bordeaux,
boisson vin de liqueur,
boisson vin divers ordinaire,
boisson vinaigre,
boîte,
boîte à cadrille,
boîte à sucre,
boîte assortie,
boîte blanche,
boîte de bergamote,
boîte de bois,
boîte de bois violet,
boîte de cadrille,
boîte de carton,
boîte de fer blanc,
boîte de Nuremberg,
boîte de sapin,
boîte de sapin blanc,
boîte peinte,
boîte sapin,
boîte sapin teinte,
boîte vernie,
boîtes,
boîtes de bois violet,
bol,
bol blanche,
bol commun,
bol d'Arménie,
bol en bois,
bol et planche,
bol fin,
boldavid,
bombarde,
bombarde de cuivre,
bombarde de fer,
bombasin,
bombe de coton,
bombe et boulet,
bombe et grenade,
bon basin,
bonnet à dentelle,
bonnet à la turc de fer blanc,
bonnet brodé d'or,
bonnet d'enfant,
bonnet de blonde,
bonnet de castor,
bonnet de castor brodé,
bonnet de coton,
bonnet de fil,
bonnet de gaze,
bonnet de laine,
bonnet de soie,
bonnet de taffetas,
bonnet de toile,
bonnet de velours,
bonnet de velours brodé,
bonnet et pique,
bonnet fil et coton,
bonnet picque,
bonnet pique carcasse et fer à coiffure,
bonnetere de laine,
bonneterie,
bonneterie bas de bourre de soie,
bonneterie bas de coton,
bonneterie bas de laine,
bonneterie bas de soie,
bonneterie bonnet,
bonneterie bonnet d'enfant,
"bonneterie bonnet d'enfant, de velours et bonnet à la postillonne",
bonneterie bonnet de castor,
bonneterie bonnet de coton,
bonneterie bonnet de femme,
bonneterie bonnet de fil et coton,
bonneterie bonnet de filosel,
bonneterie bonnet de grenadine,
bonneterie bonnet de laine,
bonneterie bonnet de laine fin,
"bonneterie bonnet de laine, fil et coton",
bonneterie bonnet de peau,
bonneterie bonnet de postillon,
bonneterie bonnet de prêtre,
bonneterie bonnet de soie,
bonneterie bonnet de toile cirée,
bonneterie bonnet de velours,
bonneterie bonnet piqué,
bonneterie d'estam,
bonneterie de bourre de fil,
bonneterie de bourre de soie,
bonneterie de coton,
bonneterie de coton et laine,
bonneterie de coton fil et laine,
bonneterie de coton tricot,
bonneterie de fil,
bonneterie de fil et coton,
"bonneterie de fil, coton et laine",
bonneterie de filain d'or,
bonneterie de filoselle,
bonneterie de laine,
bonneterie de laine et coton,
bonneterie de laine et de soie,
bonneterie de soie,
bonneterie de soie et dorure,
bonneterie de soie tricot,
bonneterie écarlate,
bonneterie en poil de lapin,
bonneterie fil et coton,
bonnets de femme,
bonnets de laine,
borax,
borax brut,
borax gras,
borax gras,
borax raffiné,
borax rafiné,
bordage,
bordage de chêne,
bordage de chêne,
bordage de cipres,
bordage de sapin,
bordage de sapin de 20 pieds,
bordage pour navire,
bordure de bois doré,
bordure de tapisserie,
bordure dorée,
botte,
botte de cuir,
botte de cuir à matelot,
botte de cuir forte,
botte et bottine,
botte forte,
botte molle,
botte neuve,
botte pantalon,
bottes de cuir,
bottine,
boucassin,
bouchon,
bouchon de liège,
bouchons de liège,
boucle,
boucle d'argent,
boucle d'oreille,
boucle de cuivre,
boucle de fer,
boucle de Pinsbeck,
boucle de sapin,
boucle de soulier à pierre fausse,
boucles,
boudille,
boudin de poisson,
bouette de sapin,
bougie,Bougie ; de suif
bougie blanche,Bougie ; de suif
bougie de blanc de baleine,
bougie de cire blanche,
bougie de cire verte,
bougie de suif,
bougie de table,
bougie de table et cierge,
bougie jaune,Bougie ; de suif
bougie verte,
bougran,
bouguette,
boulan,
boulange,
boulangerie petit pain rond,
boule,
boule de bois,
boule de buis,
boule de mail,
boule de sapin,
boule de terre,
boule de verre,
boule vulneraire,
boules de mail,
boulet de canon,
boulet de canon de 4 livre,
boulet de fer,
boulette de marbre,
boulle d'acier,
boulon de crin,
boulon de fil d'argent,
boulon de fil d'or,
boulon de fil d'or et d'argent,
boulon de fil d'or et d'argent,
bouracan,
bouras,
bourdille,
bourdille à barrique,
bourdillon,
bourdillon à barrique,
bourdillon à quart,
bourdillon à tierçon,
