orthographic_pierre,simplification,status,beforeItems,afterItems,obsolete,imprimatur
mât ; de 50 à 55 pieds,,existing,,,yes,
mât ; de 50 à 53 pieds,,existing,,,yes,
mât ; de 48 à 50 pieds,,existing,,,yes,
mât ; de 45 pieds,,existing,,,yes,
mât ; de 45 à 50 pieds,,existing,,,yes,
mât ; de 42 à 48 pieds,,existing,,,yes,
mât ; de 40 à 50 pieds,,existing,,,yes,
mât ; de 40 à 45 pieds,,existing,,,yes,
mât ; de 36 à 38 pieds,,existing,,,yes,
mât ; de 35 à 45 pieds,,existing,,,yes,
mât ; de 33 à 43 pieds,,existing,,,yes,
mât ; de 31 à 36 pieds,,existing,,,yes,
mât ; de 30 pieds,,existing,,,yes,
mât ; de 28 à 32 pieds,,existing,,,yes,
mât ; de 20 à 30 pieds,,existing,,,yes,
mât ; de 16 à 18 pieds,,existing,,,yes,
mât ; bout de 3 à 4 pieds,,existing,,,yes,
mât ; au dessous de 6 paumes,,existing,,,yes,
mâtereau ; de 26 à 28 pieds,,existing,,,yes,
mâtereau ; petit,,existing,,,yes,
mâtereau ; ordinaire ; de 30 pieds,,existing,,,yes,
mâtereau ; de sapin ; de 28 pieds,,existing,,,yes,
mâtereau ; de sapin ; de 20 pieds,,existing,,,yes,
mâtereau ; de chaloupe,,existing,,,yes,
mâtereau ; de 60 pieds,,existing,,,yes,
mâtereau ; de 54 à 60 pieds,,existing,,,yes,
mâtereau ; de 48 pieds,,existing,,,yes,
mâtereau ; de 47 à 49 pieds,,existing,,,yes,
mâtereau ; de 47 à 48 pieds,,existing,,,yes,
mâtereau ; de 46 à 60 pieds,,existing,,,yes,
mâtereau ; de 42 à 47 pieds,,existing,,,yes,
mâtereau ; de 40 pieds,,existing,,,yes,
mâtereau ; de 40 à 44 pieds,,existing,,,yes,
mâtereau ; de 38 pieds,,existing,,,yes,
mâtereau ; de 37 à 38 pieds,,existing,,,yes,
mâtereau ; de 36 pieds 9 pouces,,existing,,,yes,
mâtereau ; de 36 à 45 pieds,,existing,,,yes,
mâtereau ; de 36 à 38 pieds,,existing,,,yes,
mâtereau ; de 35 à 37 pieds,,existing,,,yes,
mâtereau ; de 34 à 36 pieds,,existing,,,yes,
mâtereau ; de 33 pieds,,existing,,,yes,
mâtereau ; de 32 pieds,,existing,,,yes,
mâtereau ; de 32 à 34 pieds,,existing,,,yes,
mâtereau ; de 30 à 40 pieds,,existing,,,yes,
mâtereau ; de 30 à 36 pieds,,existing,,,yes,
mâtereau ; de 30 à 35 pieds,,existing,,,yes,
mâtereau ; de 30 à 34 pieds,,existing,,,yes,
mâtereau ; de 28 pieds,,existing,,,yes,
mâtereau ; de 28 à 30 pieds,,existing,,,yes,
mâtereau ; de 25 à 28 pieds,,existing,,,yes,
mâtereau ; de 24 pieds 6 pouces,,existing,,,yes,
mâtereau ; de 22 pieds,,existing,,,yes,
mâtereau ; de 20 pieds,,existing,,,yes,
mâtereau ; de 20 à 24 pieds,,existing,,,yes,
mâtereau ; de 20 à 22 pieds,,existing,,,yes,
mâtereau ; de 18 à 19 pieds,,existing,,,yes,
mâtereau de 12 pieds,,existing,,,yes,
mâtereau ; à barque,,existing,,,yes,
mâtereau ; ou petit ; mât,,existing,,,yes,
mâtereau ; divers,,existing,,,yes,
mâtereau ; de 45 à 50 pieds,,existing,,,yes,
mâtereau ; de 32 à 33 pieds,,existing,,,yes,
mâtereau ; de 27 pieds,,existing,,,yes,
mâtereau ; de 26 à 30 pieds,,existing,,,yes,
mâtereau ; de 24 pieds,,existing,,,yes,
mâtereau ; de 22 à 26 pieds,,existing,,,yes,
mâtereau ; de 19 pieds,,existing,,,yes,
mâtereau ; de 16 pieds,,existing,,,yes,
mâtereau ; de 30 pieds,,existing,,,yes,
matre,matre,existing,,,no,
mâtereau ; de différentes longueurs,,existing,,,yes,
mâtereau ; de 50 à 55 pieds,,existing,,,yes,
mâtereau ; de 45 pieds,,existing,,,yes,
mâtereau ; de 40 à 45 pieds,,existing,,,yes,
mâtereau ; de 36 pieds,,existing,,,yes,
mâtereau ; de 35 pieds,,existing,,,yes,
mâtereau ; de 25 pieds,,existing,,,yes,
mâtereau ; de 25 à 30 pieds,,existing,,,yes,
matocaux,matocaux,existing,,,no,
matières premières ; diverse,,existing,,,yes,
matière grasse,,existing,,,yes,
matières ; d'or et d'argent,matières ; d'or et d'argent,existing,,,yes,
matières d'or ; en lingot d'or du Brésil reçus par l'envoie d'Angleterre,,existing,,,yes,
mât ; divers,,existing,,,yes,
matière ; de verre ; composée,,existing,,,yes,
mât ; petit (mâtereau),,existing,,,yes,
mâtereau ; de sapin,,existing,,,yes,
matelas ; de lit,,existing,,,yes,
matelas,matelas,existing,,,no,
mâtereau,,existing,,,yes,
mât ; mature,,existing,,,yes,
mature,,existing,,,yes,
mastrre,,existing,,,no,
mastic,mastic,existing,,,no,
massy,massy,existing,,,no,
massi,,existing,,,yes,
masse,,existing,,,yes,
masque ; fin,,existing,,,yes,
massicot,massicot,existing,,,no,
marée ; fraîche,,existing,,,yes,
marée,,existing,,,no,
peau ; apprêtée ; de maroquin,peau ; apprêtée ; de maroquin,existing,,,yes,
marraye,,existing,,,no,
marquise,marquise,existing,,,no,
maroquin,,existing,,,yes,
marron,,existing,,,yes,
maroc ; ras de marron,,existing,,,yes,
marmite ; en fer,marmite ; en fer,existing,,,yes,
marmite ; de fer,marmite ; de fer,existing,,,yes,
marmelade,marmelade,existing,,,no,
marly ; broché,,existing,,,yes,
mareule,mareule,existing,,,no,
marègue,marègue,existing,,,no,
marcotte ; d'œillet,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; étoffe ; gaze et toile,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; soie,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; salpêtre,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; poivre,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; mousseline,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; mouchoir,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; lingerie,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; éventail,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; coton,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; bois ; des Indes ; divers,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; vin ; du Cap,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; toile,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; thé,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; tapis,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; sagou,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; rotin,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; rhubarbe,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; poterie,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; porcelaine,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; objet divers de peu de valeur,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; métal,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; gomme,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; étoffe,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; encens,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; drogue,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; épicerie ; cannelle,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; café ; moka,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; café ; de bourbon,,existing,,,yes,
marchandise provenant du commerce français dans l'Inde ; divers,,existing,,,yes,
marchandise ; envoyé en tonneau,,existing,,,yes,
marchandise ; en tonneau,marchandise,existing,,,yes,
marchandise diverse à la valeur ; mêlée,,existing,,,yes,
marchandise diverse à la valeur ; en meuble,,existing,,,yes,
marchandise diverse à la valeur,,existing,,,yes,
"marchandise ; diverse venant de l'étranger et à réexporter aux colonies françaises ; principalement en toile guinée, viande salée, fer en barre, arme, etc.",,existing,,,yes,
marchandise ; des magasin royaux ; de Prusse,marchandise,existing,,,yes,
marchandise ; des Indes ; toile ; des Indes ; peinte,,existing,,,yes,
marchandise ; des Indes ; toile ; des Indes ; guinée,,existing,,,yes,
marchandises des Indes ; toile ; des Indes ; Caladaris,,existing,,,yes,
marchandise ; des Indes ; café ; de moka,,existing,,,yes,
marchandise ; des Indes ; bois ; des Indes ; d'ébène,,existing,,,yes,
marchandise ; des Indes ; arak,,existing,,,yes,
marchandise ; des Indes ; aloès,,existing,,,yes,
marchandise ; des Indes ; étoffe diverse des Indes,,existing,,,yes,
marchandise ; de détail,marchandise,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; sucre ; terré ; tête,,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; sucre ; raffiné ; en pain,,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; sucre ; brut,,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; sirop ; mélasse,,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; gingembre,,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; rocou,,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; indigo,,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; coton,,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; café,,existing,,,yes,
marchandises de colonies françaises de l'Amérique ; cacao,,existing,,,yes,
marchandise ; à la valeur,marchandise,existing,,,yes,
marchandise ; diverse ; à la valeur,marchandise,existing,,,yes,
"marchandise ; des Indes ; en soierie, mousseline, bandanoes et nankin",,existing,,,yes,
marchandise de retour faute de vente ; platille,,existing,,,yes,
marchandise de retour faute de vente ; étain,,existing,,,yes,
marchandise de retour faute de vente ; satin,,existing,,,yes,
marchandise de retour faute de vente ; contrebordée,,existing,,,yes,
marchandise mêlée,,existing,,,yes,
marchandise,marchandise,existing,,,yes,
marchandise ; à l'estimation,marchandise,existing,,,yes,
marchandise ; mêlée,marchandise ; mêlée,existing,,,yes,
marcerie,marcerie,existing,,,yes,
Marbre et albâtre ; brut et poli,,existing,,,yes,
marbre ; à marbrer couleur,,existing,,,yes,
marbre ; ouvré,marbre ; ouvré,existing,,,yes,
ouvrage ; de marbre ; divers,,existing,,,yes,
marbre ; bâtard,,existing,,,yes,
ouvrage ; de marbre,marbre ; ouvré,existing,,,yes,
marc de raisin,marc de raisin,existing,,,no,
maquereau ; frais,,existing,,,yes,
mantille ; d'écarlate ; brodée d'or,,existing,,,yes,
manivelle ; de fer,,existing,,,yes,
mangarbine,,existing,,,no,
mandragore,,existing,,,no,
manchon et platine,,existing,,,yes,
manchon ; de prix,,existing,,,yes,
manchon ; de peau ; de grèbes,,existing,,,yes,
manchette ; d'acier,,existing,,,yes,
manchette ; de mousseline ; brodée,,existing,,,yes,
manche ; de gaffe ; de 18 pieds,,existing,,,yes,
manche ; de gaffe ; de 12 pieds,,existing,,,yes,
manche ; de bois blanc,,existing,,,yes,
manche ; de brosse,,existing,,,yes,
manche ; de fouet,,existing,,,yes,
manche ; d'alêne,,existing,,,yes,
malreaux,,existing,,,no,
malon ; de brique,,existing,,,yes,
maillon,,existing,,,yes,
malemole,malemole,existing,,,no,
malbroug,malbroug,existing,,,no,
merrain ; pipage ; douelle,,existing,,,yes,
merrain ; fonçaille ; douelle,,existing,,,yes,
merrain ; à tonneau ; douelle,,existing,,,yes,
merrain ; à barrique ; douelle,,existing,,,yes,
merrain ; fonçaille,,existing,,,yes,
merrain ; à pipe ; douelle,,existing,,,yes,
maiclais,maiclais,existing,,,no,
manganèse,manganèse,existing,,,no,
madrier ; de gaïac ; de 9 pieds,,existing,,,yes,
madrier ; de chêne ; de 8 pieds,,existing,,,yes,
madrier ; de bois ; d'acajou ; de 12 pieds,,existing,,,yes,
madrier ; de bois ; d'acajou ; de 9 pieds,,existing,,,yes,
madrier ; de Prusse,,existing,,,yes,
bois ; en madrier ; d'acajou,bois ; en madrier ; d'acajou,existing,,,yes,
madrier ; d'acajou ; de 8 à 10 pieds,,existing,,,yes,
madrier ; d'acajou ; de 10 pieds,,existing,,,yes,
madrier ; d'acajou ; de 9 à 8 pieds,,existing,,,yes,
madrier ; d'acajou ; de 8 pieds,,existing,,,yes,
madrier ; d'acajou ; de 7 à 8 pieds,,existing,,,yes,
madrier ; d'acajou ; de 7 à 6 pieds,,existing,,,yes,
madrier ; d'acajou ; de 6 à 8 pieds,,existing,,,yes,
madrier ; d'acajou ; de 10 à 11 pieds,,existing,,,yes,
madrier ; de noyer ; de 10 pieds,,existing,,,yes,
madrier ; de bois ; d'acajou,,existing,,,yes,
Madère,,existing,,,yes,
mandarine,,existing,,,yes,
machine ; à feu ; pour mine,,existing,,,yes,
machine ; à éteindre le feu,,existing,,,yes,
machine ; militaire,,existing,,,yes,
machicot,,existing,,,no,
laiton ; gravé,laiton ; gravé,existing,,,yes,
laiton ; goutté,,existing,,,yes,
légume ; poix,légume ; poix,existing,,,yes,
légume ; haricot,légume ; haricot,existing,,,yes,
légume ; divers,légume,existing,,,yes,
lystre,lystre,existing,,,no,
luth,,existing,,,no,
lustrine,lustrine,existing,,,no,
lustre ; de bois ; doré,,existing,,,yes,
lustre ; de cristal,,existing,,,yes,
luspeck,,existing,,,no,
lunette ; à charnière ; d'argent,,existing,,,yes,
lunette ; garnie ; de corne,,existing,,,yes,
lunette ; de corne,,existing,,,yes,
lunette ; d'écaille,,existing,,,yes,
lunette ; d'approche,,existing,,,yes,
luge,luge,existing,,,no,
louveas,louveas,existing,,,no,
lupin,,existing,,,yes,
loup marin,loup marin,existing,,,no,
loches ; cobitidae,,existing,,,yes,
livre ; de piété,,existing,,,yes,
livre ; de musique,,existing,,,yes,
lit ; de campagne,,existing,,,yes,
litharge ; or et argent,,existing,,,yes,
litharge ; d'or et d'argent,,existing,,,yes,
lisière ; de drap,lisière ; de drap,existing,,,yes,
liqueur ; de Marseille,liqueur ; de Marseille,existing,,,yes,
liqueur ; médicinale,,existing,,,yes,
linéas,,existing,,,no,
linon,linon,existing,,,no,
linnieuse,linnieuse,existing,,,no,
linge,,existing,,,no,
lingerie ; vieille,linge ; vieux,existing,,,yes,
lingerie ; diverse ; pour nègre,,existing,,,yes,
lingerie ; diverse,,existing,,,yes,
lingerie ; de lin,,existing,,,yes,
lingerie ; commune,,existing,,,yes,
lingerie ; chemise ; diverse,,existing,,,yes,
lingerie,lingerie,existing,,,no,
linge; vieux,,existing,,,yes,
linge ; vieux,linge ; vieux,existing,,,yes,
linge ; uni,,existing,,,yes,
linge ; supporté,,existing,,,yes,
linge ; lingerie,,existing,,,yes,
linge ; de table ; fin,,existing,,,yes,
linge ; de table ; de toile ; de lin,,existing,,,yes,
linge ; de table,linge ; de table,existing,,,yes,
linge ; de toile ; de lin,,existing,,,yes,
linge ; damassé,,existing,,,yes,
lincern,,existing,,,no,
étoffe ; des Indes ; lincas,,existing,,,yes,
lincas,,existing,,,no,
lina,lina,existing,,,no,
lin ; russe,lin,existing,,,yes,
lin ; prussien,lin,existing,,,yes,
lin ; polonais,lin,existing,,,yes,
lin ; ordinaire,lin,existing,,,yes,
lin ; de Pologne,lin,existing,,,yes,
lin ; de Marienborg,lin,existing,,,yes,
lin ; en rame,,existing,,,yes,
lin ; en pelote,lin,existing,,,yes,
lin ; en paille,lin,existing,,,yes,
lin ; en motte,lin,existing,,,yes,
lin ; en masse,lin,existing,,,yes,
lin ; en gerbe,lin,existing,,,yes,
lin ; en botte,lin,existing,,,yes,
lin ; écru,,existing,,,yes,
lin ; de cru,,existing,,,yes,
lin ; commun,lin,existing,,,yes,
lin ; peigné,lin ; peigné,existing,,,yes,
lin ; ?,lin,existing,,,yes,
limon,,existing,,,yes,
Liménéas ; bleue,,existing,,,yes,
lime,lime,existing,,,yes,
limas,limas,existing,,,yes,
liménéas,,existing,,,yes,
limaille de fer,limaille de fer,existing,,,no,
limaille,limaille,existing,,,no,
lilas,,existing,,,yes,
ligneul,ligneul,existing,,,no,
ligature,ligature,existing,,,no,
lieu noir et colin noir,,existing,,,yes,
liettus,,existing,,,no,
lien ; de fil,lien ; de fil,existing,,,yes,
liège ; en fil,,existing,,,yes,
lien ; et fil,,existing,,,yes,
liège ; fin,,existing,,,yes,
liège ; en planche,,existing,,,yes,
liège ; planche,liège ; planche,existing,,,yes,
liège ; en bouchon,,existing,,,yes,
lie ; de vin,,existing,,,yes,
lic,,existing,,,no,
libraire ; ordinaire,librairie,existing,,,yes,
libans,libans,existing,,,no,
liagne,,existing,,,no,
levure ; de bière,,existing,,,yes,
levier,,existing,,,yes,
laiton ; gras,laiton ; gras,existing,,,yes,
lest,lest,existing,,,no,
leole,leole,existing,,,no,
lelarge,lelarge,existing,,,no,
légume,légume,existing,,,yes,
lèchefrite ; de fer,,existing,,,yes,
lèchefrite,,existing,,,no,
lave-place,lave-place,existing,,,no,
lavande,lavande,existing,,,no,
laurier,laurier,existing,,,no,
laudanum,,existing,,,no,
laiton ; neuf,,existing,,,yes,
latte ; de hêtre,,existing,,,yes,
latte ; de bois,,existing,,,yes,
laiton ; ouvré,,existing,,,yes,
laque place,,existing,,,yes,
lard ; fumé,,existing,,,yes,
lard,lard,existing,,,no,
lapis ; lazuli,,existing,,,yes,
lapis,,existing,,,no,
lanterne ; de verre,,existing,,,yes,
lanterne ; de cristal,,existing,,,yes,
lanterne ; d'escalier,,existing,,,yes,
lanterne ; magique,,existing,,,yes,
langue et noe ; de morue,,existing,,,yes,
langue ; et noix ; de morue,,existing,,,yes,
langue ; de cabillaud,,existing,,,yes,
langue ; salée,langue ; salée,existing,,,yes,
langue ; de morue,,existing,,,yes,
langue ; de bœuf,,existing,,,yes,
lange salée,,existing,,,yes,
lanchez,,existing,,,no,
lance ; et pointe et ?,,existing,,,yes,
lance ; et pointes ?,,existing,,,yes,
lampion ; de fer,,existing,,,yes,
lampe ; économique,,existing,,,yes,
lame ; de rasoir,,existing,,,yes,
lame ; d'acier,,existing,,,yes,
lamelle ; de poisson séché,,existing,,,yes,
lame ; de coutelas,,existing,,,yes,
lama,lama,existing,,,no,
ouvrage ; de laiton,ouvrage ; de laiton,existing,,,yes,
laiton et cuivre,laiton et cuivre,existing,,,no,
laiton ; gratté,,existing,,,yes,
laiton ; filé,fil ; de laiton,existing,,,yes,
"laine ; déchet, tontisse, bourre, lanisse",,existing,,,yes,
"laine ; commune, ordinaire, lavée et en suint",laine,existing,,,yes,
laine ; de vigogne,,existing,,,yes,
laine ; surge,,existing,,,yes,
laine ; l'Ance,,existing,,,yes,
laine ; d'aignelain,,existing,,,yes,
laine ; vivante,,existing,,,yes,
laine ; peluche,,existing,,,yes,
laine ; pelade,laine ; pelade,existing,,,yes,
laine ; non filée,,existing,,,yes,
laine ; en masse,laine,existing,,,yes,
laine ; de Rennes,,existing,,,yes,
laine ; ?,laine,existing,,,yes,
laine ; du nord,,existing,,,yes,
laine ; diverse,laine,existing,,,yes,
laine ; de tapisserie,,existing,,,yes,
laine ; de nigagne,laine ; de nigagne,existing,,,yes,
laine ; de Vigogne,laine ; de Vigogne,existing,,,yes,
laine ; de Perse,,existing,,,yes,
laine ; de Carménie,,existing,,,yes,
laine ; d'...cosse,,existing,,,yes,
laine ; d'Autriche,,existing,,,yes,
laine ; de l'Arménie,laine ; de l'Arménie,existing,,,yes,
laine ; d'Arles,,existing,,,yes,
laine ; d'alpaga,,existing,,,yes,
laine ; d'agnelin,laine ; d'agnelin,existing,,,yes,
laine ; agnelin ; en suint,,existing,,,yes,
laine ; en surge,laine ; en surge,existing,,,yes,
laine ; serge,drap ; serge,existing,,,yes,
laine ; filée,laine ; filée,existing,,,yes,
"lainage ; couverture, tapis, tapisserie",,existing,,,yes,
laimois,laimois,existing,,,no,
perdrix ; ou lagopède,,existing,,,yes,
laque ; rouge,,existing,,,yes,
laque ; ronde,,existing,,,yes,
laque ; plate,,existing,,,yes,
laque,,existing,,,no,
lackmoes,,existing,,,no,
lacet ; de peau,,existing,,,yes,
labdanum,labdanum,existing,,,no,
koruoté,koruoté,existing,,,no,
jupe ; de molleton,,existing,,,yes,
jupon ; de taffetas,,existing,,,yes,
jupon ; de satin,,existing,,,yes,
jument,bête de somme ; cheval,existing,,,yes,
jujubes,jujubes,existing,,,no,
jude fin,jude fin,existing,,,yes,
jude ; plate,,existing,,,yes,
jude ; flottante,,existing,,,yes,
jude ; fine,,existing,,,yes,
joaillerie,joaillerie,existing,,,no,
jouet ; d'enfant,,existing,,,yes,
jouet,,existing,,,yes,
jouet ; pour choisir,,existing,,,yes,
jonc ; à joncher ; volaille,,existing,,,yes,
jonc ; des Indes ; à faire des chaise,,existing,,,yes,
jonc ; à faire des ?,,existing,,,yes,
jonc ; esté,,existing,,,yes,
jeu ; de moulin à sucre,,existing,,,yes,
jeu ; d'échec,,existing,,,yes,
jet ; de canne ; à poignée ; d'ambre,,existing,,,yes,
jais ; ouvré,,existing,,,yes,
jais ; brut,,existing,,,yes,
jaune ; gros,,existing,,,yes,
jaune ; de Naples,,existing,,,yes,
jatte ; de bois,,existing,,,yes,
jaspe,jaspe,existing,,,no,
jarros,,existing,,,yes,
jarretière ; de soie or et argent,,existing,,,yes,
jarretière,,existing,,,yes,
jarre,jarre,existing,,,yes,
jarretière ; de laine,jarretière ; de laine,existing,,,yes,
jardiére de laine,jardiére de laine,existing,,,yes,
jambon ; de Mayence,,existing,,,yes,
jalap,jalap,existing,,,no,
Istarion ; d'espars,,existing,,,yes,
iris,iris,existing,,,no,
jonc ; à faire des chaise,jonc ; à faire des chaise,existing,,,yes,
Instrument ; épinette,,existing,,,yes,
instrument ; à jouer,,existing,,,yes,
instrument ; flûte,,existing,,,yes,
instrument ; divers ; propre aux arts libéraux,,existing,,,yes,
instrument ; de musique ; guitare,instrument ; de musique,existing,,,yes,
instrument ; de musique ; flûte,,existing,,,yes,
instrument ; de musique ; piano,instrument ; de musique,existing,,,yes,
instrument ; de musique ; divers,instrument ; de musique,existing,,,yes,
instrument ; de musique ; de mathématique,instrument ; de musique,existing,,,yes,
instrument ; de musique ; clavecin,instrument ; de musique ; clavecin,existing,,,yes,
instrument ; de musique ; basson,instrument ; de musique,existing,,,yes,
instrument ; de mer,instrument ; de marine,existing,,,yes,
instrument ; clavecin,,existing,,,yes,
instrument ; astronomique,,existing,,,yes,
instrument ; de marine,instrument ; de marine,existing,,,yes,
instrument ; de chirurgie,instrument ; de chirurgie,existing,,,yes,
"Instrument, machine et mécanique ; pour les art et les science",,existing,,,yes,
instrument ; de musique ; violon,instrument ; de musique ; violon,existing,,,yes,
instrument ; de musique ; de vessie,instrument ; de musique ; de vessie,existing,,,yes,
instrument ; de musique ; basse,instrument ; de musique,existing,,,yes,
instrument ; de mathématique,,existing,,,yes,
instrument ; de musique,instrument ; de musique,existing,,,yes,
ipécacuanha,,existing,,,no,
injube,,existing,,,yes,
indigo ; floré,,existing,,,yes,
indigo ; des îles,,existing,,,yes,
inde ; flottante,,existing,,,yes,
inde ; java,,existing,,,yes,
indes ; plate,indes ; plate,existing,,,yes,
inde ; plate,,existing,,,yes,
indes ; java,indes ; java,existing,,,yes,
indes ; flottante,indes ; flottante,existing,,,yes,
indes ; fine,indes ; fine,existing,,,yes,
image ; peinte,,existing,,,yes,
image ; des îles,,existing,,,yes,
Igname,,existing,,,yes,
hypocristis,hypocristis,existing,,,no,
huître ; en pierre,,existing,,,yes,
huître ; marinée,,existing,,,yes,
huître ; marine,,existing,,,yes,
huître ; à la daube ou marinée,,existing,,,yes,
huile ; de tartre,,existing,,,yes,
huile ; de cade,,existing,,,yes,
huile et acide vitriolique,huile et acide vitriolique,existing,,,no,
huile ; de graine ; ordinaire,,existing,,,yes,
huile ; de graine et de noix,huile ; de graine et de noix,existing,,,yes,
huile ; de graine ; de térébenthine,,existing,,,yes,
huile ; de graine ; de poisson,,existing,,,yes,
huile ; de graine ; de moutarde,,existing,,,yes,
huile ; de graine ; de macis,,existing,,,yes,
huile ; de graine ; de lin,,existing,,,yes,
huile ; de graine ; de laurier,,existing,,,yes,
huile ; de graine ; de graine,,existing,,,yes,
huile ; de graine ; de girofle,,existing,,,yes,
huile ; de graine ; de cannelle,,existing,,,yes,
huile ; de graine ; de Rhodes,,existing,,,yes,
huile ; de graine ; d'olive,,existing,,,yes,
huile ; de graine ; d'anis,,existing,,,yes,
huile ; ?,huile,existing,,,yes,
huile ; de morne,huile ; de morue,existing,,,yes,
huile ; marc d'olive ou amurca,huile ; d'olive,existing,,,yes,
huile et sirop,huile et sirop,existing,,,no,
huile ; de sein,,existing,,,yes,
huile ; de graine et autre,huile ; de graine,existing,,,yes,
huile ; de graine et noix,huile ; de graine et noix,existing,,,yes,
huile ; de graine ; à peinture,,existing,,,yes,
huile ; de Palma Christi,,existing,,,yes,
huile ; de nitriol,huile ; de nitriol,existing,,,yes,
huile ; de Cahouanne,,existing,,,yes,
huile ; de Benedie,,existing,,,yes,
huile ; d'olive à manger,huile ; d'olive,existing,,,yes,
huile ; d'olive ; pour fabrique,huile ; d'olive,existing,,,yes,
huile ; d'olive ; de qualité inférieure,,existing,,,yes,
huile ; d'étain,,existing,,,yes,
huile ; d'amande douce,huile ; d'amande douce,existing,,,yes,
huile ; d'Aix,,existing,,,yes,
huile ; d'Alma Christi,,existing,,,yes,
huile ; superfine,,existing,,,yes,
huile ; pied d'huile ; de poisson,huile ; de poisson,existing,,,yes,
huile ; pied d'huile,huile,existing,,,yes,
huile ; grap ; indigo,drogue ; pour la peinture et la teinture ; indigo,existing,,,yes,
huile ; fine,huile ; fine,existing,,,yes,
huile ; en dinar,huile,existing,,,yes,
huile ; de térébenthine,drogue ; térébenthine ; huile,existing,,,yes,
huile ; de rave,,existing,,,yes,
huile ; de poisson ; divers,,existing,,,yes,
huile ; de poisson ; des îles,,existing,,,yes,
huile ; de palme,huile ; de palme,existing,,,yes,
huile ; de morue,huile ; de morue,existing,,,yes,
huile ; de grain,,existing,,,yes,
huile ; de rabette,,existing,,,yes,
huile ; de caoüanne,,existing,,,yes,
huile ; de vitriol,,existing,,,yes,
huile ; de Rhodes,,existing,,,yes,
huile ; de navette,,existing,,,yes,
huile ; de girofle,,existing,,,yes,
huile ; d'olive ; fine,,existing,,,yes,
huile ; d'amande ; douce,,existing,,,yes,
huile ; commune,huile,existing,,,yes,
huile ; de poisson,huile ; de poisson,existing,,,yes,
huile ; de noix,huile ; de noix,existing,,,yes,
huile ; de loison,huile,existing,,,yes,
huile ; de graine,huile ; de graine,existing,,,yes,
huile ; de baleine,huile ; de baleine,existing,,,yes,
huile ; d'olive,huile ; d'olive,existing,,,yes,
huile ; de lin,huile ; de lin,existing,,,yes,
huile ; à ?,huile,existing,,,yes,
hubalingue,hubalingue,existing,,,no,
housse et faux fourreau,,existing,,,yes,
housse et faux fourreau garni d'argent,,existing,,,yes,
houppe ; de cygne,,existing,,,yes,
houblon,houblon,existing,,,no,
hotte,,existing,,,yes,
horloge ; de table,,existing,,,yes,
horloge ; à réveil,,existing,,,yes,
horloge ; de mer,,existing,,,yes,
horloge ; de fer,,existing,,,yes,
horlogerie ; horloge ; commune,horlogerie ; horloge ; commune,existing,,,yes,
horlogerie et carillon,horlogerie et carillon,existing,,,no,
horlogerie ; ressort,,existing,,,yes,
horlogerie ; horloge ; de sable,horlogerie ; horloge ; de sable,existing,,,yes,
horlogerie ; horloge,,existing,,,yes,
horlogerie ; de bois ; pendule,,existing,,,yes,
horlogerie ; horloge ; de table,horlogerie ; horloge ; de table,existing,,,yes,
horlogerie ; diverse,horlogerie,existing,,,yes,
horloge ; de sable,,existing,,,yes,
horloge,,existing,,,no,
hôpitaux,,existing,,,no,
homard,homard,existing,,,no,
