orthographic_pierre,simplification,status,beforeItems,afterItems,obsolete,imprimatur
bestiaux porcs gras,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; Porcs gras] [Bestiaux ; porcs ; gras],no,
bestiaux et bêtes de somme veaux,[bétail ; veau],ambiguous,,[Bestiaux et bêtes ; de somme ; veaux] [Bestiaux et bêtes de sommes ; veaux],no,
bestiaux en veaux pour ???,[bétail ; veau],ambiguous,,[Bestiaux ; en veaux ; pour ?],no,
bestiaux veaux petits,[bétail ; veau],ambiguous,,[Bestiaux ; veaux ; petit],no,
bestiaux en veaux maigres,[bétail ; veau],ambiguous,,[Bestiaux ; en veaux ; maigres],no,
bestiaux en veaux gras,[bétail ; veau],ambiguous,,[Bestiaux ; en veaux ; gras],no,
bestiaux veaux gras,[bétail ; veau],ambiguous,,[Bestiaux ; veaux ; gras],no,
bestiaux en veaux,[bétail ; veau],ambiguous,,[Bestiaux ; en veaux] [Bestiaux en veaux],no,
bestiaux veaux,[bétail ; veau],ambiguous,,[Bestiaux ; Veaux] [Bestiaux; Veaux],no,
bestiaux moutons gras,[bétail ; mouton],ambiguous,,[Bestiaux ; moutons ; gras],no,
bestiaux en moutons,[bétail ; mouton],ambiguous,,[Bestiaux ; en moutons],no,
bestiaux moutons,[bétail ; mouton],ambiguous,,[Bestiaux ; Moutons] [Bestiaux ; mouton] [Bestiaux; Moutons],no,
moutons,[bétail ; mouton],ambiguous,,[Mouton] [moutons] [Moutons],no,
juments,[bête de somme ; cheval],ambiguous,,[Juments] [Jument] [Jumens],no,
bêtes de somme chevaux,[bête de somme ; cheval],ambiguous,,[///Bêtes de Somme///Chevaux] [///Betes de somme///Cheveaux] [///Betes de somme///Chevaux] [Bêtes de somme ; chevaux] [Betes de somme ; Cheveaux] [Betes de somme ; Chevaux] [Bêtes ; de somme ; chevaux],no,
bestiaux de somme chevaux,[bête de somme ; cheval],ambiguous,,[Bestiaux ; de somme ; chevaux],no,
bestiaux de somme en chevaux,[bête de somme ; cheval],ambiguous,,[Bestiaux ; de somme ; en chevaux],no,
bêtes de somme en chevaux,[bête de somme ; cheval],ambiguous,,[Bêtes ; de somme ; en chevaux],no,
bestiaux et bêtes de somme chevaux,[bête de somme ; cheval],ambiguous,,[Bestiaux et bêtes ; de somme ; cheveaux] [Bestiaux et bêtes ; de somme ; chevaux] [Bestiaux et bêtes de sommes ; chevaux],no,
bêtes de somme diverses,[bête de somme ; diverse] [bête de somme],ambiguous,,[Bêtes ; de somme ; diverses] [Bêtes de somme ; diverses],no,
bêtes de somme,[bête de somme],ambiguous,,[Bêtes de somme],no,
billes d'ivoire,[billard ; d'ivoire] [bille ; d'ivoire],ambiguous,,[Billes d'yvoire] [Billes ; d'yvoire] [Billes d'ivoir] [Billes ; d'Yvoire],no,
sarrasin,[grain ; sarrasin],ambiguous,[Sarrasin] [Sarions d'Eparts],[Sarrasin] [Sarazin],no,
sarions d'Eparts,[grain ; sarrasin],ambiguous,,[Sarions d'Eparts],no,
blé sarrasin,[grain ; sarrasin],ambiguous,,[bled sarrazin] [Bled ; sarazin] [Bled ; Sarrasin] [Bles ; sarazin] [Bled; sarazin] [Bled ; Sarrazin] [Bled sarrasin] [Bled sarasin],no,
bois à brûler en fagots,[bois ; à brûler],ambiguous,,[Bois ; à brûler ; en fagot] [Bois ;à brûler ; en fagots] [Bois ; à brûler ; en fagots],no,
bois à brûler en facheaux,[bois ; à brûler],ambiguous,,[Bois ; à brûler ; en facheaux],no,
bois à brûler en bûches,[bois ; à brûler],ambiguous,,[Bois ; à brûler ; en buches],no,
bois à brûler en ???,[bois ; à brûler],ambiguous,,[Bois ; à brûler ; en ?],no,
bois à brûler de gite,[bois ; à brûler],ambiguous,,[Bois ; à brûler ; de gite],no,
bois à brûler de chêne,[bois ; à brûler],ambiguous,,[Bois ; à brûler ; de chêne],no,
bois à brûler d'orme,[bois ; à brûler],ambiguous,,[Bois ; à brûler ; d'orme],no,
bois à brûler,[bois ; à brûler],ambiguous,,[Bois ; A bruler] [Bois; à bruler] [Bois bruler] [Bois ; a Bruler] [Bois ; a bruler] [bois à brusler] [bois à brûler] [Bois a brules] [Bois A Bruler] [Bois a Brusler] [Bois ; à bruler] [Bois a brûler] [Bois A Brûles] [Bois a bruler] [bois à bruler] [Bois A Brule] [Bois ; à bruslé] [Bois a brusler] [Bois A brulé] [Bois à Bruler] [Bois a Brulers] [Bois à brulé] [Bois a Brûler] [Bois à bruler] [Bois à brûler],no,
bois en fagots,[bois ; à brûler],ambiguous,,[Bois ; en fagots],no,
