year,marchandises,value,quantit,quantity_unit,total,grammesargent_markbanco
1734,Vinaigre,10702,,,3067543,8.3505268
1734,Vitriol ; blanc,0,,,3067543,8.3505268
1735,Alun,,,,,8.3505268
1735,Beurre,,,,,8.3505268
1735,Blanc ; de baleine,,,,,8.3505268
1735,Bois ; de Pernambouc,,,,,8.3505268
1735,Bougie ; de suif,,,,,8.3505268
1735,Cacao,,,,,8.3505268
1735,Café,,,,,8.3505268
1735,Cochenille,,,,,8.3505268
1735,Coton ; autre et de Méditerranée,,,,,8.3505268
1735,Coton ; autre et de Méditerranée,,,,,8.3505268
1735,Eau ; de vie,,,,,8.3505268
1735,Fer,,,,,8.3505268
1735,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,,,8.3505268
1735,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,,,8.3505268
1735,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,,,8.3505268
1735,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,,,8.3505268
1735,Galle,,,,,8.3505268
1735,Gingembre,,,,,8.3505268
1735,Gomme,,,,,8.3505268
1735,Goudron ; de Suède,,,,,8.3505268
1735,Huile ; d'olive ; blanc ; de Gènes,,,,,8.3505268
1735,Huile ; de baleine,,,,,8.3505268
1735,Indigo,,,,,8.3505268
1735,Marchandises non classifiées,0,,,,8.3505268
1735,Minium,,,,,8.3505268
1735,Oxyde ; de plomb,,,,,8.3505268
1735,Plombs,,,,,8.3505268
1735,Poivre ; blanc-noir,,,,,8.3505268
1735,Potasse,,,,,8.3505268
1735,Riz,,,,,8.3505268
1735,Safran ; orange,,,,,8.3505268
1735,Savon,,,,,8.3505268
1735,Sucre ; cru blanc ; du Brésil,,,,,8.3505268
1735,Suif ; pour faire du savon,,,,,8.3505268
1735,Sumac,,,,,8.3505268
1735,Tabac ; de Virginie,,,,,8.3505268
1735,Tartre,,,,,8.3505268
1735,Thé ; boue,,,,,8.3505268
1735,Térébenthine,,,,,8.3505268
1735,Vert-de-gris,,,,,8.3505268
1735,Vin ; de France,,,,,8.3505268
1735,Vinaigre,,,,,8.3505268
1735,Vitriol ; blanc,,,,,8.3505268
1736,Alun,0,0,livres de hambourg,4796098,8.1900387
1736,Beurre,0,0,tonneaux,4796098,8.1900387
1736,Blanc ; de baleine,150,656.81445,livres de hambourg,4796098,8.1900387
1736,Bois ; de Pernambouc,0,0,livres de hambourg,4796098,8.1900387
1736,Bois ; de teinture,31000,,,4796098,8.1900387
1736,Bougie ; de suif,0,0,livres de hambourg,4796098,8.1900387
1736,Cacao,1000,907.02948,livres de hambourg,4796098,8.1900387
1736,Café,434170,631520,livres de hambourg,4796098,8.1900387
1736,Cochenille,0,0,livres de hambourg,4796098,8.1900387
1736,Coton ; autre et de Méditerranée,2100,5133.4414,livres de hambourg,4796098,8.1900387
1736,Coton ; autre et de Méditerranée,0,0,livres de hambourg,4796098,8.1900387
1736,Eau ; de vie,181820,82589.148,quartiers,4796098,8.1900387
1736,Fer,0,0,livres de bateau,4796098,8.1900387
1736,"Fruits ; divers ; amandes, pelures, raisins, prunes",0,0,livres de hambourg,4796098,8.1900387
1736,"Fruits ; divers ; amandes, pelures, raisins, prunes",8315,89852.914,livres de hambourg,4796098,8.1900387
1736,"Fruits ; divers ; amandes, pelures, raisins, prunes",7143,158205.98,livres de hambourg,4796098,8.1900387
1736,"Fruits ; divers ; amandes, pelures, raisins, prunes",44880,233567.53,livres de hambourg,4796098,8.1900387
1736,Galle,1100,2928.6895,livres de hambourg,4796098,8.1900387
1736,Gingembre,12955,59206.227,livres de hambourg,4796098,8.1900387
1736,Gomme,60100,,,4796098,8.1900387
1736,Goudron ; de Suède,0,0,last,4796098,8.1900387
1736,Huile ; d'olive ; blanc ; de Gènes,6075,21872.668,livres de hambourg,4796098,8.1900387
1736,Huile ; de baleine,0,0,tonneaux,4796098,8.1900387
1736,Indigo,181430,58860.219,livres de hambourg,4796098,8.1900387
1736,Marchandises non classifiées,632748,,,4796098,8.1900387
1736,Minium,1000,9869.2334,livres de hambourg,4796098,8.1900387
1736,Oxyde ; de plomb,1500,5431.8306,livres de hambourg,4796098,8.1900387
1736,Plombs,0,0,livres de hambourg,4796098,8.1900387
1736,Poivre ; blanc-noir,0,0,livres de hambourg,4796098,8.1900387
1736,Potasse,0,0,livres de hambourg,4796098,8.1900387
1736,Riz,8070,90487.344,livres de hambourg,4796098,8.1900387
1736,Safran ; orange,11425,747.83179,livres de hambourg,4796098,8.1900387
1736,Savon,410,2181.3484,livres de hambourg,4796098,8.1900387
1736,Sucre ; cru blanc ; du Brésil,2628132,13154843,livres de hambourg,4796098,8.1900387
1736,Suif ; pour faire du savon,0,0,livres de hambourg,4796098,8.1900387
1736,Sumac,4550,92130.07,livres de hambourg,4796098,8.1900387
1736,Tabac ; de Virginie,4788,24320,livres de hambourg,4796098,8.1900387
1736,Tartre,3300,23409.592,livres de hambourg,4796098,8.1900387
1736,Thé ; boue,31800,16825.396,livres de hambourg,4796098,8.1900387
1736,Térébenthine,3095,45001.82,livres de hambourg,4796098,8.1900387
1736,Vert-de-gris,8800,8745.3418,livres de hambourg,4796098,8.1900387
1736,Vin ; de France,470165,19510.945,oxhoft,4796098,8.1900387
1736,Vinaigre,13977,695.11377,tierce,4796098,8.1900387
1736,Vitriol ; blanc,100,357.14285,livres de hambourg,4796098,8.1900387
1737,Alun,0,0,livres de hambourg,5149626,8.4031448
1737,Beurre,915,18.098206,tonneaux,5149626,8.4031448
1737,Blanc ; de baleine,100,427.07666,livres de hambourg,5149626,8.4031448
1737,Bois ; de Pernambouc,9300,29582.504,livres de hambourg,5149626,8.4031448
1737,Bois ; de teinture,9300,,,5149626,8.4031448
1737,Bougie ; de suif,0,0,livres de hambourg,5149626,8.4031448
1737,Cacao,1000,1011.378,livres de hambourg,5149626,8.4031448
1737,Café,390472,833006.94,livres de hambourg,5149626,8.4031448
1737,Cochenille,0,0,livres de hambourg,5149626,8.4031448
1737,Coton ; autre et de Méditerranée,0,0,livres de hambourg,5149626,8.4031448
1737,Coton ; autre et de Méditerranée,5050,13270.558,livres de hambourg,5149626,8.4031448
1737,Eau ; de vie,193812,86186.547,quartiers,5149626,8.4031448
1737,Fer,0,0,livres de bateau,5149626,8.4031448
1737,"Fruits ; divers ; amandes, pelures, raisins, prunes",34150,637721.75,livres de hambourg,5149626,8.4031448
1737,"Fruits ; divers ; amandes, pelures, raisins, prunes",0,0,livres de hambourg,5149626,8.4031448
1737,"Fruits ; divers ; amandes, pelures, raisins, prunes",4115,42910.848,livres de hambourg,5149626,8.4031448
1737,"Fruits ; divers ; amandes, pelures, raisins, prunes",40560,169052.83,livres de hambourg,5149626,8.4031448
1737,Galle,880,2412.6167,livres de hambourg,5149626,8.4031448
1737,Gingembre,9400,45956.523,livres de hambourg,5149626,8.4031448
1737,Gomme,15600,,,5149626,8.4031448
1737,Goudron ; de Suède,0,0,last,5149626,8.4031448
1737,Huile ; d'olive ; blanc ; de Gènes,2770,10162.863,livres de hambourg,5149626,8.4031448
1737,Huile ; de baleine,0,0,tonneaux,5149626,8.4031448
1737,Indigo,318000,103166.78,livres de hambourg,5149626,8.4031448
1737,Marchandises non classifiées,534219,,,5149626,8.4031448
1737,Minium,1000,9920.6348,livres de hambourg,5149626,8.4031448
1737,Oxyde ; de plomb,0,0,livres de hambourg,5149626,8.4031448
1737,Plombs,0,0,livres de hambourg,5149626,8.4031448
1737,Poivre ; blanc-noir,0,0,livres de hambourg,5149626,8.4031448
1737,Potasse,0,0,livres de hambourg,5149626,8.4031448
1737,Riz,0,0,livres de hambourg,5149626,8.4031448
1737,Safran ; orange,11900,1007.4074,livres de hambourg,5149626,8.4031448
1737,Savon,3595,17558.939,livres de hambourg,5149626,8.4031448
1737,Sucre ; cru blanc ; du Brésil,2994160,14638424,livres de hambourg,5149626,8.4031448
1737,Suif ; pour faire du savon,880,19.047619,livres de hambourg,5149626,8.4031448
1737,Sumac,0,0,livres de hambourg,5149626,8.4031448
1737,Tabac ; de Virginie,5250,28571.428,livres de hambourg,5149626,8.4031448
1737,Tartre,1000,7667.5806,livres de hambourg,5149626,8.4031448
1737,Thé ; boue,49700,31208.789,livres de hambourg,5149626,8.4031448
1737,Térébenthine,4695,69324.477,livres de hambourg,5149626,8.4031448
1737,Vert-de-gris,13550,12290.249,livres de hambourg,5149626,8.4031448
1737,Vin ; de France,480749,19400.686,oxhoft,5149626,8.4031448
1737,Vinaigre,13354,748.12323,tierce,5149626,8.4031448
1737,Vitriol ; blanc,150,535.71429,livres de hambourg,5149626,8.4031448
1738,Alun,0,0,livres de hambourg,6031067,8.4125938
1738,Beurre,2575,64.513,tonneaux,6031067,8.4125938
1738,Blanc ; de baleine,0,0,livres de hambourg,6031067,8.4125938
1738,Bois ; de Pernambouc,0,0,livres de hambourg,6031067,8.4125938
1738,Bois ; de teinture,255870,,,6031067,8.4125938
1738,Bougie ; de suif,0,0,livres de hambourg,6031067,8.4125938
1738,Cacao,2500,2838.9937,livres de hambourg,6031067,8.4125938
1738,Café,841462,1946514.5,livres de hambourg,6031067,8.4125938
1738,Cochenille,0,0,livres de hambourg,6031067,8.4125938
1738,Coton ; autre et de Méditerranée,5775,8734.2363,livres de hambourg,6031067,8.4125938
1738,Coton ; autre et de Méditerranée,5325,14926.091,livres de hambourg,6031067,8.4125938
1738,Eau ; de vie,0,0,quartiers,6031067,8.4125938
1738,Fer,360,21.505377,livres de bateau,6031067,8.4125938
1738,"Fruits ; divers ; amandes, pelures, raisins, prunes",51781,1285506.4,livres de hambourg,6031067,8.4125938
1738,"Fruits ; divers ; amandes, pelures, raisins, prunes",93195,416239.56,livres de hambourg,6031067,8.4125938
1738,"Fruits ; divers ; amandes, pelures, raisins, prunes",50,385.401,livres de hambourg,6031067,8.4125938
1738,"Fruits ; divers ; amandes, pelures, raisins, prunes",34733,327469.13,livres de hambourg,6031067,8.4125938
1738,Galle,16230,47388.59,livres de hambourg,6031067,8.4125938
1738,Gingembre,33090,159917.23,livres de hambourg,6031067,8.4125938
1738,Gomme,83100,,,6031067,8.4125938
1738,Goudron ; de Suède,0,0,last,6031067,8.4125938
1738,Huile ; d'olive ; blanc ; de Gènes,1890,6591.3877,livres de hambourg,6031067,8.4125938
1738,Huile ; de baleine,0,0,tonneaux,6031067,8.4125938
1738,Indigo,182525,59215.461,livres de hambourg,6031067,8.4125938
1738,Marchandises non classifiées,748933,,,6031067,8.4125938
1738,Minium,2500,25832.285,livres de hambourg,6031067,8.4125938
1738,Oxyde ; de plomb,0,0,livres de hambourg,6031067,8.4125938
1738,Plombs,0,0,livres de hambourg,6031067,8.4125938
1738,Poivre ; blanc-noir,0,0,livres de hambourg,6031067,8.4125938
1738,Potasse,0,0,livres de hambourg,6031067,8.4125938
1738,Riz,0,0,livres de hambourg,6031067,8.4125938
1738,Safran ; orange,3000,256.01639,livres de hambourg,6031067,8.4125938
1738,Savon,5750,30623.609,livres de hambourg,6031067,8.4125938
1738,Sucre ; cru blanc ; du Brésil,3003405,12885628,livres de hambourg,6031067,8.4125938
1738,Suif ; pour faire du savon,0,0,livres de hambourg,6031067,8.4125938
1738,Sumac,0,0,livres de hambourg,6031067,8.4125938
1738,Tabac ; de Virginie,830,4759.8564,livres de hambourg,6031067,8.4125938
1738,Tartre,450,3514.4614,livres de hambourg,6031067,8.4125938
1738,Thé ; boue,12175,8412.1436,livres de hambourg,6031067,8.4125938
1738,Térébenthine,6295,102850.02,livres de hambourg,6031067,8.4125938
1738,Vert-de-gris,3025,2940.2832,livres de hambourg,6031067,8.4125938
1738,Vin ; de France,618450,25925.926,oxhoft,6031067,8.4125938
1738,Vinaigre,15193,864.36823,tierce,6031067,8.4125938
1738,Vitriol ; blanc,600,2142.8572,livres de hambourg,6031067,8.4125938
1739,Alun,450,4057.2295,livres de hambourg,5599395,8.3968573
1739,Beurre,600,14.703824,tonneaux,5599395,8.3968573
1739,Blanc ; de baleine,0,0,livres de hambourg,5599395,8.3968573
1739,Bois ; de Pernambouc,0,0,livres de hambourg,5599395,8.3968573
1739,Bois ; de teinture,117205,,,5599395,8.3968573
1739,Bougie ; de suif,0,0,livres de hambourg,5599395,8.3968573
1739,Cacao,4700,5694.209,livres de hambourg,5599395,8.3968573
1739,Café,477130,1221452.8,livres de hambourg,5599395,8.3968573
1739,Cochenille,0,0,livres de hambourg,5599395,8.3968573
1739,Coton ; autre et de Méditerranée,9950,17431.293,livres de hambourg,5599395,8.3968573
1739,Coton ; autre et de Méditerranée,1250,3701.1733,livres de hambourg,5599395,8.3968573
1739,Eau ; de vie,0,0,quartiers,5599395,8.3968573
1739,Fer,1100,65.009132,livres de bateau,5599395,8.3968573
1739,"Fruits ; divers ; amandes, pelures, raisins, prunes",1375,13028.569,livres de hambourg,5599395,8.3968573
1739,"Fruits ; divers ; amandes, pelures, raisins, prunes",42010,171080.78,livres de hambourg,5599395,8.3968573
1739,"Fruits ; divers ; amandes, pelures, raisins, prunes",22640,434520.81,livres de hambourg,5599395,8.3968573
1739,"Fruits ; divers ; amandes, pelures, raisins, prunes",0,0,livres de hambourg,5599395,8.3968573
1739,Galle,10810,32152.66,livres de hambourg,5599395,8.3968573
1739,Gingembre,9070,45398.945,livres de hambourg,5599395,8.3968573
1739,Gomme,17955,,,5599395,8.3968573
1739,Goudron ; de Suède,0,0,last,5599395,8.3968573
1739,Huile ; d'olive ; blanc ; de Gènes,28194,112638.64,livres de hambourg,5599395,8.3968573
1739,Huile ; de baleine,0,0,tonneaux,5599395,8.3968573
1739,Indigo,238555,72893.344,livres de hambourg,5599395,8.3968573
1739,Marchandises non classifiées,681762,,,5599395,8.3968573
1739,Minium,4700,50615.188,livres de hambourg,5599395,8.3968573
1739,Oxyde ; de plomb,200,776.93549,livres de hambourg,5599395,8.3968573
1739,Plombs,0,0,livres de hambourg,5599395,8.3968573
1739,Poivre ; blanc-noir,925,1133.0404,livres de hambourg,5599395,8.3968573
1739,Potasse,0,0,livres de hambourg,5599395,8.3968573
1739,Riz,0,0,livres de hambourg,5599395,8.3968573
1739,Safran ; orange,2550,236.50995,livres de hambourg,5599395,8.3968573
1739,Savon,1180,6471.6216,livres de hambourg,5599395,8.3968573
1739,Sucre ; cru blanc ; du Brésil,3478330,14337993,livres de hambourg,5599395,8.3968573
1739,Suif ; pour faire du savon,150,3.1231806,livres de hambourg,5599395,8.3968573
1739,Sumac,210,4642.9087,livres de hambourg,5599395,8.3968573
1739,Tabac ; de Virginie,4380,23694.221,livres de hambourg,5599395,8.3968573
1739,Tartre,900,7263.2134,livres de hambourg,5599395,8.3968573
1739,Thé ; boue,7900,5671.7729,livres de hambourg,5599395,8.3968573
1739,Térébenthine,2620,48369.047,livres de hambourg,5599395,8.3968573
1739,Vert-de-gris,13400,12880.307,livres de hambourg,5599395,8.3968573
1739,Vin ; de France,405715,14564.072,oxhoft,5599395,8.3968573
1739,Vinaigre,11479,621.55066,tierce,5599395,8.3968573
1739,Vitriol ; blanc,0,0,livres de hambourg,5599395,8.3968573
1740,Alun,0,0,livres de hambourg,7712894,8.3500004
1740,Beurre,0,0,tonneaux,7712894,8.3500004
1740,Blanc ; de baleine,0,0,livres de hambourg,7712894,8.3500004
1740,Bois ; de Pernambouc,10200,24802.432,livres de hambourg,7712894,8.3500004
1740,Bois ; de teinture,11900,,,7712894,8.3500004
1740,Bougie ; de suif,0,0,livres de hambourg,7712894,8.3500004
1740,Cacao,0,0,livres de hambourg,7712894,8.3500004
1740,Café,510910,1226184,livres de hambourg,7712894,8.3500004
1740,Cochenille,0,0,livres de hambourg,7712894,8.3500004
1740,Coton ; autre et de Méditerranée,22100,38396.77,livres de hambourg,7712894,8.3500004
1740,Coton ; autre et de Méditerranée,8800,24342.033,livres de hambourg,7712894,8.3500004
1740,Eau ; de vie,217740,75265.273,quartiers,7712894,8.3500004
1740,Fer,360,21.397558,livres de bateau,7712894,8.3500004
1740,"Fruits ; divers ; amandes, pelures, raisins, prunes",0,0,livres de hambourg,7712894,8.3500004
1740,"Fruits ; divers ; amandes, pelures, raisins, prunes",800,4907.1895,livres de hambourg,7712894,8.3500004
1740,"Fruits ; divers ; amandes, pelures, raisins, prunes",63570,247866.45,livres de hambourg,7712894,8.3500004
1740,"Fruits ; divers ; amandes, pelures, raisins, prunes",23270,365856.06,livres de hambourg,7712894,8.3500004
1740,Galle,34444,93553.578,livres de hambourg,7712894,8.3500004
1740,Gingembre,16725,84723.883,livres de hambourg,7712894,8.3500004
1740,Gomme,23375,,,7712894,8.3500004
1740,Goudron ; de Suède,200,.11218135,last,7712894,8.3500004
1740,Huile ; d'olive ; blanc ; de Gènes,12105,49414.313,livres de hambourg,7712894,8.3500004
1740,Huile ; de baleine,0,0,tonneaux,7712894,8.3500004
1740,Indigo,350575,101236.55,livres de hambourg,7712894,8.3500004
1740,Marchandises non classifiées,973700,,,7712894,8.3500004
1740,Minium,0,0,livres de hambourg,7712894,8.3500004
1740,Oxyde ; de plomb,400,1550.3422,livres de hambourg,7712894,8.3500004
1740,Plombs,400,15.850042,livres de hambourg,7712894,8.3500004
1740,Poivre ; blanc-noir,0,0,livres de hambourg,7712894,8.3500004
1740,Potasse,0,0,livres de hambourg,7712894,8.3500004
1740,Riz,200,2156.1895,livres de hambourg,7712894,8.3500004
1740,Safran ; orange,5575,464.47739,livres de hambourg,7712894,8.3500004
1740,Savon,7850,39802.434,livres de hambourg,7712894,8.3500004
1740,Sucre ; cru blanc ; du Brésil,4858410,17918724,livres de hambourg,7712894,8.3500004
1740,Suif ; pour faire du savon,0,0,livres de hambourg,7712894,8.3500004
1740,Sumac,590,12469.606,livres de hambourg,7712894,8.3500004
1740,Tabac ; de Virginie,6200,29009.383,livres de hambourg,7712894,8.3500004
1740,Tartre,500,3581.5896,livres de hambourg,7712894,8.3500004
1740,Thé ; boue,0,0,livres de hambourg,7712894,8.3500004
1740,Térébenthine,1945,31599.041,livres de hambourg,7712894,8.3500004
1740,Vert-de-gris,6950,6774.7046,livres de hambourg,7712894,8.3500004
1740,Vin ; de France,539230,15104.291,oxhoft,7712894,8.3500004
1740,Vinaigre,3870,161.90512,tierce,7712894,8.3500004
1740,Vitriol ; blanc,0,0,livres de hambourg,7712894,8.3500004
1741,Alun,,,,,8.2868004
1741,Beurre,,,,,8.2868004
1741,Blanc ; de baleine,,,,,8.2868004
1741,Bois ; de Pernambouc,,,,,8.2868004
1741,Bougie ; de suif,,,,,8.2868004
1741,Cacao,,,,,8.2868004
1741,Café,,,,,8.2868004
1741,Cochenille,,,,,8.2868004
1741,Coton ; autre et de Méditerranée,,,,,8.2868004
1741,Coton ; autre et de Méditerranée,,,,,8.2868004
1741,Eau ; de vie,,,,,8.2868004
1741,Fer,,,,,8.2868004
1741,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,,,8.2868004
1741,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,,,8.2868004
1741,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,,,8.2868004
1741,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,,,8.2868004
1741,Galle,,,,,8.2868004
1741,Gingembre,,,,,8.2868004
1741,Gomme,,,,,8.2868004
1741,Goudron ; de Suède,,,,,8.2868004
1741,Huile ; d'olive ; blanc ; de Gènes,,,,,8.2868004
1741,Huile ; de baleine,,,,,8.2868004
1741,Indigo,,,,,8.2868004
1741,Marchandises non classifiées,0,,,,8.2868004
1741,Minium,,,,,8.2868004
1741,Oxyde ; de plomb,,,,,8.2868004
1741,Plombs,,,,,8.2868004
1741,Poivre ; blanc-noir,,,,,8.2868004
1741,Potasse,,,,,8.2868004
1741,Riz,,,,,8.2868004
1741,Safran ; orange,,,,,8.2868004
1741,Savon,,,,,8.2868004
1741,Sucre ; cru blanc ; du Brésil,,,,,8.2868004
1741,Suif ; pour faire du savon,,,,,8.2868004
1741,Sumac,,,,,8.2868004
1741,Tabac ; de Virginie,,,,,8.2868004
1741,Tartre,,,,,8.2868004
1741,Thé ; boue,,,,,8.2868004
1741,Térébenthine,,,,,8.2868004
1741,Vert-de-gris,,,,,8.2868004
1741,Vin ; de France,,,,,8.2868004
1741,Vinaigre,,,,,8.2868004
1741,Vitriol ; blanc,,,,,8.2868004
1742,Alun,1500,12578.828,livres de hambourg,6988920,8.2761059
1742,Beurre,0,0,tonneaux,6988920,8.2761059
1742,Blanc ; de baleine,0,0,livres de hambourg,6988920,8.2761059
1742,Bois ; de Pernambouc,0,0,livres de hambourg,6988920,8.2761059
1742,Bougie ; de suif,0,0,livres de hambourg,6988920,8.2761059
1742,Cacao,1000,1633.9202,livres de hambourg,6988920,8.2761059
1742,Café,610083,1582918.1,livres de hambourg,6988920,8.2761059
1742,Cochenille,9400,848.85333,livres de hambourg,6988920,8.2761059
1742,Coton ; autre et de Méditerranée,2600,4924.228,livres de hambourg,6988920,8.2761059
1742,Coton ; autre et de Méditerranée,600,1327.7473,livres de hambourg,6988920,8.2761059
1742,Eau ; de vie,172275,69440.336,quartiers,6988920,8.2761059
1742,Fer,0,0,livres de bateau,6988920,8.2761059
1742,"Fruits ; divers ; amandes, pelures, raisins, prunes",47925,621595.31,livres de hambourg,6988920,8.2761059
1742,"Fruits ; divers ; amandes, pelures, raisins, prunes",0,0,livres de hambourg,6988920,8.2761059
1742,"Fruits ; divers ; amandes, pelures, raisins, prunes",3225,25730.123,livres de hambourg,6988920,8.2761059
1742,"Fruits ; divers ; amandes, pelures, raisins, prunes",52420,144658.78,livres de hambourg,6988920,8.2761059
1742,Galle,2900,7526.6333,livres de hambourg,6988920,8.2761059
1742,Gingembre,1250,7508.0952,livres de hambourg,6988920,8.2761059
1742,Gomme,9600,,,6988920,8.2761059
1742,Goudron ; de Suède,0,0,last,6988920,8.2761059
1742,Huile ; d'olive ; blanc ; de Gènes,1587,4403.8579,livres de hambourg,6988920,8.2761059
1742,Huile ; de baleine,0,0,tonneaux,6988920,8.2761059
1742,Indigo,502550,130754.21,livres de hambourg,6988920,8.2761059
1742,Marchandises non classifiées,374105,,,6988920,8.2761059
1742,Minium,1000,10808.474,livres de hambourg,6988920,8.2761059
1742,Oxyde ; de plomb,0,0,livres de hambourg,6988920,8.2761059
1742,Plombs,0,0,livres de hambourg,6988920,8.2761059
1742,Poivre ; blanc-noir,0,0,livres de hambourg,6988920,8.2761059
1742,Potasse,0,0,livres de hambourg,6988920,8.2761059
1742,Riz,17725,207461.86,livres de hambourg,6988920,8.2761059
1742,Safran ; orange,10825,813.1394,livres de hambourg,6988920,8.2761059
1742,Savon,3925,14798.396,livres de hambourg,6988920,8.2761059
1742,Sucre ; cru blanc ; du Brésil,4603820,17597194,livres de hambourg,6988920,8.2761059
1742,Suif ; pour faire du savon,3200,57.645195,livres de hambourg,6988920,8.2761059
1742,Sumac,675,13313.843,livres de hambourg,6988920,8.2761059
1742,Tabac ; de Virginie,2635,14306.397,livres de hambourg,6988920,8.2761059
