marchandises_norm_ortho	marchandises_simplifiées	marchandises_simplifiées_unifiées
aiguille à coudre	aiguille, à coudre	alun, gâté
aiguille à coudre	aiguille, à coudre	alvès
aiguille à coudre	aiguille, à coudre	amadou
aiguille à coudre	aiguille, à coudre	amadou ; et ; agaric, amadouvier
aiguille à tabac	aiguille, à tabac	amandeic
aiguille à toile	aiguille, à toile	amandes
aiguille d'emballage	aiguille, d'emballage	amandes ; et ; pruneaux
aiguille epars de sapin	aiguille, épars, de sapin,	amandes ; et ; raisins, secs
ail	ail	amandes ; et ; savon
ail	ail	amandes ; et ; vert-de-gris
ail	ail	amandes ; raisins, secs ; et ; savon
ail	ail	amandes, amères
ail	ail	amandes, cassées
ail blanc à casé	ail, blanc, à casé	amandes, courtes
ailes	ailes	amandes, diverses
ailes	ailes	amandes, douces
ailes	ailes	amandes, en coques
ailes de fléaux	ailes, de fléaux	amandes, longues
ailes de moulin	ailes, de moulin	amaril
ailor	ailor	ambrain, à grande barrique
ains ; à pêcher	ains, à pêcher	ambre
ains ; à pêcher	ains, à pêcher	ambre, brut
ains à pêcher	ains, à pêcher	ambre, carabé
ains à pêcher	ains, à pêcher	ambre, gris
ains à pêcher	ains, à pêcher	ambre, jaune
ains à pêcher	ains, à pêcher	ambre, jaune, travaillé
airain	airain	ambre, moulu
airain ; en batterie	airain, en batterie	amer
airain ; non ouvré	airain, non ouvré	amertis
ajamis	ajamis	ami, de toillé
ajamis	ajamis	amidon
ajamis	ajamis	amidon ; et ; poudre, à poudrer
ajamis	ajamis	amirons
ajustement	ajustement	ammoniaque
ajustement	ajustement	ammonium
ajustement	ajustement	amomum
ajustement ; de femme	ajustement, de femme	amomum, verum
ajustement ; de femme	ajustement, de femme	anabas
akia	salade : akia	anacardes
akia ; espèce de salade	salade : akia	ananas
alambic	alambic	ananas, confit
alambic	alambic	anatose
alambic	alambic	anches, de tonneaux
alambic ; de terre	alambic, de terre	anchois
alatia	alatia	anchois, salé, et mariné
alaya	alaya	ancre
albâtre	albâtre	ancre, à chaudon
albâtre	albâtre	ancre, en fer
Albâtre et marbres ouvrés	albâtre; et ; marbres (ouvrés)	ancre, en fer, à chaudon
alcanum duplicatum	alcanum duplicatum	ancre, gravellée
alegias	alegias	ancre, vide
alènes	alènes	andes
alènes	alènes	andolium
alibanies	alibanies	andouille
alibanies	alibanies	andouillette
alibanies	alibanies	ânes
alibanies	alibanies	ânes ; et ; ânesses
alibanies	alibanies	angélique
alibanies	alibanies	angélique, du Rozème
alibanies	alibanies	anguille
alkermès	alkermès	anguille, salée
alleaux	alleaux	aniec
allumettes	allumettes	anille
allumettes	allumettes	animaux, domestiques
allumettes	allumettes	anis
allumettes	allumettes	anis ; et ; sucre
allumettes	allumettes	anis, étoilé
allumettes	allumettes	anis, vert
allumettes	allumettes	anisette
allumettes	allumettes	anisette, de Bordeaux
allumettes	allumettes	anneaux, en fer
allumettes ; à vin	allumettes, à vin	ânon
allumettes ; à vin	allumettes, à vin	anspect
almagro ou crayon rouge	crayon, rouge, almagro	antimoine
almanachs	almanachs	antimoine, cru
almanachs enjolivés	almanachs, enjolivés	antofle
alocir	alocir	antofle, de girofle
aloès	aloès	apied
aloès	aloès	apios
aloès	aloès	apprêtée, à relier les livres
aloès	aloès	apprêtée, pour parchemin
aloès	aloès	approvisionnement
aloès	aloès	arbalètes
aloès ; cabalin	aloès, cabalin	arbalètrerie ; et ; cartes marines
aloès ; cabalin	aloès, cabalin	arbres
aloès ; commun	aloès, commun	arbres ; et ; arbustes
aloiset	aloiset	arbres ; et ; arbustes (divers)
alose	alose	arbres ; et ; arbustes (fruitiers)
alose dite elft	alose, dite elft	arbres ; et ; arbustes (sauvages)
Alose fumée	alose, fumée	arbres ; et ; plants (divers)
alouettes	alouettes	arbres : chênes
alouettes	alouettes	arbres : plants
alpargate	alpargate	arbres : plants, de bois
alpargate	alpargate	arbres : plants, de bois, d'auban
alpargate	alpargate	arbres : sapin
alpiste	alpiste	arbres : tilleul
alpiste	alpiste	arbres, à transformer en pompes
alquifoux	alquifoux	arbres, en illisible
alquifoux	alquifoux	arbres, fruitiers
alquifoux	alquifoux	arbustes
alquifoux	alquifoux	arcanson
alquifoux	alquifoux	arcanum duplicatum
alquifoux	alquifoux	archets de violons
alquifoux	alquifoux	arçons, de bois
alquifoux et mine de plomb	alquifoux ; et ; mine, de plomb	arçons, de selle
alquitra	alquitra	ardoise
aluchiabanis	aluchiabanis	ardoise, cherubin, et à mortier
alun	alun	ardoise, en livrets
alun	alun	ardoise, encadrée
alun	alun	ardoise, encadrée, et en livrets
alun	alun	ardoise, grande voisine
alun ; de Rome	alun, de Rome	ardoise, grande voisine, moyenne voisine, et petite voisine
alun ; de Rome	alun, de Rome	ardoise, moyenne voisine
alun de fer	alun, de fer	ardoise, non travaillée
alun gâté	alun, gâté	ardoise, ordinaire
alvès	alvès	ardoise, petite voisine
amadou	amadou	ardoise, verte
amadou	amadou	argent ; et ; or ; billon
amadou	amadou	argent ; et ; or : quadruples
amadou	amadou	argent ; et ; or : sequins
amadou	amadou	argent ; et ; or : sequins vénitiens
amadou et agaric amadouvier	amadou ; et ; agaric, amadouvier	argent : carragou
amandeic	amandeic	argent : couverts
amandes	amandes	argent : piastres
amandes	amandes	argent : piastres, d'Espagne
amandes	amandes	argent : piastres, du Grand Seigneur
amandes ; amères	amandes, amères	argent : talaris
amandes ; cassées	amandes, cassées	argent, battu
amandes ; cassées	amandes, cassées	argent, brûlé
amandes ; cassées	amandes, cassées	argent, divers
amandes ; cassées	amandes, cassées	argent, en barils
amandes ; cassées	amandes, cassées	argent, en barres
amandes ; diverses	amandes, diverses	argent, en lame
amandes ; en coques	amandes, en coques	argent, en lingot
amandes ; en coques	amandes, en coques	argent, en lingot, de bas aloi
amandes ; en coques	amandes, en coques	argent, en matière
amandes cassées	amandes, cassées	argent, faux
amandes cassées	amandes, cassées	argent, faux, en fil, en cantilles, etc.
amandes cassées	amandes, cassées	argent, fin
amandes cassées	amandes, cassées	argent, monnayé
amandes cassées	amandes, cassées	argent, monnayé ; et ; or, monnayé
amandes cassées	amandes, cassées	argent, monnayé ; et ; or, monnayé : sequins
amandes cassées	amandes, cassées	argent, monnayé : écus à palmes
amandes courtes	amandes, courtes	argent, monnayé : espèces coursables
amandes douces	amandes, douces	argent, monnayé : piastres ; et ; or, monnayé
amandes en coques	amandes, en coques	argent, monnayé, et brut ; et ; or, monnayé
amandes en coques	amandes, en coques	argent, monnayé, et en feuilles ; et ; or, monnayé
amandes en coques	amandes, en coques	argent, oeis
amandes en coques	amandes, en coques	argent, ouvré
amandes en coques	amandes, en coques	argenterie
amandes et pruneaux	amandes ; et ; pruneaux	argenterie ; et ; bijouterie
amandes et pruneaux	amandes ; et ; pruneaux	argenterie ; et ; orfèvrerie
amandes et raisins secs	amandes ; et ; raisins, secs	argenterie ; et ; orfèvrerie (en vermeil)
amandes et savon	amandes ; et ; savon	argenterie : bagues
amandes et savon	amandes ; et ; savon	argenterie : boucles
amandes et vert-de-gris	amandes ; et ; vert-de-gris	argenterie : croix
amandes longues	amandes, longues	argenterie : épée
amandes, cassées	amandes, cassées	argenterie : tabatières
amandes, raisins secs et savon	amandes ; raisins, secs ; et ; savon	argenterie : vaisselle
amaril	amaril	argenterie, diverse
ambrain à grande barrique	ambrain, à grande barrique	argenterie, vieille
ambre	ambre	argile
ambre	ambre	aristoloche
ambre	ambre	armagnac
ambre ; carabé	ambre, carabé	armes
ambre ; carabé	ambre, carabé	armes ; et ; artillerie : armes, à feu
ambre ; gris	ambre, gris	armes ; et ; artillerie : armes, blanches
ambre ; gris	ambre, gris	armes ; et ; artillerie : artillerie : canons ; pierriers ; espingoles ; et ; mortiers
ambre ; jaune	ambre, jaune	armes : canons ; et ; balles, en fer
ambre ; jaune	ambre, jaune	armes : piques
ambre ; jaune	ambre, jaune	armes : pistolets
ambre ; jaune ; travaillé	ambre, jaune, travaillé	armes, à feu
ambre ; moulu	ambre, moulu	armes, à feu : fusils
ambre brut	ambre, brut	armes, à feu : fusils, de chasse
ambre jaune	ambre, jaune	armes, à feu : pistolets
ambre jaune	ambre, jaune	armes, à feu, diverses
ambre jaune	ambre, jaune	armes, blanches
amer	amer	armes, blanches ; et ; à feu
amertis	amertis	armes, blanches : bayonettes
ami de toillé	ami, de toillé	armes, blanches : épées
amidon	amidon	armes, blanches : épées : lames
amidon	amidon	armes, blanches : épées : lances
amidon et poudre à poudrer	amidon ; et ; poudre, à poudrer	armes, blanches : épées, en argent
amirons	amirons	armes, blanches : lames
ammoniaque	ammoniaque	armes, blanches : sabres
ammonium	ammonium	armes, blanches, diverses
amomum	amomum	armes, de guerre
amomum	amomum	armes, de mains
amomum verum	amomum, verum	armes, diverses
amomum verum	amomum, verum	armes, diverses ; et ; munitions, de guerre
anabas	anabas	armes, non reprises
anabas	anabas	armes, remontrances
anabas	anabas	armoire
anabas	anabas	armoire, ayant servi
anabas	anabas	armoire, en chêne
anacardes	anacardes	armoire, en chêne, ornée
ananas	ananas	armoire, en noyer
ananas ; confit	ananas, confit	armoire, en sapin
ananas confit	ananas, confit	armure
anatose	anatose	armure, vieilles
anches ; de tonneaux	anches, de tonneaux	arpois
anchois	anchois	arquebuse
anchois	anchois	arrosoir
anchois	anchois	arrosoir, en bois
anchois	anchois	arrosoir, en fer blanc
anchois	anchois	arsenic
ancr gravellée	ancre, gravellée	art, de peau
ancre	ancre	artichauts
ancre ; de fer	ancre, en fer	artichauts, confits
ancre ; de fer	ancre, en fer	artichauts, marinés
ancre ; de fer à chaudon	ancre, en fer, à chaudon	artichauts, secs
ancre de chaudon	ancre, à chaudon	articles, d'industrie, divers
ancre de fer	ancre, en fer	articles, de peu de valeur, divers
ancre de fer	ancre, en fer	articles, divers
ancre de fer	ancre, en fer	articles, divers ; et ; tissus étrangers, réexportés
ancre de fer	ancre, en fer	articles, divers, d'une valeur de moins de 2 000 francs chacun
ancre de fer	ancre, en fer	artifice
ancre de fer	ancre, en fer	artifice : fusées ; etc.
ancre de fer	ancre, en fer	artillerie
ancre de fer	ancre, en fer	artillerie : bombes ; et ; boulets
ancre vuide	ancre, vide	artillerie : boulets
andes	andes	artillerie : canons ; bombes
andolium	andolium	artillerie, en cuivre
andolium ou crockvisch	andolium	ase fétide
andouille	andouille	asperges
andouille	andouille	asperges ; et ; scorsonaires
andouillette	andouillette	asphalte
ânes	ânes	aspolatum
ânes	ânes	assiette
ânes et ânesses	ânes ; et ; ânesses	assiette ; et ; plat
angélique	angélique	assiette, en bois
angélique	angélique	assiette, en faïence
angélique	angélique	assiette, en porcelaine
angélique	angélique	assiette, en terre
angélique du Rozème	angélique, du Rozème	asustum
anguille	anguille	attaches, en cuivre
anguille	anguille	attelles, de colliers
anguille salée	anguille, salée	auclimes
anguille salée	anguille, salée	auges
anguille salée	anguille, salée	auges, de carreaux
aniec	aniec	auges, illisible
anille	anille	aurcsats
animaux domestique	animaux, domestiques	aussières
anis	anis	aux, à fauches
anis	anis	avelanèdes
anis	anis	avelines
anis ; étoilé	anis, étoilé	aviron
anis ; étoilé	anis, étoilé	aviron, brut
anis ; étoilé	anis, étoilé	aviron, de 12 pieds
anis ; vert	anis, vert	aviron, de 18 pieds
anis ; vert	anis, vert	aviron, de 30 pieds
anis ; vert	anis, vert	aviron, de 5 pieds
anis et sucre	anis ; et ; sucre	aviron, poli
anis étoilé	anis, étoilé	avoine
anis étoilé	anis, étoilé	avoine ; et ; haricots
anis vert	anis, vert	avoine ; orge ; etc.
anisette	anisette	avoine, en gerbes
anisette	anisette	avoine, mondée
anisette	anisette	avoine, moulée
anisette	anisette	azur
anisette	anisette	azur ; et ; cobalt
anisette ; de Bordeaux	anisette, de Bordeaux	azur, commun
anneaux de fer	anneaux, en fer	azur, commun
ânon	ânon	azur, fin
anspect	anspect	azur, gros
anspect	anspect	boisson : arak
anspect	anspect	crayon, rouge, almagro
anspect	anspect	fer : armures
anspect	anspect	haches d'arme
anspect	anspect	herbe : acore
anspect	anspect	mercure
anspect	anspect	salade : akia
antimoine	antimoine	taffetas : armoisin
antimoine	antimoine	
antimoine	antimoine	
antimoine ; cru	antimoine, cru	
antimoine ; cru	antimoine, cru	
antimoine cru	antimoine, cru	
antimoine cru	antimoine, cru	
antimoine cru	antimoine, cru	
antimoine cru	antimoine, cru	
antofle	antofle	
antofle ; de girofle	antofle, de girofle	
antofle ; de girofle	antofle, de girofle	
antofle ; de girofle	antofle, de girofle	
antofle ; de girofle	antofle, de girofle	
antofle ; de girofle	antofle, de girofle	
antofle de girofle	antofle, de girofle	
apied	apied	
apied	apied	
apios	apios	
apios	apios	
apios	apios	
apios	apios	
apios	apios	
apprêtée à relier les livres	apprêtée, à relier les livres	
apprêtée pour parchemin	apprêtée, pour parchemin	
approvisionnement	approvisionnement	
arak	boisson : arak	
arak	boisson : arak	
arak (boisson)	boisson : arak	
arbalètes	arbalètes	
arbalètrerie et cartes marines	arbalètrerie ; et ; cartes marines	
arbres	arbres	
arbres ; à fruit	arbres, fruitiers	
arbres ; à fruit	arbres, fruitiers	
arbres ; à planter	arbres : plants	
arbres ; à planter	arbres : plants	
arbres ; à planter	arbres : plants	
arbres ; chênes	arbres : chênes	
arbres ; en illisible	arbres, en illisible	
arbres ; en plants	arbres : plants	
arbres ; en plants ; de bois ; d'auban	arbres : plants, de bois, d'auban	
arbres ; en plants ; de bois d'	arbres : plants, de bois	
arbres ; fruitiers	arbres, fruitiers	
arbres ; plants de bois	arbres : plants, de bois	
arbres ; tilleul	arbres : tilleul	
arbres ; tilleul	arbres : tilleul	
arbres à planter	arbres : plants	
arbres à planter	arbres : plants	
arbres à planter	arbres : plants	
arbres à planter	arbres : plants	
arbres à planter	arbres : plants	
arbres à transformer en pompes	arbres, à transformer en pompes	
arbres de sapin	arbres : sapin	
arbres et arbrisseaux	arbres ; et ; arbustes	
arbres et arbrisseaux	arbres ; et ; arbustes	
arbres et arbrisseaux à fruits	arbres ; et ; arbustes (fruitiers)	
arbres et arbrisseaux sauvages	arbres ; et ; arbustes (sauvages)	
arbres et arbustes	arbres ; et ; arbustes	
arbres et arbustes ; divers	arbres ; et ; arbustes (divers)	
arbres et plants ; divers	arbres ; et ; plants (divers)	
arbres fruitiers	arbres, fruitiers	
arbres tilleul	arbres : tilleul	
arbrisseaux	arbustes	
arbustes	arbustes	
arcanson	arcanson	
arcanum duplicatum	arcanum duplicatum	
archets de violons	archets de violons	
arçons ; de selle	arçons, de selle	
arçons ; de selle	arçons, de selle	
arçons de bois	arçons, de bois	
arçons de selle	arçons, de selle	
arçons de selle	arçons, de selle	
ardoise	ardoise	
ardoise	ardoise	
ardoise	ardoise	
ardoise	ardoise	
ardoise	ardoise	
ardoise	ardoise	
ardoise	ardoise	
ardoise ; verte	ardoise, verte	
ardoise dite cherubin et à mortier	ardoise, cherubin, et à mortier	
ardoise dite moyenne voisine	ardoise, moyenne voisine	
ardoise dite petite voisine	ardoise, petite voisine	
ardoise dite voisine, grande, moyenne et petite	ardoise, grande voisine, moyenne voisine, et petite voisine	
ardoise dites grande voisine	ardoise, grande voisine	
ardoise en livrets	ardoise, en livrets	
ardoise encadrée	ardoise, encadrée	
ardoise encadrée et en livrets	ardoise, encadrée, et en livrets	
ardoise non travaillée	ardoise, non travaillée	
ardoise ordinaire	ardoise, ordinaire	
argent ; argent ; carragoux	argent : carragou	
argent ; argent ; piastres	argent : piastres	
argent ; argent ; piastres d'Espagne	argent : piastres, d'Espagne	
argent ; argent ; piastres du Grand Seigneur	argent : piastres, du Grand Seigneur	
argent ; argent ; talaris	argent : talaris	
argent ; battu	argent, battu	
argent ; divers	argent, divers	
argent ; en lame	argent, en lame	
argent ; en lingot	argent, en lingot	
argent ; en lingot	argent, en lingot	
argent ; en lingot	argent, en lingot	
argent ; en matière	argent, en matière	
argent ; en monnaie	argent, monnayé	
argent ; faux	argent, faux	
argent ; faux	argent, faux	
argent ; fin	argent, fin	
argent ; monnayé	argent, monnayé	
argent ; or ; quadruples	argent ; et ; or : quadruples	
argent ; or ; sequins	argent ; et ; or : sequins	
argent ; or ; sequins vénitiens	argent ; et ; or : sequins vénitiens	
argent ; vif	mercure	
argent ; vif	mercure	
argent (vif) ou mercure	mercure	
argent (vif) ou mercure	mercure	
argent (vif) ou mercure	mercure	
argent (vif) ou mercure	mercure	
argent brûlé	argent, brûlé	
argent en barils	argent, en barils	
argent en barres	argent, en barres	
argent en lingot	argent, en lingot	
argent en lingot de bas aloi	argent, en lingot, de bas aloi	
argent en piastres	argent : piastres	
argent et or billon	argent ; et ; or ; billon	
argent et or monnayé ; argent brut	argent, monnayé, et brut ; et ; or, monnayé	
argent et or monnayé ; argent en feuilles	argent, monnayé, et en feuilles ; et ; or, monnayé	
argent et or monnayé ; argent monnayé	argent, monnayé ; et ; or, monnayé	
argent et or monnayé ; argent monnayé	argent, monnayé ; et ; or, monnayé	
argent et or monnayé ; or monnayé	argent, monnayé ; et ; or, monnayé	
argent et or monnayé ; piastres	argent, monnayé : piastres ; et ; or, monnayé	
argent et or monnayé ; piastres	argent, monnayé : piastres ; et ; or, monnayé	
argent et or monnayé ; sequins	argent, monnayé ; et ; or, monnayé : sequins	
argent et or monnayé ; sequins	argent, monnayé ; et ; or, monnayé : sequins	
argent faux	argent, faux	
argent faux en fil, cantilles, etc.	argent, faux, en fil, en cantilles, etc.	
argent monnayé	argent, monnayé	
argent monnayé en écus à palmes	argent, monnayé : écus à palmes	
argent monnayé en espèces coursables	argent, monnayé : espèces coursables	
argent oeis	argent, oeis	
argent ouvré	argent, ouvré	
argent vif	mercure	
argent vif	mercure	
argent vif	mercure	
argent vif	mercure	
argent vif	mercure	
argent vif	mercure	
argenterie	argenterie	
argenterie	argenterie	
argenterie	argenterie	
argenterie	argenterie	
argenterie ; bagues	argenterie : bagues	
argenterie ; bagues	argenterie : bagues	
argenterie ; boucles	argenterie : boucles	
argenterie ; croix	argenterie : croix	
argenterie ; croix	argenterie : croix	
argenterie ; diverse	argenterie, diverse	
argenterie ; diverse	argenterie, diverse	
argenterie ; diverse	argenterie, diverse	
argenterie ; en vaisselle	argenterie : vaisselle	
argenterie ; épée	argenterie : épée	
argenterie ; épée	argenterie : épée	
argenterie ; épée	argenterie : épée	
argenterie ; tabatières	argenterie : tabatières	
argenterie ; vieille	argenterie, vieille	
argenterie et bijouterie	argenterie ; et ; bijouterie	
argenterie et orfèvrerie	argenterie ; et ; orfèvrerie	
argenterie et orfèvrerie en vermeil	argenterie ; et ; orfèvrerie (en vermeil)	
argenterie et orfèvrerie en vermeil	argenterie ; et ; orfèvrerie (en vermeil)	
argile	argile	
aristoloche	aristoloche	
aristoloche	aristoloche	
armagnac	armagnac	
armes	armes	
armes ; à feu	armes, à feu	
armes ; à feu	armes, à feu	
armes ; à feu	armes, à feu	
armes ; à feu	armes, à feu	
armes ; à feu ; diverses	armes, à feu, diverses	
armes ; à feu ; diverses	armes, à feu, diverses	
armes ; à feu ; diverses	armes, à feu, diverses	
armes ; à feu ; en fusils	armes, à feu : fusils	
armes ; à feu ; en fusils ; de chasse	armes, à feu : fusils, de chasse	
armes ; à feu ; fusils	armes, à feu : fusils	
armes ; à feu ; fusils	armes, à feu : fusils	
armes ; à feu ; fusils	armes, à feu : fusils	
armes ; à feu ; pistolets	armes, à feu : pistolets	
armes ; à feu ; pistolets	armes, à feu : pistolets	
armes ; à feu ; pistolets	armes, à feu : pistolets	
armes ; à feu ; pistolets	armes, à feu : pistolets	
armes ; blanches	armes, blanches	
armes ; blanches	armes, blanches	
armes ; blanches	armes, blanches	
armes ; blanches	armes, blanches	
armes ; blanches ; bayonettes	armes, blanches : bayonettes	
armes ; blanches ; diverses	armes, blanches, diverses	
armes ; blanches ; épées	armes, blanches : épées	
armes ; blanches ; épées ; d'argent	armes, blanches : épées, en argent	
armes ; blanches ; lames	armes, blanches : lames	
armes ; blanches ; lames ; d'épées	armes, blanches : épées : lames	
armes ; blanches ; lances d'épée	armes, blanches : épées : lances	
armes ; blanches ; sabres	armes, blanches : sabres	
armes ; blanches ; sabres	armes, blanches : sabres	
armes ; blanches ; sabres	armes, blanches : sabres	
armes ; blanches et à feu	armes, blanches ; et ; à feu	
armes ; diverses	armes, diverses	
armes à feu	armes, à feu	
armes à feu	armes, à feu	
armes à feu	armes, à feu	
armes à feu ; diverses	armes, à feu, diverses	
armes à feu ; diverses	armes, à feu, diverses	
armes à feu ; diverses	armes, à feu, diverses	
armes à feu ; fusils	armes, à feu : fusils	
armes à feu ; fusils	armes, à feu : fusils	
armes à feu fusils	armes, à feu : fusils	
armes à feu fusils	armes, à feu : fusils	
armes à feu fusils	armes, à feu : fusils	
armes blanches	armes, blanches	
armes blanches	armes, blanches	
armes blanches	armes, blanches	
armes de feu	armes, à feu	
armes de guerre	armes, de guerre	
armes de mains	armes, de mains	
armes diverses	armes, diverses	
armes diverses et munitions de guerre	armes, diverses ; et ; munitions, de guerre	
armes et artillerie ; armes ; à feu	armes ; et ; artillerie : armes, à feu	
armes et artillerie ; armes ; blanches	armes ; et ; artillerie : armes, blanches	
armes et artillerie ; artillerie ; en canons, pierriers, espingoles et mortiers	armes ; et ; artillerie : artillerie : canons ; pierriers ; espingoles ; et ; mortiers	
armes non reprises	armes, non reprises	
armes remontrances	armes, remontrances	
armes, canons et balles de fer	armes : canons ; et ; balles, en fer	
armoire	armoire	
armoire	armoire	
armoire	armoire	
armoire ; ayant servi	armoire, ayant servi	
armoire ; de chêne	armoire, en chêne	
armoire ; de chêne	armoire, en chêne	
armoire ; de chêne ; ornée	armoire, en chêne, ornée	
armoire ; de noyer	armoire, en noyer	
armoire de noyer	armoire, en noyer	
armoire de sapin	armoire, en sapin	
armoisin	taffetas : armoisin	
armoisin taffetas	taffetas : armoisin	
armure	armure	
armure ; vieilles	armure, vieilles	
arpois	arpois	
arquebuse	arquebuse	
arrosoir	arrosoir	
arrosoir ; de bois	arrosoir, en bois	
arrosoir de fer ; blanc	arrosoir, en fer blanc	
arsenic	arsenic	
arsenic	arsenic	
arsenic	arsenic	
arsenic	arsenic	
art de peau	art, de peau	
artichauts	artichauts	
artichauts	artichauts	
artichauts	artichauts	
artichauts ; confits	artichauts, confits	
artichauts confits	artichauts, confits	
artichauts confits	artichauts, confits	
artichauts confits	artichauts, confits	
artichauts marinés	artichauts, marinés	
artichauts secs	artichauts, secs	
artichauts secs	artichauts, secs	
articles d'industrie réunis	articles, d'industrie, divers	
articles de peu de valeur réunis	articles, de peu de valeur, divers	
articles différents	articles, divers	
articles réunis	articles, divers	
articles réunis	articles, divers	
articles réunis d'une valeur de moins de 2 000 francs chacun	articles, divers, d'une valeur de moins de 2 000 francs chacun	
articles réunis d'une valeur de moins de 2 000 francs chacun	articles, divers, d'une valeur de moins de 2 000 francs chacun	
articles réunis d'une valeur de moins de 2 000 francs chacun	articles, divers, d'une valeur de moins de 2 000 francs chacun	
