obsolete,orthographic_pierre,simplification,imprimatur,Suggestion de simplification,status,beforeItems,afterItems
no,aiguilles à boîtes,aiguilles à boîte,Guillaume Daudin,eguille a boite,rewire,,[eguille a boite]
no,aiguilles à coudre,aiguilles à coudre,Guillaume Daudin,aiguille ; à coudre,rewire,,[Aiguilles ; a coudre] [Aiguilles ; à coudre] [Aiguilles a coudre] [Aiguille a coudre] [Aiguilles A coudres] [Aiguille A coudre] [Aiguilles a coudres] [Aiguille a coude] [Aiguille à coudre] [Aiguilles à coudre]
no,aiguilles à ralingue,aiguilles à ralingue,Guillaume Daudin,,new,,
no,aiguilles à tabac,aiguilles à tabac,Guillaume Daudin,aiguille ; à tabac,rewire,,[Eguilles à tabac]
no,aiguilles à toile,aiguilles à toile,Guillaume Daudin,aiguille ; à toile,rewire,,[Aiguille A Toile]
no,aiguilles à voile,aiguilles à voile,Guillaume Daudin,[aiguille ; à voile],ambiguous,,[Aiguilles ; à voile] [Aiguilles ; a voile] [Aiguille ; a voile] [Aiguilles a voille] [aiguilles a Voile] [Eguiles a voile] [Aiguilles ; a voiles] [Aiguilles a voiles] [aiguilles à voile] [Aiguilles a Voile] [Aiguilles a voile] [Aiguilles ancile]
no,aiguilles d'emballage,aiguilles d'emballage,Guillaume Daudin,aiguille ; d'emballage,rewire,,[Eguilles d'emballage]
no,aiguilles d'emballeur,aiguilles d'emballage,Guillaume Daudin,,new,,
no,aiguilles espars de sapin,aiguilles epars de sapin,Guillaume Daudin,aiguille epars de sapin,rewire,,[eguilles Epars de Sapin]
no,aiguilles grosses,aiguilles grosses,Guillaume Daudin,,new,,
no,ailes de moulins,aile de moulin,Guillaume Daudin,aile de moulin,rewire,,[Ailes de moulin]
no,ailes,ailes,Guillaume Daudin,[ail],ambiguous,,[ailles] [Ailer] [Ailes]
no,ailes de fléaux,ailes de fléaux,Guillaume Daudin,,new,,
no,ailor,ailor,Guillaume Daudin,[ail],ambiguous,,[Ailor]
no,ails,ails,Guillaume Daudin,[ail],ambiguous,,[ails] [Aulx] [aulx] [Ails] [Ail]
no,ails à fauches,ails à fauches,Guillaume Daudin,aux à fauxhes,rewire,,[aux à fauxhes]
no,ails blancs à casser,ails blancs à casser,Guillaume Daudin,ail blanc à casser,rewire,,[ail blanc à casé]
no,aimant,aimant,Guillaume Daudin,,existing,,
no,ains à pêcher,ains à pêcher,Guillaume Daudin,[ain à pêcher],ambiguous,,[Ains à pecher] [Ains ; a pêcher] [Ains a pecher] [ains a pecher] [Ains a percher] [Ains a pêcher] [Ains à pêcher] [Ains à pescher] [Ains ; à pescher]
no,ains et lignes à pêcher,ains et lignes à pêcher,Guillaume Daudin,,new,,
no,airain,airain,Guillaume Daudin,airain,rewire,[Airain],[Airain]
no,airain non ouvré,airain,Guillaume Daudin,airain,rewire,,[Airain ; non ouvré]
no,ajustements,ajustements,Guillaume Daudin,ajustement,rewire,,[Ajustemens] [Ajustements] [Ajustement]
no,ajustements de femme,ajustements de femme,Guillaume Daudin,ajustement ; de femme,rewire,,[Ajustement ; de femme] [Ajustements ; de femme]
no,ajustements de soie,ajustements de soie,Guillaume Daudin,,new,,
no,alambics,alambic,Guillaume Daudin,alambic,rewire,,[Alambic] [Alambics] [Alembics]
no,alambics de terre,alambic de terre,Guillaume Daudin,alambic ; de terre,rewire,,[Alambie ; de terre]
no,alambics d'étain,alambics d'étain,Guillaume Daudin,,new,,
no,alambics en cuivre,alambics en cuivre,Guillaume Daudin,,new,,
no,albâtre,albâtre,Guillaume Daudin,albâtre,existing,,
no,lagias,alegia,Guillaume Daudin,alegia,rewire,,[Alegeas] [Alegias]
no,alènes,alènes,Guillaume Daudin,alesne,rewire,,[Alaisnes] [Alennes]
no,alènes de cordonnier,alènes,Guillaume Daudin,,new,,
no,alibanies,alibanies,Guillaume Daudin,alibanies,existing,,
no,alkermés,alkermés,Guillaume Daudin,,new,,
no,allaya,allaya,Guillaume Daudin,[alatia],ambiguous,[allaya],[alatia] [Alaya] [Allaya] [allaya]
no,alleaux,alleaux,Guillaume Daudin,alleaux,existing,,
no,allumettes,allumette,Guillaume Daudin,allumette,rewire,,[alumettes] [Alumette] [Allumettes] [Alumettes] [allumettes]
no,allumettes à vin,allumettes à vin,Guillaume Daudin,allumette ; à vin,rewire,,[Alumettes ; a vin] [Allumettes ; a vin]
no,allumettes de coton,allumettes de coton,Guillaume Daudin,,new,,
no,allumettes de mêche soufrée,allumettes de mêche soufrée,Guillaume Daudin,,new,,
no,allumettes droguées,allumettes droguée,Guillaume Daudin,allumette ; droguée,rewire,,[Alumettes ; droguées]
no,allumettes épicées,allumettes épicée,Guillaume Daudin,allumette ; épicée,rewire,,[Alumettes ; epicées]
no,allumettes opérées et soufrées,allumettes opérées et soufrées,Guillaume Daudin,,new,,
no,allumettes soufrées,allumettes soufrées,Guillaume Daudin,[allumette ; soufrée],ambiguous,,[Allumettes ; souffrées] [alumettes souffrées]
no,almagro ou crayon rouge,almagro ou crayon rouge,Guillaume Daudin,almagro ou crayon rouge,existing,,
no,almanachs,almanachs,Guillaume Daudin,,new,,
no,almanachs enjolivés,almanachs enjolivés,Guillaume Daudin,,new,,
no,alocir,alocir,Guillaume Daudin,alocir,existing,,
no,aloès,aloès,Guillaume Daudin,drogue ; médicinale ; aloès,rewire,[Alois] [Alloes] [Aloës] [aloés] [alöes] [aloès] [aloes] [Aloes] [Aloès],[Alois] [Alloes] [Aloës] [aloés] [alöes] [aloès] [aloes] [Aloes] [Aloès]
no,aloès cabalin,aloès cabalin,Guillaume Daudin,aloès cabalin,rewire,,[Aloes Cabalin] [Aloes ; cabalin]
no,aloès commun,aloès commun,Guillaume Daudin,aloès ; commun,rewire,,[Alloës ; commun]
no,aloiset,aloiset,Guillaume Daudin,aloiset,existing,,
no,alose,alose,Guillaume Daudin,alose,existing,,
no,alose dite elft,alose,Guillaume Daudin,alose,existing,,
no,alose fumée,alose fumée,Guillaume Daudin,alose fumée,existing,,
no,alose salée,alose salée,Guillaume Daudin,,new,,
no,alouettes,alouette,Guillaume Daudin,alouette,rewire,,[alouettes] [Aloüettes]
no,alpargate,alpargate,Guillaume Daudin,[alpargate],ambiguous,[Alpargalle] [Alpargatte] [Alpargattes],[Alpargalle] [Alpargate] [Alpargatte] [Alpargattes] [Alpargates] [Alpargastes] [Alfargate]
no,alphabets,alphabets,Guillaume Daudin,,new,,
no,alpiste,alpiste,Guillaume Daudin,alpiste,existing,,
no,alquifoux,alquifoux,Guillaume Daudin,alquifoux,existing,,
no,alquifoux et mine de plomb,alquifoux et mine de plomb,Guillaume Daudin,alquifoux et mine de plomb,existing,,
no,alquifoux ou mine de plomb,alquifoux ou mine de plomb,Guillaume Daudin,,new,,
no,alquifoux mine de plomb ou graphite,"alquifoux, mine de plomb ou graphite",Guillaume Daudin,"alquifoux, mine de plomb ou graphite",rewire,,"[Alquifoux, mine de plomb ou graphite]"
no,alquitra,alquitra,Guillaume Daudin,alquitra,existing,,
no,aluchiabanis,aluchiabanis,Guillaume Daudin,aluchiabanis,existing,,
no,alun,alun,Guillaume Daudin,alun,existing,,
no,alun de fer,alun de fer,Guillaume Daudin,alun ; de fer,rewire,,[Alun de fer]
no,alun de Rome,alun de Rome,Guillaume Daudin,alun ; de Rome,rewire,,[Alun de Romes] [Alun ; de Rome]
no,alun gâté,alun gâté,Guillaume Daudin,alun ; gâté,rewire,,[Alun gâté]
no,alvés,alvés,Guillaume Daudin,[alvés],ambiguous,[alvés],[alvés] [Alves]
no,amadou,amadou,Guillaume Daudin,amadou,existing,,
no,amadou et agaric amadouvier,amadou et agaric amadouvier,Guillaume Daudin,,existing,,
no,amandes,amandes,Guillaume Daudin,[amande],ambiguous,,[Amandeic] [Amandeu] [Amande] [amandes] [Amendes] [Amandes]
no,amandes diverses,amandes,Guillaume Daudin,,new,,
no,amandes à la praline,amandes à la praline,Guillaume Daudin,,new,,
no,amandes amères,amandes amère,Guillaume Daudin,amande ; amère,rewire,,[Amandes ; ameres]
no,amandes cassées,amandes cassée,Guillaume Daudin,amande ; cassée,rewire,,[amandes cassés] [Amandes; cassées] [Amandes ; cassees] [Amandes; Cassées] [Amandes : cassées] [amandes caséér] [amandes cassées] [Amendes ; cassées] [Amandes casées] [Amandées cassées] [Amandes ; cassées] [Amendes cassées] [Amande cassées] [Amandes Cassées] [Amandes cassées]
no,fruits amandes cassées,amandes cassée,Guillaume Daudin,amande ; cassée,rewire,,[Fruits ; amandes ; cassées]
no,fruits crus secs et à l'eau-de-vie amandes cassées,amandes cassée,Guillaume Daudin,amande ; cassée,rewire,,"[Fruits ; crus, secs et à l'eau de vie ; amandes ;cassées]"
no,amandes courtes,amandes courte,Guillaume Daudin,amande ; courte,rewire,,[amandes courtes]
no,amandes douces,amandes douce,Guillaume Daudin,amande ; douce,rewire,,[Amandes douces]
no,amandes en coque,amandes en coque,Guillaume Daudin,amande ; en coque,rewire,,[Amandes; en coques] [Amandes; En coques] [Amandes ; en cocques] [amandes en cocque] [Amandes en cocques] [amandes en coques] [Amandes ; en coque] [Amandes en Coques] [Amandes ; en coques] [Amendes en coques] [Amandes en coque] [Amandes en coques]
no,fruits amandes en coques,amandes en coque,Guillaume Daudin,amande ; en coque,rewire,,[Fruits ; amandes ; en coques]
no,fruits crus secs et à l'eau-de-vie amandes en coques,amandes en coque,Guillaume Daudin,amande ; en coque,rewire,,"[Fruits ; crus, secs et à l'eau de vie ; amandes ; en coques]"
no,amandes et pruneaux,amandes et pruneau,Guillaume Daudin,amande et pruneau,rewire,,[Amandes et pruneaux] [Amande et pruneaux]
no,amandes et raisin sec,amandes et raisin sec,Guillaume Daudin,amande et raisin sec,rewire,,[Amandres et raisins secs]
no,amandes et savon,amandes et savon,Guillaume Daudin,amande et savon,rewire,,[Amandres et savon] [Amandes et savon]
no,amandes et vert-de-gris,amandes et vert-de-gris,Guillaume Daudin,,new,,
no,amandes longues,amandes longue,Guillaume Daudin,amande ; longue,rewire,,[amandes longues]
no,amandes raisin sec et savon,"amandes, raison sec et savon",Guillaume Daudin,"amande, raison sec et savon",rewire,,"[Amandes, raisons secs et savon]"
no,amaril,amaril,Guillaume Daudin,amaril,existing,,
no,ambrain à grande barrique,ambrain a grande barique,Guillaume Daudin,ambrain a grande barique,rewire,,[Ambrain a grande Barique]
no,ambre,ambre,Guillaume Daudin,ambre,existing,,
no,ambre brut,ambre brut,Guillaume Daudin,ambre ; brut,rewire,,[ambre brut]
no,ambre carabé,ambre carabé,Guillaume Daudin,,new,,
no,ambre et corail,ambre et corail,Guillaume Daudin,,new,,
no,ambre gris,ambre gris,Guillaume Daudin,ambre ; gris,rewire,,[Ambre; grin] [ambre gris] [Ambre ; gris] [Ambre gris]
no,ambre jaune,ambre jaune,Guillaume Daudin,ambre ; jaune,rewire,,[Ambre; jaune] [Ambre jeaune] [ambre;Jaune] [ambre jaune] [Ambre ; jaune] [Ambre jaune] [Ambres Jaune]
no,ambre moulu,ambre moulu,Guillaume Daudin,ambre ; moulu,rewire,,[Ambre ; moulu]
no,vert d'ambre,ambre vert,Guillaume Daudin,ambre ; vert,rewire,,[Verd ; d'ambre]
no,amer,amer,Guillaume Daudin,amer,existing,,
no,amertis,amertis,Guillaume Daudin,amertis,existing,,
no,ami de toilé,ami de toillé,Guillaume Daudin,ami de toillé,rewire,,[ami de toillé]
no,amidon,amidon,Guillaume Daudin,amidon,rewire,[Amirons] [amidon] [Amidon],[amidon] [Amidon]
no,amidon en grains,amidon en grains,Guillaume Daudin,,new,,
no,amidon et poudre à poudrer,amidon et poudre à poudrer,Guillaume Daudin,amidon et poudre à poudrer,existing,,
no,ammonium,ammonium,Guillaume Daudin,[ammoniac] [amomum],ambiguous,[Ammonium],[amomum] [Ammonium] [Amomum] [Ammoniac]
no,ammonium verum,amomum verum,Guillaume Daudin,amomum verum,rewire,,[Amomum verum] [Amonum verum]
no,anabasse,anabasse,Guillaume Daudin,[anatose],ambiguous,,[Anatose] [Ananbas] [annabas] [Annabas] [anabas] [Anabas]
no,anacardes,anacardes,Guillaume Daudin,,existing,,
no,anacoste,anacoste,Guillaume Daudin,,new,,
no,ananas,ananas,Guillaume Daudin,ananas,existing,,
no,ananas confit,ananas confit,Guillaume Daudin,ananas ; confit,rewire,,[Ananas ; confit] [ananas confits]
no,ananas planté,ananas planté,Guillaume Daudin,,new,,
no,anatomie,anatomie,Guillaume Daudin,,new,,
no,anchois,anchois,Guillaume Daudin,anchois,existing,,
no,salé et mariné anchois,anchois salé et mariné,Guillaume Daudin,anchois ; salé et mariné,rewire,,[Salé et mariné ; anchois]
no,ancres,ancres,Guillaume Daudin,[ouvrage ; ancre] [andes],ambiguous,,[Andes] [Ancres]
no,ancres de chaudon,ancres de chaudon,Guillaume Daudin,,new,,
no,ancres de fer à chaudons,ancres de chaudon de fer,Guillaume Daudin,,new,,
no,ancres de fer,ancres de fer,Guillaume Daudin,[ouvrage ; de fer ; ancre],ambiguous,,[ancre de fer] [ances de Fer] [ancres de fer] [Ancres ; de fer] [Ancre ; de fer] [ancres de Fer] [Ancre de fer] [ancre de Fer] [Ancres de fer] [Ancre de Fer] [Ancres de Fer]
no,fer ouvré en ancres,ancres de fer,Guillaume Daudin,,new,,
no,ouvrages de fer ancres,ancres de fer,Guillaume Daudin,[ouvrage ; de fer ; ancre],ambiguous,,[Ouvrages ; De fer ; Ancres] [Ouvrages ; De fer ; Au cres]
no,ancres et grappins de fer,ancres et grappins de fer,Guillaume Daudin,,new,,
no,ancres gravelées,ancres gravelée,Guillaume Daudin,ancre ; gravelée,rewire,,[Ancre gravellée]
no,ancres vides,ancres vide,Guillaume Daudin,ancre ; vide,rewire,,[Ancres vuides]
no,ancres vieilles vides,ancres vides vieilles,Guillaume Daudin,,new,,
no,andolium,andolium,Guillaume Daudin,andolium ou crockvisch,rewire,,[andolium]
no,andolium ou crockfish,andolium,Guillaume Daudin,andolium ou crockvisch,rewire,,[andolium ou crockvisch]
no,andouilles,andouille,Guillaume Daudin,andouille,rewire,,[Andouille] [Andouilles]
no,andouillette,andouillette,Guillaume Daudin,andouillette,existing,,
no,ânes,âne,Guillaume Daudin,bête de somme ; âne,rewire,,[Asner] [Annes] [asnes] [Anes] [Asne] [Asnes]
no,ânes et ânesses,âne et ânesse,Guillaume Daudin,âne et ânesse,rewire,,[anes et anesses]
no,bestiaux ânes,ânes,Guillaume Daudin,bestiau ; âne,rewire,,[Bestiaux ; ânes]
no,bestiaux et bêtes de somme ânes,ânes,Guillaume Daudin,,new,,
no,bêtes de somme ânes,ânes,Guillaume Daudin,bête de somme ; âne,rewire,,[///Bêtes de Somme///Anes] [///Betes de somme///Anes] [Bêtes de somme ; anes] [Betes de somme ; Osnes] [Betes de somme ; Asnes]
no,bêtes de somme ânes et anesses,ânes et anesses,Guillaume Daudin,,new,,
no,angélique,angélique,Guillaume Daudin,angélique,existing,,
no,angélique du Rozème,angélique du Rozème,Guillaume Daudin,angélique ; du Rozème,rewire,,[angélique du Rozème]
no,anguilles,anguille,Guillaume Daudin,anguille,rewire,,[anguilles] [Anguilles]
no,anguilles salées,anguille salée,Guillaume Daudin,anguille ; salée,rewire,,[anguille Sallées] [Anguilles salées] [Anguilles Salées] [Anguille Salées] [Anguille Salée]
no,anille,anille,Guillaume Daudin,,existing,,
no,animaux domestiques,animal domestique,Guillaume Daudin,animal ; domestique,rewire,,[Animaux domestiques]
no,bestiaux et animaux,animaux,Guillaume Daudin,,new,,
no,aniec,anis,Guillaume Daudin,anis,rewire,,[Aniec]
no,anis,anis,Guillaume Daudin,anis,rewire,[Aniec] [Anise] [anis] [Anis],[Anise] [anis] [Anis]
no,anis et sucre,anis et sucre,Guillaume Daudin,anis et sucre,rewire,[Anis et sucre],[Anis et sucre]
no,sucre et anis,anis et sucre,Guillaume Daudin,anis et sucre,rewire,,[Sucre et anis]
no,anis étoilé,anis étoilé,Guillaume Daudin,anis ; étoilé,rewire,,[Anis ; etoillé] [Anis ; étoile] [Anis étoilé] [Anis etoile] [Anis ; etoilé]
no,anis vert,anis vert,Guillaume Daudin,anis ; vert,rewire,,[Anis ; verds] [Anis verd] [annis vert] [Anis ; vert] [Anis vers] [Anis ; vers] [anis vert] [Anis vert]
no,anisette,anisette,Guillaume Daudin,anisette,existing,,
no,anisette de Bordeaux,anisette de Bordeaux,Guillaume Daudin,anisette ; de Bordeaux,rewire,,[Anizette ; de Bordeaux]
no,anneau de fer,anneau de fer,Guillaume Daudin,anneau ; de fer,rewire,,[anneaux de Fer] [Anneau de fer]
no,ânon,ânon,Guillaume Daudin,ânon,existing,,
no,anches de tonneaux,anse de tonneau,Guillaume Daudin,anse ; de tonneau,rewire,,[Anches ; de tonneaux]
no,anspect,anspect,Guillaume Daudin,[anspects],ambiguous,[anspect] [anspects],[Hanspect] [anspect] [Anpects] [anspects] [Anspectre] [Anspect] [Anspecte] [Anspects]
no,bois anspect,anspect,Guillaume Daudin,[bois ; anspects],ambiguous,,[Bois ; auspects] [Bois ; Anspect] [Bois anspects] [Bois ; anspect] [Bois ; anspects]
no,anspect de sapin,anspect de sapin,Guillaume Daudin,,new,,
no,sapin anspect,anspect de sapin,Guillaume Daudin,sapin ; anspects,rewire,,[Sapin ; anspects]
no,antchibanis,antchibanis,Guillaume Daudin,,new,,
no,antennes et mâts de bateaux,antennes et mâts de bateaux,Guillaume Daudin,,new,,
no,antimoine,antimoine,Guillaume Daudin,antimoine,existing,,
no,antimoine cru,antimoine crû,Guillaume Daudin,antimoine ; crû,rewire,,[Animoine crû] [Antimoine ; Crû] [Antimoine crue] [antimoine cru] [Antimoine cru] [Antimoine ; cru] [Antimoine Cru]
no,antofle,antofle,Guillaume Daudin,antofle,existing,,
no,antofle de girofle,antofle de girofle,Guillaume Daudin,antofle ; de girofle,rewire,,[Antolphe ; de girofle] [Antolphe de geroffle] [Antolphe ; de geroffle] [Antofle ; de gerofle] [Antolfe ; de gerofle] [Antolfe ;de geroffle]
no,apier,apiers,Guillaume Daudin,apiers,rewire,,[Apied] [Apiers]
no,apios,apios,Guillaume Daudin,[apios],ambiguous,[Apios] [Appos] [Appios],[Apioa] [Apios] [Appos] [Appios] [Aypio]
no,apprêtée à toiler les livres,apprêtée à toiler les livres,Guillaume Daudin,,new,,
no,apprêtée pour parchemins,apprêtée pour parchemins,Guillaume Daudin,,new,,
