"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","sheet","marchandises","pays","value","quantit","quantity_unit"
29,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1753,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",5 947 128,,
30,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1754,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",5 978 324,,
31,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1755,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 170 092,,
32,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1756,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",3 997 678,,
33,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1757,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 862 535,,
34,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1758,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 742 110,,
35,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1759,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 846 553,,
36,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1760,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",3 064 264,,
37,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1761,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 886 603,,
38,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1762,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 348 201,,
39,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1763,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",611 565,,
40,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1764,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 322 133,,
41,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1765,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",3 481 279,,
42,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1766,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",3 642 003,,
43,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1767,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",4 396 053,,
44,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1768,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",7 793 372,,
45,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1769,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 510 269,,
46,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1770,"Exports",499,"Marchandises hors espèces","Commerce de la Compagnie des Indes",0,,
47,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1725,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,35 268,"marcs"
48,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1726,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,70 129,"marcs"
49,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1727,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,106 523,"marcs"
50,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1728,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,105 293,"marcs"
51,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1729,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,111 809,"marcs"
52,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1730,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,178 737,"marcs"
53,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1731,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,197 119,"marcs"
54,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1732,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,208 163,"marcs"
55,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1733,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,133 040,"marcs"
56,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1734,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,100 335,"marcs"
57,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1735,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,200 140,"marcs"
58,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1736,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,190 004,"marcs"
59,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1737,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,264 654,"marcs"
60,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1738,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,267 839,"marcs"
61,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1739,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,247 791,"marcs"
62,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1740,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,224 558,"marcs"
63,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1741,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,88 964,"marcs"
64,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1742,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,114 360,"marcs"
65,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1743,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,200 000,"marcs"
66,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1744,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,101 393,"marcs"
67,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1745,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,52 726,"marcs"
68,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1746,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,201 579,"marcs"
69,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1747,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,9 500,"marcs"
70,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1748,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,272 730,"marcs"
71,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1749,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,300 321,"marcs"
72,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1750,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,285 713,"marcs"
73,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1751,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,274 173,"marcs"
74,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1752,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,135 202,"marcs"
75,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1753,"Exports",498,"Espèces","Commerce de la Compagnie des Indes",,191 654,"marcs"
76,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1754,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,303 135,"marcs"
77,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1755,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,60 000,"marcs"
78,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1756,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,121 152,"marcs"
79,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1757,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,107 871,"marcs"
80,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1758,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,0,"marcs"
81,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1759,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,0,"marcs"
82,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1760,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,2 400,"marcs"
83,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1761,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,13 640,"marcs"
84,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1762,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,12 848,"marcs"
85,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1763,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,82 762,"marcs"
86,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1764,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,188 804,"marcs"
87,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1765,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,213 138,"marcs"
88,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1766,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,113 331,"marcs"
89,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1767,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,109 578,"marcs"
90,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1768,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,20 460,"marcs"
91,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1769,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,0,"marcs"
92,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1770,"Exports",499,"Espèces","Commerce de la Compagnie des Indes",,0,"marcs"
