numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
17,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Alun,Venise,10538,,,,,,49254,,,,,,,,,,,
17,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Aloës,Hollande,,,,,,,7111,,,,,,,,,,,
18,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Alun,Levant,13124,,,,,,49254,,,,,,,,,,,
18,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Alun,Allemagne,22298,,,,,,900763,,,,,,,,,,,
19,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Alun,Savoye,5579,,,,,,49254,,,,,,,,,,,
19,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Alun,Angleterre,298021,,,,,,900763,,,,,,,,,,,
20,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Alun,Suisse,2048,,,,,,49254,,,,,,,,,,,
20,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Alun,Danemark,12772,,,,,,900763,,,,,,,,,,,
21,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amadou,Genes,,,,,,,1277,,,,,,,,,,,
21,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Alun,Espagne,136942,,,,,,900763,,,,,,,,,,,
22,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Allemagne,1724,,,,,,346809,,,,,,,,,,,
22,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Alun,Flandre,135602,,,,,,900763,,,,,,,,,,,
23,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Angleterre,6279,,,,,,346809,,,,,,,,,,,
23,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Alun,Hollande,103301,,,,,,900763,,,,,,,,,,,
24,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Hollande,70681,,,,,,346809,,,,,,,,,,,
24,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Alun,Italie,37790,,,,,,900763,,,,,,,,,,,
25,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Italie,21326,,,,,,346809,,,,,,,,,,,
25,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Alun,Genes,7896,,,,,,900763,,,,,,,,,,,
26,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Naples,2836,,,,,,346809,,,,,,,,,,,
26,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Alun,Nord,1576,,,,,,900763,,,,,,,,,,,
27,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Genes,36796,,,,,,346809,,,,,,,,,,,
27,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Alun,Savoye,32587,,,,,,900763,,,,,,,,,,,
28,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Venise,25654,,,,,,346809,,,,,,,,,,,
28,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Alun,Suède,111978,,,,,,900763,,,,,,,,,,,
29,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Levant,48141,,,,,,346809,,,,,,,,,,,
29,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amadou,Allemagne,12740,,,,,,15220,,,,,,,,,,,
30,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Nord,70542,,,,,,346809,,,,,,,,,,,
30,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amadou,Savoye,2480,,,,,,15220,,,,,,,,,,,
31,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Savoye,22007,,,,,,346809,,,,,,,,,,,
31,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amandes,Espagne,192414,,,,,,306321,,,,,,,,,,,
32,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Suède,9520,,,,,,346809,,,,,,,,,,,
32,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amandes,Hollande,54213,,,,,,306321,,,,,,,,,,,
33,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Suisse,1032,,,,,,346809,,,,,,,,,,,
33,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amandes,Naples,16800,,,,,,306321,,,,,,,,,,,
34,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amandes,Isles,30271,,,,,,346809,,,,,,,,,,,
34,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amandes,Genes,3917,,,,,,306321,,,,,,,,,,,
35,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amidon,Angleterre,18578,,,,,,166032,,,,,,,,,,,
35,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amandes,Levant,36209,,,,,,306321,,,,,,,,,,,
36,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amidon,Espagne,3926,,,,,,166032,,,,,,,,,,,
36,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amandes,Savoye,2768,,,,,,306321,,,,,,,,,,,
37,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amidon,Flandre,109478,,,,,,166032,,,,,,,,,,,
37,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amidon,Hollande,13216,,,,,,20199,,,,,,,,,,,
38,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amidon,Geneve,14700,,,,,,166032,,,,,,,,,,,
38,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Amidon,Nord,6983,,,,,,20199,,,,,,,,,,,
39,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amidon,Portugal,15430,,,,,,166032,,,,,,,,,,,
39,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Anchois,Espagne,18020,,,,,,20324,,,,,,,,,,,
40,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Amidon,Isles,3920,,,,,,166032,,,,,,,,,,,
40,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Anchois,Hollande,2304,,,,,,20324,,,,,,,,,,,
41,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Anchois,Hollande,3140,,,,,,4347,,,,,,,,,,,
41,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Anis,Espagne,35625,,,,,,36782,,,,,,,,,,,
42,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Anchois,Isles,1207,,,,,,4347,,,,,,,,,,,
42,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Anis,Hollande,1157,,,,,,36782,,,,,,,,,,,
43,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Anis,Italie,1099,,,,,,3562,,,,,,,,,,,
43,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Anspects,Danemark,,,,,,,1045,,,,,,,,,,,
44,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Anis,Savoye,2463,,,,,,3562,,,,,,,,,,,
44,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Antolphe ; de geroffle,Hollande,,,,,,,6165,,,,,,,,,,,
45,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,4,Arbres ; à planter,Flandre,,,,,,,1062,,,,,,,,,,,
45,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Arcenic,Hollande,3175,,,,,,8671,,,,,,,,,,,
46,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Ardoises,Allemagne,4075,,,,,,36762,,,,,,,,,,,
46,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,4,Arcenic,Nord,5496,,,,,,8671,,,,,,,,,,,
47,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Ardoises,Espagne,1812,,,,,,36762,,,,,,,,,,,
47,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Ardoises,Allemagne,5392,,,,,,7717,,,,,,,,,,,
48,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Ardoises,Flandre,10025,,,,,,36762,,,,,,,,,,,
48,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Ardoises,Flandre,2325,,,,,,7717,,,,,,,,,,,
49,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Ardoises,Isles,20850,,,,,,36762,,,,,,,,,,,
49,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Argent ; faux,Flandre,6660,,,,,,860889,,,,,,,,,,,
50,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argent ; vif,Savoye,,,,,,,1000,,,,,,,,,,,
50,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Argent ; monnoyé,Genes,547488,,,,,,860889,,,,,,,,,,,
51,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Allemagne,42956,,,,,,410608,,,,,,,,,,,
51,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Argent ; vif,Allemagne,135395,,,,,,860889,,306741,,,,,,,,,
52,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Angleterre,76757,,,,,,410608,,,,,,,,,,,
52,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Argent ; vif,Hollande,4346,,,,,,860889,,306741,,,,,,,,,
53,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Espagne,5828,,,,,,410608,,,,,,,,,,,
53,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Argent ; vif,Genes,167000,,,,,,860889,,306741,,,,,,,,,
54,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Flandre,4731,,,,,,410608,,,,,,,,,,,
54,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Argenterie,Angleterre,5265,,,,,,748325,,,,,,,,,,,
55,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Hollande,1375,,,,,,410608,,,,,,,,,,,
55,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Argenterie,Espagne,1728,,,,,,748325,,,,,,,,,,,
56,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Italie,15974,,,,,,410608,,,,,,,,,,,
56,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Argenterie,Savoye,737540,,,,,,748325,,,,,,,,,,,
57,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Naples,89559,,,,,,410608,,,,,,,,,,,
57,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Argenterie,Isles,3792,,,,,,748325,,,,,,,,,,,
58,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Levant,1593,,,,,,410608,,,,,,,,,,,
58,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Armes ; blanches,Allemagne,98614,,,,,,541454,,109990,,,,,,,,,
59,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Nord,30267,,,,,,410608,,,,,,,,,,,
59,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Armes ; blanches,Flandre,2762,,,,,,541454,,109990,,,,,,,,,
60,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Portugal,11682,,,,,,410608,,,,,,,,,,,
60,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Armes ; blanches,Hollande,8614,,,,,,541454,,109990,,,,,,,,,
61,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Russie,57000,,,,,,410608,,,,,,,,,,,
61,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Armes ; à feu,Allemagne,347505,,,,,,541454,,431464,,,,,,,,,
62,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Savoye,3944,,,,,,410608,,,,,,,,,,,
62,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Armes ; à feu,Flandre,12348,,,,,,541454,,431464,,,,,,,,,
63,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Suisse,1923,,,,,,410608,,,,,,,,,,,
63,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Armes ; à feu,Hollande,71611,,,,,,541454,,431464,,,,,,,,,
64,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Isles,65822,,,,,,410608,,,,,,,,,,,
64,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Arquifou,Angleterre,4954,,,,,,81643,,,,,,,,,,,
65,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Argenterie,Guinée,1197,,,,,,410608,,,,,,,,,,,
65,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Arquifou,Espagne,74191,,,,,,81643,,,,,,,,,,,
66,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Armes ; blanches,Levant,9300,,,,,,234860,,19198,,,,,,,,,
66,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Arquifou,Savoye,2498,,,,,,81643,,,,,,,,,,,
67,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Armes ; blanches,Guinée,9898,,,,,,234860,,19198,,,,,,,,,
67,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Assafelida,Hollande,2150,,,,,,3983,,,,,,,,,,,
68,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Armes ; à feu,Isles,3117,,,,,,234860,,215662,,,,,,,,,
68,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Assafelida,Levant,1833,,,,,,3983,,,,,,,,,,,
69,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Armes ; à feu,Guinée,212545,,,,,,234860,,215662,,,,,,,,,
69,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,5,Attelles ; de coliers,Allemagne,,,,,,,6920,,,,,,,,,,,
70,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Arquifou,Levant,,,,,,,14106,,,,,,,,,,,
70,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Avirons,Danemark,4649,,,,,,29837,,,,,,,,,,,
71,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Artichaux,Isles,,,,,,,10004,,,,,,,,,,,
71,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Avirons,Espagne,8388,,,,,,29837,,,,,,,,,,,
72,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,5,Asnes,Savoye,,,,,,,1000,,,,,,,,,,,
72,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Avirons,Naples,16800,,,,,,29837,,,,,,,,,,,
73,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Avirons,Allemagne,8225,,,,,,11477,,,,,,,,,,,
73,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Avoine,Allemagne,2898,,,,,,10455,,,,,,,,,,,
74,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Avirons,Hollande,2128,,,,,,11477,,,,,,,,,,,
74,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Avoine,Hollande,7557,,,,,,10455,,,,,,,,,,,
75,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Avirons,Italie,,No value for Italie,,,,,11477,,,,,,,,,,,
75,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Azur,Danemark,125156,,,,,,352361,,,,,,,,,,,
76,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Avirons,Portugal,1124,,,,,,11477,,,,,,,,,,,
76,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Azur,Flandre,3350,,,,,,352361,,,,,,,,,,,
77,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Avoine,Allemagne,2297,,,,,,339776,,,,,,,,,,,
77,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Azur,Hollande,213617,,,,,,352361,,,,,,,,,,,
78,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Avoine,Angleterre,69879,,,,,,339776,,,,,,,,,,,
78,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Azur,Nord,10238,,,,,,352361,,,,,,,,,,,
79,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Avoine,Flandre,7185,,,,,,339776,,,,,,,,,,,
79,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Baguettes ; de fusils,Italie,,,,,,,2000,,,,,,,,,,,
80,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Avoine,Savoye,247635,,,,,,339776,,,,,,,,,,,
80,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balais,Espagne,11035,,,,,,16718,,,,,,,,,,,
81,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Avoine,Italie,12780,,,,,,339776,,,,,,,,,,,
81,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balais,Italie,3147,,,,,,16718,,,,,,,,,,,
82,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Azur,Espagne,,,,,,,1330,,,,,,,,,,,
82,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balais,Genes,1042,,,,,,16718,,,,,,,,,,,
83,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Balais ; coupée,Italie,1260,,,,,,8985,,,,,,,,,,,
83,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balais,Savoye,1494,,,,,,16718,,,,,,,,,,,
84,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Balais ; coupée,Levant,6725,,,,,,8985,,,,,,,,,,,
84,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balaine ; coupée,Hollande,63184,,,,,,495226,,114512,,,,,,,,,
85,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Balais ; coupée,Savoye,1000,,,,,,8985,,,,,,,,,,,
85,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balaine ; coupée,Genes,44500,,,,,,495226,,114512,,,,,,,,,
86,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Barils,Guinée,,,,,,,3248,,,,,,,,,,,
86,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balaine ; coupée,Nord,6828,,,,,,495226,,114512,,,,,,,,,
87,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de coton,Allemagne,9964,,,,,,2435276,,49573,,,,,,,,,
87,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balaine ; en fanon,Flandre,3792,,,,,,495226,,380714,,,,,,,,,
88,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de coton,Angleterre,1100,,,,,,2435276,,49573,,,,,,,,,
88,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balaine ; en fanon,Hollande,150332,,,,,,495226,,380714,,,,,,,,,
89,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de coton,Espagne,22245,,,,,,2435276,,49573,,,,,,,,,
89,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Balaine ; en fanon,Portugal,226590,,,,,,495226,,380714,,,,,,,,,
90,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de coton,Italie,3000,,,,,,2435276,,49573,,,,,,,,,
90,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Barils,Espagne,,,,,,,3162,,,,,,,,,,,
91,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de coton,Genes,4500,,,,,,2435276,,49573,,,,,,,,,
91,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Barres ; de bois,Danemark,,,,,,,1970,,,,,,,,,,,
92,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de coton,Savoye,2140,,,,,,2435276,,49573,,,,,,,,,
92,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Bas ; de coton,Naples,7125,,,,,,130525,,37695,,,,,,,,,
93,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de coton,Suisse,3824,,,,,,2435276,,49573,,,,,,,,,
93,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Bas ; de coton,Genes,2000,,,,,,130525,,37695,,,,,,,,,
94,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de coton,Isles,2800,,,,,,2435276,,49573,,,,,,,,,
94,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Bas ; de coton,Savoye,20950,,,,,,130525,,37695,,,,,,,,,
95,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de fil,Espagne,11474,,,,,,2435276,,43069,,,,,,,,,
95,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Bas ; de coton,Suisse,7620,,,,,,130525,,37695,,,,,,,,,
96,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de fil,Levant,2713,,,,,,2435276,,43069,,,,,,,,,
96,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Bas ; de fil,Italie,27420,,,,,,130525,,74142,,,,,,,,,
97,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de fil,Isles,28882,,,,,,2435276,,43069,,,,,,,,,
97,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Bas ; de fil,Genes,6200,,,,,,130525,,74142,,,,,,,,,
98,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de filozelle,Allemagne,16328,,,,,,2435276,,37524,,,,,,,,,
98,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Bas ; de fil,Savoye,31285,,,,,,130525,,74142,,,,,,,,,
99,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de filozelle,Espagne,5136,,,,,,2435276,,37524,,,,,,,,,
99,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,6,Bas ; de fil,Suisse,9237,,,,,,130525,,74142,,,,,,,,,
100,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,6,Bas ; de filozelle,Portugal,6280,,,,,,2435276,,37524,,,,,,,,,
100,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,7,Bas ; de laine,Flandre,1248,,,,,,130525,,,,,,,,,,,
101,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,7,Bas ; de filozelle,Savoye,4980,,,,,,2435276,,37524,,,,,,,,,
101,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,7,Bas ; de soye,Italie,13440,,,,,,130525,,17440,,,,,,,,,
