numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,value,quantit,total,quantity_unit,prix_unitaire
79,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,127,Manne,53435,29686,53435,Kilo,1.8
80,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,315,Médicaments composés ; Autres,1255940,125594,1255940,Kilo,10
81,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,315,Médicaments composés ; Eaux distillées,205195,41039,205195,Kilo,5
82,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,125,Opium,446784,13962,446784,Kilo,32
83,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,141,Racines ; Iris de Florence,21073,11707,21073,Kilo,1.8
84,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,139,Racines ; Jalap,100371,31366,100371,Kilo,3.2
85,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,139,Racines ; Rhubarbe,34720,6944,34720,Kilo,5
86,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,141,Racines ; Réglisse,52383,116407,52383,Kilo,0.45
87,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,143,Racines non dénommées,142929,47643,142929,Kilo,3
88,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,121,Résineux exotiques ; Scammonée,19240,481,19240,Kilo,40
89,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,137,Salsepareille,194772,64924,194772,Kilo,3
90,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,57,Sangsues,8784,292800,8784,pièce,0.03
91,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,271,Sels ammoniacaux,30123,7586,30123,Kilo,3.9708673873
92,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,275,"Sels, sulfates ; de magnésie",11399,12954,11399,Kilo,0.88
93,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,273,"Sels, sulfates ; de soude",77216,257386,77216,Kilo,0.3
94,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,117,Térébenthine ; compacte,41918,209592,41918,Kilo,0.2
95,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,119,Térébenthine ; essence,790516,1129309,790516,Kilo,0.7
96,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,119,Térébenthine ; liquide,823,5488,823,Kilo,0.15
97,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,285,Acétates ; de plomb,124508,73240,124508,Kilo,1.7
98,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,125,Aloès,3432,1560,3432,Kilo,2.2
99,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,121,Baume ; Benjoin,21159,7053,21159,Kilo,3
100,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,123,Baume ; Copahu,10130,5065,10130,Kilo,2
101,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,123,Baume ; Storax liquide,1309,870,1309,Kilo,1.5
102,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,125,Camphre ; raffiné,22096,3776,22096,Kilo,5.85
103,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,57,Cantharides,34550,3455,34550,Kilo,10
104,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,59,Cornes de cerf et de snack ; en morceaux,544,777,544,Kilo,0.7
105,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,59,Cornes de cerf et de snack ; en râpures,1089,1556,1089,Kilo,0.7
106,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,145,Ecorces ; autres,3801,4751,3801,Kilo,0.8
107,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,145,Ecorces ; de Quinquina,1158192,144774,1158192,Kilo,8
108,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",12410,24820,12410,Kilo,0.5
109,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,59,Eponges ; communes,25428,4238,25428,Kilo,6
110,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,59,Eponges ; fines,37620,1881,37620,Kilo,20
111,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,147,Feuilles ; d'Oranger,1039,1039,1039,Kilo,1
112,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,147,Feuilles ; de Séné,68177,19479,68177,Kilo,3.5
113,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,149,Feuilles non dénommées,39665,39665,39665,Kilo,1
114,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,149,Fleurs de Lavande et d'Oranger,55142,27571,55142,Kilo,2
115,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,151,Fleurs non dénommées,42609,42609,42609,Kilo,1
116,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,155,Fruits ; Autres,76775,76775,76775,Kilo,1
117,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,1580,790,1580,Kilo,2
118,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,153,Fruits ; Barbotine,84,281,84,Kilo,0.3
119,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,151,Fruits ; Casse sans apprêt,102434,68289,102434,Kilo,1.5
120,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,155,Fruits ; Follicules de séné,15196,5427,15196,Kilo,2.8
121,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,153,Fruits ; Graine de moutarde,22156,44312,22156,Kilo,0.5
122,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,153,Fruits ; Tamarins en gousses,1267,2816,1267,Kilo,0.45
123,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,147,Herbes,1199,2399,1199,Kilo,0.5
124,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,137,Ipécacuana,7787,599,7787,Kilo,13
125,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,129,Jus de réglisse,121952,121952,121952,Kilo,1
126,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,155,Lichens médicinaux,1383,4609,1383,Kilo,0.3
127,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,127,Manne,43985,24436,43985,Kilo,1.8
128,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,315,Médicaments composés ; Autres,1685570,168557,1685570,Kilo,10
129,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,315,Médicaments composés ; Eaux distillées,199040,39808,199040,Kilo,5
130,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,125,Opium,318624,9957,318624,Kilo,32
131,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,141,Racines ; Iris de Florence,18751,10417,18751,Kilo,1.8
132,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,139,Racines ; Jalap,230058,71893,230058,Kilo,3.2
133,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,139,Racines ; Rhubarbe,32595,6519,32595,Kilo,5
134,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,141,Racines ; Réglisse,94804,210675,94804,Kilo,0.45
135,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,143,Racines non dénommées,188424,62808,188424,Kilo,3
136,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,121,Résineux exotiques ; Scammonée,78320,1958,78320,Kilo,40
137,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,137,Salsepareille,221397,73799,221397,Kilo,3
138,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,57,Sangsues,15117,503906,15117,pièce,0.03
139,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,271,Sels ammoniacaux,35386,10868,35386,Kilo,3.2559808612
140,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,275,"Sels, sulfates ; de magnésie",7330,8330,7330,Kilo,0.88
141,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,273,"Sels, sulfates ; de soude",199526,665087,199526,Kilo,0.3
142,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,117,Térébenthine ; compacte,42339,211698,42339,Kilo,0.2
143,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,119,Térébenthine ; essence,695118,993026,695118,Kilo,0.7
144,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1829,Exports,119,Térébenthine ; liquide,625,4167,625,Kilo,0.15
145,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,285,Acétates ; de plomb,115343,67849,115343,Kilo,1.7
146,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,125,Aloès,5854,2661,5854,Kilo,2.2
147,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,121,Baume ; Benjoin,10284,3428,10284,Kilo,3
148,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,123,Baume ; Copahu,6040,3020,6040,Kilo,2
149,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,123,Baume ; Storax liquide,1298,1112,1298,Kilo,1.17
150,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1830,Exports,125,Camphre ; raffiné,19989,1881,19989,Kilo,10.63
