numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
21,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile baptiste,Dannemark,"2,00",pièce,"60,0000000","120,00","0,00",
22,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile blanche,Dannemark,"702,50",aunes,"1,5000000","1054,00","0,25",
23,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile blanchie,Dannemark,"11 242,00",aunes,"1,0000000","11242,00","0,00",
24,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toiles de bretagne diverses étroites,Dannemark,"503,00",pièces,"6,5000000","3269,00","-0,50",
25,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toiles de bretagne diverses larges,Dannemark,"172,00",pièces,"12,0000000","2064,00","0,00",
26,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toiles de bretagne diverses cerue,Dannemark,"15 769,00",aunes,"1,0000000","15769,00","0,00",
27,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toiles de Bretagne diverses de halle,Dannemark,"18 286,00",aunes,"0,7500000","13714,00","-0,50",
28,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile cirée,Dannemark,"80,00",pièces,"4,5000000","360,00","0,00",
29,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile cirée,Dannemark,"560,00",aunes,"1,0000000","560,00","0,00",
30,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile de cotton,Dannemark,"229,75",aunes,"2,0000000","459,00","-0,50",
31,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile d'hollande,Dannemark,"33,00",aunes,"4,0000000","132,00","0,00",
32,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile a napes et serviettes,Dannemark,"1 146,00",aunes,"1,0000000","1146,00","0,00",
32,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile royale,Dannemark,"2,00",pièces,"40,0000000","80,00","0,00",
32,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile à serpiliere,Dannemark,"202,00",aunes,"0,3500000","70,00","-0,70",
33,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Vin ; muscat,Dannemark,"12,00",pots,"3,0000000","36,00","0,00",
34,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Vin ; de Xeres,Dannemark,"1,00",pipes,"250,0000000","250,00","0,00",
35,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Bougie blanche,Espagne,"200,00",livres,"1,7500000","350,00","0,00",
36,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Camelot de laine,Espagne,"443,75",aunes,"3,0000000","1331,00","-0,25",
37,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Chemises garnies,Espagne,"305,00",en nombre,"4,0000000","1220,00","0,00",
38,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Chemises unies,Espagne,"4 545,00",en nombre,"3,0000000","13635,00","0,00",
39,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Cuirs de genisse corroyés,Espagne,"9,00",douzaines,"40,0000000","360,00","0,00",
40,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Dentelle de fil,Espagne,,,"0,0000000","12500,00","12 500,00",
41,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Etamine de laine,Espagne,"4 210,00",livres,"4,0000000","16840,00","0,00",
42,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Etamine de Laval,Espagne,"616,00",aunes,"3,0000000","1848,00","0,00",
43,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Fèves,Espagne,"42,00",tonneaux,"110,0000000","4620,00","0,00",
44,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Fil de couleur,Espagne,"2 160,00",livres,"2,2500000","4860,00","0,00",
45,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Graine,Espagne,"1 500,00",livres,"0,5000000","750,00","0,00",
46,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Miroir,Espagne,"2,00",en nombre,"50,0000000","100,00","0,00",
47,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Orge,Espagne,"20,00",tonneaux,"95,0000000","1900,00","0,00",
48,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Papier batard fin,Espagne,"120,00",rames,"6,0000000","720,00","0,00",
49,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Pekin,Espagne,"71,00",pièces,"70,0000000","4970,00","0,00",
50,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Rodingottes de Cariz,Espagne,"36,00",en nombre,"20,0000000","720,00","0,00",
51,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Ruban de soye,Espagne,"213,00",pièces,"6,0000000","1278,00","0,00",
52,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Sardines pressées,Espagne,"33,00",tonneaux,"120,0000000","3960,00","0,00",
53,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Sardines pressées,Espagne,"156,00",barils,"15,0000000","2340,00","0,00",
54,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Toile blanchard,Espagne,"1 690,00",livres,"4,0000000","6760,00","0,00",
55,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Toiles de bretagne diverses ; étroites,Espagne,"32 301,00",pièces,"6,5000000","209957,00","0,50",
56,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Toiles de bretagne diverses ; étroites,Espagne,"38 606,00",aunes,"1,5000000","57909,00","0,00",
57,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Toiles de bretagne diverses ; larges,Espagne,"10 855,00",pièces,"12,0000000","130260,00","0,00",
58,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Toiles de bretagne diverses ; larges,Espagne,"10 640,00",aunes,"2,2500000","23940,00","0,00",
59,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Toiles de bretagne diverses ; a carreaux,Espagne,"19 757,00",livres,"2,0000000","39514,00","0,00",
60,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Toiles de bretagne diverses ; créé large,Espagne,"68 500,00",aunes,"1,2500000","85625,00","0,00",
61,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,3,Toiles de bretagne diverses ; gratiene,Espagne,"283 024,00",aunes,"1,0000000","283024,00","0,00",
62,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toiles de bretagne diverses ; de halle,Espagne,"708,00",aunes,"0,7500000","531,00","0,00",
63,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toiles de bretagne diverses ; de Morlais,Espagne,"2 450,00",aunes,"1,2500000","3062,00","-0,50",
64,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toiles de bretagnes diverses ; d'ollone ,Espagne,"31,00",pièces,"20,0000000","620,00","0,00",
65,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toiles de bretagnes diverses ; d'ollone ,Espagne,"8 875,00",aunes,"0,8000000","7100,00","0,00",
66,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toiles de bretagne diverses ; Pontivi,Espagne,"30,00",aunes,"1,5000000","45,00","0,00",
67,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toiles de bretagne diverses ; Pouldavi,Espagne,"1 250,00",aunes,"0,7500000","937,00","-0,50",
68,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toiles de bretagne diverses ; rayées,Espagne,"3 584,00",aunes,"1,0000000","3584,00","0,00",
69,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toiles de bretagne diverses ; rosconnes,Espagne,"115 052,00",aunes,"0,7500000","86289,00","0,00",
70,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toile ; de Laval,Espagne,"6 800,00",aunes,"1,2500000","8500,00","0,00",
71,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toile ; de Rouen,Espagne,"9 600,00",aunes,"2,5000000","24000,00","0,00",
72,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toile ; rousse,Espagne,"160,00",aunes,"0,9000000","144,00","0,00",
73,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Toile ; à voile,Espagne,"900,00",aunes,"0,7500000","1350,00","675,00",erreur de calcul
74,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Vieux oing,Espagne,"600,00",livres,"0,1500000","90,00","0,00",
75,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Vin ; de Bordeaux,Espagne,"6,00",bariques,"60,0000000","360,00","0,00",
76,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Vin ; de Malaga,Espagne,"11,00",pipes,"300,0000000","3300,00","0,00",
77,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Alibanis,Guinée,"33,00",pièces,"16,0000000","528,00","0,00",
78,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Anabas,Guinée,"715,00",pièces,"2,0000000","1430,00","0,00",
79,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Bajutapaux,Guinée,"1 646,00",pièces,"25,0000000","41150,00","0,00",
80,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Bayette,Guinée,"20,00",pièces,"36,0000000","720,00","0,00",
81,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Beuf salé,Guinée,"42,00",barils,"30,0000000","1260,00","0,00",
82,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Beurre,Guinée,"69,00",barils,"20,0000000","1380,00","0,00",
83,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Beurre,Guinée,"6 825,00",livres,"0,2500000","1704,00","-2,25",
84,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Bonbetuf,Guinée,"5,00",pièces,"0,0000000","0,00","0,00",doute nom du produit et absence de prix unitaire et de montant
85,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,4,Boulange,Guinée,"35,00",pièces,"10,0000000","350,00","0,00",
86,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Braule,Guinée,"35,00",pièces,"6,0000000","210,00","0,00",
87,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Canettes de grez,Guinée,"600,00",en nombre,"0,3000000","180,00","0,00",
88,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Caves garnies ; de 21 flacons,Guinée,"9,00",pièces,"24,0000000","216,00","0,00",
89,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Caves garnies ; de 18 flacons,Guinée,"2,00",pièces,"20,0000000","40,00","0,00",
90,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Caves garnies ; de 6 flacons,Guinée,"395,00",pièces,"7,0000000","2765,00","0,00",
91,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Cauris,Guinée,"266,00",livres,"1,2000000","319,00","-0,20",
92,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Clous de fer,Guinée,"201,00",livres,"0,2500000","50,00","-0,25",
93,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Coros,Guinée,"210,00",pièces,"5,0000000","1050,00","0,00",
94,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Coupis,Guinée,"52,00",pièces,"20,0000000","1040,00","0,00",
95,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Couteaux,Guinée,"1 057,00",douzaines,"1,5000000","1575,00","-10,50",erreur calcul
96,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Couvertures de laine,Guinée,"16,00",en nombre,"12,0000000","112,00","-80,00",erreur calcul
97,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Cuivre ouvré,Guinée,"1 014,00",livres,"1,5000000","1521,00","0,00",
98,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Drap de Carcassonne,Guinée,"92,50",aunes,"9,0000000","833,00","0,50",
99,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Eau de vie,Guinée,"1 797,00",veltes,"2,0000000","3594,00","0,00",
100,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Etain ouvré,Guinée,"525,00",livres,"2,0000000","1050,00","0,00",
101,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Farine,Guinée,"30,00",barils,"20,0000000","600,00","0,00",
102,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Fauce,Guinée,"213,00",pièces,"0,0000000","0,00","0,00",pas de prix unitaire ni de total
103,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Fer en barres,Guinée,"3 650,00",livres,"0,1100000","398,00","-3,50",erreur de calcul
104,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Feves,Guinée,"56,00",tonneaux,"110,0000000","6160,00","0,00",
105,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Feves,Guinée,"13,00",bariques,"25,0000000","325,00","0,00",
106,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Feves,Guinée,"267,75",boisseaux,"1,0000000","268,00","0,25",
107,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Fusils de traitte,Guinée,"800,00",en nombre,"6,0000000","4800,00","0,00",
108,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Galons d'argent,Guinée,"1,25",livres,"130,0000000","162,00","-0,50",65 livres le marc
109,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Graine,Guinée,"454,00",livres,"0,5000000","227,00","0,00",
110,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,5,Gruau,Guinée,"50,00",boisseaux,"0,7500000","37,00","-0,50",
111,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Guildive,Guinée,"1 725,00",veltes,"4,0000000","6900,00","0,00",
112,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Guinée bleue,Guinée,"500,00",pièces,"30,0000000","15000,00","0,00",
113,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Guingan,Guinée,"25,00",pièces,"12,0000000","300,00","0,00",
114,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Indienne,Guinée,"165,00",pièces,"35,0000000","5775,00","0,00",
115,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Lard,Guinée,"32,00",barils,"25,0000000","800,00","0,00",
116,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Marchandises melées,Guinée,,,"0,0000000","530,00","530,00",
117,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Mouchoirs de Pontichery,Guinée,"200,00",pièces,"24,0000000","4800,00","0,00",
118,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Nicaneas,Guinée,"683,00",pièces,"12,0000000","8196,00","0,00",
119,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Platille,Guinée,"966,00",pièces,"5,0000000","4830,00","0,00",
120,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Poudre a canon,Guinée,"10 000,00",livres,"0,9500000","9500,00","0,00",
121,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Salemporis bleu,Guinée,"36,00",pièces,"24,0000000","864,00","0,00",
122,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Stocfiche,Guinée,"2 000,00",livres,"0,2000000","400,00","0,00",
123,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Sucre brut,Guinée,"1 495,00",livres,"0,3000000","448,00","-0,50",
124,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Suif,Guinée,"1 771,00",livres,"0,3000000","531,00","-0,30",
125,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Tabac en feuilles,Guinée,"500,00",livres,"0,5000000","250,00","0,00",
126,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Toile peinte,Guinée,"2,00",pièces,"20,0000000","40,00","0,00",
127,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Vin de Bordeaux,Guinée,"45,00",barriques,"60,0000000","2700,00","0,00",
128,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Vin d'Espagne,Guinée,"16,00",bottes,"150,0000000","2400,00","0,00",
129,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Vin de la Rochelle,Guinée,"15,00",barriques,"45,0000000","675,00","0,00",
130,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Vinaigre,Guinée,"12,00",barils,"8,0000000","96,00","0,00",
131,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Ardoises,Hollande,"1 220,00",milliers,"14,0000000","17080,00","0,00",
132,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Argent vif,Hollande,"1 080,00",livres,"5,0000000","5400,00","0,00",
133,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,6,Armoisin,Hollande,"4,00",pièces,"50,0000000","200,00","0,00",
134,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,7,Bas de fil,Hollande,"18,00",douzaines de paires,"30,0000000","540,00","0,00",
135,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,7,Bas de laine,Hollande,"178,00",paires,"3,0000000","534,00","0,00",
136,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,7,Beurre de bretagne,Hollande,"249 825,00",livres,"0,3000000","74947,00","-0,50",
137,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,7,Biscuits de mer,Hollande,"3 000,00",livres,"0,1200000","360,00","0,00",
138,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,7,Bois rouge,Hollande,"40 000,00",livres,"0,3000000","12000,00","0,00",
139,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,7,Caffé de Bourbon,Hollande,"24 581,00",livres,"1,2500000","30726,00","-0,25",
