numrodeligne,source,sourcepath,sourcetype,exportsimports,year,marchandises,direction,pays,quantity_unit,prix_unitaire,probleme,remarks,doubleaccounts,quantit,value
39,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Eau de vie,Rennes,Angleterre,Tierçon,0,0,,,1,0
40,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Eau de vie,Rennes,Angleterre,Tonneaux,0,0,,,20.5,0
41,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Etoupe,Rennes,Angleterre,Livres,0,0,,,5300,0
42,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Etoupes,Rennes,Angleterre,Livres,0,0,,,9200,0
43,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Fer en barres,Rennes,Angleterre,Livres,0,0,,,33000,0
44,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Fer vieux,Rennes,Angleterre,Livres,0,0,,,41695,0
45,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Figues,Rennes,Angleterre,Livres,0,0,,,1450,0
46,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Fil blanc,Rennes,Angleterre,Livres,0,0,,,256,0
47,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Fil de couleur,Rennes,Angleterre,Livres,0,0,,,60,0
48,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Fil de Rennes,Rennes,Angleterre,Livres,0,0,,,406,0
49,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Fil de Rennes de couleur,Rennes,Angleterre,Livres,0,0,,,200,0
50,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Fil écru,Rennes,Angleterre,Livres,0,0,,,6,0
51,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Fromage,Rennes,Angleterre,Livres,0,0,,,200,0
52,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Gaudron,Rennes,Angleterre,Barils,0,0,,,26,0
53,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Grelin,Rennes,Angleterre,Nombres,0,0,,,3,0
54,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Huile d'olive,Rennes,Angleterre,Livres,0,0,,,1166,0
55,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Huitres a la daube,Rennes,Angleterre,Barils,0,0,,,536,0
56,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Jambon,Rennes,Angleterre,Livres,0,0,,,240,0
57,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Liege,Rennes,Angleterre,Livres,0,0,,,2280,0
58,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Liége,Rennes,Angleterre,Livres,0,0,,,1500,0
59,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Liège,Rennes,Angleterre,Livres,0,0,,,1600,0
60,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Limons,Rennes,Angleterre,Nombres,0,0,,,1100,0
61,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Merain,Rennes,Angleterre,Milliers,0,0,,,3,0
62,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Merain quartage ; douelles,Rennes,Angleterre,Milliers,50,0,,,15,750
63,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Merceries,Rennes,Angleterre,Livres,0,0,,,30,0
64,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Miel,Rennes,Angleterre,Livres,0,0,,,20360,0
65,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Moruë verte,Rennes,Angleterre,Milliers,0,0,,,1,0
66,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Moulage,Rennes,Angleterre,Quartiers,0,0,,,300,0
67,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Moulage avec son plâtre,Rennes,Angleterre,Quartiers,0,0,,,100,0
68,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Noix,Rennes,Angleterre,Boisseaux,0,0,,,4,0
69,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Papier,Rennes,Angleterre,Rames,0,0,,,2,0
70,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Papier blanc,Rennes,Angleterre,Rames,0,0,,,586,0
71,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Peaux de veau en poil,Rennes,Angleterre,Nombres,0,0,,,2400,0
72,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Peaux de veaux en poil,Rennes,Angleterre,Nombres,0,0,,,2300,0
73,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Piere de meules,Rennes,Angleterre,Nombres,0,0,,,12,0
74,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Piere de moulage,Rennes,Angleterre,Nombres,0,0,,,271,0
75,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Piere de moulage,Rennes,Angleterre,Pièces,0,0,,,240,0
76,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Pierre de moulage,Rennes,Angleterre,Nombres,0,0,,,250,0
77,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Planche de sapin de 9 pieds de longueur,Rennes,Angleterre,Nombres,0,0,,,10,0
78,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Plumes a lit,Rennes,Angleterre,Livres,0,0,,,3155,0
79,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Poires,Rennes,Angleterre,Paniers,0,0,,,26,0
80,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Pois vert,Rennes,Angleterre,Bariques,0,0,,,12,0
81,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Pommes,Rennes,Angleterre,Bariques,0,0,,,24,0
82,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Pommes,Rennes,Angleterre,Charges,0,0,,,5,0
83,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Pommes,Rennes,Angleterre,Paniers,0,0,,,26,0
84,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Poterie de terre,Rennes,Angleterre,Douzaines,0,0,,,6,0
85,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Poterie de terre,Rennes,Angleterre,Livres,0,0,,,150,0
86,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Pots de terre,Rennes,Angleterre,Paniers,0,0,,,2,0
87,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Prunes de brignols,Rennes,Angleterre,Boëtes,0,0,Pas le même prix original/copie,,30,0
88,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Raisin,Rennes,Angleterre,Livres,0,0,,,4449,0
89,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Raisin passe,Rennes,Angleterre,Livres,0,0,Mesure d'origine livre,,300,0
90,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Raisine,Rennes,Angleterre,Livres,"0,25",0,,,1770,442.5
91,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Raisine,Rennes,Angleterre,Tonneaux,0,0,,,1,0
92,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Ris,Rennes,Angleterre,Livres,0,0,,,20,0
93,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Rubarbe,Rennes,Angleterre,Livres,0,0,,,12,0
94,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Sabots,Rennes,Angleterre,Douzaines de paires,0,0,,,10,0
95,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Savon,Rennes,Angleterre,Livres,0,0,,,33831,0
96,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Sel,Rennes,Angleterre,Tonneaux,0,0,,,10,0
97,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Souffre,Rennes,Angleterre,Livres,0,0,,,300,0
98,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Souffre,Rennes,Angleterre,Livres,"0,2",0,,,9883,1976.6
99,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Tabac,Rennes,Angleterre,Livres,0,0,,,4920,0
100,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Tafetas de Léon,Rennes,Angleterre,Aunes,0,0,,,240,0
101,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Tafetas noir,Rennes,Angleterre,Aunes,0,0,,,90,0
102,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Thé,Rennes,Angleterre,Livres,0,0,,,6,0
103,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile a serpiliere,Rennes,Angleterre,Aunes,0,0,,,40,0
104,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile a serpilieres,Rennes,Angleterre,Aunes,0,0,,,60,0
105,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile a serpillere,Rennes,Angleterre,Aunes,0,0,,,200,0
106,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile a voile,Rennes,Angleterre,Aunes,0,0,,,6600,0
107,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile crée,Rennes,Angleterre,Aunes,0,0,,,200,0
108,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile d'olonne,Rennes,Angleterre,Aunes,0,0,,,3800,0
109,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de bretagne,Rennes,Angleterre,Aunes,0,0,,,100,0
110,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de bretagne étroite,Rennes,Angleterre,Pièces,0,0,,,100,0
111,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de Cambray,Rennes,Angleterre,Aunes,0,0,,,700,0
112,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de canevas,Rennes,Angleterre,Aunes,0,0,,,410,0
113,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de cholet,Rennes,Angleterre,Pièces,0,0,,,200,0
114,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de Couti,Rennes,Angleterre,Aunes,0,0,,,230,0
115,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de halle,Rennes,Angleterre,Aunes,0,0,,,28616,0
116,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de laval,Rennes,Angleterre,Pièces,0,0,,,18,0
117,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de Leon,Rennes,Angleterre,Aunes,0,0,,,13050,0
118,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de marigni,Rennes,Angleterre,Aunes,0,0,,,1800,0
119,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de Morlaix,Rennes,Angleterre,Aunes,0,0,,,1089,0
120,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de morlaix,Rennes,Angleterre,Aunes,0,0,Pas le même prix original/copie,,200,0
121,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de pontivi,Rennes,Angleterre,Aunes,0,0,,,215,0
122,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de pontivi,Rennes,Angleterre,Aunes,1,0,,,93,93
123,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de quintin,Rennes,Angleterre,Aunes,0,0,,,2500,0
124,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de reforme,Rennes,Angleterre,Aunes,0,0,,,120,0
125,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de Rouën,Rennes,Angleterre,Aunes,0,0,,,45,0
126,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de serpillere,Rennes,Angleterre,Aunes,0,0,,,50,0
127,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile royale,Rennes,Angleterre,Aunes,0,0,,,144,0
128,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toiles a voile,Rennes,Angleterre,Aunes,0,0,,,600,0
129,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toiles de halle,Rennes,Angleterre,Aunes,0,0,,,7566,0
130,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toiles de leon,Rennes,Angleterre,Aunes,0,0,,,11000,0
131,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toiles de pontivi,Rennes,Angleterre,Aunes,0,0,,,100,0
132,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Vin,Rennes,Angleterre,Tonneaux,0,0,,,14,0
133,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Vin d'Espagne,Rennes,Angleterre,Bariques,0,0,,,7.5,0
134,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Vin d'Espagne,Rennes,Angleterre,Pots,0,0,,,92,0
135,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Vin d'Espagne,Rennes,Angleterre,Tonneaux,0,0,,,1,0
136,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Vin de Bordeaux,Rennes,Angleterre,Tonneaux,0,0,,,69,0
137,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Vin de grave,Rennes,Angleterre,Tonneaux,0,0,,,10,0
138,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Vinaigre,Rennes,Angleterre,Bariques,0,0,,,3.5,0
139,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Vinaigre,Rennes,Angleterre,Quarts,10,0,,,4,40
140,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Vinaigre,Rennes,Angleterre,Tonneaux,0,0,,,1,0
141,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Voile de vaisseaux,Rennes,Angleterre,Nombres,0,0,,,4,0
142,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Voile de vaisseaux ; grandes,Rennes,Angleterre,Nombres,0,0,,,4,0
143,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Acier,Rennes,Barbarie dans l'Ocean,Livres,0,0,,,4000,0
144,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Fer en barres,Rennes,Barbarie dans l'Ocean,Livres,0,0,,,12800,0
145,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Papier,Rennes,Barbarie dans l'Ocean,Rames,0,0,,,600,0
146,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Toile de Rouën,Rennes,Barbarie dans l'Ocean,Aunes,0,0,,,500,0
147,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Bas de soie de la chine,Rennes,Espagne,Paires,0,0,,,89,0
148,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Bas pour femme,Rennes,Espagne,Paires,0,0,,,12,0
149,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Bas pour homme,Rennes,Espagne,Paires,0,0,,,59,0
150,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Bonnets,Rennes,Espagne,Douzaines,0,0,,,1,0
151,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Canelle,Rennes,Espagne,Livres,0,0,,,75,0
152,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cartes a jouer,Rennes,Espagne,Grosses,10,0,,,140,1400
153,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Ceinture de soie,Rennes,Espagne,Nombres,0,0,,,10,0
154,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Ceinturons,Rennes,Espagne,Nombres,0,0,,,5,0
155,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chapeaux de castor,Rennes,Espagne,Nombres,0,0,,,36,0
156,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chemises,Rennes,Espagne,Nombres,0,0,,,550,0
157,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Confiture,Rennes,Espagne,Livres,0,0,,,378,0
158,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Damas,Rennes,Espagne,Pièces,0,0,,,21.5,0
159,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Damas de la Chine,Rennes,Espagne,Pièces,0,0,,,200,0
160,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Dentelle,Rennes,Espagne,Caisses,0,-800,,,1,800
161,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Etamine,Rennes,Espagne,Aunes,0,0,,,400,0
162,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Etamines de Reims,Rennes,Espagne,Aunes,0,0,,,1200,0
163,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Eventail,Rennes,Espagne,Nombres,0,0,,,87,0
