numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
71,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Dattes,Marseille,Espagne,"1 340,00",livres,"0,20000","268,00","0,00",
72,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Douelles a tonneaux,Marseille,Espagne,"3 930,00",tonneaux,"5,00000","19650,00","0,00",
73,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Eau de la Reyne d'hongrie,Marseille,Espagne,"2 430,00",livres,"0,75000","1822,00","-0,50",
74,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Eau de vie,Marseille,Espagne,"2 500,00",livres,"0,15000","375,00","0,00",
75,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Ecorces de grenade,Marseille,Espagne,"200,00",livres,"0,05000","10,00","0,00",
76,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Escayolle,Marseille,Espagne,"30 950,00",livres,"0,15000","4642,00","-0,50",
77,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Espars,Marseille,Espagne,"404,00",milliers,"40,00000","16160,00","0,00",
78,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Estrasses de soye,Marseille,Espagne,"300,00",livres,"25,00000","7500,00","0,00",
79,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Etoffes de soye,Marseille,Espagne,"3 760,00",livres,"40,00000","150400,00","0,00",
80,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Fer en barres,Marseille,Espagne,"7 800,00",livres,"0,14500","1131,00","0,00",
81,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Fer en cercles,Marseille,Espagne,"5 000,00",livres,"0,25000","1250,00","0,00",
82,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Figues,Marseille,Espagne,"89 332,00",livres,"0,10000","8933,00","-0,20",
83,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Fil de chevre,Marseille,Espagne,"200,00",livres,"4,00000","800,00","0,00",
84,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Filets d'espars,Marseille,Espagne,"6 121,00",grosses,"40,00000","244840,00","0,00",
85,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Filets d'espars,Marseille,Espagne,"266,00",milliers,"50,00000","13300,00","0,00",
86,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Filoselle,Marseille,Espagne,"336,00",livres,"4,00000","1344,00","0,00",
87,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Fondettes de corail,Marseille,Espagne,"1 525,00",livres,"0,75000","1143,00","-0,75",
88,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Freisset de vermillon,Marseille,Espagne,"200,00",livres,"1,50000","300,00","0,00",
89,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Fromage,Marseille,Espagne,"104 879,00",livres,"0,25000","26219,00","-0,75",
90,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Gaudron,Marseille,Espagne,"120 600,00",livres,"0,15000","18090,00","0,00",
91,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Gaudes,Marseille,Espagne,"4 850,00",livres,"0,12000","582,00","0,00",
92,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Gomme arabique,Marseille,Espagne,"1 500,00",livres,"0,35000","525,00","0,00",
93,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1750,Imports,Grabeaux de corail,Marseille,Espagne,"905,00",livres,"0,30000","271,00","-0,50",
