numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
477,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Gerofles,Marseille,Italie,"3 400,00",livres,"8,00000","27200,00","0,00",
478,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Glû,Marseille,Italie,"200,00",livres,"0,50000","100,00","0,00",
479,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Gomme adragan,Marseille,Italie,"1 782,00",livres,"1,00000","1782,00","0,00",
480,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Gomme arabique,Marseille,Italie,"341,00",livres,"0,35000","119,00","-0,35",
481,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Gomme Ederée,Marseille,Italie,"300,00",livres,"2,00000","600,00","0,00",
482,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Gomme lacque,Marseille,Italie,"1 040,00",livres,"1,25000","1300,00","0,00",
483,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Gomme sandarac,Marseille,Italie,"6 900,00",livres,"0,75000","5175,00","0,00",
484,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Grabeau de cire,Marseille,Italie,"20 306,00",livres,"0,50000","10153,00","0,00",
485,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Grabeau de corail,Marseille,Italie,"930,00",livres,"0,50000","465,00","0,00",
486,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Grabeau de mirhe,Marseille,Italie,"585,00",livres,"0,50000","297,00","4,50",
487,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Grabeau de poivre,Marseille,Italie,"18 309,00",livres,"0,40000","7323,00","-0,60",
488,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Grabeau de sené,Marseille,Italie,"73 600,00",livres,"0,65000","47840,00","0,00",
489,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Graine de chanvre,Marseille,Italie,"8 160,00",livres,"0,15000","1224,00","0,00",
490,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Graine de choux,Marseille,Italie,"50,00",livres,"0,50000","25,00","0,00",
491,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Graine de jardin,Marseille,Italie,"500,00",livres,"1,10000","550,00","0,00",
492,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Graine de laitue,Marseille,Italie,"75,00",livres,"0,50000","37,00","-0,50",
493,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Graine longue,Marseille,Italie,"30,00",livres,"0,10000","3,00","0,00",
494,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Graine de moutarde,Marseille,Italie,"200,00",livres,"0,20000","40,00","0,00",
495,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Graine pour teinture,Marseille,Italie,"3 600,00",livres,"0,50000","1800,00","0,00",
496,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Graisse de porc,Marseille,Italie,"260,00",livres,"0,35000","91,00","0,00",
497,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Guestre de toile,Marseille,Italie,"15,00",paires,"2,00000","30,00","0,00",
498,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,9,1750,Imports,Herbages,Marseille,Italie,"33,50",charges,"12,00000","402,00","0,00",
499,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Herbes capilaires,Marseille,Italie,"800,00",livres,"0,15000","120,00","0,00",
500,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Herbes d'orseille,Marseille,Italie,"2 400,00",livres,"0,50000","1200,00","0,00",
501,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Hermodates,Marseille,Italie,"3 930,00",livres,"0,95000","3733,00","-0,50",
502,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Huile d'amande,Marseille,Italie,"8 200,00",livres,"1,00000","8200,00","0,00",
503,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Huile de lin,Marseille,Italie,"41 763,00",livres,"0,30000","12528,00","-0,90",
504,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Huile d'olive,Marseille,Italie,"65 490,00",milleroles,"40,00000","2619600,00","0,00",
505,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Huile d'olive,Marseille,Italie,"3 416,00",livres,"0,40000","1366,00","-0,40",
506,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Huile petrole,Marseille,Italie,"480,00",livres,"2,00000","960,00","0,00",
507,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Huile de vitriol,Marseille,Italie,"350,00",livres,"1,80000","630,00","0,00",
508,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Jambons,Marseille,Italie,"1 849,00",livres,"0,50000","924,00","-0,50",
509,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Jonc a voille,Marseille,Italie,"3 200,00",livres,"0,10000","320,00","0,00",
510,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Ipecacuana,Marseille,Italie,"750,00",livres,"4,00000","3000,00","0,00",
511,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Iris,Marseille,Italie,"19 970,00",livres,"0,75000","14977,00","-0,50",
512,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Jus de citron,Marseille,Italie,"114 030,00",livres,"0,06000","6841,00","-0,80",
513,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Jus de reglisse,Marseille,Italie,"156 095,00",livres,"0,35000","54633,00","-0,25",
514,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Lacque platte,Marseille,Italie,"5 750,00",livres,"1,50000","8625,00","0,00",
515,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Laine de chevron,Marseille,Italie,"4 793,00",livres,"1,50000","7189,00","-0,50",
516,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Laine lavée,Marseille,Italie,"122 014,00",livres,"1,10000","134215,00","-0,40",
517,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Laine surge,Marseille,Italie,"1 420 944,00",livres,"0,40000","568377,00","-0,60",
518,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Laine de vigogne,Marseille,Italie,"275,00",livres,"15,00000","4125,00","0,00",
519,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Lard,Marseille,Italie,"310,00",livres,"0,30000","93,00","0,00",
520,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Legumes,Marseille,Italie,"326 680,00",livres,"0,15000","49002,00","0,00",
521,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Leton,Marseille,Italie,"1 210,00",livres,"1,50000","1815,00","0,00",
522,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Librairie,Marseille,Italie,"17 225,00",livres,"2,00000","34450,00","0,00",
523,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Librairie et stampes,Marseille,Italie,"10 760,00",livres,"3,00000","32280,00","0,00",
524,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Liege,Marseille,Italie,"18 100,00",livres,"0,15000","2715,00","0,00",
525,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Limes,Marseille,Italie,"200,00",livres,"0,50000","100,00","0,00",
526,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Lin cru,Marseille,Italie,"25 500,00",livres,"0,60000","15300,00","0,00",
527,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Lin peigné,Marseille,Italie,"237,00",livres,"1,00000","237,00","0,00",
528,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Liqueurs,Marseille,Italie,"33 503,00",livres,"0,75000","25127,00","-0,25",
529,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Lunettes d'aproche,Marseille,Italie,"300,00",livres,"8,00000","2400,00","0,00",
530,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Lustres de Venise,Marseille,Italie,"44 600,00",livres,"1,50000","66900,00","0,00",
531,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Manches de mail,Marseille,Italie,"14 100,00",livres,"0,25000","3525,00","0,00",
532,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Mane de Calabre,Marseille,Italie,"383 218,00",livres,"1,25000","479022,00","-0,50",
533,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Maquet,Marseille,Italie,"10,00",barils,"0,85000","8,00","-0,50",
534,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Maquet,Marseille,Italie,"180,00",livres,"0,15000","27,00","0,00",
535,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Marbre ouvré,Marseille,Italie,"221 200,00",livres,"0,50000","110600,00","0,00",
536,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Marbre en pierres,Marseille,Italie,"189,00",pierres,"20,00000","3780,00","0,00",
537,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Marmittes de cuivre,Marseille,Italie,"2,00",en nombre,"10,00000","20,00","0,00",
538,Loïc,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Marmittes de fer,Marseille,Italie,"600,00",en nombre,"4,00000","2400,00","0,00",
539,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Masques de Venise,Marseille,Italie,"100,00",livres,"4,00000","400,00","0,00",
540,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Merceries,Marseille,Italie,"43 158,00",livres,"3,50000","151053,00","0,00",
541,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Meules de moulin,Marseille,Italie,"72,00",en nombre,"60,00000","4320,00","0,00",
542,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Miel,Marseille,Italie,"160,00",livres,"0,15000","24,00","0,00",
543,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Mortiers de marbre,Marseille,Italie,"6 754,00",pièces,"1,50000","10131,00","0,00",
544,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Mouchoirs d'indienne,Marseille,Italie,"95,00",pièces,"24,00000","2280,00","0,00",
545,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Mouchoirs de soye,Marseille,Italie,"550,00",douzaines,"28,00000","15400,00","0,00",
546,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Nattes,Marseille,Italie,"3,00",douzaines,"18,00000","54,00","0,00",
547,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Noisettes,Marseille,Italie,"51 425,00",livres,"0,10000","5142,00","-0,50",
548,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Noix,Marseille,Italie,"50,00",livres,"0,20000","10,00","0,00",
549,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Œufs,Marseille,Italie,,,"250,00000",,"0,00",
550,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Oignons,Marseille,Italie,"15,00",charges,"5,00000","75,00","0,00",
551,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Oignons de fleurs,Marseille,Italie,"3 440,00",livres,"0,45000","1548,00","0,00",
552,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Onglons de bœuf,Marseille,Italie,"4 500,00",livres,"0,10000","450,00","0,00",
553,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Opium,Marseille,Italie,"3 930,00",livres,"6,00000","23580,00","0,00",
554,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Oranges,Marseille,Italie,"106,00",milliers,"10,00000","1060,00","0,00",
555,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Orge,Marseille,Italie,"735,00",charges,"12,00000","8820,00","0,00",
556,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Orpiment,Marseille,Italie,"3 720,00",livres,"0,30000","1116,00","0,00",
557,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Palmes en feuilles,Marseille,Italie,"300,00",livres,"1,00000","300,00","0,00",
558,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Papier a ecrire,Marseille,Italie,"7 122,00",rames,"6,00000","42732,00","0,00",
559,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Papier de pliage,Marseille,Italie,"2 800,00",livres,"0,30000","840,00","0,00",
560,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Papier d'estrasse gris,Marseille,Italie,"80,00",livres,"0,20000","16,00","0,00",
561,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Parepluye,Marseille,Italie,"247,00",douzaines,"36,00000","8892,00","0,00",
562,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Pate d'amande,Marseille,Italie,"19 524,00",livres,"0,40000","7809,00","-0,60",
563,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Peaux de bouc,Marseille,Italie,"6 367,00",en nombre,"1,00000","6367,00","0,00",
564,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,10,1750,Imports,Peaux de cerfs,Marseille,Italie,"14,00",pièces,"1,65000","23,00","-0,10",
565,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de chagrin,Marseille,Italie,"100,00",livres,"2,70000","270,00","0,00",
566,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de chamois,Marseille,Italie,"10,00",livres,"2,50000","25,00","0,00",
567,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de chevre en poil,Marseille,Italie,"6 590,00",pièces,"1,25000","8237,00","-0,50",
568,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de chevre en poil,Marseille,Italie,"17 153,00",livres,"0,40000","6861,00","-0,20",
569,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de chevron,Marseille,Italie,"6 246,00",en nombre,"1,50000","9369,00","0,00",
570,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de chien de mer,Marseille,Italie,"225,00",livres,"2,00000","450,00","0,00",
571,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de lapin,Marseille,Italie,"31 799,00",livres,"2,50000","79497,00","-0,50",
572,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de lievres,Marseille,Italie,"900,00",livres,"0,55000","495,00","0,00",
573,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de maroquin,Marseille,Italie,"4 546,00",livres,"1,50000","6819,00","0,00",
574,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de mouton apretées,Marseille,Italie,"3,00",douzaines,"7,50000","22,00","-0,50",
575,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de mouton en laine,Marseille,Italie,"73,00",en nombre,"3,00000","219,00","0,00",
576,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de mouton en laine,Marseille,Italie,"7 150,00",livres,"0,75000","5362,00","-0,50",
577,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de renard,Marseille,Italie,"590,00",livres,"1,00000","590,00","0,00",
578,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de veau en poil,Marseille,Italie,"15,00",douzaines,"60,00000","900,00","0,00",
579,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peaux de veau en poil,Marseille,Italie,"7 539,00",livres,"0,50000","3769,00","-0,50",
580,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Peignes d'yvoire,Marseille,Italie,"50,00",livres,"10,00000","500,00","0,00",
581,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Pelleterie,Marseille,Italie,"1 200,00",livres,"2,00000","2400,00","0,00",
582,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Percerettes,Marseille,Italie,"36,00",douzaines,"1,50000","54,00","0,00",
583,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Pierres a batir,Marseille,Italie,"1 400,00",en nombre,"0,50000","700,00","0,00",
584,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Pierres codes,Marseille,Italie,"18 250,00",livres,"0,05000","912,00","-0,50",
585,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,11,1750,Imports,Pierres a faux,Marseille,Italie,"35 937,00",livres,"0,20000","7187,00","-0,40",
