numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
15,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,eau de vie,Danemark,927,barriques,120,111240,0,
16,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,Indigo,Danemark,134923,livre,"6,5",877006,"6,5",
17,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,pruneaux,Danemark,99085,livre,"0,06","5945,1",0,
18,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,rocou,Danemark,723,livre,"0,5","361,5",0,
19,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,Sucre Blanc,Danemark,1811056,livre,"0,5",905528,0,
20,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,sucre brut,Danemark,418765,livre,"0,3","125629,5",0,
21,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,vin de haut,Danemark,198,Tonneau,200,39600,0,
22,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,vin de ville,Danemark,744,Tonneau,250,186000,0,
23,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,vinaigre,Danemark,17,Tonneau,100,1700,0,
24,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,cacao,Espagne,182281,livre,"0,65","118482,65",0,
25,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,Caffé,Espagne,49185,livre,"0,5","24592,5",0,
26,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,eau de vie,Espagne,50,barriques,120,6000,0,
27,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,farine,Espagne,157300,livre,"0,15",23595,0,
28,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,Indigo,Espagne,4287,livre,6,25722,0,
29,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,Sucre Blanc,Espagne,543882,livre,"0,5",271941,0,
30,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,Sucre brut,Espagne,6990,livre,"0,25","1747,5",0,
31,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,sucre en pain,Espagne,16020,livre,"0,8",12816,0,
32,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,vin de haut,Espagne,120,Tonneau,200,24000,0,
33,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,vin de ville,Espagne,708,Tonneau,200,141600,0,
34,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,vinaigre,Espagne,"1,5",Tonneau,100,150,0,
35,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,Caffé,Flandre Autrichienne,5264589,livre,"0,5","2632294,5",0,
36,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,eau de vie,Flandre Autrichienne,987,barriques,120,118440,0,
37,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,Indigo,Flandre Autrichienne,61926,livre,6,371556,0,
38,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,pruneaux,Flandre Autrichienne,92720,livre,"0,1",9272,0,
39,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,rocou,Flandre Autrichienne,9154,livre,"0,5",4577,0,
40,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,Sucre Blanc,Flandre Autrichienne,3459005,livre,"0,5","1729502,5",0,
41,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,Sucre brut,Flandre Autrichienne,135262,livre,"0,25","33815,5",0,
42,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,vin de haut,Flandre Autrichienne,212,Tonneau,200,42400,0,
43,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,vin de ville,Flandre Autrichienne,476,Tonneau,200,95200,0,
44,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,vinaigre,Flandre Autrichienne,28,Tonneau,100,2800,0,
45,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,Caffé,Genève,286147,livre,"0,5","143073,5",0,
46,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,Indigo,Genève,20120,livre,6,120720,0,
47,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,Sucre Blanc,Genève,51989,livre,"0,5","25994,5",0,
48,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,sucre en pain,Genève,32190,livre,"0,8",25752,0,
49,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,cacao,Hollande,1621,livre,"0,65","1053,65",0,
50,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,Caffé,Hollande,2681336,livre,"0,5",1340668,0,
51,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,cuisses d'oye,Hollande,13,barril,12,156,0,
52,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,eau de vie,Hollande,1820,barriques,120,218400,0,
53,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,indigo,Hollande,236260,livre,6,1417560,0,
54,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,3,pruneaux,Hollande,845480,livre,"0,1",84548,0,
55,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,Rocou,Hollande,7009,livre,"0,5","3504,5",0,
56,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,sucre blanc,Hollande,5206704,livre,"0,5",2603352,0,oubli du %
57,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,Sucre brut,Hollande,7281440,livre,"0,25",1820360,0,oubli du %
58,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,vin de haut,Hollande,9006,Tonneau,200,1801200,0,
59,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,vin de ville,Hollande,12674,Tonneau,200,2534800,0,
60,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,vinaigre,Hollande,154,Tonneau,100,15400,0,
61,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,Caffé,Italie,627074,livre,"0,5",313537,0,
62,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,indigo,Italie,321287,livre,6,1927722,0,
63,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,Rocou,Italie,1178,livre,"0,5",589,0,
64,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,sucre blanc,Italie,307693,livre,"0,5","153846,5",0,oubli du %
65,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,sucre en pain,Italie,51157,livre,"0,8","40925,6",0,oubli du %
66,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,cacao,Nord,42986,livre,"0,65","27940,9",0,
67,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,Caffé,Nord,26611105,livre,"0,5","1330552,5",-11975000,erreur de calcul
68,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,eau de vie,Nord,1637,barrique,120,196440,0,
69,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,indigo,Nord,412156,livre,6,2472936,0,
70,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,pruneaux,Nord,1510777,livre,"0,1","151077,7",0,
71,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,Rocou,Nord,2899,livre,"0,3","869,7",0,
72,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,Sucre Blanc,Nord,3532232,livre,"0,5",1766116,0,
73,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,Sucre brut,Nord,11146370,livre,"0,25","2786592,5",0,
74,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,vin de haut,Nord,4094,Tonneau,200,818800,0,
75,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,vin de ville,Nord,12351,Tonneau,200,2470200,0,
76,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,4,vinaigre,Nord,89,Tonneau,100,8900,0,
77,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Caffé,Russie,13309012,livre,"0,5",6654506,0,
78,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,eau de vie,Russie,1274,barrique,120,152880,0,
79,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Indigo,Russie,238142,livre,6,1428852,0,
80,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,pruneaux,Russie,20420,livre,"0,1",2042,0,
81,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Sucre Blanc,Russie,853029,livre,"0,5",426514,"-0,5",oubli du %
82,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,vin de haut,Russie,1524,Tonneau,200,304800,0,
83,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,vin de ville,Russie,5244,Tonneau,200,1048800,0,
84,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,vinaigre,Russie,142,Tonneau,100,14200,0,
85,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Caffé,Suède,4173967,livre,"0,5","2086983,5",0,
86,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,eau de vie,Suède,891,barrique,120,106920,0,
87,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,indigo,Suède,1079537,livre,6,6477222,0,
88,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,pruneaux,Suède,1388350,livre,"0,1",138835,0,
89,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Rocou,Suède,14936,livre,"0,5",7468,0,
90,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Sucre Blanc,Suède,2238161,livre,"0,5","1119080,5",0,oubli du %
91,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Sucre brut,Suède,619460,livre,"0,25",154865,0,oubli du %
92,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,vin de haut,Suède,413,Tonneau,200,82600,0,
93,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,vin de ville,Suède,1190,Tonneau,200,238000,0,
94,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,vinaigre,Suède,18,Tonneau,100,1800,0,
95,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Caffé,Suisse,1984104,livre,"0,5",992052,0,
96,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Indigo,Suisse,83159,livre,6,498954,0,
97,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Sucre Blanc,Suisse,1331549,livre,"0,5","665744,5",-30,oubli du %
98,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,5,Sucre en pain,Suisse,569774,livre,"0,8","455819,2",0,oubli du %
99,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,acier,Iles françaises de l'Amerique,7284,livre,"0,6","4370,4",0,
100,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,amidon,Iles françaises de l'Amerique,44050,livre,"0,2",8810,0,
101,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,anchois,Iles françaises de l'Amerique,5020,flacon,1,5020,0,
102,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,argenterie,Iles françaises de l'Amerique,,,,28550,,
103,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,artichaux confits,Iles françaises de l'Amerique,23775,livre,"0,4",9510,0,
104,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,bas de fil,Iles françaises de l'Amerique,14120,paire,2,28240,0,
105,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,bas de soye,Iles françaises de l'Amerique,462,douzaine,100,46200,0,
106,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,bazin,Iles françaises de l'Amerique,10152,aune,3,30456,0,
107,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,bœuf sallé,Iles françaises de l'Amerique,100421,livre,"0,2","20084,2",0,
108,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,beurre,Iles françaises de l'Amerique,115040,livre,"0,5",57520,0,
109,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,bierre,Iles françaises de l'Amerique,388,barriques,25,9700,0,
110,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,bijouterie,Iles françaises de l'Amerique,,,,12000,0,
111,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,bonnets de coton,Iles françaises de l'Amerique,66,douzaine,12,792,0,
112,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,bougie,Iles françaises de l'Amerique,13050,livre,"2,25",29362,"-0,5",
113,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,bray,Iles françaises de l'Amerique,25150,livre,"0,1",2515,0,
114,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,cercles de bois,Iles françaises de l'Amerique,9680,paquets,2,19360,0,
115,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,chandelles,Iles françaises de l'Amerique,179570,livre,"0,6",107742,0,
116,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,chemises communes,Iles françaises de l'Amerique,1581,douzaine,96,151776,0,
117,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,coffres de chirurgie,Iles françaises de l'Amerique,271,en nombre,400,108400,0,
118,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,cordages,Iles françaises de l'Amerique,87100,livre,"0,2",17420,0,
119,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,cuivre ouvré,Iles françaises de l'Amerique,17798,livre,"1,8","32036,4",0,
120,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,dames jeannes,Iles françaises de l'Amerique,1890,en nombre,6,11340,0,
121,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,dentelle fine,Iles françaises de l'Amerique,,,,6210,0,
122,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,eau de vie,Iles françaises de l'Amerique,282,barrique,120,33840,0,
123,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,eau de vie,Iles françaises de l'Amerique,125231,pots,"0,75","93923,25",0,
124,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,etain ouvré,Iles françaises de l'Amerique,4321,livre,"1,5","6481,5",0,
125,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,etoffes de soye,Iles françaises de l'Amerique,4250,livre,40,170000,0,
126,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,Etoupes  ,Iles françaises de l'Amerique,141840,livre,"0,1",14184,0,
127,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,farine,Iles françaises de l'Amerique,3556666,livre,"0,15","533499,9",0,
128,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,fer en barres,Iles françaises de l'Amerique,73750,livre,"0,18",13275,0,
129,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,fer ouvré,Iles françaises de l'Amerique,36075,livre,"0,3",10822,"-0,5",
130,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,6,gans de soye,Iles françaises de l'Amerique,30,douzaine,60,1800,0,
131,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,7,graisse de porc,Iles françaises de l'Amerique,45050,livre,"0,6",27030,0,
132,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,7,huille d'olive commune,Iles françaises de l'Amerique,25191,livre,"0,6","25114,6",10000,
133,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,7,huille d'olive fine,Iles françaises de l'Amerique,39150,livre,"0,8",31320,0,
134,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,7,jambons,Iles françaises de l'Amerique,90000,livre,"0,5",45000,0,
135,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,7,jeux de voile,Iles françaises de l'Amerique,317,en nombre,1000,317000,0,
136,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,7,lard,Iles françaises de l'Amerique,55068,livre,"0,5",27514,-20,
137,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,7,liqueurs,Iles françaises de l'Amerique,620,pots,3,1860,0,
138,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,7,mercerie,Iles françaises de l'Amerique,74420,livre,1,74420,0,prix unitaire confus
139,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,7,mouchoirs de fil,Iles françaises de l'Amerique,1056,douzaine,20,21120,0,
