numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
6,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Italie,1190,,,,,,794977,,,,,,,,,,,
7,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Aiguilles,Flandre,1987,,,,,,1987,,,,,,,,,,,
7,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Genes,2425,,,,,,794977,,,,,,,,,,,
8,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Ajustements,Allemagne,20039,,,,,,20039,,,,,,,,,,,
8,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Venise,1802,,,,,,794977,,,,,,,,,,,
9,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Ajustements,Espagne,0,,,,,,20039,,,,,,,,,,,
9,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Nord,9505,,,,,,794977,,,,,,,,,,,
10,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Alambics,Indes,2258,,,,,,2258,,,,,,,,,,,
10,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Suede,125358,,,,,,794977,,,,,,,,,,,
11,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Alun,Hollande,1373,,,,,,49570,,,,,,,,,,,
11,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Suisse,9390,,,,,,794977,,,,,,,,,,,
12,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Alun,Italie,13480,,,,,,49570,,,,,,,,,,,
12,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Agneaux,Savoye,1151,,,,,,1151,,,,,,,,,,,
13,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Alun,Naples,2595,,,,,,49570,,,,,,,,,,,
13,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Aigre ; de vitriol,Flandre,6000,,,,,,6000,,,,,,,,,,,
14,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Alun,Genes,3521,,,,,,49570,,,,,,,,,,,
14,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Aiguilles,Allemagne,318976,,,,,,342156,,,,,,,,,,,
15,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Alun,Levant,18951,,,,,,49570,,,,,,,,,,,
15,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Aiguilles,Flandre,20510,,,,,,342156,,,,,,,,,,,
16,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Alun,Savoye,2987,,,,,,49570,,,,,,,,,,,
16,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Aiguilles,Hollande,2670,,,,,,342156,,,,,,,,,,,
17,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Alun,Suisse,6663,,,,,,49570,,,,,,,,,,,
17,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Ails,Espagne,7537,,,,,,9867,,,,,,,,,,,
18,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Ambre,Levant,95850,,,,,,95850,,,,,,,,,,,
18,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Ails,Geneve,2330,,,,,,9867,,,,,,,,,,,
19,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Amidon,Flandre,50943,,,,,,80474,,,,,,,,,,,
19,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Aloes,Flandre,1490,,,,,,48024,,,,,,,,,,,
20,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Amidon,Italie,5955,,,,,,80474,,,,,,,,,,,
20,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Aloes,Hollande,3534,,,,,,48024,,,,,,,,,,,
21,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Amidon,Genes,2525,,,,,,80474,,,,,,,,,,,
21,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Aloes,Indes,37500,,,,,,48024,,,,,,,,,,,
22,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Amidon,Portugal,1470,,,,,,80474,,,,,,,,,,,
22,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Aloes,Levant,5500,,,,,,48024,,,,,,,,,,,
23,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Amidon,Savoye,1029,,,,,,80474,,,,,,,,,,,
23,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Alun,Allemagne,12413,,,,,,452408,,,,,,,,,,,
24,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Amidon,Isles,18552,,,,,,80474,,,,,,,,,,,
24,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Alun,Angleterre,119765,,,,,,452408,,,,,,,,,,,
25,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Anchois,Hollande,2311,,,,,,7324,,,,,,,,,,,
25,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Alun,Espagne,35609,,,,,,452408,,,,,,,,,,,
26,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Anchois,Isles,5013,,,,,,7324,,,,,,,,,,,
26,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Alun,Flandre,19110,,,,,,452408,,,,,,,,,,,
27,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Anis,Italie,3646,,,,,,11064,,,,,,,,,,,
27,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Alun,Hollande,39708,,,,,,452408,,,,,,,,,,,
28,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Anis,Genes,1535,,,,,,11064,,,,,,,,,,,
28,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Alun,Italie,70500,,,,,,452408,,,,,,,,,,,
29,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Anis,Levant,2479,,,,,,11064,,,,,,,,,,,
29,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Alun,Naples,3600,,,,,,452408,,,,,,,,,,,
30,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Anis,Savoye,3404,,,,,,11064,,,,,,,,,,,
30,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Alun,Levant,128785,,,,,,452408,,,,,,,,,,,
31,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Ardoises,Flandre,8302,,,,,,41227,,,,,,,,,,,
31,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Alun,Nord,4746,,,,,,452408,,,,,,,,,,,
32,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Ardoises,Isles,32925,,,,,,41227,,,,,,,,,,,
32,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Alun,Suede,18172,,,,,,452408,,,,,,,,,,,
33,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Argent ; vif,Levant,20910,,,,,,20910,,,,,,,,,,,
33,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Amadou,Allemagne,14107,,,,,,14017,,,,,,,,,,,
34,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Argenterie,Allemagne,15033,,,,,,317673,,,,,,,,,,,
34,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Ambre,Hollande,14270,,,,,,14270,,,,,,,,,,,
35,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Argenterie,Angleterre,1368,,,,,,317673,,,,,,,,,,,
35,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Amidon,Hollande,249093,,,,,,292520,,,,,,,,,,,
36,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,4,Argenterie,Danemark,1368,,,,,,317673,,,,,,,,,,,
36,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Amidon,Nord,49427,,,,,,292520,,,,,,,,,,,
37,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Espagne,53580,,,,,,317673,,,,,,,,,,,
37,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Anchois,Espagne,22498,,,,,,22498,,,,,,,,,,,
38,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Flandre,10841,,,,,,317673,,,,,,,,,,,
38,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Anis,Espagne,19802,,,,,,90711,,,,,,,,,,,
39,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Hollande,15945,,,,,,317673,,,,,,,,,,,
39,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Anis,Venise,1600,,,,,,90711,,,,,,,,,,,
40,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Indes,1500,,,,,,317673,,,,,,,,,,,
40,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Anis,Levant,9308,,,,,,90711,,,,,,,,,,,
41,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Italie,21774,,,,,,317673,,,,,,,,,,,
41,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Arcenic,Allemagne,1223,,,,,,6332,,,,,,,,,,,
42,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Naples,45600,,,,,,317673,,,,,,,,,,,
42,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Arcenic,Hollande,3837,,,,,,6332,,,,,,,,,,,
43,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Nord,16188,,,,,,317673,,,,,,,,,,,
43,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Arcenic,Nord,1272,,,,,,6332,,,,,,,,,,,
44,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Portugal,12825,,,,,,317673,,,,,,,,,,,
44,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Ardoises,Allemagne,8854,,,,,,12599,,,,,,,,,,,
45,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Russie,13134,,,,,,317673,,,,,,,,,,,
45,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Ardoises,Flandre,3745,,,,,,12599,,,,,,,,,,,
46,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Savoye,1710,,,,,,317673,,,,,,,,,,,
46,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Argent ; en lingot,Nord,1500,,,,,,1500,,,,,,,,,,,
47,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Suede,34200,,,,,,317673,,,,,,,,,,,
47,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Argent ; vif,Allemagne,79010,,,,,,94890,,,,,,,,,,,
48,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Suisse,11296,,,,,,317673,,,,,,,,,,,
48,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Argent ; vif,Hollande,9880,,,,,,94890,,,,,,,,,,,
49,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Argenterie,Isles,61311,,,,,,317673,,,,,,,,,,,
49,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,4,Argent ; vif,Genes,6000,,,,,,94890,,,,,,,,,,,
50,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Armes ; blanche,Indes,3200,,,,,,504915,,,21821,,,,,,,,
50,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Argenterie,Allemagne,14625,,,,,,29825,,,,,,,,,,,
51,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Armes ; blanche,Portugal,1250,,,,,,504915,,,21821,,,,,,,,
51,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Argenterie,Angleterre,3500,,,,,,29825,,,,,,,,,,,
52,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Armes ; blanche,Guinée,17971,,,,,,504915,,,21821,,,,,,,,
52,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Argenterie,Suisse,10080,,,,,,29825,,,,,,,,,,,
53,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Armes ; à feu,Indes,25555,,,,,,504915,,,483094,,,,,,,,
53,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Argenterie,Isles,1620,,,,,,29825,,,,,,,,,,,
54,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Armes ; à feu,Isles,24556,,,,,,504915,,,483094,,,,,,,,
54,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Armes ; blanches,Allemagne,79793,,,,,,643343,,92259,,,,,,,,,
55,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Armes ; à feu,Guinée,432983,,,,,,504915,,,483094,,,,,,,,
55,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Armes ; blanches,Hollande,12466,,,,,,643343,,92259,,,,,,,,,
56,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Arquifou,Levant,20109,,,,,,23209,,,,,,,,,,,
56,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Armes ; à feu,Allemagne,416375,,,,,,643343,,551084,,,,,,,,,
57,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Arquifou,Savoye,3100,,,,,,23209,,,,,,,,,,,
57,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Armes ; à feu,Hollande,131085,,,,,,643343,,551084,,,,,,,,,
58,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Avoine,Allemagne,3107,,,,,,7143,,,,,,,,,,,
58,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Armes ; à feu,Nord,3624,,,,,,643343,,551084,,,,,,,,,
59,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Avoine,Angleterre,4036,,,,,,7143,,,,,,,,,,,
59,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Arquifou,Angleterre,38365,,,,,,75382,,,,,,,,,,,
60,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Azur,Angleterre,5625,,,,,,13125,,,,,,,,,,,
60,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Arquifou,Espagne,6660,,,,,,75382,,,,,,,,,,,
61,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,5,Azur,Indes,7500,,,,,,13125,,,,,,,,,,,
61,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Arquifou,Hollande,15702,,,,,,75382,,,,,,,,,,,
62,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Baleines ; coupée,Allemagne,1010,,,,,,3110,,,,,,,,,,,
62,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Arquifou,Savoye,14655,,,,,,75382,,,,,,,,,,,
63,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Baleines ; coupée,Italie,2100,,,,,,3110,,,,,,,,,,,
63,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Assafelida,Hollande,12006,,,,,,12006,,,,,,,,,,,
64,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Barils ; vuides,Guinée,4632,,,,,,4632,,,,,,,,,,,
64,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Attelles ; de coliers,Allemagne,3980,,,,,,3980,,,,,,,,,,,
65,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de coton,Allemagne,1100,,,,,,3083833,,,55451,,,,,,,,
65,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Avirons,Danemark,5948,,,,,,17510,,,,,,,,,,,
66,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de coton,Espagne,40150,,,,,,3083833,,,55451,,,,,,,,
66,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Avirons,Espagne,11562,,,,,,17510,,,,,,,,,,,
67,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de coton,Genes,4175,,,,,,3083833,,,55451,,,,,,,,
67,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Avoine,Allemagne,8948,,,,,,559771,,,,,,,,,,,
68,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de coton,Savoye,10026,,,,,,3083833,,,55451,,,,,,,,
68,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Avoine,Danemark,25880,,,,,,559771,,,,,,,,,,,
69,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de fil,Allemagne,1175,,,,,,3083833,,,141047,,,,,,,,
69,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Avoine,Hollande,183646,,,,,,559771,,,,,,,,,,,
70,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de fil,Espagne,25810,,,,,,3083833,,,141047,,,,,,,,
70,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Avoine,Nord,341297,,,,,,559771,,,,,,,,,,,
71,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de fil,Italie,7011,,,,,,3083833,,,141047,,,,,,,,
71,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Azur,Allemagne,3053,,,,,,270306,,,,,,,,,,,
72,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de fil,Genes,1200,,,,,,3083833,,,141047,,,,,,,,
72,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Azur,Danemark,42190,,,,,,270306,,,,,,,,,,,
73,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de fil,Levant,1207,,,,,,3083833,,,141047,,,,,,,,
73,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Azur,Flandre,11360,,,,,,270306,,,,,,,,,,,
74,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de fil,Suisse,4780,,,,,,3083833,,,141047,,,,,,,,
74,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Azur,Hollande,189679,,,,,,270306,,,,,,,,,,,
75,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de fil,Isles,99864,,,,,,3083833,,,141047,,,,,,,,
75,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Azur,Nord,22661,,,,,,270306,,,,,,,,,,,
76,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de filozelle,Allemagne,18724,,,,,,3083833,,,46877,,,,,,,,
76,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Azur,Suede,1363,,,,,,270306,,,,,,,,,,,
77,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de filozelle,Espagne,8184,,,,,,3083833,,,46877,,,,,,,,
77,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,5,Bagueres ; de fusils,Italie,1250,,,,,,1250,,,,,,,,,,,
78,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de filozelle,Hollande,3892,,,,,,3083833,,,46877,,,,,,,,
78,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Balais,Espagne,13823,,,,,,18548,,,,,,,,,,,
79,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de filozelle,Portugal,6533,,,,,,3083833,,,46877,,,,,,,,
79,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Balais,Flandre,1030,,,,,,18548,,,,,,,,,,,
80,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de filozelle,Savoye,6824,,,,,,3083833,,,46877,,,,,,,,
80,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Balais,Italie,3695,,,,,,18548,,,,,,,,,,,
81,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de filozelle,Suisse,2720,,,,,,3083833,,,46877,,,,,,,,
81,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Baleine ; coupée,Flandre,11570,,,,,,675940,,452187,,,,,,,,,
82,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de lain,Allemagne,59064,,,,,,3083833,,,258244,,,,,,,,
82,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Baleine ; coupée,Hollande,179146,,,,,,675940,,452187,,,,,,,,,
83,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de lain,Espagne,116876,,,,,,3083833,,,258244,,,,,,,,
83,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Baleine ; coupée,Nord,8031,,,,,,675940,,452187,,,,,,,,,
84,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de lain,Flandre,12138,,,,,,3083833,,,258244,,,,,,,,
84,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Baleine ; coupée,Portugal,253440,,,,,,675940,,452187,,,,,,,,,
85,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de lain,Geneve,1736,,,,,,3083833,,,258244,,,,,,,,
85,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Baleine ; en fanon,Flandre,221033,,,,,,675940,,223753,,,,,,,,,
86,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de lain,Genes,20154,,,,,,3083833,,,258244,,,,,,,,
86,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Baleine ; en fanon,Hollande,2720,,,,,,675940,,223753,,,,,,,,,
87,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de lain,Portugal,33810,,,,,,3083833,,,258244,,,,,,,,
87,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Bas ; de coton,Allemagne,1406,,,,,,300082,,19506,,,,,,,,,
88,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de lain,Savoye,6690,,,,,,3083833,,,258244,,,,,,,,
88,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Bas ; de coton,Naples,5000,,,,,,300082,,19506,,,,,,,,,
89,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de lain,Suisse,3576,,,,,,3083833,,,258244,,,,,,,,
89,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Bas ; de coton,Venise,1000,,,,,,300082,,19506,,,,,,,,,
90,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de lain,Isles,4200,,,,,,3083833,,,258244,,,,,,,,
90,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Bas ; de coton,Levant,12100,,,,,,300082,,19506,,,,,,,,,
91,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de soye,Allemagne,408910,,,,,,3083833,,,2582214,,,,,,,,
91,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Bas ; de fil,Italie,103000,,,,,,300082,,215776,,,,,,,,,
92,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de soye,Angleterre,20375,,,,,,3083833,,,2582214,,,,,,,,
92,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Bas ; de fil,Genes,44470,,,,,,300082,,215776,,,,,,,,,
93,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de soye,Danemark,1806,,,,,,3083833,,,2582214,,,,,,,,
93,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Bas ; de fil,Savoye,58745,,,,,,300082,,215776,,,,,,,,,
94,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,6,Bas ; de soye,Espagne,1480866,,,,,,3083833,,,2582214,,,,,,,,
94,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,6,Bas ; de fil,Suisse,9561,,,,,,300082,,215776,,,,,,,,,
