numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
18,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Porcelaine,Etat de l'empereur,200,Livres,,400,,,Pas de prix unitaire
19,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Sel,Danemarck,105600,Livres,,146778,,,Pas de prix unitaire
20,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Sel,Suède,1056000,Livres,,8000,,,Pas de prix unitaire
21,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Sel,Etats Unis d'Amérique,3020160,Livres,,22664,,,Pas de prix unitaire
22,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Tabac en feuilles,Danemarck,438025,Livres,,146778,,,Pas de prix unitaire
23,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Tapis de chitte,Etat de l'empereur,390,Pièces,,14040,,,Pas de prix unitaire
24,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Vin de Madere,Etat de l'empereur,480,Pintes,,300,,,1 muid et 192 pintes ; pas de prix unitaire
25,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Vin de Madere,Danemarck,192,Pintes,,192,,,Pas de prix unitaire
26,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Vin de Madere,Etats Unis d'Amérique,480,Pintes,,720,,,1 muid et 192 pintes ; pas de prix unitaire
27,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Beurre,Petites isles,9500,Livres,"0,4",3800,0,,
28,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Bois à bruler,Petites isles,12,Cordes,18,216,0,,
29,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Cuirs de Génisses,Espagne,2255,Nombre,"1,5",19895,"-16512,5",,Erreur de calcul
30,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Aunis,Eau de vie simple,Angleterre,2099,Veltes,4,8396,0,,
31,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bordeaux,Eau de vie simple,Angleterre,544,Veltes,4,2176,0,,
32,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Provence,Eau de vie simple,Angleterre,44810,Veltes,4,179240,0,,
33,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Aunis,Eau de vie double,Angleterre,176,Veltes,8,1408,0,,
34,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bordeaux,Eau de vie double,Angleterre,304,Veltes,8,2432,0,,
35,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Etranger,Eau de vie simple,Angleterre,4244,Veltes,4,16976,0,,
36,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Etranger,Eau de vie de Genièvre,Angleterre,"18890,5",Veltes,"4,5",75562,"9445,25",,524 muids et 212 pintes à 4£ et 10 sous la velte
37,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,,Etoupes noires,Bayonne,2000,Livres,"0,06",120,0,,
38,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,,Fil de lin blanc,Espagne,631,Livres,4,2524,0,,
39,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,,Futailles vides,Petites isles,1587,Nombre,,7838,,,Pas de prix unitaire
40,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,,Graisse,Espagne,2171,Livres,"0,4","7882,4",-7014,,Erreur de calcul
41,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Peaux de veaux apprêtées,Espagne,23185,Livres,2,46370,0,,
42,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Sel blanc,Angleterre,28769,Livres,"0,015",432,"-0,465000000000032",,
43,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Sel gris,Angleterre,70900,Livres,"0,015",1063,"0,5",,
44,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Inde,Thé Boui,Angleterre,1600,Livres,2,3200,0,,
45,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,,Toille de chanvre à voile,Espagne,33018,Aunes,1,33018,0,,
46,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Rouen,Toille de lin,Espagne,5870,Aunes,"1,5",8805,0,,
47,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Toille de lin à carreau,Espagne,77510,Aunes,"1,1",85261,0,,
48,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Toille de lin blanche,Espagne,3850,Aunes,"1,25",4812,"0,5",,
49,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Port Franc de Lorient,,Verrerie,Angleterre,,,,150,,,Pas d'unité de mesure ni de prix unitaire
50,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,5,1789,Lorient,Brest,Bordeaux,Vin,Angleterre,23,Veltes,8,184,0,,
51,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Ardoises,Lorient,400000,Nombre,"0,02",8000,0,,
52,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Beurre,Petites isles,6151,Livres,"0,6",3690,"0,600000000000364",,
53,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Beurre,Lorient,150,Livres,"0,6",90,0,,
54,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Bois à bruler,Petites isles,90,Cordes,15,1350,0,,
55,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Bois de merrain ,Lorient,21444,Nombre,"0,09",1930,"-0,039999999999964",,
56,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,,Bois de construction,Lorient,,,,9485,,,Pas d'unité de mesure ni de prix unitaire
57,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Bois en gournables,Lorient,5200,Pieds,1,5200,0,,
58,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Goudron,Lorient,3200,Livres,"0,1",320,0,,
59,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Cidre,Petites isles,2400,Pintes,"0,15",360,0,,
60,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Cidre,Lorient,45360,Pintes,"0,15",6804,0,,
61,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Cables,Lorient,2000,Livres,"0,25",500,0,,
62,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,,Couvertures de laine,Lorient,400,Livres,2,800,0,,
63,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Etoffes de soye,Lorient,42,Aunes,6,252,0,,
64,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Fer de fonte,Lorient,9600,Livres,"0,1",960,0,,
65,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Fer en verges,Lorient,7000,Livres,"0,15",1050,0,,
66,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Fer en ancre,Lorient,2000,Livres,"0,3",600,0,,
67,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Fer en clous,Lorient,734,Livres,"0,4",294,"-0,399999999999977",,
68,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,,Légumes divers,Petites isles,210,Bouteilles,2,420,0,,
69,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Marchandises à la valeur,Lorient,,,,1291,,,Pas d'unité de mesure ni de prix unitaire
70,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Miel,Lorient,51260,Livres,"0,24",12302,"0,399999999999636",,
71,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Miel,Dunkerque,29282,Livres,"0,24",7028,"-0,320000000000618",,
72,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Miel,Hollande,98554,Livres,"0,24",23653,"-0,040000000000873",,
73,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Mouchoirs de gaze,Lorient,3,Douzaines,60,180,0,,
74,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,,Poterie,Lorient,,,,8880,,,Pas d'unité de mesure ni de prix unitaire
75,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Papier à écrire,Lorient,600,Livres,"0,6",360,0,,
76,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Poisson salé (sardines pressées),Petites isles,3600,Livres,,1050,,,Pas de prix unitaire
77,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Poisson salé (sardines pressées),Marseille,41430,Livres,,12169,,,Pas de prix unitaire
78,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sardines en saumure,Marseille,91750,Livres,,11010,,,Pas de prix unitaire
79,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sel,Lorient,127100,Livres,,1070,,,Quantités incompréhensibles
80,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sel,Angleterre,1838500,Livres,,15298,,,Quantités incompréhensibles
81,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sel,Danemarck,1668000,Livres,,13927,,,Quantités incompréhensibles
82,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sel,Amérique,1521000,Livres,,12696,,,Quantités incompréhensibles
83,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,,Saumure,Marseille,20000,Livres,,960,,,Pas de prix unitaire
84,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,,Suif en pain,Lorient,5750,Livres,"0,5",2875,0,,
85,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Toille,Lorient,45,Aunes,3,135,0,,
86,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Vin,Lorient,1000,Pintes,"0,4",400,0,,3 muids et 136 pintes à 100£ les 250 pintes
87,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,Bordeaux,Vin,Lorient,10250,Pintes,,3116,,,35 muids et 170 pintes
88,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,7,1789,Lorient,Subordonné de Lorient,,Vin du pays,Lorient,600,Bouteilles,2,1200,0,,
89,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Bierre,Lorient,"5,32291667",muids,,216,,,Pas de prix unitaire
90,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,,Bois à bruler,Lorient,,,,5000,,,En valeur
91,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Bois à bruler,Petites isles,,,,5000,,,En valeur
92,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Bois de contruction,Lorient,,,,3709,,,"Quantités difficiles , pas de prix unitaire ni d'unité de mesure"
93,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Farine,Lorient,24466,Livres,,2446,,,Pas de prix unitaire
94,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Graines comestibles avoine,Lorient,22766,Livres,,959,,,Pas de prix unitaire
95,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Graines comestibles froment,Lorient,52800,Livres,,5280,,,Pas de prix unitaire
96,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Graines comestibles orge,Lorient,3833,Livres,,308,,,Pas de prix unitaire
97,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Graines comestibles seigle,Petites isles,1966,Livres,,140,,,Pas de prix unitaire
98,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,,Marchandises à la valeur,Lorient,,,,1100,-1100,,En valeur
99,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,,Marchandises à la valeur,Hollande,,,,64,-64,,En valeur
100,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,9,1789,Lorient,Quimper,Bretagne,Miel,Lorient,56900,Livres,,13570,,,Pas de prix unitaire
