Data entry by,Source,Source,Year,Sheet,exportsimports,Marchandises,Pays,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; d'alphate,Suisse,,450,0,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à bâtir,Flandre,,12828,0,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; de chaux,Flandre,,1173,0,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à éguiser,Espagne,,614.6,16029.3,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à éguiser,Isles,,13,16029.3,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à éguiser,Italie,,14000,16029.3,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à éguiser,Savoye,,3,16029.3,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à éguiser,Suisse,,1400,16029.3,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; d'emery,Allemagne,,496.6,910.15,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; d'emery,Suisse,,414.7,910.15,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à faulx,Flandre,,43,105.5,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à faulx,Isles,,15,105.5,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à faulx,Italie,,38,105.5,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à faulx,Savoye,,10,105.5,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; fausses,Angleterre,,58.5,0,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à fusils,Espagne,,335,28107.2,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à fusils,Flandre,,1000,28107.2,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à fusils,Guinee,,575.2,28107.2,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à fusils,Hollande,,5310,28107.2,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à fusils,Isles,,445.2,28107.2,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à fusils,Italie,,868,28107.2,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à fusils,Levant,,2107,28107.2,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à fusils,Nord,,11556,28107.2,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; à fusils,Suede,,5912,28107.2,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,104,exports,Pierres ; de grison,Isles,,520,0,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pierres ; à paver,Flandre,,72973,0,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pierres ; ponce,Espagne,,182,242,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pierres ; ponce,Isles,,60,242,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pierres ; à razoir,Italie,,800,0,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pierres ; de roche,Espagne,,75,0,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pierres ; de St. Cast,Isles,,3762.1,0,0,138030.95,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pignons d'epine,Nord,,123,0,0,122.5,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Piment,Allemagne,,40,0,0,9256,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Piment,Espagne,,20,0,0,9256,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Piment,Italie,,1870,0,0,9256,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Piment,Suisse,,7326,0,0,9256,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pinchinat,Flandre,,3000,0,0,5000,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pinchinat,Levant,,2000,0,0,5000,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pipes à fumer,Espagne,,125,0,0,12704.5,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pipes à fumer,Guinee,,8444,0,0,12704.5,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pipes à fumer,Isles,,4026,0,0,12704.5,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pipes à fumer,Italie,,100,0,0,12704.5,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pipes à fumer,Suisse,,10,0,0,12704.5,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pistaches,Flandre,,55,0,0,1547,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Pistaches,Italie,,1492,0,0,1547,,
Saadia Mai,,Montbret 155-1,1755,105,exports,Planches ; de chesne,Allemagne,,200,0,0,25107,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Planches ; de sapin,Angleterre,,200,24907,0,25107,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Planches ; de sapin,Espagne,,7032,24907,0,25107,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Planches ; de sapin,Isles,,16863,24907,0,25107,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Planches ; de sapin,Portugal,,450,24907,0,25107,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Planches ; de sapin,Savoye,,312,24907,0,25107,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Planches ; de sapin,Suisse,,50,24907,0,25107,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Allemagne,,16,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Angleterre,,748,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Danemark,,744,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Espagne,,600,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Flandre,,1.5,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Hollande,,1320,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Isles,,16,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Nord,,496,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Russie,,200,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Platre,Suede,,1264,0,0,5405.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plocq,Flandre,,203,0,0,0,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plomb ; en grenaille,Allemagne,,790,136331.3,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plomb ; en grenaille,Espagne,,190,136331.3,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plomb ; en grenaille,Guinee,,2051.5,136331.3,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plomb ; en grenaille,Isles,,103407.6,136331.3,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plomb ; en grenaille,Italie,,8331.5,136331.3,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plomb ; en grenaille,Levant,,21563,136331.3,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plomb ; laminé,Isles,,348.8,0,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plomb ; ouvré,Isles,,665,682.5,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,106,exports,Plomb ; ouvré,Suisse,,18,682.5,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plomb ; en saumon,Espagne,,180.8,94025.55,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plomb ; en saumon,Guinee,,600,94025.55,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plomb ; en saumon,Isles,,4919,94025.55,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plomb ; en saumon,Italie,,8471.9,94025.55,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plomb ; en saumon,Levant,,79855.4,94025.55,0,231387.25,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; d'autruche ; apretees,Allemagne,,2980,40539,40539,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; d'autruche ; apretees,Espagne,,17850,40539,40539,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; d'autruche ; apretees,Flandre,,5685,40539,40539,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; d'autruche ; apretees,Isles,,240,40539,40539,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; d'autruche ; apretees,Italie,,12240,40539,40539,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; d'autruche ; apretees,Nord,,1040,40539,40539,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; d'autruche ; apretees,Suisse,,504,40539,40539,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; à écrire,Espagne,,100,188,0,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; à écrire,Isles,,88,188,0,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; à lit,Allemagne,,3966,57151.2,0,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; à lit,Angleterre,,3643.4,57151.2,0,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; à lit,Espagne,,30944,57151.2,0,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; à lit,Flandre,,11820,57151.2,0,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; à lit,Hollande,,4600,57151.2,0,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; à lit,Isles,,75,57151.2,0,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Plumes ; à lit,Suisse,,2103,57151.2,0,97878.2,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Poëles ; de fayance,Espagne,,360,4440,0,18693.15,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Poëles ; de fayance,Hollande,,4020,4440,0,18693.15,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Poëles ; de fayance,Nord,,60,4440,0,18693.15,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Poëles ; de fer,Isles,,14253.3,0,0,18693.15,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Poil ; de chameau,Savoye,,350,3979.5,0,6249.5,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Poil ; de chameau,Suisse,,3630,3979.5,0,6249.5,,
Saadia Mai,,Montbret 155-1,1755,107,exports,Poil ; de chevre,Espagne,,320,0,0,6249.5,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poil ; de lapin,Italie,,1950,0,0,6249.5,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Pois,Espagne,,1320,0,0,4177,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Pois,Hollande,,5,0,0,4177,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Pois,Isles,,2852,0,0,4177,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; frit,Savoye,,1830,0,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; de mer,Espagne,,2215,4458.9,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; de mer,Flandre,,126,4458.9,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; de mer,Italie,,1977.2,4458.9,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; de mer,Savoye,,141.6,4458.9,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; salé,Espagne,,1225,14114.75,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; salé,Hollande,,2700,14114.75,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; salé,Italie,,2379,14114.75,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; salé,Levant,,479.5,14114.75,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; salé,Nord,,7270,14114.75,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poisson ; salé,Savoye,,63,14114.75,0,20403.65,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poivre ; commun,Allemagne,,2400,455267.8,0,455431.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poivre ; commun,Espagne,,119516.3,455267.8,0,455431.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poivre ; commun,Flandre,,1497.4,455267.8,0,455431.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poivre ; commun,Isles,,16668,455267.8,0,455431.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poivre ; commun,Italie,,156774.5,455267.8,0,455431.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poivre ; commun,Levant,,157907.4,455267.8,0,455431.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poivre ; commun,Savoye,,506,455267.8,0,455431.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poivre ; gerofflé,Italie,,164.5,0,0,455431.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poix ; noire,Allemagne,,5,1035.3,0,2325.55,le  total devrait être,2327 - 11
Saadia Mai,,Montbret 155-1,1755,108,exports,Poix ; noire,Angleterre,,107.8,1035.3,0,2325.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poix ; noire,Espagne,,116,1035.3,0,2325.55,,
Saadia Mai,,Montbret 155-1,1755,108,exports,Poix ; noire,Savoye,,807.8,1035.3,0,2325.55,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Poix ; raisine,Flandre,,138.5,1290.25,0,2325.55,le sous total devrait être 1292.25,
Saadia Mai,,Montbret 155-1,1755,109,exports,Poix ; raisine,Isles,,98,1290.25,0,2325.55,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Poix ; raisine,Italie,,790,1290.25,0,2325.55,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Poix ; raisine,Nord,,267,1290.25,0,2325.55,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Potimy,Espagne,,16200,0,0,89340,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Potimy,Flandre,,47100,0,0,89340,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Potimy,Italie,,800,0,0,89340,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Potimy,Levant,,25240,0,0,89340,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Allemagne,,135,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Espagne,,2080,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Flandre,,113,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Hollande,,413,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Isles,,410,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Italie,,419,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Nord,,204,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Portugal,,140,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Russie,,50,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Pomade,Savoye,,167,0,0,4129,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcs ; gras,Allemagne,,182400,225425,0,232545,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcs ; gras,Angleterre,,80,225425,0,232545,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcs ; gras,Espagne,,28295,225425,0,232545,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcs ; gras,Flandre,,1470,225425,0,232545,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcs ; gras,Suisse,,13180,225425,0,232545,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcs ; porcelets,Allemagne,,2110,7120,0,232545,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcs ; porcelets,Espagne,,5000,7120,0,232545,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcs ; porcelets,Suisse,,10,7120,0,232545,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcelaine ; ordinaire,Allemagne,,2440,59520,0,59520,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcelaine ; ordinaire,Angleterre,,480,59520,0,59520,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcelaine ; ordinaire,Espagne,,50,59520,0,59520,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcelaine ; ordinaire,Flandre,,2530,59520,0,59520,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcelaine ; ordinaire,Hollande,,150,59520,0,59520,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcelaine ; ordinaire,Isles,,39845,59520,0,59520,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcelaine ; ordinaire,Italie,,12675,59520,0,59520,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcelaine ; ordinaire,Portugal,,75,59520,0,59520,,
Saadia Mai,,Montbret 155-1,1755,109,exports,Porcelaine ; ordinaire,Suisse,,1275,59520,0,59520,,
