Data entry by,Source,Year,Sheet,Marchandises,Pays,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Total,deniers ,Remarks,
Saadia Mai,,1754,8,Azur,Italie,,900,,,,,,220 001,9,,
Saadia Mai,,1754,8,Azur,Nord,,91 723,5,,,,,220 001,9,,
Saadia Mai,,1754,8,Azur,Suede,,228,15,,,,,220 001,9,,
Saadia Mai,,1754,8,Babouchar,Levant,,2 100,,,,,,,,,
Saadia Mai,,1754,8,Bajutapeau,Hollande,,12 960,,,,,,,,,
Saadia Mai,,1754,8,Balais; de bois,Allemagne,,249,,4 233,15,,,35 392,13,,
Saadia Mai,,1754,8,Balais; de bois,Flandre,,3 984,15,4 233,15,,,35 392,13,,
Saadia Mai,,1754,8,Balais; de bruyeres,Flandre,,8 806,5,,,,,35 392,13,,
Saadia Mai,,1754,8,Balais: de Iongs,Espagne,,15,6,28,16,,,35 392,13,,
Saadia Mai,,1754,8,Balais: de Iongs,Savoye,,13,10,28,16,,,35 392,13,,
Saadia Mai,,1754,8,Balais: de plume,Espagne,,20 215,7,22 323,17,,,35 392,13,,
Saadia Mai,,1754,8,Balais: de plume,Italie,,2 108,10,22 323,17,,,35 392,13,,
Saadia Mai,,1754,8,Baleine: coupees,Flandre,,1 712,10,504 254,10,,,751 699,5,,
Saadia Mai,,1754,8,Baleine: coupees,Hollande,,452 895,15,504 254,10,,,751 699,5,,
Saadia Mai,,1754,8,Baleine: coupees,Nord,,3 240,,504 254,10,,,751 699,5,,
Saadia Mai,,1754,8,Baleine: coupees,Portugal,,46 406,5,504 254,10,,,751 699,5,,
Saadia Mai,,1754,8,Baleine: en fanon,Espagne,,9 336,,238 221,5,,,751 699,5,,
Saadia Mai,,1754,8,Baleine: en fanon,Hollande,,208 390,,238 221,5,,,751 699,5,,
Saadia Mai,,1754,8,Baleine: en fanon,Nord,,20 495,5,238 221,5,,,751 699,5,,
Saadia Mai,,1754,8,Baleine: de Sardes,Hollande,,9 223,10,,,,,751 699,5,,
Saadia Mai,,1754,9,Bandeaux,Espagne,,72,,,,,,,,,
Saadia Mai,,1754,9,Baracan,Allemagne,,7 300,,,,,,7 385,,,
Saadia Mai,,1754,9,Baracan,Suisse,,85,,,,,,7 385,,,
Saadia Mai,,1754,9,Barbotines,Hollande,,130,,,,,,,,,
Saadia Mai,,1754,9,Barils vuides,Savoye,,276,,,,,,,,,
Saadia Mai,,1754,9,Barres decabestan,Italie,,11 860,,,,,,,,,
Saadia Mai,,1754,9,Bas; de coton,Allemagne,,486,,80 778,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de coton,Flandre,,20,,80 778,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de coton,Italie,,56 352,,80 778,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de coton,Levant,,14 875,,80 778,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de coton,Savoye,,144,,80 778,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de coton,Suisse,,8 901,,80 778,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; Destames,Espagne,,240,,,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de fil,Espagne,,182,10,62 537,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de fil,Flandre,,8,,62 537,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de fil,Italie,,54 345,,62 537,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de fil,Suisse,,8 001,10,62 537,,,,189 347,10,,
Saadia Mai,,1754,9,Bas; de filozelle,Italie,,1 920,,,,,,189 347,10,,
Saadia Mai,,1754,10,Bas; de laine,Allemagne,,72,,1 876,10,,,189 347,10,,
Saadia Mai,,1754,10,Bas; de laine,Angleterre,,93,,1 876,10,,,189 347,10,,
Saadia Mai,,1754,10,Bas; de laine,Espagne,,235,10,1 876,10,,,189 347,10,,
Saadia Mai,,1754,10,Bas; de laine,Flandre,,36,,1 876,10,,,189 347,10,,
Saadia Mai,,1754,10,Bas; de laine,Italie,,1 440,,1 876,10,,,189 347,10,,
Saadia Mai,,1754,10,Bas; de soye,Angleterre,,156,,41 996,,,,189 347,10,,
Saadia Mai,,1754,10,Bas; de soye,Flandre,,40,,41 996,,,,189 347,10,,
Saadia Mai,,1754,10,Bas; de soye,Italie,,30 600,,41 996,,,,189 347,10,,
Saadia Mai,,1754,10,Bas; de soye,Levant,,11 200,,41 996,,,,189 347,10,,
Saadia Mai,,1754,10,Batanonis,Levant,,58 556,,,,,,,,,
Saadia Mai,,1754,10,Bateaux neufs,Angleterre,,300,,,,,,1 000,,,
Saadia Mai,,1754,10,Bateaux neufs,Espagne,,700,,,,,,1 000,,,
Saadia Mai,,1754,10,Batons a chandelles,Isles,,58,,,,,,,,,
Saadia Mai,,1754,10,Baume; de copaba,Hollande,,3 127,,9 034,,,,9 159,,,
Saadia Mai,,1754,10,Baume; de copaba,Isles,,1 535,,9 034,,,,9 159,,,
Saadia Mai,,1754,10,Baume; de copaba,Italie,,2 552,,9 034,,,,9 159,,,
Saadia Mai,,1754,10,Baume; de copaba,Portugal,,1 820,,9 034,,,,9 159,,,
Saadia Mai,,1754,10,Baume; du Perou,Espagne,,65,,125,,,,9 159,,,
Saadia Mai,,1754,10,Baume; du Perou,Hollande,,60,,125,,,,9 159,,,
Saadia Mai,,1754,10,Baye de laurier,Hollande,,518,,,,,,,,,
Saadia Mai,,1754,11,Bazanne tannees,Espagne,,49,10,,,,,143,10,,
Saadia Mai,,1754,11,Bazanne tannees,Savoye,,94,,,,,,143,10,,
Saadia Mai,,1754,11,Bazin,Allemagne,,1 163,,,,,,265 723,10,,
Saadia Mai,,1754,11,Bazin,Flandre,,4 311,10,,,,,265 723,10,,
Saadia Mai,,1754,11,Bazin,Hollande,,35 953,,,,,,265 723,10,,
Saadia Mai,,1754,11,Bazin,Italie,,75 138,,,,,,265 723,10,,
Saadia Mai,,1754,11,Bazin,Nord,,51 588,,,,,,265 723,10,,
Saadia Mai,,1754,11,Bazin,Suisse,,97 570,,,,,,265 723,10,,
Saadia Mai,,1754,11,Benjoin,Hollande,,12 622,10,,,,,13 872,10,,
Saadia Mai,,1754,11,Benjoin,Italie,,1 250,,,,,,13 872,10,,
Saadia Mai,,1754,11,Bergamottes,Italie,,2 661,5,,,,,4 488,15,,
Saadia Mai,,1754,11,Bergamottes,Savoye,,1 827,10,,,,,4 488,15,,
Saadia Mai,,1754,11,Bernues,Levant,,3 300,,,,,,,,,
Saadia Mai,,1754,11,Boeuf; salé,Angleterre,,1 293 862,4,1 342 715,12,,,1 535 725,12,,
Saadia Mai,,1754,11,Boeuf; salé,Hollande,,4 750,10,1 342 715,12,,,1 535 725,12,,
Saadia Mai,,1754,11,Boeuf; salé,Levant,,4 140,,1 342 715,12,,,1 535 725,12,,
Saadia Mai,,1754,11,Boeuf; salé,Nord,,2 162,18,1 342 715,12,,,1 535 725,12,,
Saadia Mai,,1754,11,Boeuf; salé,Russie,,37 800,,1 342 715,12,,,1 535 725,12,,
Saadia Mai,,1754,11,Boeuf; en vie,Allemagne,,101 250,,192 010,,193 010,,1 535 725,12,,
Saadia Mai,,1754,11,Boeuf; en vie,Flandre,,8 160,,192 010,,193 010,,1 535 725,12,,
Saadia Mai,,1754,11,Boeuf; en vie,Italie,,700,,192 010,,193 010,,1 535 725,12,,
Saadia Mai,,1754,11,Boeuf; en vie,Savoye,,81 900,,192 010,,193 010,,1 535 725,12,,
Saadia Mai,,1754,11,Boeuf; Taureaux,Savoye,,1 000,,193 010,,,,1 535 725,12,,
Saadia Mai,,1754,12,Beurre,Allemagne,,225,,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Beurre,Angleterre,,2 157 801,10,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Beurre,Denmark,,63,,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Beurre,Flandre,,108 518,8,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Beurre,Hollande,,80 078,12,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Beurre,Italie,,392,8,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Beurre,Nord,,5 268,10,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Beurre,Russie,,3 459,18,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Beurre,Savoye,,14 495,10,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Beurre,Suisse,,254,14,,,,,2 370 557,10,,
Saadia Mai,,1754,12,Bezouard,Hollande,,120,,,,,,,,,
Saadia Mai,,1754,12,Bierre,Allemagne,,75,,,,,,113 205,14,,
Saadia Mai,,1754,12,Bierre,Angleterre,,2 503,4,,,,,113 205,14,,
Saadia Mai,,1754,12,Bierre,Danemark,,15,,,,,,113 205,14,,
Saadia Mai,,1754,12,Bierre,Flandre,,15,,,,,,113 205,14,,
Saadia Mai,,1754,12,Bierre,Hollande,,110 577,10,,,,,113 205,14,,
Saadia Mai,,1754,12,Bierre,Nord,,20,,,,,,113 205,14,,
Saadia Mai,,1754,12,Bijouterie,Flandre,,502,,,,,,242 427,,,
Saadia Mai,,1754,12,Bijouterie,Savoye,,1 200,,,,,,242 427,,,
Saadia Mai,,1754,12,Bijouterie,Suisse,,240 725,,,,,,242 427,,,
Saadia Mai,,1754,12,Billots de Sapin,Danemark,,396,,,,,,,,,
Saadia Mai,,1754,12,Biscuits,Suisse,,44,9,,,,,,,,
Saadia Mai,,1754,12,Blanc; de baleine,Hollande,,5 048,15,,,,,5 626,10,,
Saadia Mai,,1754,12,Blanc; d'espagne,Hollande,,169,,,,,,5 626,10,,
Saadia Mai,,1754,12,Blanc; de plomb,Hollande,,408,15,,,,,5 626,10,,
Saadia Mai,,1754,13,Bled; froment,Angleterre,,509 601,5,5 669 138,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; froment,Espagne,,17 820,,5 669 138,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; froment,Hollande,,116 749,5,5 669 138,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; froment,Italie,,354 880,,5 669 138,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; froment,Levant,,4 564 160,,5 669 138,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; froment,Nord,,101 688,,5 669 138,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; froment,Savoye,,40,,5 669 138,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; froment,Suisse,,4 200,,5 669 138,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; seigle,Hollande,,1 773,10,6 429,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; seigle,Nord,,1 056,,6 429,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bled; seigle,Suede,,3 600,,6 429,10,,,5 675 568,,,
Saadia Mai,,1754,13,Bleue de Prusse,Hollande,,6 049,,,,,,,,,
Saadia Mai,,1754,13,Boëtes,Allemagne,,1 306,14,,,,,1 689,9,,
Saadia Mai,,1754,13,Boëtes,Espagne,,24,,,,,,1 689,9,,
Saadia Mai,,1754,13,Boëtes,Nord,,123,15,,,,,1 689,9,,
Saadia Mai,,1754,13,Boëtes,Savoye,,235,,,,,,1 689,9,,
Saadia Mai,,1754,13,Bois; d'acajou,Isles,,17 857,10,,,,,3 768 307,9,,
Saadia Mai,,1754,13,Bois; en barreaux,Nord,,8,5,,,,,3 768 307,9,,
Saadia Mai,,1754,13,Bois; a batir,Allemagne,,26 307,12,,,,,3 768 307,9,,
Saadia Mai,,1754,13,Bois; a faire bocles,Savoye,,220,,,,,,3 768 307,9,,
Saadia Mai,,1754,13,Bois; de Brezil,Espagne,,5 922,10,101 603,17,,,3 768 307,9,,
Saadia Mai,,1754,13,Bois; de Brezil,Hollande,,15 175,3,101 603,17,,,3 768 307,9,,
Saadia Mai,,1754,13,Bois; de Brezil,Isles,,38 324,19,101 603,17,,,3 768 307,9,,
Saadia Mai,,1754,13,Bois; de Brezil,Italie,,23 275,,101 603,17,,,3 768 307,9,,
Saadia Mai,,1754,13,Bois; de Brezil,Nord,,7 256,5,101 603,17,,,3 768 307,9,,
Saadia Mai,,1754,13,Bois; de Brezil,Portugal,,11 650,,101 603,17,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; a bruler,Allemagne,,60 227,,493 615,5,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; a bruler,Espagne,,392 790,,493 615,5,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; a bruler,Italie,,40 515,15,493 615,5,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; a bruler,Russie,,78,,493 615,5,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; a bruler,Savoye,,4,10,493 615,5,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de buis,Hollande,,38 980,10,39 067,15,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de buis,Suise,,87,5,39 067,15,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de calliatous,Hollande,,6 069,6,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de campeche,Angleterre,,157,10,611 079,10,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de campeche,Espagne,,91 681,12,611 079,10,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de campeche,Hollande,,226 555,6,611 079,10,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de campeche,Isles,,286 657,13,611 079,10,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de campeche,Italie,,4 908,,611 079,10,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de campeche,Nord,,1 119,9,611 079,10,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de cedre,Hollande,,825,,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de charbonnage,Allemagne,,40,,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de chesne,Allemagne,,300 569,,300 897,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de chesne,Isles,,128,,300 897,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de chesne,Nord,,200,,300 897,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de la chine,Hollande,,120,,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de couleur,Isles,,2 936,,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; a cribles,Italie,,262,10,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; d'ebennes,Hollande,,6 101,5,6 863,3,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; d'ebennes,Isles,,761,18,6 863,3,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; d'eventails,Hollande,,84,,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; fagots,Allemagne,,303,15,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de fornambourg,Hollande,,3 814,2,184 918,17,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de fornambourg,Nord,,463,10,184 918,17,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de fornambourg,Portugal,,180 641,5,184 918,17,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; a fusiler,Suisse,,4 375,,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; Sustek,Hollande,,638,,11 435,12,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; Sustek,Italie,,10 604,12,11 435,12,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; Sustek,Savoye,,193,,11 435,12,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de gayak,Isles,,8 906,14,,,,,3 768 307,9,,
Saadia Mai,,1754,14,Bois; de girofle,Hollande,,270,,,,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; de grenade,Hollande,,180,,,,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; de honduras,Hollande,,2 550,,,,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; du  Japon,Hollande,,14 321,10,,,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; de Jaraconda,Portugal,,29 775,,,,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; Jaune,Hollande,,50 900,19,51 950,19,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; Jaune,Isles,,250,,51 950,19,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; Jaune,Italie,,800,,51 950,19,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; d'Inde,Hollande,,84 380,13,85 826,13,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; d'Inde,Nord,,870,,85 826,13,,,3 768 307,9,,
Saadia Mai,,1754,15,Bois; d'Inde,Isles,,576,,85 826,13,,,3 768 307,9,,
