Data entry by,Source,Year,Sheet,Marchandises,Pays,Quotités,Leur Valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total,Remarks
Frédéric Duprez,AN F12 245,1777,8,Avoine,Hollande,4 340 272,217 013,,,,485 158,
Frédéric Duprez,AN F12 245,1777,8,Avoine,Nord,2 949 761,143 818,,,,485 158,
Frédéric Duprez,AN F12 245,1777,8,Avoine,Suède,61 700,3 085,,,,485 158,
Frédéric Duprez,AN F12 245,1777,8,Azur,Allemagne,12 554,8 856,,,,161 009,
Frédéric Duprez,AN F12 245,1777,8,Azur,Flandres,8 480,5 512,,,,161 009,
Frédéric Duprez,AN F12 245,1777,8,Azur,Hollande,188 649,135 789,,,,161 009,
Frédéric Duprez,AN F12 245,1777,8,Azur,Nord,17 381,10 852,,,,161 009,
Frédéric Duprez,AN F12 245,1777,8,Balais,Espagne,19 125,,,,,30 711,
Frédéric Duprez,AN F12 245,1777,8,Balais,Espagne,8 735,15 935,,,,30 711,2 qtités pour Espagne
Frédéric Duprez,AN F12 245,1777,8,Balais,Flandre,16 900,1 267,,,,30 711,
Frédéric Duprez,AN F12 245,1777,8,Balais,Italie,15 011,13 509,,,,30 711,
Frédéric Duprez,AN F12 245,1777,8,Baleine; coupée,Hollande,25 860,103 762,106 462,,,866 405,
Frédéric Duprez,AN F12 245,1777,8,Baleine; coupée,Nord,1 200,2 700,106 462,,,866 405,
Frédéric Duprez,AN F12 245,1777,8,Baleine; en Fanon,Flandres,9 125,22 812,759 943,,,866 405,
Frédéric Duprez,AN F12 245,1777,8,Baleine; en Fanon,Hollande,92 161,212 041,759 943,,,866 405,
Frédéric Duprez,AN F12 245,1777,8,Baleine; en Fanon,Portugal,235 205,525 090,759 943,,,866 405,
Frédéric Duprez,AN F12 245,1777,8,Bas; de fil et coton,Espagne,560,2 800,,,,137 740,
Frédéric Duprez,AN F12 245,1777,8,Bas; de fil et coton,Genève,220,1 320,,,,137 740,
Frédéric Duprez,AN F12 245,1777,8,Bas; de fil et coton,Italie,13 092,32 730,,,,137 740,
Frédéric Duprez,AN F12 245,1777,8,Bas; de fil et coton,Genes,1 226,6 130,,,,137 740,
Frédéric Duprez,AN F12 245,1777,8,Bas; de fil et coton,Savoye,18 785,94 760,,,,137 740,
Frédéric Duprez,AN F12 245,1777,10,Barbes de baleine,Isles,677,2 031,,,,,
Frédéric Duprez,AN F12 245,1777,10,Benjoin,Hollande,870,1 740,,,,,
Frédéric Duprez,AN F12 245,1777,10,Bergamottes,Italie,9 000,1 350,,,,3 297,
Frédéric Duprez,AN F12 245,1777,10,Bergamottes,Savoye,19 473,1 947,,,,3 297,
Frédéric Duprez,AN F12 245,1777,10,Beufs; fumé,Nord,3 575,2 010,,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; salé,Angleterre,416 342,,1 217 971,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; salé,Angleterre,193 021,1 030 339,1 217 971,,,1 770 211,2 Qtités pour Angleterre
Frédéric Duprez,AN F12 245,1777,10,Beufs; salé,Danemark,597,24 859,1 217 971,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; salé,Espagne,99 345,24 178,1 217 971,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; salé,Hollande,571,,1 217 971,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; salé,Hollande,216 350,79 682,1 217 971,,,1 770 211,2 Qtités pour Hollande
Frédéric Duprez,AN F12 245,1777,10,Beufs; salé,Nord,526,,1 217 971,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; salé,Nord,137 180,57 494,1 217 971,,,1 770 211,2 Qtités pour Nord
Frédéric Duprez,AN F12 245,1777,10,Beufs; salé,Russie,32,1 419,1 217 971,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; en vie,Allemagne,2 795,272 630,550 230,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; en vie,Flandres,340,65 760,550 230,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; en vie,Savoye,663,79 560,550 230,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,10,Beufs; en vie,Suisse,1 468,132 280,550 230,,,1 770 211,
Frédéric Duprez,AN F12 245,1777,12,Beurre,Angleterre,2 440 628,1 376 655,,,,1 591 772,
Frédéric Duprez,AN F12 245,1777,12,Beurre,Flandres,154 915,93 145,,,,1 591 772,
Frédéric Duprez,AN F12 245,1777,12,Beurre,Hollande,124 708,78 722,,,,1 591 772,
Frédéric Duprez,AN F12 245,1777,12,Beurre,Portugal,51 000,25 500,,,,1 591 772,
Frédéric Duprez,AN F12 245,1777,12,Beurre,Savoye,39 383,17 750,,,,1 591 772,
Frédéric Duprez,AN F12 245,1777,12,Bière,Flandres,242,4 844,,,,132 881,
Frédéric Duprez,AN F12 245,1777,12,Bière,Hollande,5 121,128 037,,,,132 881,
Frédéric Duprez,AN F12 245,1777,12,Blanc de baleine,Hollande,557,1 251,,,,,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Angleterre,3 996 526,399 652,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Danemark,413 261,41 326,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Espagne,822 380,102 797,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Flandres,277 218,28 136,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Hollande,1 672,,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Hollande,10 966 945,1 131 258,10 655 714,,,11 747 325,2 Qtités pour Hollande
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Italie,36 265 300,5 439 795,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Naples,2 495 000,374 250,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Genes,495 000,49 500,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Venise,480 000,48 000,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Levant,11 473 490,1 147 349,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Nord,16 609 370,1 660 937,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Russie,507 000,50 700,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Savoye,499 500,49 950,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Suède,1 308 346,130 834,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; froment,Isles,12 300,1 230,10 655 714,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; seigle,Danemark,29 142,1 957,1 091 611,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; seigle,Hollande,2 987 710,224 078,1 091 611,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; seigle,Levant,410 000,20 500,1 091 611,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; seigle,Nord,10 619 125,791 871,1 091 611,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; seigle,Russie,45 800,3 435,1 091 611,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bled; seigle,Suède,663 610,49 770,1 091 611,,,11 747 325,
Frédéric Duprez,AN F12 245,1777,12,Bleu; fin,Suisse,1 113,11 130,,,,64 571,
Frédéric Duprez,AN F12 245,1777,12,Bleu; de Prusse,Allemagne,363,1 765,53 441,,,64 571,
Frédéric Duprez,AN F12 245,1777,12,Bleu; de Prusse,Flandres,4 315,51 676,53 441,,,64 571,
Fatima Z.,AN F12 245,1777,15,Boëtes de sapin,Allemagne,430,2 748,,,,4 048,
Fatima Z.,AN F12 245,1777,15,Boëtes de sapin,Flandres,650,1 300,,,,4 048,
Fatima Z.,AN F12 245,1777,15,Bois; d'acajou,Hollande,25 005,50 000,,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; d'acajou,Isles,17 807,35 615,,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; en barreaux,Hollande,1 532,1 532,,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; à bâtir,Allemagne,289,43 400,,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; bordages,Nord,852,5 111,,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; bourdilleu,Nord,799,167 790,,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de brézil,Espagne,23 600,10 620,116 876,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de brézil,Flandres,12 900,2 580,116 876,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de brézil,Hollande,23 130,4 671,116 876,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de brézil,Portugal,351 540,96 827,116 876,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de brézil,Isles,18 150,2 178,116 876,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; à bruler,Allemagne,69,27 917,78 112,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; à bruler,Italie,5 547 400,41 055,78 112,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; à bruler,Genes,360 600,5 405,78 112,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; à bruler,Savoye,498 000,3 735,78 112,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de buis,Hollande,39 795,5 969,8 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de buis,Isles,5 000,2 500,8 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de compeche,Angleterre,224 394,29 527,481 812,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de compeche,Espagne,936 914,134 422,481 812,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de compeche,Flandres,1 204 255,168 044,481 812,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de compeche,Hollande,788 383,98 170,481 812,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de compeche,Italie,76 700,15 340,481 812,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de compeche,Portugal,53 000,5 300,481 812,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de compeche,Isles,237 495,31 009,481 812,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois de chesne,Flandres,,1 500,,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de construction,Angleterre,,21 615,143 559,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de construction,Hollande,392,3 920,143 559,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de construction,Italie,1 221,12 210,143 559,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de construction,Nord,23 981,59 952,143 559,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de construction,Russie,994,29 820,143 559,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de construction,Suède,6 417,16 042,143 559,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; espart,Nord,325,2 553,35 139,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; espart,Russie,416,1 248,35 139,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; espart,Suède,1 343,31 338,35 139,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de fernanbourg,Espagne,147 040,29 408,355 348,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de fernanbourg,Portugal,671 278,325 940,355 348,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; fustes,Espagne,163 500,14 715,21 435,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; fustes,Savoye,74 390,6 720,21 435,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de gayac,Hollande,37 445,1 872,53 985,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de gayac,Savoye,2 900,7 250,53 985,,,2 220 392,
Fatima Z.,AN F12 245,1777,15,Bois; de gayac,Isles,392 200,44 863,53 985,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; du japon,Hollande,10 260,1 537,,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; jaune,Flandres,51 675,5 167,76 136,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; jaune,Hollande,267 190,48 219,76 136,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; jaune,Isles,91 000,22 750,76 136,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; marbré,Isles,13 550,6 775,,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de marqueterie,Portugal,35 470,3 547,,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Allemagne,82 660,8 266,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Angleterre,31 460,6 292,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Danemark,44 260,4 426,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Hollande,418 670,41 867,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Italie,225 517,22 551,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Genes,189 620,37 924,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Nord,374 910,37 491,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Savoye,1 935,9 675,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Suède,173 770,17 377,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; merrain,Isles,9 200,4 600,199 469,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; à meubles,Isles,26 805,5 361,,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; ouvré,Allemagne,,7 463,21 238,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; ouvré,Genes,55 100,13 775,21 238,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de palissandre,Hollande,188 475,28 121,51 310,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de palissandre,Portugal,231 895,23 189,51 310,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; rouge,Indes,27 645,5 529,,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de roye,Hollande,32 020,9 606,13 859,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de roye,Portugal,21 625,4 253,13 859,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de marbre,Flandres,8 605,1 721,24 303,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de marbre,Hollande,112 910,22 582,24 303,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de sandal,Angleterre,81 700,16 340,19 073,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de sandal,Hollande,12 210,2 733,19 073,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; de sapin,Danemark,572,4 576,,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois de ?,Isles,25 394,7 618,,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; à teindre,Angleterre,795 920,79 592,171 881,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; à teindre,Espagne,127 360,19 104,171 881,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; à teindre,Flandres,36 950,3 924,171 881,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; à teindre,Hollande,220 586,66 911,171 881,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; à teindre,Isles,9 400,2 350,171 881,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; durci,Hollande,9 680,9 680,,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; violet,Flandres,5 845,1 022,7 817,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bois; violet,Portugal,33 975,6 795,7 817,,,2 220 392,
Fatima Z.,AN F12 245,1777,17,Bonnets; de coton,Naples,444,7 992,11 792,,,15 902,
Fatima Z.,AN F12 245,1777,17,Bonnets; de coton,Savoye,1 266,3 800,11 792,,,15 902,
Fatima Z.,AN F12 245,1777,17,Bonnets; de laine,Espagne,190,1 710,4 110,,,15 902,
Fatima Z.,AN F12 245,1777,17,Bonnets; de laine,Hollande,200,2 400,4 110,,,15 902,
Fatima Z.,AN F12 245,1777,19,Borax,Hollande,10 066,33 860,,,,35 585,
Fatima Z.,AN F12 245,1777,19,Borax,Indes,575,1 725,,,,35 585,
Fatima Z.,AN F12 245,1777,19,Bouchons de liège,Espagne,225 129,404 443,,,,413 053,
Fatima Z.,AN F12 245,1777,19,Bouchons de liège,Hollande,670,2 010,,,,413 053,
Fatima Z.,AN F12 245,1777,19,Bouchons de liège,Savoye,2 200,6 600,,,,413 053,
Fatima Z.,AN F12 245,1777,19,Boulets de canon,Italie,107 400,10 740,,,,17 094,
Fatima Z.,AN F12 245,1777,19,Boulets de canon,Isles,105 900,6 354,,,,17 094,
Fatima Z.,AN F12 245,1777,19,Bourre; à batir,Hollande,74 146,7 414,9 077,,,29 077,
Fatima Z.,AN F12 245,1777,19,Bourre; à batir,Savoye,8 319,1 663,9 077,,,29 077,
Fatima Z.,AN F12 245,1777,19,Bourre; de soye,Levant,20 000,20 000,20 000,,,29 077,
Fatima Z.,AN F12 245,1777,19,Boutons de crin,Allemagne,7 183,28 732,42 004,,,42 004,
Fatima Z.,AN F12 245,1777,19,Boutons de crin,Suisse,3 318,13 272,42 004,,,42 004,
Fatima Z.,AN F12 245,1777,19,Bouteilles de verre,Allemagne,385 020,69 692,,,,77 069,
Fatima Z.,AN F12 245,1777,19,Bouteilles de verre,Nord,38 940,7 377,,,,77 069,
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Angleterre,98 400,9 840,,,,628 092,
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Danemark,1 839,61 070,,,,628 092,
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Flandre,58,1 450,,,,628 092,
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Hollande,21 569,86 275,,,,628 092,
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Genes,150 000,15 000,,,,628 092,
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Nord,1 489,,,,,628 092,
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Nord,1 655 000,175 490,,,,628 092,2 Qtités pour Nord
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Russie,3 507,120 927,,,,628 092,
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Suede,6 212,155 290,,,,628 092,
Karim Benyagoub,AN F12 245,1777,21,Bray et goudron,Isles,27 500,2 750,,,,628 092,
Karim Benyagoub,AN F12 245,1777,21,Briques,Hollande,7 500,2 250,,,,3 300,
Karim Benyagoub,AN F12 245,1777,21,Briques,Savoye,15 000,1 050,,,,3 300,
Karim Benyagoub,AN F12 245,1777,21,Brosserie,Hollande,13 509,13 509,,,,,
Karim Benyagoub,AN F12 245,1777,21,Brun rouge,Espagne,85 778,2 145,,,,13 398,
Karim Benyagoub,AN F12 245,1777,21,Brun rouge,Hollande,210 040,11 253,,,,13 398,
Karim Benyagoub,AN F12 245,1777,21,Brusta visserand,Savoye,5 935,4 451,,,,,
Karim Benyagoub,AN F12 245,1777,21,Cabas dejonc,Espagne,316,1 896,,,,,
Karim Benyagoub,AN F12 245,1777,21,Caboches,Allemagne,9 985,1 655,,,,,
Karim Benyagoub,AN F12 245,1777,21,Cabriolets,Allemagne,5,2 500,,,,,
