Data entry by,Source,Year,Sheet,Marchandises,Pays,Quantité,Leur valeur,Deniers,Leur Valeur (sub-total 1),Deniers,Leur Valeur (sub-total 2),deniers,Total,Deniers,Remarks,
Fatima zahra,,1759,4,Alun,Allemagne,,14 033,7,,,,,445 603,2,,
Fatima zahra,,1759,4,Alun,Danemark,,260,,,,,,445 603,2,,
Fatima zahra,,1759,4,Alun,Espagne,,19 815,5,,,,,445 603,2,,
Fatima zahra,,1759,4,Alun,Hollande,,99 173,17,,,,,445 603,2,,
Fatima zahra,,1759,4,Alun,Italie,,186 600,,,,,,445 603,2,,
Fatima zahra,,1759,4,Alun,Genes,,13 200,,,,,,445 603,2,,
Fatima zahra,,1759,4,Alun,Nord,,13 018,17,,,,,445 603,2,,
Fatima zahra,,1759,4,Alun,Savoye,,98 200,,,,,,445 603,2,,
Fatima zahra,,1759,4,Alun,Suede,,1 301,16,,,,,445 603,2,,
Fatima zahra,,1759,4,Amadon,Allemagne,,6 752,18,,,,,14 767,18,,
Fatima zahra,,1759,4,Amadon,Espagne,,80,,,,,,14 767,18,,
Fatima zahra,,1759,4,Amadon,Genes,,5 434,,,,,,14 767,18,,
Fatima zahra,,1759,4,Amadon,Savoye,,2 501,,,,,,14 767,18,,
Fatima zahra,,1759,4,Amandes,Espagne,,13 194,10,,,,,19 160,10,,
Fatima zahra,,1759,4,Amandes,Flandre,,2 106,,,,,,19 160,10,,
Fatima zahra,,1759,4,Amandes,Hollande,,3 615,,,,,,19 160,10,,
Fatima zahra,,1759,4,Amandes,Italie,,60,,,,,,19 160,10,,
Fatima zahra,,1759,4,Amandes,Genes,,140,,,,,,19 160,10,,
Fatima zahra,,1759,5,Amandes,Savoye,,45,,,,,,19 160,10,,
Fatima zahra,,1759,5,Ambre,Hollande,,5 824,5,,,,,,,,
Fatima zahra,,1759,5,Ameçons,Espagne,,175,,,,,,,,,
Fatima zahra,,1759,5,Amidon,Allemagne,,720,,,,,,28 626,5,,
Fatima zahra,,1759,5,Amidon,Espagne,,1 950,,,,,,28 626,5,,
Fatima zahra,,1759,5,Amidon,Flandre,,310,,,,,,28 626,5,,
Fatima zahra,,1759,5,Amidon,Hollande,,20 489,12,,,,,28 626,5,,
Fatima zahra,,1759,5,Amidon,Italie,,160,,,,,,28 626,5,,
Fatima zahra,,1759,5,Amidon,Nord,,4 918,13,,,,,28 626,5,,
Fatima zahra,,1759,5,Amidon,Savoye,,78,,,,,,28 626,5,,
Fatima zahra,,1759,5,Anchois,Espagne,,87 400,9,,,,,87 948,3,,
Fatima zahra,,1759,5,Anchois,Flandre,,95,14,,,,,87 948,3,,
Fatima zahra,,1759,5,Anchois,Hollande,,92,,,,,,87 948,3,,
Fatima zahra,,1759,5,Anchois,Genes,,60,,,,,,87 948,3,,
Fatima zahra,,1759,5,Anchois,Savoye,,300,,,,,,87 948,3,,
Fatima zahra,,1759,5,Angelique,Hollande,,64,10,,,,,,,,
Fatima zahra,,1759,5,Anis,Allemagne,,2,2,,,,,6 655,12,,
Fatima zahra,,1759,5,Anis,Espagne,,6 122,,,,,,6 655,12,,
Fatima zahra,,1759,5,Anis,Hollande,,160,10,,,,,6 655,12,,
Fatima zahra,,1759,5,Anis,Levant,,371,,,,,,6 655,12,,
Fatima zahra,,1759,5,Anisette,Hollande,,12,,,,,,,,,
Fatima zahra,,1759,5,Anspects,Danemark,,150,,,,,,,,,
Fatima zahra,,1759,6,Antimoine,Hollande,,9,12,,,,,69,12,,
Fatima zahra,,1759,6,Antimoine,Italie,,60,,,,,,69,12,,
Fatima zahra,,1759,6,Arbres à planter,Espagne,,94,,,,,,759,,,
Fatima zahra,,1759,6,Arbres à planter,Flandre,,15,,,,,,759,,,
Fatima zahra,,1759,6,Arbres à planter,Genes,,600,,,,,,759,,,
Fatima zahra,,1759,6,Arbres à planter,Portugal,,50,,,,,,759,,,
Fatima zahra,,1759,6,Arçcons de selle,Allemagne,,22,,,,,,,,,
Fatima zahra,,1759,6,Arcenic,Hollande,,8 276,18,,,,,12 043,15,,
Fatima zahra,,1759,6,Arcenic,Nord,,3 766,17,,,,,12 043,15,,
Fatima zahra,,1759,6,Ardoises,Allemagne,,44 162,15,,,,,49 529,15,,
Fatima zahra,,1759,6,Ardoises,Espagne,,1 150,,,,,,49 529,15,,
Fatima zahra,,1759,6,Ardoises,Flandre,,3 950,,,,,,49 529,15,,
Fatima zahra,,1759,6,Ardoises,Geneve,,72,,,,,,49 529,15,,
Fatima zahra,,1759,6,Ardoises,Savoye,,195,,,,,,49 529,15,,
Fatima zahra,,1759,6,Argent vif,Allemagne,,18 110,,,,,,25 747,,,
Fatima zahra,,1759,6,Argent vif,Flandre,,2 900,,,,,,25 747,,,
Fatima zahra,,1759,6,Argent vif,Hollande,,4 737,,,,,,25 747,,,
Fatima zahra,,1759,6,Argenterie,Allemagne,,669,15,,,,,6 459,15,,
Fatima zahra,,1759,6,Argenterie,Flandre,,5 130,,,,,,6 459,15,,
Fatima zahra,,1759,6,Argenterie,Geneve,,660,,,,,,6 459,15,,
Fatima zahra,,1759,6,Armes ; blanches ; diverses,Allemagne,,103 952,,105 072,10,,,194 100,10,,
Fatima zahra,,1759,6,Armes ; blanches ; diverses,Flandre,,1 120,10,105 072,10,,,194 100,10,,
Fatima zahra,,1759,6,Armes ; à feu ; diverses,Allemagne,,84 570,,89 028,,,,194 100,10,,
Fatima zahra,,1759,6,Armes ; à feu ; diverses,Flandre,,4 458,,89 028,,,,194 100,10,,
Fatima zahra,,1759,7,Armoires,Allemagne,,12,,,,,,96,,,
Fatima zahra,,1759,7,Armoires,Flandre,,24,,,,,,96,,,
Fatima zahra,,1759,7,Armoires,Savoye,,60,,,,,,96,,,
Fatima zahra,,1759,7,Arquifou,Espagne,,48 236,10,,,,,71 905,10,,
Fatima zahra,,1759,7,Arquifou,Hollande,,2 790,,,,,,71 905,10,,
Fatima zahra,,1759,7,Arquifou,Italie,,1 387,,,,,,71 905,10,,
Fatima zahra,,1759,7,Arquifou,Savoye,,19 492,,,,,,71 905,10,,
Fatima zahra,,1759,7,Artichaux,Savoye,,1 130,,,,,,,,,
Fatima zahra,,1759,7,Asnes,Espagne,,125,,,,,,395,,,
Fatima zahra,,1759,7,Asnes,Savoye,,270,,,,,,395,,,
Fatima zahra,,1759,7,Attelles de coliers,Allemagne,,6 460,,,,,,,,,
Fatima zahra,,1759,7,Auf,Espagne,,5 500,,,,,,,,,
Fatima zahra,,1759,7,Avirons,Allemagne,,577,16,,,,,32 117,10,,
Fatima zahra,,1759,7,Avirons,Danemark,,121,4,,,,,32 117,10,,
Fatima zahra,,1759,7,Avirons,Espagne,,19 133,10,,,,,32 117,10,,
Fatima zahra,,1759,7,Avirons,Hollande,,95,,,,,,32 117,10,,
Fatima zahra,,1759,7,Avirons,Naples,,12 190,,,,,,32 117,10,,
Fatima zahra,,1759,7,Avoine,Espagne,,1 320,,,,,,3 618,,,
Fatima zahra,,1759,7,Avoine,Flandre,,30,,,,,,3 618,,,
Fatima zahra,,1759,7,Avoine,Hollande,,2 268,,,,,,3 618,,,
Fatima zahra,,1759,7,Azur,Allemagne,,3 145,2,,,,,179 544,1,,
Fatima zahra,,1759,7,Azur,Espagne,,320,,,,,,179 544,1,,
Fatima zahra,,1759,7,Azur,Flandre,,14 603,11,,,,,179 544,1,,
Fatima zahra,,1759,7,Azur,Geneve,,14,8,,,,,179 544,1,,
Fatima zahra,,1759,7,Azur,Hollande,,124 858,5,,,,,179 544,1,,
Fatima zahra,,1759,7,Azur,Nord,,35 726,15,,,,,179 544,1,,
Fatima zahra,,1759,7,Azur,Savoye,,876,,,,,,179 544,1,,
Fatima zahra,,1759,7,Babouches,Levant,,882,,,,,,,,,
Fatima zahra,,1759,8,Baguettes de fusil,Espagne,,600,,,,,,3 775,12,,
Fatima zahra,,1759,8,Baguettes de fusil,Flandre,,1 095,12,,,,,3 775,12,,
Fatima zahra,,1759,8,Baguettes de fusil,Italie,,1 080,,,,,,3 775,12,,
Fatima zahra,,1759,8,Baguettes de fusil,Savoye,,1 000,,,,,,3 775,12,,
Fatima zahra,,1759,8,Balais ; de bois,Allemagne,,279,9,2 790,1,,,45 027,12,,
Fatima zahra,,1759,8,Balais ; de bois,Flandre,,2 510,12,2 790,1,,,45 027,12,,
Fatima zahra,,1759,8,Balais ; de bruyere,Flandre,,12 425,,,,,,45 027,12,,
Fatima zahra,,1759,8,Balais ; de jonga,Espagne,,40,,66,5,,,45 027,12,,
Fatima zahra,,1759,8,Balais ; de jonga,Savoye,,26,5,66,5,,,45 027,12,,
Fatima zahra,,1759,8,Balais ; de palmes,Espagne,,24 353,2,29 746,5,,,45 027,12,Le total devrait être 29746 - 6,
Fatima zahra,,1759,8,Balais ; de palmes,Italie,,1 331,4,29 746,5,,,45 027,12,,
Fatima zahra,,1759,8,Balais ; de palmes,Naples,,133,,29 746,5,,,45 027,12,,
Fatima zahra,,1759,8,Balais ; de palmes,Genes,,2 008,,29 746,5,,,45 027,12,,
Fatima zahra,,1759,8,Balais ; de palmes,Savoye,,1 921,,29 746,5,,,45 027,12,,
Fatima zahra,,1759,8,Baleine ; coupée,Allemagne,,5 612,10,267 250,7,,,481 532,17,,
Fatima zahra,,1759,8,Baleine ; coupée,Flandre,,17 357,7,267 250,7,,,481 532,17,,
Fatima zahra,,1759,8,Baleine ; coupée,Hollande,,237 060,10,267 250,7,,,481 532,17,,
Fatima zahra,,1759,8,Baleine ; coupée,Italie,,1 300,,267 250,7,,,481 532,17,,
Fatima zahra,,1759,8,Baleine ; coupée,Portugal,,5 920,,267 250,7,,,481 532,17,,
Fatima zahra,,1759,8,Baleine ; en fanon,Flandre,,1 375,,214 282,10,,,481 532,17,,
Fatima zahra,,1759,8,Baleine ; en fanon,Hollande,,201 095,,214 282,10,,,481 532,17,,
Fatima zahra,,1759,8,Baleine ; en fanon,Portugal,,11 812,10,214 282,10,,,481 532,17,,
Fatima zahra,,1759,8,Balles à jouer,Flandre,,14,8,,,,,,,,
Fatima zahra,,1759,8,Barils vuides,Hollande,,32,10,,,,,,,,
Fatima zahra,,1759,9,Barres ; d'anspects,Hollande,,307,10,,,,,6 285,10,,
Fatima zahra,,1759,9,Barres ; de bois,Genes,,186,,236,,,,6 285,10,,
Fatima zahra,,1759,9,Barres ; de bois,Savoye,,50,,236,,,,6 285,10,,
Fatima zahra,,1759,9,Barres ; de cabestan,Italie,,1 950,,5 742,,,,6 285,10,,
Fatima zahra,,1759,9,Barres ; de cabestan,Genes,,3 792,,5 742,,,,6 285,10,,
Fatima zahra,,1759,9,Baromettre,Savoye,,50,,,,,,,,,
Fatima zahra,,1759,9,Bas ; de coton,Allemagne,,54,,73 973,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de coton,Flandre,,24,,73 973,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de coton,Naples,,1 000,,73 973,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de coton,Genes,,3 600,,73 973,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de coton,Levant,,62 925,,73 973,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de coton,Savoye,,6 010,,73 973,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de coton,Suisse,,360,,73 973,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; d'estames,Espagne,,72,,,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de fil,Allemagne,,162,,30 212,5,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de fil,Espagne,,186,5,30 212,5,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de fil,Flandre,,2 344,,30 212,5,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de fil,Genes,,23 590,,30 212,5,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de fil,Savoye,,3 930,,30 212,5,,,271 982,,,
Fatima zahra,,1759,9,Bas ; fil et coton,Geneve,,10 968,,24 014,5,,,271 982,,,
Fatima zahra,,1759,9,Bas ; fil et coton,Suisse,,13 046,5,24 014,5,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de filozelle,Genes,,59 392,,,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de laine,Allemagne,,168,,43 987,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de laine,Espagne,,2 323,,43 987,,,,271 982,,,
Fatima zahra,,1759,9,Bas ; de laine,Hollande,,1 296,,43 987,,,,271 982,,,
Fatima zahra,,1759,10,Bas ; de laine,Genes,,34 020,,43 987,,,,271 982,,,
Fatima zahra,,1759,10,Bas ; de laine,Portugal,,3 780,,43 987,,,,271 982,,,
Fatima zahra,,1759,10,Bas ; de laine,Savoye,,2 400,,43 987,,,,271 982,,,
Fatima zahra,,1759,10,Bas ; de soye,Espagne,,331,10,40 331,10,,,271 982,,,
Fatima zahra,,1759,10,Bas ; de soye,Genes,,40 000,,40 331,10,,,271 982,,,
Fatima zahra,,1759,10,Batanonis,Levant,,10 200,,,,,,,,,
Fatima zahra,,1759,10,Batoirs,Allemagne,,160,,,,,,,,,
Fatima zahra,,1759,10,Batons vernis,Hollande,,54,,,,,,279,,,
Fatima zahra,,1759,10,Batons vernis,Nord,,200,,,,,,279,,,
Fatima zahra,,1759,10,Batons vernis,Savoye,,25,,,,,,279,,,
Fatima zahra,,1759,10,Batteaux neufs,Espagne,,3 800,,,,,,,,,
Fatima zahra,,1759,10,Baume,Espagne,,156,,,,,,24 214,10,,
Fatima zahra,,1759,10,Baume,Hollande,,4 052,10,,,,,24 214,10,,
Fatima zahra,,1759,10,Baume,Portugal,,20 006,,,,,,24 214,10,,
Fatima zahra,,1759,10,Baye de laurier,Hollande,,305,,,,,,,,,
Fatima zahra,,1759,10,Bazannes tannées,Espagne,,24,,,,,,2 658,,,
Fatima zahra,,1759,10,Bazannes tannées,Genes,,2 622,,,,,,2 658,,,
Fatima zahra,,1759,10,Bazannes tannées,Savoye,,12,,,,,,2 658,,,
Fatima zahra,,1759,11,Bazin,Allemagne,,3 162,10,,,,,112 215,6,le total devrait être 112 215,
Fatima zahra,,1759,11,Bazin,Espagne,,29 580,,,,,,112 215,6,,
Fatima zahra,,1759,11,Bazin,Flandre,,190,,,,,,112 215,6,,
Fatima zahra,,1759,11,Bazin,Hollande,,16 112,10,,,,,112 215,6,,
Fatima zahra,,1759,11,Bazin,Genes,,3 540,,,,,,112 215,6,,
Fatima zahra,,1759,11,Bazin,Levant,,140,,,,,,112 215,6,,
Fatima zahra,,1759,11,Bazin,Savoye,,11 370,,,,,,112 215,6,,
Fatima zahra,,1759,11,Bazin,Suisse,,48 120,,,,,,112 215,6,,
Fatima zahra,,1759,11,Benjoin,Hollande,,9 213,,,,,,,,,
Fatima zahra,,1759,11,Bergamottes,Italie,,925,,,,,,17 025,,,
Fatima zahra,,1759,11,Bergamottes,Savoye,,16 100,,,,,,17 025,,,
Fatima zahra,,1759,11,Beuf ; fumé,Hollande,,908,5,1 054,5,,,456 821,3,,
Fatima zahra,,1759,11,Beuf ; fumé,Nord,,146,,1 054,5,,,456 821,3,,
Fatima zahra,,1759,11,Beuf ; salé,Angleterre,,1 810,8,148 626,18,,,456 821,3,,
Fatima zahra,,1759,11,Beuf ; salé,Danemark,,127 163,,148 626,18,,,456 821,3,,
Fatima zahra,,1759,11,Beuf ; salé,Espagne,,3 520,,148 626,18,,,456 821,3,,
Fatima zahra,,1759,11,Beuf ; salé,Hollande,,15 093,10,148 626,18,,,456 821,3,,
Fatima zahra,,1759,11,Beuf ; salé,Nord,,1 040,,148 626,18,,,456 821,3,,
Fatima zahra,,1759,11,Beuf ; en vie,Allemagne,,139 700,,307 140,,,,456 821,3,,
Fatima zahra,,1759,11,Beuf ; en vie,Flandre,,134 740,,307 140,,,,456 821,3,,
Fatima zahra,,1759,11,Beuf ; en vie,Savoye,,32 700,,307 140,,,,456 821,3,,
Fatima zahra,,1759,11,Beure,Allemagne,,734,8,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Angleterre,,51 310,7,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Danemark,,355,6,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Espagne,,141 243,10,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Flandre,,104 045,6,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Geneve,,8,8,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Hollande,,215 592,7,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Naples,,120,,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Genes,,360,,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Levant,,160,,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Nord,,111,5,,,,,520 170,7,,
Fatima zahra,,1759,11,Beure,Savoye,,6 129,10,,,,,520 170,7,,
Fatima zahra,,1759,12,Bierre,Allemagne,,120,,,,,,65 921,8,Le total devrait être 65 961 - 8,
Fatima zahra,,1759,12,Bierre,Danemark,,90,,,,,,65 921,8,,
Fatima zahra,,1759,12,Bierre,Flandre,,54,,,,,,65 921,8,,
Fatima zahra,,1759,12,Bierre,Hollande,,65 252,8,,,,,65 921,8,,
Fatima zahra,,1759,12,Bierre,Geneve,,25,,,,,,65 921,8,,
Fatima zahra,,1759,12,Bierre,Nord,,420,,,,,,65 921,8,,
Fatima zahra,,1759,12,Bijouterie,Flandre,,222,,,,,,50 305,,,
Fatima zahra,,1759,12,Bijouterie,Geneve,,42 068,,,,,,50 305,,,
Fatima zahra,,1759,12,Bijouterie,Savoye,,8 015,,,,,,50 305,,,
Fatima zahra,,1759,12,Billard,Espagne,,200,,,,,,,,,
Fatima zahra,,1759,12,Biscuits,Espagne,,135,,,,,,309,,,
Fatima zahra,,1759,12,Biscuits,Geneve,,22,,,,,,309,,,
Fatima zahra,,1759,12,Biscuits,Hollande,,90,,,,,,309,,,
Fatima zahra,,1759,12,Biscuits,Levant,,30,,,,,,309,,,
Fatima zahra,,1759,12,Biscuits,Savoye,,32,,,,,,309,,,
Fatima zahra,,1759,12,Blanc ; de baleine,Flandre,,225,,6 263,5,,,6 591,7,,
Fatima zahra,,1759,12,Blanc ; de baleine,Hollande,,6 038,5,6 263,5,,,6 591,7,,
Fatima zahra,,1759,12,Blanc ; d'Espagne,Hollande,,312,10,,,,,6 591,7,,
Fatima zahra,,1759,12,Blanc ; de plomb,Hollande,,15,12,,,,,6 591,7,,
Fatima zahra,,1759,12,Bled ; froment,Espagne,,236 422,,5 571 019,10,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; froment,Flandre,,8 400,,5 571 019,10,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; froment,Hollande,,1 817 460,,5 571 019,10,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; froment,Italie,,378 664,,5 571 019,10,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; froment,Naples,,1 420 328,,5 571 019,10,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; froment,Genes,,1 022 554,,5 571 019,10,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; froment,Levant,,107 310,,5 571 019,10,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; froment,Nord,,70 200,,5 571 019,10,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; froment,Savoye,,509 681,10,5 571 019,10,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; siegle,Espagne,,3 700,,364 879,,,,5 935 898,10,,
Fatima zahra,,1759,12,Bled ; siegle,Hollande,,361 179,,364 879,,,,5 935 898,10,,
Fatima zahra,,1759,13,Bleu de Prusse,Flandre,,2 550,,,,,,3 650,,,
Fatima zahra,,1759,13,Bleu de Prusse,Hollande,,200,,,,,,3 650,,,
Fatima zahra,,1759,13,Bleu de Prusse,Nord,,900,,,,,,3 650,,,
Fatima zahra,,1759,13,Boetes ; de bergamotes,Savoye,,320,,,,,,4 765,,,
Fatima zahra,,1759,13,Boetes ; de bois,Allemagne,,857,,4 445,,,,4 765,,,
Fatima zahra,,1759,13,Boetes ; de bois,Flandre,,1 800,,4 445,,,,4 765,,,
Fatima zahra,,1759,13,Boetes ; de bois,Geneve,,78,,4 445,,,,4 765,,,
Fatima zahra,,1759,13,Boetes ; de bois,Nord,,1 410,,4 445,,,,4 765,,,
Fatima zahra,,1759,13,Boetes ; de bois,Savoye,,300,,4 445,,,,4 765,,,
Fatima zahra,,1759,13,Bois ; d'acajou,Isles,,160,,,,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; en barreaux et planches,Allemagne,,21 676,,21 895,,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; en barreaux et planches,Hollande,,219,,21 895,,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à batir,Allemagne,,20 157,,68 067,,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à batir,Flandre,,47 790,,68 067,,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à batir,Savoye,,120,,68 067,,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à f.boetes,Savoye,,400,,,,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de brezil,Espagne,,1 725,,8 908,4,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de brezil,Hollande,,418,4,8 908,4,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de brezil,Nord,,2 100,,8 908,4,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de brezil,Portugal,,4 665,,8 908,4,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à bruler,Allemagne,,26 365,,38 727,12,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à bruler,Espagne,,3 079,,38 727,12,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à bruler,Italie,,1 689,12,38 727,12,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à bruler,Naples,,225,,38 727,12,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à bruler,Genes,,2 872,,38 727,12,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; à bruler,Savoye,,4 497,,38 727,12,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de buis,Hollande,,7 576,8,,,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de caliatour,Hollande,,14 529,18,,,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de campeche,Angleterre,,525,10,298 623,19,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de campeche,Espagne,,222 187,9,298 623,19,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de campeche,Hollande,,31 534,13,298 623,19,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de campeche,Isles,,40 340,7,298 623,19,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de campeche,Naples,,2 370,,298 623,19,,,1 542 673,13,,
Fatima zahra,,1759,13,Bois ; de campeche,Nord,,1 666,,298 623,19,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; de chesne,Allemagne,,55 500,,58 340,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; de chesne,Flandre,,2 840,,58 340,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; de cleippe,Flandre,,720,,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; de construction,Espagne,,4 500,,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; à f.corbin,Savoye,,170,,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; pour cribles,Genes,,1 950,,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; d'ebenne,Hollande,,3 190,15,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; à f.étusjs,Hollande,,36,,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; fagots,Allemagne,,907,17,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; de fernambourg,Hollande,,2 437,14,64 281,10,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; de fernambourg,Portugal,,61 843,16,64 281,10,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; fustet,Hollande,,750,18,8 525,18,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; fustet,Savoye,,7 775,,8 525,18,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; de gayac,Espagne,,825,,5 634,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; de gayac,Hollande,,4 809,,5 634,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; gros,Espagne,,48,,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; du japon,Hollande,,32 034,12,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; de jaracunda,Portugal,,2 407,10,,,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; jaune,Espagne,,3 655,,14 116,17,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; jaune,Hollande,,10 461,17,14 116,17,,,1 542 673,13,,
Fatima zahra,,1759,14,Bois ; d'inde,Allemagne,,162,10,12 539,10,,,1 542 673,13,,
